date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,442,30,6.908755,1,6.908755,105.560227,105.560227,0.763889,0.102995
200308,444,30,6.908755,1,13.817510,86.180178,191.740405,0.763889,0.102995
200309,451,31,6.908755,1,20.726264,98.336235,290.076640,0.775987,0.101302
200310,433,29,6.908755,1,27.635019,82.153774,372.230414,0.802622,0.098211
200311,437,30,6.908755,1,34.543774,110.721361,482.951775,0.802622,0.098211
200312,442,30,6.908755,1,41.452529,112.159828,595.111603,0.802622,0.098211
200401,441,30,6.908755,1,48.361283,125.670509,720.782112,0.820065,0.089711
200402,445,30,6.908755,1,55.270038,108.804991,829.587103,0.799985,0.087475
200403,438,30,6.908755,1,62.178793,234.756888,1064.343991,0.799985,0.087475
200404,440,30,6.908755,1,69.087548,225.716058,1290.060049,0.799985,0.087475
200405,435,29,6.908755,1,75.996303,247.973208,1538.033258,0.816889,0.094382
200406,436,30,6.908755,1,82.905057,260.049008,1798.082265,0.846417,0.096641
200407,432,29,6.908755,1,89.813812,244.231888,2042.314153,0.846417,0.096641
200408,431,29,6.908755,1,96.722567,366.398289,2408.712442,0.864114,0.100996
200409,441,30,6.908755,1,103.631322,263.538654,2672.251096,0.902116,0.093249
200410,437,30,6.908755,1,110.540076,275.816898,2948.067994,0.900706,0.084351
200411,434,29,6.908755,1,117.448831,204.830592,3152.898586,0.918725,0.067301
200412,423,29,6.908755,1,124.357586,126.510453,3279.409039,0.984474,0.063568
200501,425,29,6.908755,1,131.266341,101.647112,3381.056151,1.011428,0.067152
200502,427,29,6.908755,1,138.175096,117.117361,3498.173512,1.029652,0.075227
200503,411,28,6.908755,1,145.083850,118.607754,3616.781266,1.038344,0.086711
200504,404,27,6.908755,1,151.992605,99.104295,3715.885561,1.078483,0.110677
200505,402,27,1.039822,2,153.032427,1.041652,3716.927214,1.149033,0.138706
200506,397,27,6.908755,1,159.941182,69.485129,3786.412343,1.224047,0.147716
200507,403,27,6.908755,1,166.849937,75.283958,3861.696301,1.294982,0.185783
200508,405,27,6.908755,1,173.758692,100.340880,3962.037181,1.339142,0.197597
200509,404,27,6.908755,1,180.667446,69.899089,4031.936270,1.409217,0.236794
200510,414,28,6.908755,1,187.576201,77.961819,4109.898089,1.475897,0.274258
200511,411,28,6.908755,1,194.484956,111.496087,4221.394177,1.559768,0.320016
200512,411,28,6.908755,1,201.393711,139.873688,4361.267864,1.590131,0.348403
200601,413,28,6.908755,1,208.302465,140.068300,4501.336165,1.622544,0.340076
200602,424,29,6.908755,1,215.211220,217.106196,4718.442361,1.629455,0.322855
200603,419,28,6.908755,1,222.119975,134.218424,4852.660785,1.640973,0.335651
