date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,395,27,6.908755,1,6.908755,549.397008,549.397008,0.313096,0.000000
200308,401,27,6.908755,1,13.817510,547.763941,1097.160949,0.313096,0.000000
200309,412,28,6.908755,1,20.726264,435.652654,1532.813602,0.318761,0.000000
200310,406,28,6.908755,1,27.635019,699.378035,2232.191637,0.319725,0.000000
200311,416,28,6.908755,1,34.543774,544.847075,2777.038712,0.319725,0.000000
200312,421,29,6.908755,1,41.452529,757.035436,3534.074147,0.319725,0.000000
200401,429,29,6.908755,1,48.361283,720.388452,4254.462599,0.321714,0.000000
200402,426,29,6.908755,1,55.270038,759.833935,5014.296534,0.325769,0.000000
200403,428,29,6.908755,1,62.178793,756.897354,5771.193888,0.325769,0.000000
200404,423,29,6.908755,1,69.087548,946.028344,6717.222232,0.325769,0.000000
200405,423,29,6.908755,1,75.996303,1065.985746,7783.207978,0.326534,0.000000
200406,424,29,6.908755,1,82.905057,816.966832,8600.174810,0.326923,0.000000
200407,425,29,6.908755,1,89.813812,714.154531,9314.329341,0.326923,0.000000
200408,428,29,6.908755,1,96.722567,527.182486,9841.511828,0.333251,0.000000
200409,439,30,6.908755,1,103.631322,528.535036,10370.046864,0.336958,0.000000
200410,436,30,6.908755,1,110.540076,526.856390,10896.903254,0.342740,0.000000
200411,444,30,6.908755,1,117.448831,747.682060,11644.585313,0.346605,0.000000
200412,445,30,6.908755,1,124.357586,851.344740,12495.930054,0.350402,0.000000
200501,444,30,6.908755,1,131.266341,1104.953298,13600.883352,0.353532,0.000000
200502,443,30,6.908755,1,138.175096,1412.302838,15013.186190,0.354765,0.000000
200503,438,30,6.908755,1,145.083850,1575.273650,16588.459840,0.357610,0.000000
200504,436,30,6.908755,1,151.992605,1669.493277,18257.953116,0.358658,0.000000
200505,431,29,6.908755,1,158.901360,1766.553229,20024.506345,0.357530,0.000000
200506,438,30,6.908755,1,165.810115,2088.933575,22113.439921,0.359719,0.000000
200507,442,30,6.908755,1,172.718869,2238.994212,24352.434133,0.359255,0.000000
200508,439,30,6.908755,1,179.627624,2408.461353,26760.895486,0.354640,0.000000
200509,449,30,6.908755,1,186.536379,2501.120007,29262.015493,0.350673,0.000000
200510,455,31,6.908755,1,193.445134,2391.637548,31653.653040,0.342255,0.000000
200511,455,31,6.908755,1,200.353889,2618.340837,34271.993878,0.334924,0.000000
200512,446,30,6.908755,1,207.262643,2802.215966,37074.209844,0.325527,0.000000
200601,430,29,6.908755,1,214.171398,2489.953677,39564.163521,0.313969,0.000000
200602,434,29,6.908755,1,221.080153,2719.897876,42284.061396,0.299171,0.000000
200603,434,29,6.908755,1,227.988908,2335.141084,44619.202480,0.281457,0.000000
200604,431,29,6.908755,1,234.897662,1729.001128,46348.203609,0.264366,0.000000
200605,433,29,6.908755,1,241.806417,1726.581010,48074.784618,0.248044,0.000000
200606,421,29,6.908755,1,248.715172,1622.691075,49697.475693,0.229022,0.000000
200607,423,29,6.908755,1,255.623927,1463.098725,51160.574419,0.212202,0.000000
200608,414,28,6.908755,1,262.532682,1145.942163,52306.516581,0.194812,0.000000
200609,415,28,6.908755,1,269.441436,1001.584636,53308.101217,0.178080,0.000000
200610,380,26,6.908755,1,276.350191,795.152997,54103.254214,0.163099,0.000000
200611,389,26,6.908755,1,283.258946,781.448737,54884.702951,0.149442,0.000000
200612,380,26,6.908755,1,290.167701,629.752891,55514.455842,0.137143,0.000000
200701,378,26,6.908755,1,297.076456,456.534702,55970.990543,0.124759,0.000000
200702,356,24,6.908755,1,303.985210,443.686717,56414.677261,0.115843,0.000000
200703,353,24,6.908755,1,310.893965,211.434877,56626.112138,0.106648,0.000000
200704,367,25,6.908755,1,317.802720,186.909746,56813.021884,0.098530,0.000000
200705,371,25,6.908755,1,324.711475,150.700439,56963.722322,0.093236,0.000000
200706,370,25,6.908755,1,331.620229,34.300396,56998.022719,0.090567,0.000000
200707,362,25,6.908755,1,338.528984,58.468762,57056.491481,0.087409,0.000000
200708,356,24,6.908755,1,345.437739,54.909051,57111.400532,0.083365,0.000000
200709,364,25,6.908755,1,352.346494,160.726880,57272.127411,0.081241,0.000000
200710,386,26,6.908755,1,359.255249,127.797666,57399.925077,0.077709,0.000000
200711,379,26,6.908755,1,366.164003,219.982581,57619.907658,0.073644,0.000000
200712,395,27,6.908755,1,373.072758,418.631115,58038.538773,0.068466,0.000000
200801,394,27,6.908755,1,379.981513,737.726461,58776.265233,0.065770,0.000000
200802,400,27,6.908755,1,386.890268,962.231529,59738.496763,0.063108,0.000000
200803,401,27,6.908755,1,393.799022,1051.691946,60790.188709,0.062244,0.000000
200804,408,28,6.908755,1,400.707777,701.909505,61492.098214,0.063196,0.000000
200805,414,28,6.908755,1,407.616532,802.776886,62294.875100,0.061584,0.000000
200806,439,29,6.908755,1,414.525287,903.814739,63198.689839,0.059510,0.000000
200807,449,30,6.908755,1,421.434042,1056.024703,64254.714542,0.060392,0.000000
200808,447,30,6.908755,1,428.342796,922.647582,65177.362125,0.062392,0.000000
200809,440,30,6.908755,1,435.251551,899.429692,66076.791816,0.062839,0.000000
200810,440,30,6.908755,1,442.160306,800.262408,66877.054224,0.066143,0.000000
200811,446,30,6.908755,1,449.069061,787.261632,67664.315857,0.070587,0.000000
200812,518,35,6.908755,1,455.977815,547.635746,68211.951603,0.076245,0.000000
200901,499,34,6.908755,1,462.886570,647.560217,68859.511820,0.081730,0.000000
200902,506,34,6.908755,1,469.795325,778.172023,69637.683843,0.097247,0.000000
200903,529,36,6.908755,1,476.704080,863.103984,70500.787827,0.114359,0.000000
200904,527,36,6.908755,1,483.612835,627.186215,71127.974042,0.127397,0.000000
200905,538,36,6.908755,1,490.521589,400.685333,71528.659376,0.139019,0.000000
200906,561,38,6.908755,1,497.430344,388.445205,71917.104580,0.152717,0.000000
200907,575,39,6.908755,1,504.339099,365.661914,72282.766495,0.161955,0.000000
200908,593,40,6.908755,1,511.247854,324.139296,72606.905791,0.171324,0.000000
200909,606,41,6.908755,1,518.156608,306.330525,72913.236316,0.180946,0.000000
200910,604,41,6.908755,1,525.065363,398.286898,73311.523213,0.188572,0.000000
200911,601,41,6.908755,1,531.974118,382.298413,73693.821627,0.197814,0.000000
200912,622,42,6.908755,1,538.882873,409.319379,74103.141006,0.209791,0.000000
201001,626,42,6.908755,1,545.791628,468.812648,74571.953654,0.217682,0.000000
201002,638,43,6.908755,1,552.700382,574.695971,75146.649624,0.221326,0.000000
201003,637,43,6.908755,1,559.609137,645.524434,75792.174059,0.219327,0.000000
201004,644,43,6.908755,1,566.517892,699.167706,76491.341764,0.222902,0.000000
201005,641,43,6.908755,1,573.426647,744.304904,77235.646668,0.230172,0.000000
201006,648,44,6.908755,1,580.335401,690.816571,77926.463239,0.238720,0.000000
201007,669,45,6.908755,1,587.244156,751.248224,78677.711463,0.249370,0.000000
201008,667,45,6.908755,1,594.152911,648.575766,79326.287229,0.259992,0.000000
201009,689,46,6.908755,1,601.061666,597.590613,79923.877842,0.271032,0.000000
201010,703,47,6.908755,1,607.970421,654.585616,80578.463458,0.280797,0.000000
201011,722,49,6.908755,1,614.879175,651.052268,81229.515726,0.289714,0.000000
201012,732,49,6.908755,1,621.787930,856.028171,82085.543896,0.298416,0.000000
201101,730,49,6.908755,1,628.696685,792.787802,82878.331698,0.309875,0.000000
201102,744,50,6.908755,1,635.605440,767.661962,83645.993660,0.321508,0.000000
201103,729,49,6.908755,1,642.514194,638.101687,84284.095348,0.335542,0.000000
201104,758,51,6.908755,1,649.422949,666.842753,84950.938101,0.345061,0.000000
201105,767,52,6.908755,1,656.331704,615.662497,85566.600598,0.351145,0.000000
201106,786,53,6.908755,1,663.240459,728.890121,86295.490719,0.352701,0.000000
201107,800,54,6.908755,1,670.149214,714.361875,87009.852594,0.354012,0.000000
201108,799,54,6.908755,1,677.057968,741.332107,87751.184701,0.356090,0.000000
201109,820,55,6.908755,1,683.966723,768.427354,88519.612055,0.355876,0.000000
201110,834,56,6.908755,1,690.875478,961.009340,89480.621395,0.356719,0.000000
201111,823,55,6.908755,1,697.784233,1044.771664,90525.393058,0.359093,0.000000
201112,845,57,6.908755,1,704.692987,1052.106535,91577.499594,0.358761,0.000000
201201,858,58,6.908755,1,711.601742,761.544918,92339.044512,0.358732,0.000000
201202,871,59,6.908755,1,718.510497,728.976978,93068.021490,0.359459,0.000000
201203,863,58,6.908755,1,725.419252,571.655543,93639.677033,0.359253,0.000000
