date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,54,4,6.908740,1,6.908740,18.048985,18.048985,0.345189,0.000000
200308,54,4,-0.123427,36,6.785313,-0.123543,17.925442,0.345189,0.000000
200309,53,4,2.187624,24,8.972938,2.195570,20.121012,0.352369,0.000000
200310,62,5,5.117753,2,14.090691,5.299227,25.420239,0.354888,0.000000
200311,62,5,1.303290,40,15.393981,1.305975,26.726214,0.354888,0.000000
200312,64,5,6.904497,1,22.298478,12.364593,39.090807,0.354888,0.000000
200401,67,5,6.904436,1,29.202914,12.350488,51.441295,0.359297,0.000000
200402,69,5,6.904641,1,36.107555,12.399134,63.840429,0.360557,0.000000
200403,67,5,6.905542,1,43.013098,12.646877,76.487306,0.360557,0.000000
200404,67,5,6.908755,1,49.921852,25.262387,101.749693,0.360557,0.000000
200405,69,5,6.908755,1,56.830607,39.696060,141.445753,0.361638,0.000000
200406,73,5,6.908754,1,63.739361,20.982337,162.428090,0.361361,0.000000
200407,71,5,6.908355,1,70.647716,14.732446,177.160536,0.361361,0.000000
200408,69,5,6.855134,1,77.502851,9.806650,186.967185,0.365107,0.000000
200409,72,5,6.788566,1,84.291416,8.965747,195.932932,0.368633,0.000000
200410,71,5,6.904912,1,91.196328,12.467264,208.400196,0.373718,0.000000
200411,72,5,6.908755,1,98.105083,27.940846,236.341042,0.377788,0.000000
200412,72,5,6.908755,1,105.013837,52.036341,288.377383,0.383027,0.000000
200501,72,5,6.908755,1,111.922592,77.444069,365.821452,0.384355,0.000000
200502,87,6,6.908755,1,118.831347,123.959536,489.780988,0.381829,0.000000
200503,88,6,6.908755,1,125.740102,122.792150,612.573137,0.381713,0.000000
200504,89,6,6.908755,1,132.648856,190.672273,803.245411,0.379300,0.000000
200505,90,6,6.908755,1,139.557611,169.454682,972.700093,0.371329,0.000000
200506,93,7,6.908755,1,146.466366,233.708841,1206.408934,0.372410,0.000000
200507,93,7,6.908755,1,153.375121,219.955978,1426.364912,0.371028,0.000000
200508,95,7,6.908755,1,160.283876,253.832598,1680.197510,0.364709,0.000000
200509,100,7,6.908755,1,167.192630,275.494249,1955.691759,0.361815,0.000000
200510,94,7,6.908755,1,174.101385,315.735804,2271.427562,0.352390,0.000000
200511,94,7,6.908755,1,181.010140,343.208023,2614.635585,0.342292,0.000000
200512,95,7,6.908755,1,187.918895,337.324959,2951.960544,0.329397,0.000000
200601,100,7,6.908755,1,194.827649,355.766420,3307.726964,0.314907,0.000000
200602,103,7,6.908755,1,201.736404,398.415363,3706.142327,0.299265,0.000000
200603,101,7,6.908755,1,208.645159,321.935841,4028.078168,0.279469,0.000000
200604,103,7,6.908755,1,215.553914,261.914752,4289.992920,0.256682,0.000000
200605,101,7,6.908755,1,222.462669,210.598215,4500.591135,0.241886,0.000000
200606,130,9,6.908755,1,229.371423,335.518801,4836.109937,0.217947,0.000000
200607,127,9,6.908755,1,236.280178,403.764258,5239.874194,0.196027,0.000000
200608,134,9,6.908755,1,243.188933,295.893214,5535.767409,0.175157,0.000000
200609,128,9,6.908755,1,250.097688,268.833869,5804.601278,0.156196,0.000000
200610,164,11,6.908755,1,257.006442,278.461396,6083.062674,0.138996,0.000000
200611,164,11,6.908755,1,263.915197,287.021100,6370.083773,0.123753,0.000000
200612,159,11,6.908755,1,270.823952,232.876400,6602.960173,0.111562,0.000000
200701,158,11,6.908755,1,277.732707,108.890217,6711.850390,0.099658,0.000000
200702,184,13,6.908755,1,284.641462,199.845419,6911.695809,0.091284,0.000000
200703,185,13,6.908755,1,291.550216,111.708399,7023.404207,0.081174,0.000000
200704,185,13,6.908755,1,298.458971,120.266249,7143.670456,0.072588,0.000000
200705,188,13,6.908755,1,305.367726,45.109034,7188.779490,0.065623,0.000000
200706,184,13,6.908750,1,312.276476,19.170247,7207.949737,0.062622,0.000000
200707,184,13,6.908755,1,319.185231,38.900898,7246.850635,0.056211,0.000000
200708,186,13,6.908755,1,326.093986,120.437538,7367.288173,0.044807,0.000000
200709,192,13,6.908755,1,333.002740,212.163122,7579.451295,0.041542,0.000000
200710,183,13,6.908755,1,339.911495,197.278687,7776.729982,0.036421,0.000000
200711,185,13,6.908755,1,346.820250,270.134231,8046.864213,0.034195,0.000000
200712,186,13,6.908755,1,353.729005,255.898238,8302.762451,0.030757,0.000000
200801,178,12,6.908755,1,360.637759,489.153256,8791.915706,0.028810,0.000000
200802,179,12,6.908755,1,367.546514,529.201944,9321.117650,0.028503,0.000000
200803,178,12,6.908755,1,374.455269,311.181561,9632.299211,0.024416,0.000000
200804,177,12,6.908755,1,381.364024,333.875930,9966.175141,0.026593,0.000000
200805,177,12,6.908755,1,388.272779,433.902641,10400.077781,0.025241,0.000000
200806,178,12,6.908755,1,395.181533,412.478665,10812.556446,0.024209,0.000000
200807,176,12,6.908755,1,402.090288,415.618806,11228.175252,0.028967,0.000000
200808,176,12,6.908755,1,408.999043,364.404389,11592.579641,0.037014,0.000000
200809,173,12,-160.968957,489,248.030086,-160.969957,11431.609684,0.040221,0.000000
200810,172,12,6.908755,1,254.938840,149.086402,11580.696086,0.046630,0.000000
200811,173,12,6.908755,1,261.847595,63.292823,11643.988908,0.052778,0.000000
200812,103,7,6.908754,1,268.756349,20.888950,11664.877859,0.059937,0.000000
200901,101,7,6.908755,1,275.665104,42.427283,11707.305142,0.066364,0.000000
200902,104,7,6.908755,1,282.573859,56.794165,11764.099307,0.080000,0.000000
200903,126,9,6.908755,1,289.482613,52.313547,11816.412854,0.098689,0.000000
200904,132,9,6.908755,1,296.391368,47.037436,11863.450291,0.111077,0.000000
200905,134,9,6.908755,1,303.300123,55.928582,11919.378873,0.126747,0.000000
200906,129,9,6.908755,1,310.208878,72.637490,11992.016363,0.145284,0.000000
200907,131,9,6.908755,1,317.117633,69.440745,12061.457107,0.158572,0.000000
200908,132,9,6.908755,1,324.026387,77.055804,12138.512911,0.171820,0.000000
200909,134,9,6.908755,1,330.935142,70.074466,12208.587377,0.185579,0.000000
200910,138,10,6.908755,1,337.843897,102.368700,12310.956077,0.186014,0.000000
200911,141,10,6.908755,1,344.752652,86.674610,12397.630688,0.194101,0.000000
200912,144,10,6.908755,1,351.661406,102.353913,12499.984601,0.197830,0.000000
201001,141,10,6.908755,1,358.570161,101.794855,12601.779455,0.203284,0.000000
201002,156,11,6.908755,1,365.478916,128.647988,12730.427443,0.202147,0.000000
201003,158,11,6.908755,1,372.387671,153.640803,12884.068246,0.197262,0.000000
201004,157,11,6.908755,1,379.296426,165.009823,13049.078069,0.203748,0.000000
201005,159,11,6.908755,1,386.205180,151.910783,13200.988852,0.213609,0.000000
201006,156,11,6.908755,1,393.113935,140.966655,13341.955507,0.221043,0.000000
201007,160,11,6.908755,1,400.022690,138.284252,13480.239758,0.230767,0.000000
201008,161,11,6.908755,1,406.931445,116.148369,13596.388127,0.240568,0.000000
201009,163,11,6.908755,1,413.840200,101.177591,13697.565718,0.250659,0.000000
201010,163,11,6.908755,1,420.748954,93.412279,13790.977998,0.276558,0.000000
201011,165,11,6.908755,1,427.657709,104.857571,13895.835569,0.293558,0.000000
201012,165,11,6.908755,1,434.566464,107.354278,14003.189847,0.314122,0.000000
201101,165,11,6.908755,1,441.475219,112.480122,14115.669969,0.326401,0.000000
201102,174,12,6.908755,1,448.383973,118.677120,14234.347089,0.341559,0.000000
201103,173,12,6.908755,1,455.292728,128.228436,14362.575525,0.358517,0.000000
201104,175,12,6.908755,1,462.201483,107.084164,14469.659688,0.368580,0.000000
201105,177,12,6.908755,1,469.110238,110.849193,14580.508882,0.371704,0.000000
201106,181,13,6.908755,1,476.018993,117.079297,14697.588179,0.371594,0.000000
201107,181,13,6.908755,1,482.927747,120.442897,14818.031076,0.369931,0.000000
201108,182,13,6.908755,1,489.836502,146.987902,14965.018978,0.368038,0.000000
201109,182,13,6.908755,1,496.745257,109.085999,15074.104977,0.364050,0.000000
201110,186,13,6.908755,1,503.654012,211.252259,15285.357236,0.360071,0.000000
201111,160,11,6.908755,1,510.562766,159.606325,15444.963561,0.359036,0.000000
201112,159,11,6.908755,1,517.471521,220.961834,15665.925395,0.358067,0.000000
201201,159,11,6.908755,1,524.380276,180.841924,15846.767319,0.358656,0.000000
201202,160,11,6.908755,1,531.289031,149.055260,15995.822579,0.357637,0.000000
201203,161,11,6.908755,1,538.197786,111.169714,16106.992293,0.355866,0.000000
201204,158,11,6.908755,1,545.106540,74.170098,16181.162390,0.353926,0.000000
201205,169,12,6.908755,1,552.015295,128.102259,16309.264650,0.353665,0.000000
201206,172,12,6.908755,1,558.924050,167.427248,16476.691897,0.355703,0.000000
201207,178,12,6.908755,1,565.832805,207.655885,16684.347782,0.359432,0.000000
201208,170,12,6.908755,1,572.741559,170.712385,16855.060167,0.361367,0.000000
201209,177,12,6.908755,1,579.650314,141.442705,16996.502872,0.361907,0.000000
201210,175,12,6.908755,1,586.559069,191.987319,17188.490190,0.358196,0.000000
201211,177,12,6.908755,1,593.467824,221.744251,17410.234441,0.351113,0.000000
201212,173,12,6.908755,1,600.376579,191.356661,17601.591102,0.346029,0.000000
201301,173,12,6.908755,1,607.285333,137.213159,17738.804261,0.339463,0.000000
201302,180,12,6.908755,1,614.194088,90.850966,17829.655227,0.330071,0.000000
201303,182,13,6.908755,1,621.102843,96.986621,17926.641848,0.320575,0.000000
201304,175,12,6.908755,1,628.011598,119.207576,18045.849424,0.312690,0.000000
201305,177,12,6.908755,1,634.920352,80.928412,18126.777836,0.304922,0.000000
201306,190,13,6.908755,1,641.829107,143.643255,18270.421091,0.294662,0.000000
201307,193,13,6.908755,1,648.737862,169.571778,18439.992869,0.284247,0.000000
201308,194,13,6.908755,1,655.646617,237.431709,18677.424578,0.272771,0.000000
201309,197,14,6.908755,1,662.555372,311.254799,18988.679377,0.264619,0.000000
201310,198,14,6.908755,1,669.464126,260.676028,19249.355405,0.260693,0.000000
201311,200,14,6.908755,1,676.372881,345.130255,19594.485660,0.256313,0.000000
201312,219,15,6.908755,1,683.281636,521.912187,20116.397847,0.251201,0.000000
201401,216,15,6.908755,1,690.190391,480.324297,20596.722144,0.248089,0.000000
201402,218,15,6.908755,1,697.099145,534.622150,21131.344294,0.248170,0.000000
201403,215,15,6.908755,1,704.007900,648.144619,21779.488913,0.248886,0.000000
201404,214,15,6.908755,1,710.916655,730.226570,22509.715484,0.247971,0.000000
201405,216,15,6.908755,1,717.825410,650.636071,23160.351555,0.246513,0.000000
201406,231,16,6.908755,1,724.734165,863.981829,24024.333384,0.248610,0.000000
201407,234,16,6.908755,1,731.642919,875.497398,24899.830782,0.252079,0.000000
201408,236,16,6.908755,1,738.551674,839.376579,25739.207361,0.257898,0.000000
201409,237,16,6.908755,1,745.460429,1014.497919,26753.705280,0.264398,0.000000
201410,235,16,6.908755,1,752.369184,860.916108,27614.621389,0.270515,0.000000
201411,234,16,6.908755,1,759.277938,897.121503,28511.742891,0.277427,0.000000
201412,236,16,6.908755,1,766.186693,774.035224,29285.778115,0.284679,0.000000
201501,231,16,6.908755,1,773.095448,794.505998,30080.284113,0.292030,0.000000
201502,227,16,6.908755,1,780.004203,724.498935,30804.783049,0.294917,0.000000
201503,229,16,6.908755,1,786.912958,793.057994,31597.841042,0.296615,0.000000
201504,246,17,6.908755,1,793.821712,804.458240,32402.299283,0.298185,0.000000
201505,241,17,6.908755,1,800.730467,737.803898,33140.103180,0.298546,0.000000
201506,251,17,6.908755,1,807.639222,704.780684,33844.883864,0.297278,0.000000
201507,252,17,6.908755,1,814.547977,800.241931,34645.125795,0.294834,0.000000
201508,252,17,6.908755,1,821.456731,778.395923,35423.521719,0.291480,0.000000
201509,254,17,6.908755,1,828.365486,629.738517,36053.260235,0.286567,0.000000
201510,253,17,6.908755,1,835.274241,584.270620,36637.530855,0.281566,0.000000
201511,252,17,6.908755,1,842.182996,554.905244,37192.436099,0.275721,0.000000
201512,258,18,6.908755,1,849.091751,684.287828,37876.723927,0.269090,0.000000
201601,251,17,6.908755,1,856.000505,440.556973,38317.280900,0.260075,0.000000
201602,226,16,6.908755,1,862.909260,349.920037,38667.200937,0.251402,0.000000
201603,234,16,6.908755,1,869.818015,333.737408,39000.938345,0.243647,0.000000
201604,243,17,6.908755,1,876.726770,351.235450,39352.173796,0.237159,0.000000
201605,244,17,6.908755,1,883.635524,435.824250,39787.998046,0.233756,0.000000
201606,252,17,6.908755,1,890.544279,433.312682,40221.310728,0.231739,0.000000
201607,253,17,6.908755,1,897.453034,406.334621,40627.645349,0.229432,0.000000
201608,257,18,6.908755,1,904.361789,462.223535,41089.868885,0.227495,0.000000
201609,258,18,6.908755,1,911.270544,526.303480,41616.172365,0.226277,0.000000
201610,257,18,6.908755,1,918.179298,392.748541,42008.920905,0.225101,0.000000
201611,258,18,6.908755,1,925.088053,429.986915,42438.907821,0.224780,0.000000
201612,259,18,6.908755,1,931.996808,484.682420,42923.590241,0.223796,0.000000
201701,259,18,6.908755,1,938.905563,431.094848,43354.685089,0.222022,0.000000
201702,264,18,6.908755,1,945.814318,483.105955,43837.791043,0.223536,0.000000
201703,269,18,6.908755,1,952.723072,572.729458,44410.520502,0.224357,0.000000
201704,264,18,6.908755,1,959.631827,591.253953,45001.774455,0.223750,0.000000
201705,245,17,6.908755,1,966.540582,668.151650,45669.926105,0.220398,0.000000
201706,254,17,6.908755,1,973.449337,794.347034,46464.273139,0.215568,0.000000
201707,255,17,6.908755,1,980.358091,708.317154,47172.590293,0.210562,0.000000
201708,256,18,6.908755,1,987.266846,674.875593,47847.465885,0.204901,0.000000
201709,258,18,6.908755,1,994.175601,718.612863,48566.078749,0.198139,0.000000
201710,261,18,6.908755,1,1001.084356,764.349669,49330.428418,0.191305,0.000000
201711,264,18,6.908755,1,1007.993111,629.680177,49960.108595,0.185831,0.000000
201712,239,16,6.908755,1,1014.901865,958.409154,50918.517749,0.182152,0.000000
201801,243,17,6.908755,1,1021.810620,1098.233378,52016.751127,0.180437,0.000000
201802,249,17,6.908755,1,1028.719375,1099.810385,53116.561513,0.177266,0.000000
201803,247,17,6.908755,1,1035.628130,1049.176418,54165.737931,0.174689,0.000000
201804,235,16,6.908755,1,1042.536884,907.068254,55072.806185,0.172145,0.000000
201805,239,16,6.908755,1,1049.445639,955.899489,56028.705674,0.170756,0.000000
201806,244,17,6.908755,1,1056.354394,993.300180,57022.005854,0.168788,0.000000
201807,261,18,6.908755,1,1063.263149,1205.944259,58227.950113,0.166085,0.000000
201808,264,18,6.908755,1,1070.171904,1099.741745,59327.691858,0.164279,0.000000
201809,263,18,6.908755,1,1077.080658,1241.411899,60569.103757,0.163248,0.000000
201810,274,19,6.908755,1,1083.989413,1147.401008,61716.504765,0.161500,0.000000
201811,282,19,6.908755,1,1090.898168,1314.788499,63031.293264,0.158009,0.000000
201812,282,19,6.908755,1,1097.806923,1141.890449,64173.183713,0.152322,0.000000
201901,281,19,6.908755,1,1104.715677,1052.566633,65225.750345,0.146203,0.000000
201902,275,19,6.908755,1,1111.624432,649.922308,65875.672653,0.138406,0.000000
201903,277,19,6.908755,1,1118.533187,573.686971,66449.359625,0.131421,0.000000
201904,282,19,6.908755,1,1125.441942,464.660704,66914.020329,0.124531,0.000000
201905,284,19,6.908755,1,1132.350697,328.601881,67242.622210,0.117972,0.000000
201906,286,20,6.908755,1,1139.259451,271.109213,67513.731423,0.112526,0.000000
201907,264,18,6.908755,1,1146.168206,205.645604,67719.377027,0.107514,0.000000
201908,268,18,6.908755,1,1153.076961,266.978206,67986.355234,0.101467,0.000000
201909,279,19,6.908755,1,1159.985716,207.120585,68193.475818,0.096179,0.000000
201910,275,19,6.908755,1,1166.894470,97.774740,68291.250558,0.091034,0.000000
201911,272,19,6.908755,1,1173.803225,72.468143,68363.718702,0.087316,0.000000
201912,273,19,6.908755,1,1180.711980,95.520075,68459.238777,0.085006,0.000000
202001,273,19,6.908755,1,1187.620735,130.723885,68589.962662,0.084128,0.000000
202002,256,18,6.908755,1,1194.529490,239.559557,68829.522219,0.084241,0.000000
202003,251,17,6.908755,1,1201.438244,39.952494,68869.474714,0.084561,0.000000
202004,246,17,6.908755,1,1208.346999,152.076181,69021.550895,0.084807,0.000000
202005,218,15,6.908755,1,1215.255754,324.179763,69345.730658,0.085037,0.000000
202006,218,15,6.908755,1,1222.164509,340.720625,69686.451283,0.085064,0.000000
202007,217,15,6.908755,1,1229.073263,186.413559,69872.864842,0.085016,0.000000
202008,216,15,6.908755,1,1235.982018,355.598283,70228.463125,0.085460,0.000000
202009,197,14,6.908755,1,1242.890773,279.754670,70508.217795,0.084633,0.000000
