date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,24,2,-2.239556,427,-2.239556,-2.240449,-2.240449,0.380258,0.000000
200308,24,2,-0.051166,319,-2.290722,-0.051216,-2.291665,0.380258,0.000000
200309,26,2,2.488315,4,0.197593,2.499417,0.207752,0.383936,0.000000
200310,26,2,1.883991,30,2.081584,1.889586,2.097338,0.384887,0.000000
200311,25,2,-1.521533,272,0.560050,-1.522315,0.575024,0.384887,0.000000
200312,25,2,0.921062,130,1.481113,0.922575,1.497599,0.384887,0.000000
200401,27,2,0.778761,171,2.259874,0.779941,2.277540,0.385797,0.000000
200402,28,2,2.896812,1,5.156685,2.914076,5.191616,0.384432,0.000000
200403,29,2,-13.203503,327,-8.046817,-13.204502,-8.012886,0.384432,0.000000
200404,27,2,-3.733889,675,-11.780706,-3.734864,-11.747750,0.384432,0.000000
200405,31,3,2.608686,15,-9.172020,2.621347,-9.126403,0.380221,0.000000
200406,33,3,5.258933,1,-3.913086,5.471231,-3.655172,0.377863,0.000000
200407,34,3,5.183632,1,1.270546,5.378832,1.723660,0.377863,0.000000
200408,34,3,4.213935,4,5.484481,4.282880,6.006539,0.383599,0.000000
200409,33,3,5.276124,1,10.760605,5.492553,11.499092,0.385170,0.000000
200410,33,3,5.352147,1,16.112752,5.587947,17.087039,0.387333,0.000000
200411,34,3,6.889653,1,23.002405,10.856185,27.943225,0.389615,0.000000
200412,34,3,6.907275,1,29.909680,13.422874,41.366098,0.387206,0.000000
200501,36,3,5.976512,2,35.886192,6.475842,47.841940,0.385166,0.000000
200502,36,3,6.908755,1,42.794947,26.210344,74.052284,0.383806,0.000000
200503,35,3,6.908750,1,49.703696,19.109614,93.161898,0.383283,0.000000
200504,38,3,6.904948,1,56.608644,12.476741,105.638638,0.369851,0.000000
200505,38,3,6.908755,1,63.517399,29.581855,135.220493,0.366370,0.000000
200506,38,3,6.908755,1,70.426154,35.172980,170.393472,0.366023,0.000000
200507,43,3,6.908755,1,77.334908,40.156000,210.549472,0.363048,0.000000
200508,43,3,6.908755,1,84.243663,58.713987,269.263459,0.353222,0.000000
200509,43,3,6.908755,1,91.152418,37.665600,306.929059,0.344412,0.000000
200510,43,3,6.908755,1,98.061173,35.218630,342.147689,0.332417,0.000000
200511,45,3,6.908755,1,104.969928,44.558549,386.706237,0.320309,0.000000
200512,45,3,6.908755,1,111.878682,53.363868,440.070106,0.309596,0.000000
200601,46,4,6.908755,1,118.787437,80.851736,520.921842,0.298452,0.000000
200602,48,4,6.908755,1,125.696192,113.957413,634.879255,0.281474,0.000000
200603,46,4,6.908755,1,132.604947,64.049975,698.929230,0.261457,0.000000
200604,46,4,6.908755,1,139.513701,46.132071,745.061301,0.253774,0.000000
200605,47,4,6.908755,1,146.422456,51.656380,796.717681,0.225610,0.000000
200606,47,4,6.908755,1,153.331211,55.306792,852.024474,0.205480,0.000000
200607,48,4,6.908755,1,160.239966,50.024771,902.049245,0.185961,0.000000
200608,48,4,6.908755,1,167.148721,63.219571,965.268816,0.167162,0.000000
200609,48,4,6.908755,1,174.057475,69.146989,1034.415805,0.149004,0.000000
200610,48,4,6.908755,1,180.966230,47.971569,1082.387374,0.133994,0.000000
200611,49,4,6.908755,1,187.874985,41.623259,1124.010634,0.119999,0.000000
200612,50,4,6.908755,1,194.783740,37.205144,1161.215777,0.107494,0.000000
200701,49,4,6.908526,1,201.692266,15.291082,1176.506859,0.094280,0.000000
200702,48,4,6.745205,1,208.437471,8.635507,1185.142366,0.083606,0.000000
200703,48,4,3.850561,7,212.288033,3.897673,1189.040040,0.070524,0.000000
200704,49,4,6.192144,1,218.480176,6.861366,1195.901405,0.064357,0.000000
200705,50,4,4.129971,5,222.610147,4.193098,1200.094503,0.070029,0.000000
200706,49,4,-15.492856,519,207.117291,-15.493855,1184.600648,0.068241,0.000000
200707,50,4,-4.703239,75,202.414053,-4.704229,1179.896419,0.065965,0.000000
200708,50,4,-29.347046,213,173.067006,-29.348046,1150.548373,0.062427,0.000000
200709,53,4,1.856336,5,174.923343,1.861751,1152.410124,0.057618,0.000000
200710,54,4,6.907519,1,181.830862,13.603432,1166.013556,0.051126,0.000000
200711,56,4,6.908751,1,188.739613,19.520589,1185.534144,0.045549,0.000000
