date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,86,6,5.565795,1,5.565795,5.867350,5.867350,-0.001615,0.000000
200308,88,6,6.906613,1,12.472408,13.052713,18.920063,-0.001615,0.000000
200309,94,7,5.190776,2,17.663184,5.387531,24.307594,-0.001999,0.000000
200310,97,7,6.900258,1,24.563442,11.671576,35.979170,-0.010647,0.000000
200311,98,7,6.866161,1,31.429603,10.042433,46.021602,-0.010647,0.000000
200312,96,7,4.923398,2,36.353002,5.070124,51.091726,-0.010647,0.000000
200401,106,8,6.265086,1,42.618087,7.009287,58.101013,0.007174,0.000000
200402,101,7,6.908200,1,49.526287,14.404056,72.505069,0.031349,0.000000
200403,106,8,6.893644,1,56.419931,11.092529,83.597598,0.031349,0.000000
200404,107,8,6.908751,1,63.328682,19.461661,103.059259,0.031349,0.000000
200405,108,8,6.906589,1,70.235271,13.041658,116.100917,0.045395,0.000000
200406,106,8,6.908755,1,77.144026,22.209906,138.310823,0.065081,0.000000
200407,110,8,6.908755,1,84.052780,22.014827,160.325649,0.065081,0.000000
200408,108,8,6.908748,1,90.961528,18.815572,179.141222,0.083696,0.000000
200409,111,8,6.908755,1,97.870283,22.690471,201.831693,0.103005,0.000000
200410,108,8,6.908672,1,104.778955,16.302307,218.134000,0.103072,0.000000
200411,109,8,6.907368,1,111.686322,13.487613,231.621613,0.109645,0.000000
200412,116,8,6.908591,1,118.594913,15.625565,247.247178,0.119792,0.000000
200501,115,8,6.908755,1,125.503668,24.999402,272.246580,0.125470,0.000000
200502,115,8,6.908755,1,132.412423,32.227746,304.474326,0.141255,0.000000
200503,111,8,6.906375,1,139.318798,12.947402,317.421727,0.154464,0.000000
200504,100,7,-14.853841,101,124.464957,-14.854840,302.566887,0.149612,0.000000
200505,98,7,6.895281,1,131.360238,11.208022,313.774909,0.158222,0.000000
200506,104,7,6.908740,1,138.268978,18.010616,331.785525,0.162511,0.000000
200507,105,7,6.627200,1,144.896178,8.031104,339.816630,0.165438,0.000000
200508,104,7,6.386926,1,151.283104,7.285937,347.102566,0.165344,0.000000
200509,101,7,6.908754,1,158.191858,20.876201,367.978767,0.168112,0.000000
200510,103,7,6.766320,1,164.958178,8.784562,376.763329,0.177518,0.000000
200511,101,7,5.158644,3,170.116821,5.348507,382.111837,0.179834,0.000000
200512,116,8,1.673648,12,171.790469,1.677989,383.789826,0.179015,0.000000
200601,116,8,-3.741603,48,168.048866,-3.742579,380.047246,0.186483,0.000000
200602,116,8,6.905372,1,174.954238,12.595117,392.642363,0.186655,0.000000
200603,118,8,6.841228,1,181.795466,9.569035,402.211398,0.180868,0.000000
200604,117,8,6.805997,1,188.601463,9.131317,411.342715,0.183531,0.000000
200605,120,8,6.903100,1,195.504563,12.080094,423.422810,0.173646,0.000000
200606,128,9,6.767510,1,202.272072,8.793561,432.216370,0.161254,0.000000
200607,125,9,4.720253,2,206.992325,4.838132,437.054502,0.147184,0.000000
200608,127,9,6.908224,1,213.900549,14.448201,451.502703,0.131259,0.000000
200609,130,9,6.902462,1,220.803010,11.972912,463.475615,0.117156,0.000000
200610,141,10,6.908755,1,227.711765,22.057435,485.533050,0.107298,0.000000
200611,127,9,-0.775100,6,226.936665,-0.775639,484.757411,0.096638,0.000000
200612,127,9,-6.027162,17,220.909503,-6.028159,478.729252,0.081516,0.000000
200701,123,9,2.086944,9,222.996447,2.094029,480.823281,0.072949,0.000000
200702,118,8,6.908255,1,229.904702,14.508577,495.331858,0.065070,0.000000
200703,109,8,6.908001,1,236.812703,14.097919,509.429777,0.062646,0.000000
200704,118,8,6.908506,1,243.721208,15.205567,524.635344,0.062318,0.000000
200705,113,8,6.903924,1,250.625133,12.238179,536.873522,0.062258,0.000000
200706,105,7,1.021667,5,251.646800,1.023447,537.896969,0.069890,0.000000
200707,101,7,-13.650436,49,237.996365,-13.651435,524.245534,0.081390,0.000000
200708,95,7,-11.803240,88,226.193124,-11.804240,512.441294,0.099789,0.000000
200709,91,7,-15.297776,48,210.895348,-15.298776,497.142519,0.115494,0.000000
200710,79,6,-5.360469,250,205.534880,-5.361463,491.781055,0.126562,0.000000
200711,77,6,-14.554942,124,190.979938,-14.555941,477.225114,0.142667,0.000000
200712,73,5,-6.447903,112,184.532035,-6.448901,470.776213,0.151807,0.000000
200801,72,5,6.767511,1,191.299546,8.793570,479.569783,0.151229,0.000000
200802,72,5,-3.623872,25,187.675674,-3.624845,475.944938,0.148131,0.000000
200803,50,4,1.193457,21,188.869131,1.195758,477.140696,0.150853,0.000000
200804,52,4,-3.127609,72,185.741521,-3.128565,474.012131,0.153325,0.000000
200805,55,4,-9.502563,237,176.238958,-9.503563,464.508569,0.155881,0.000000
200806,40,3,-4.734351,128,171.504607,-4.735342,459.773227,0.155661,0.000000
200807,37,3,-4.778260,351,166.726347,-4.779252,454.993975,0.157770,0.000000
200808,38,3,-4.659049,253,162.067297,-4.660039,450.333936,0.155171,0.000000
200809,38,3,-6.715830,159,155.351467,-6.716829,443.617107,0.147270,0.000000
200810,35,3,-10.016215,409,145.335252,-10.017215,433.599892,0.135733,0.000000
200811,35,3,-12.678535,398,132.656716,-12.679535,420.920358,0.122530,0.000000
200812,32,3,-11.845692,95,120.811024,-11.846692,409.073666,0.117286,0.000000
200901,32,3,-2.074706,282,118.736318,-2.075580,406.998086,0.118330,0.000000
200902,33,3,-3.581262,825,115.155057,-3.582234,403.415853,0.123597,0.000000
200903,33,3,-2.624538,849,112.530519,-2.625465,400.790388,0.123525,0.000000
200904,34,3,-0.823491,484,111.707028,-0.824052,399.966336,0.116419,0.000000
200905,33,3,-1.024951,594,110.682077,-1.025592,398.940744,0.114808,0.000000
200906,34,3,-1.834114,714,108.847963,-1.834954,397.105790,0.122160,0.000000
200907,35,3,2.391680,9,111.239643,2.401661,399.507452,0.107965,0.000000
200908,38,3,0.473070,165,111.712713,0.473675,399.981127,0.099895,0.000000
200909,39,3,0.879700,75,112.592412,0.881111,400.862237,0.108821,0.000000
200910,39,3,-0.003832,304,112.588580,-0.003836,400.858401,0.107269,0.000000
200911,42,3,1.392108,47,113.980688,1.395136,402.253537,0.109008,0.000000
200912,50,4,1.909680,32,115.890368,1.915447,404.168985,0.110619,0.000000
201001,55,4,2.706993,9,118.597361,2.721075,406.890060,0.104025,0.000000
201002,58,4,4.045859,4,122.643220,4.103658,410.993719,0.092038,0.000000
201003,59,4,6.862819,1,129.506039,9.965212,420.958931,0.094056,0.000000
201004,66,5,6.855222,1,136.361261,9.808331,430.767262,0.116714,0.000000
201005,66,5,6.876924,1,143.238186,10.339129,441.106390,0.129601,0.000000
201006,67,5,6.906707,1,150.144892,13.097611,454.204002,0.130150,0.000000
201007,69,5,6.908732,1,157.053624,17.583126,471.787127,0.168456,0.000000
201008,81,6,6.908754,1,163.962378,21.749753,493.536880,0.196457,0.000000
201009,91,7,6.908755,1,170.871133,51.259586,544.796465,0.183467,0.000000
201010,104,7,6.908755,1,177.779888,51.397820,596.194286,0.221886,0.000000
201011,106,8,6.908755,1,184.688643,55.261833,651.456119,0.233168,0.000000
201012,109,8,6.908755,1,191.597398,57.226600,708.682718,0.250767,0.000000
201101,109,8,6.908755,1,198.506152,56.985854,765.668572,0.277763,0.000000
201102,106,8,6.908755,1,205.414907,46.781461,812.450033,0.286707,0.000000
201103,107,8,6.908755,1,212.323662,57.213892,869.663925,0.315719,0.000000
201104,107,8,6.908755,1,219.232417,60.406136,930.070061,0.338138,0.000000
201105,104,7,6.908755,1,226.141171,61.149190,991.219251,0.336393,0.000000
201106,107,8,6.908755,1,233.049926,79.442931,1070.662181,0.328211,0.000000
201107,106,8,6.908755,1,239.958681,55.622522,1126.284704,0.335987,0.000000
201108,110,8,6.908755,1,246.867436,66.599447,1192.884151,0.330157,0.000000
201109,116,8,6.908755,1,253.776191,51.334965,1244.219116,0.334310,0.000000
201110,119,8,6.908755,1,260.684945,80.663610,1324.882726,0.308682,0.000000
201111,126,9,6.908755,1,267.593700,65.456807,1390.339533,0.284588,0.000000
201112,124,9,6.908755,1,274.502455,36.861339,1427.200872,0.259491,0.000000
201201,125,9,6.908755,1,281.411210,58.502730,1485.703603,0.240346,0.000000
201202,127,9,6.908755,1,288.319964,47.613474,1533.317076,0.229702,0.000000
201203,133,9,6.908755,1,295.228719,52.320677,1585.637753,0.200084,0.000000
201204,135,9,6.908755,1,302.137474,53.306635,1638.944388,0.173532,0.000000
201205,132,9,6.908755,1,309.046229,41.004664,1679.949053,0.156501,0.000000
201206,136,10,6.908755,1,315.954984,53.308783,1733.257835,0.139278,0.000000
201207,141,10,6.908755,1,322.863738,30.181272,1763.439107,0.118660,0.000000
201208,136,10,6.908755,1,329.772493,42.517103,1805.956210,0.112856,0.000000
201209,155,11,6.908755,1,336.681248,66.840645,1872.796855,0.115522,0.000000
201210,162,11,6.908755,1,343.590003,70.550898,1943.347752,0.125263,0.000000
201211,164,11,6.908755,1,350.498757,96.950168,2040.297920,0.119564,0.000000
201212,167,12,6.908755,1,357.407512,77.868855,2118.166775,0.128846,0.000000
201301,166,12,6.908755,1,364.316267,79.739183,2197.905959,0.128938,0.000000
201302,162,11,6.908755,1,371.225022,80.218238,2278.124197,0.133448,0.000000
201303,158,11,6.908755,1,378.133777,82.074699,2360.198896,0.140999,0.000000
201304,167,12,6.908755,1,385.042531,118.134111,2478.333006,0.153007,0.000000
201305,158,11,6.908755,1,391.951286,90.952952,2569.285958,0.156247,0.000000
201306,158,11,6.908755,1,398.860041,91.877724,2661.163682,0.160542,0.000000
201307,166,12,6.908755,1,405.768796,123.904329,2785.068012,0.166003,0.000000
201308,166,12,6.908755,1,412.677550,99.758645,2884.826656,0.157858,0.000000
201309,180,12,6.908755,1,419.586305,218.993278,3103.819935,0.141285,0.000000
201310,171,12,6.908755,1,426.495060,155.634478,3259.454413,0.136273,0.000000
201311,175,12,6.908755,1,433.403815,194.162636,3453.617048,0.147137,0.000000
201312,174,12,6.908755,1,440.312570,152.426010,3606.043058,0.144582,0.000000
201401,178,12,6.908755,1,447.221324,151.206512,3757.249570,0.149318,0.000000
201402,176,12,6.908755,1,454.130079,145.213249,3902.462819,0.151850,0.000000
201403,170,12,6.908755,1,461.038834,160.982296,4063.445116,0.151804,0.000000
201404,173,12,6.908755,1,467.947589,164.695603,4228.140718,0.149462,0.000000
201405,169,12,6.908755,1,474.856343,151.313474,4379.454192,0.145858,0.000000
201406,167,12,6.908755,1,481.765098,169.108791,4548.562984,0.145782,0.000000
201407,185,13,6.908755,1,488.673853,162.961615,4711.524598,0.152659,0.000000
201408,188,13,6.908755,1,495.582608,158.407921,4869.932520,0.164933,0.000000
201409,194,13,6.908755,1,502.491363,135.218435,5005.150954,0.180784,0.000000
201410,191,13,6.908755,1,509.400117,159.774471,5164.925425,0.208414,0.000000
201411,187,13,6.908755,1,516.308872,127.782185,5292.707610,0.214935,0.000000
201412,185,13,6.908755,1,523.217627,192.763523,5485.471133,0.227509,0.000000
201501,174,12,6.908755,1,530.126382,154.092685,5639.563818,0.236937,0.000000
201502,180,12,6.908755,1,537.035136,136.655933,5776.219752,0.241308,0.000000
201503,176,12,6.908755,1,543.943891,113.500485,5889.720236,0.243320,0.000000
201504,164,11,6.908755,1,550.852646,104.284419,5994.004655,0.245683,0.000000
201505,157,11,6.908755,1,557.761401,74.269883,6068.274538,0.257491,0.000000
201506,149,10,6.908755,1,564.670156,77.913300,6146.187838,0.268191,0.000000
201507,150,10,6.908755,1,571.578910,79.664231,6225.852069,0.277080,0.000000
201508,151,11,6.908755,1,578.487665,84.158552,6310.010622,0.278527,0.000000
201509,157,11,6.908755,1,585.396420,64.183089,6374.193711,0.269279,0.000000
201510,154,11,6.908755,1,592.305175,75.587512,6449.781223,0.248292,0.000000
201511,148,10,6.908755,1,599.213929,90.091192,6539.872415,0.247057,0.000000
