date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,442,30,6.908755,1,6.908755,269.345147,269.345147,0.226536,0.000000
200308,444,30,6.908755,1,13.817510,325.250029,594.595176,0.226536,0.000000
200309,451,31,6.908755,1,20.726264,278.938910,873.534086,0.239375,0.000000
200310,433,29,6.908755,1,27.635019,285.979670,1159.513756,0.248145,0.000000
200311,437,30,6.908755,1,34.543774,291.338095,1450.851851,0.248145,0.000000
200312,442,30,6.908755,1,41.452529,312.266062,1763.117913,0.248145,0.000000
200401,441,30,6.908755,1,48.361283,310.975627,2074.093540,0.254728,0.000000
200402,445,30,6.908755,1,55.270038,355.224297,2429.317837,0.261437,0.000000
200403,438,30,6.908755,1,62.178793,342.284130,2771.601967,0.261437,0.000000
200404,440,30,6.908755,1,69.087548,395.880906,3167.482874,0.261437,0.000000
200405,435,29,6.908755,1,75.996303,422.131991,3589.614865,0.265738,0.000000
200406,436,30,6.908755,1,82.905057,366.592557,3956.207422,0.271652,0.000000
200407,432,29,6.908755,1,89.813812,377.955520,4334.162942,0.271652,0.000000
200408,431,29,6.908755,1,96.722567,286.870152,4621.033094,0.280422,0.000000
200409,441,30,6.908755,1,103.631322,237.763569,4858.796663,0.291316,0.000000
200410,437,30,6.908755,1,110.540076,218.008439,5076.805103,0.302763,0.000000
200411,434,29,6.908755,1,117.448831,218.411910,5295.217013,0.311704,0.000000
200412,423,29,6.908755,1,124.357586,318.455530,5613.672543,0.318956,0.000000
200501,425,29,6.908755,1,131.266341,504.075871,6117.748414,0.326004,0.000000
200502,427,29,6.908755,1,138.175096,726.432308,6844.180721,0.331042,0.000000
200503,411,28,6.908755,1,145.083850,833.974350,7678.155072,0.334205,0.000000
200504,404,27,6.908755,1,151.992605,967.030888,8645.185960,0.338862,0.000000
200505,402,27,6.908755,1,158.901360,1109.531224,9754.717184,0.342478,0.000000
200506,397,27,6.908755,1,165.810115,1226.982238,10981.699422,0.346643,0.000000
200507,403,27,6.908755,1,172.718869,1449.152668,12430.852090,0.348068,0.000000
200508,405,27,6.908755,1,179.627624,1438.768007,13869.620097,0.345731,0.000000
200509,404,27,6.908755,1,186.536379,1409.868351,15279.488448,0.342668,0.000000
200510,414,28,6.908755,1,193.445134,1343.338319,16622.826767,0.337289,0.000000
200511,411,28,6.908755,1,200.353889,1460.436975,18083.263742,0.333135,0.000000
200512,411,28,6.908755,1,207.262643,1518.723071,19601.986813,0.324266,0.000000
200601,413,28,6.908755,1,214.171398,1525.016128,21127.002941,0.312931,0.000000
200602,424,29,6.908755,1,221.080153,1647.053085,22774.056026,0.298707,0.000000
200603,419,28,6.908755,1,227.988908,1215.810335,23989.866361,0.284102,0.000000
200604,424,29,6.908755,1,234.897662,1009.636081,24999.502442,0.267494,0.000000
200605,416,28,6.908755,1,241.806417,824.112705,25823.615147,0.251757,0.000000
200606,410,28,6.908755,1,248.715172,844.659907,26668.275054,0.234116,0.000000
200607,416,28,6.908755,1,255.623927,777.029861,27445.304915,0.217623,0.000000
200608,417,28,6.908755,1,262.532682,644.397928,28089.702843,0.199904,0.000000
200609,416,28,6.908755,1,269.441436,590.564308,28680.267151,0.183599,0.000000
200610,403,27,6.908755,1,276.350191,519.755991,29200.023142,0.169147,0.000000
200611,394,27,6.908755,1,283.258946,343.968710,29543.991852,0.156265,0.000000
200612,395,27,6.908755,1,290.167701,202.451838,29746.443690,0.144945,0.000000
200701,400,27,6.908755,1,297.076456,183.264386,29929.708075,0.133379,0.000000
200702,391,27,6.908755,1,303.985210,185.257455,30114.965530,0.124146,0.000000
200703,380,26,6.908755,1,310.893965,112.581227,30227.546757,0.115471,0.000000
200704,384,26,6.908755,1,317.802720,95.616219,30323.162975,0.110328,0.000000
200705,384,26,6.908755,1,324.711475,67.261299,30390.424275,0.105799,0.000000
200706,381,26,6.908755,1,331.620229,64.954063,30455.378338,0.103753,0.000000
200707,390,26,6.908755,1,338.528984,65.120490,30520.498827,0.100696,0.000000
200708,376,26,6.908755,1,345.437739,104.404769,30624.903597,0.097629,0.000000
200709,381,26,6.908755,1,352.346494,105.721216,30730.624812,0.095288,0.000000
200710,379,26,6.908755,1,359.255249,133.566995,30864.191807,0.092274,0.000000
200711,387,26,6.908755,1,366.164003,217.533284,31081.725091,0.089246,0.000000
