date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,395,27,6.908755,1,6.908755,317.087575,317.087575,0.769296,0.000000
200308,401,27,6.908755,1,13.817510,262.531854,579.619429,0.769296,0.000000
200309,412,28,6.908755,1,20.726264,347.144752,926.764182,0.718022,0.000000
200310,406,28,6.908755,1,27.635019,230.203492,1156.967674,0.732565,0.000000
200311,416,28,6.908755,1,34.543774,262.477063,1419.444737,0.732565,0.000000
200312,421,29,6.908755,1,41.452529,217.239331,1636.684068,0.732565,0.000000
200401,429,29,6.908755,1,48.361283,282.412644,1919.096712,0.667381,0.000000
200402,426,29,6.908755,1,55.270038,405.262144,2324.358856,0.684594,0.000000
200403,428,29,6.908755,1,62.178793,459.632452,2783.991308,0.684594,0.000000
200404,423,29,6.908755,1,69.087548,586.842050,3370.833358,0.684594,0.000000
200405,423,29,6.908755,1,75.996303,602.706986,3973.540344,0.708349,0.000000
200406,424,29,6.908755,1,82.905057,326.146495,4299.686839,0.726977,0.000000
200407,425,29,6.908755,1,89.813812,498.418794,4798.105633,0.726977,0.000000
200408,428,29,6.908755,1,96.722567,588.840900,5386.946534,0.739666,0.000000
200409,439,30,6.908755,1,103.631322,369.499416,5756.445950,0.752677,0.000000
200410,436,30,6.908755,1,110.540076,720.678089,6477.124039,0.729531,0.000000
200411,444,30,6.908755,1,117.448831,499.069717,6976.193756,0.715453,0.000000
200412,445,30,6.908755,1,124.357586,216.590482,7192.784239,0.796074,0.000000
200501,444,30,6.908755,1,131.266341,134.219142,7327.003380,0.844444,0.000000
200502,443,30,6.908755,1,138.175096,176.805986,7503.809366,0.934393,0.000000
200503,438,30,6.908755,1,145.083850,88.089399,7591.898765,0.946842,0.000000
200504,436,30,6.908755,1,151.992605,97.744035,7689.642801,1.255367,0.000000
200505,431,29,6.908755,1,158.901360,54.322076,7743.964877,1.251341,0.000000
200506,438,30,6.908755,1,165.810115,27.651390,7771.616266,1.224717,0.000000
200507,442,30,5.113831,2,170.923946,5.294522,7776.910788,1.258048,0.000000
200508,439,30,-4.018144,10,166.905802,-4.019125,7772.891662,1.346416,0.000000
200509,449,30,6.908755,1,173.814557,30.076026,7802.967688,1.402492,0.000000
200510,455,31,-3.494581,5,170.319976,-3.495550,7799.472138,1.544561,0.000000
200511,455,31,6.908755,1,177.228731,55.121525,7854.593663,1.604456,0.000000
200512,446,30,6.908755,1,184.137486,88.584936,7943.178599,1.609338,0.000000
200601,430,29,6.908755,1,191.046240,99.765725,8042.944324,1.624789,0.000000
200602,434,29,6.908755,1,197.954995,206.562121,8249.506445,1.720314,0.000000
200603,434,29,6.908755,1,204.863750,178.297472,8427.803917,1.761123,0.000000
200604,431,29,6.908755,1,211.772505,144.687059,8572.490975,1.708239,0.000000
200605,433,29,6.908755,1,218.681260,148.839678,8721.330653,1.833932,0.000000
200606,421,29,6.908755,1,225.590014,175.104466,8896.435119,1.780803,0.000000
200607,423,29,6.908755,1,232.498769,263.275140,9159.710259,1.737808,0.000000
200608,414,28,6.908755,1,239.407524,204.813192,9364.523451,1.621249,0.000000
200609,415,28,6.908755,1,246.316279,214.224816,9578.748267,1.517416,0.000000
200610,380,26,6.908755,1,253.225033,151.623389,9730.371656,1.397428,0.000000
200611,389,26,6.908755,1,260.133788,110.525620,9840.897276,1.292809,0.000000
200612,380,26,6.908755,1,267.042543,91.434804,9932.332080,1.175241,0.000000
200701,378,26,6.908755,1,273.951298,67.096893,9999.428972,1.102805,0.000000
200702,356,24,6.908755,1,280.860053,36.227878,10035.656850,1.023159,0.000000
200703,353,24,6.888675,1,287.748727,10.805729,10046.462579,0.956230,0.000000
200704,367,25,6.908755,1,294.657482,23.354197,10069.816776,0.905111,0.000000
200705,371,25,6.907976,1,301.565459,14.065733,10083.882509,0.830431,0.000000
200706,370,25,6.908755,1,308.474213,33.194859,10117.077369,0.846506,0.000000
200707,362,25,6.908755,1,315.382968,55.218075,10172.295444,0.780837,0.000000
200708,356,24,6.908755,1,322.291723,118.149651,10290.445095,0.754906,0.000000
200709,364,25,6.908755,1,329.200478,133.256834,10423.701929,0.742267,0.000000
200710,386,26,6.908755,1,336.109232,164.396793,10588.098722,0.736765,0.000000
