date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,24,2,5.481742,2,5.481742,5.755212,5.755212,2.230287,0.000000
200308,24,2,4.800172,3,10.281914,4.928610,10.683821,2.230287,0.000000
200309,26,2,-3.965033,346,6.316881,-3.966013,6.717808,2.219603,0.000000
200310,26,2,-0.307328,200,6.009554,-0.307592,6.410216,2.371067,0.000000
200311,25,2,-0.677562,81,5.331992,-0.678054,5.732162,2.371067,0.000000
200312,25,2,0.925473,96,6.257464,0.926997,6.659159,2.371067,0.000000
200401,27,2,-1.776777,967,4.480687,-1.777607,4.881551,2.470351,0.000000
200402,28,2,-0.096376,151,4.384311,-0.096468,4.785083,2.487804,0.000000
200403,29,2,0.224151,103,4.608462,0.224402,5.009485,2.487804,0.000000
200404,27,2,1.292187,43,5.900649,1.294831,6.304317,2.487804,0.000000
200405,31,3,-0.571594,206,5.329055,-0.572029,5.732287,2.529882,0.000000
200406,33,3,-1.727461,317,3.601593,-1.728283,4.004004,2.549595,0.000000
200407,34,3,2.899374,5,6.500967,2.916685,6.920689,2.549595,0.000000
200408,34,3,1.647758,30,8.148725,1.651962,8.572651,2.620119,0.000000
200409,33,3,-0.101123,271,8.047602,-0.101219,8.471432,2.683081,0.000000
200410,33,3,-4.432963,722,3.614639,-4.433951,4.037482,2.725016,0.000000
200411,34,3,-0.425861,536,3.188778,-0.426208,3.611274,2.773734,0.000000
200412,34,3,1.204967,49,4.393746,1.207307,4.818581,2.933972,0.000000
200501,36,3,-0.820814,399,3.572931,-0.821374,3.997207,2.749395,0.000000
200502,36,3,-0.339141,543,3.233790,-0.339429,3.657778,2.571462,0.000000
200503,35,3,-2.772349,496,0.461442,-2.773286,0.884493,2.538686,0.000000
200504,38,3,-26.234106,849,-25.772664,-26.235106,-25.350613,2.416674,0.000000
200505,38,3,-1.957417,593,-27.730081,-1.958275,-27.308889,2.338587,0.000000
200506,38,3,-29.008661,986,-56.738743,-29.009661,-56.318549,2.273144,0.000000
200507,43,3,-10.524238,651,-67.262981,-10.525238,-66.843787,2.218575,0.000000
200508,43,3,1.502451,21,-65.760530,1.505950,-65.337837,2.157694,0.000000
200509,43,3,5.033455,2,-60.727074,5.198875,-60.138961,2.094996,0.000000
200510,43,3,0.545103,39,-60.181971,0.545828,-59.593133,2.051351,0.000000
200511,45,3,2.194788,1,-57.987183,2.202798,-57.390335,1.956859,0.000000
200512,45,3,-20.015034,678,-78.002216,-20.016033,-77.406368,1.888160,0.000000
200601,46,4,5.373513,1,-72.628703,5.615099,-71.791268,2.051141,0.000000
200602,48,4,6.908753,1,-65.719951,19.901125,-51.890143,2.308327,0.000000
200603,46,4,6.752297,1,-58.967653,8.683477,-43.206667,2.153599,0.000000
200604,46,4,-6.252110,421,-65.219764,-6.253108,-49.459775,2.167556,0.000000
200605,47,4,1.143237,68,-64.076527,1.145376,-48.314399,2.062951,0.000000
200606,47,4,6.539086,1,-57.537441,7.712382,-40.602016,1.846686,0.000000
200607,48,4,6.908740,1,-50.628701,18.033379,-22.568637,1.690199,0.000000
200608,48,4,0.097944,31,-50.530757,0.098047,-22.470590,1.457055,0.000000
200609,48,4,5.208832,2,-45.321925,5.409578,-17.061012,1.313429,0.000000
200610,48,4,-39.306752,787,-84.628678,-39.307752,-56.368764,1.130323,0.000000
200611,49,4,-5.075541,185,-89.704219,-5.076535,-61.445298,1.059817,0.000000
200612,50,4,-17.004706,694,-106.708925,-17.005706,-78.451004,0.975571,0.000000
200701,49,4,-0.167980,252,-106.876905,-0.168135,-78.619139,0.910194,0.000000
200702,48,4,4.478832,1,-102.398073,4.569996,-74.049143,0.868488,0.000000
200703,48,4,3.894504,5,-98.503569,3.943833,-70.105310,0.806441,0.000000
200704,49,4,-5.821675,444,-104.325244,-5.822672,-75.927982,0.781568,0.000000
200705,50,4,-0.176435,402,-104.501679,-0.176597,-76.104579,0.804025,0.000000
200706,49,4,-13.147432,348,-117.649111,-13.148431,-89.253010,0.802597,0.000000
200707,50,4,-3.064441,238,-120.713552,-3.065394,-92.318404,0.801626,0.000000
200708,50,4,1.943594,17,-118.769958,1.949596,-90.368808,0.762577,0.000000
200709,53,4,-7.500506,448,-126.270464,-7.501505,-97.870313,0.689466,0.000000
200710,54,4,6.886641,1,-119.383823,10.708219,-87.162094,0.679418,0.000000
200711,56,4,-12.897233,149,-132.281056,-12.898233,-100.060327,0.617552,0.000000
200712,55,4,-11.421966,446,-143.703022,-11.422966,-111.483293,0.559525,0.000000
200801,54,4,-16.379634,98,-160.082656,-16.380633,-127.863926,0.533876,0.000000
200802,55,4,6.908755,1,-153.173902,39.160074,-88.703852,0.532901,0.000000
200803,56,4,6.908755,1,-146.265147,31.791468,-56.912384,0.499004,0.000000
200804,55,4,6.908755,1,-139.356392,24.370937,-32.541447,0.491106,0.000000
200805,55,4,6.908518,1,-132.447874,15.254356,-17.287091,0.456760,0.000000
200806,56,4,6.908755,1,-125.539120,46.289728,29.002637,0.448659,0.000000
200807,56,4,6.908755,1,-118.630365,22.478872,51.481509,0.417294,0.000000
200808,57,4,6.908755,1,-111.721610,29.646434,81.127944,0.387936,0.000000
200809,57,4,-39.955560,119,-151.677170,-39.956559,41.171384,0.431916,0.000000
