date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,86,6,-31.232071,316,-31.232071,-31.233071,-31.233071,0.722948,0.000000
200308,88,6,-6.824359,145,-38.056431,-6.825358,-38.058428,0.722948,0.000000
200309,94,7,-6.155898,255,-44.212328,-6.156895,-44.215324,0.691539,0.000000
200310,97,7,1.034878,3,-43.177450,1.036694,-43.178629,0.698648,0.000000
200311,98,7,-1.753003,13,-44.930454,-1.753830,-44.932459,0.698648,0.000000
200312,96,7,-18.053282,95,-62.983736,-18.054282,-62.986741,0.698648,0.000000
200401,106,8,-20.229407,33,-83.213143,-20.230407,-83.217148,0.690308,0.000000
200402,101,7,6.222613,1,-76.990530,6.921816,-76.295331,0.677222,0.000000
200403,106,8,6.907788,1,-70.082742,13.848523,-62.446808,0.677222,0.000000
200404,107,8,-3.925968,54,-74.008710,-3.926947,-66.373755,0.677222,0.000000
200405,108,8,-6.385952,136,-80.394662,-6.386950,-72.760705,0.684361,0.000000
200406,106,8,-22.901865,267,-103.296527,-22.902864,-95.663569,0.682401,0.000000
200407,110,8,3.653943,6,-99.642584,3.692295,-91.971274,0.682401,0.000000
200408,108,8,6.908755,1,-92.733829,25.799481,-66.171793,0.693777,0.000000
200409,111,8,6.897729,1,-85.836100,11.409746,-54.762046,0.694172,0.000000
200410,108,8,6.891225,1,-78.944875,10.942857,-43.819189,0.674498,0.000000
200411,109,8,0.698100,6,-78.246775,0.699110,-43.120079,0.669961,0.000000
200412,116,8,-1.745198,21,-79.991973,-1.746023,-44.866102,0.691614,0.000000
200501,115,8,6.840082,1,-73.151891,9.551628,-35.314474,0.647130,0.000000
200502,115,8,6.908755,1,-66.243136,54.339679,19.025204,0.628675,0.000000
200503,111,8,6.908755,1,-59.334381,30.903378,49.928583,0.629042,0.000000
200504,100,7,5.462755,2,-53.871626,5.730303,55.658885,0.649320,0.000000
200505,98,7,6.908755,1,-46.962872,41.502740,97.161626,0.617027,0.000000
200506,104,7,6.908755,1,-40.054117,48.501299,145.662925,0.611295,0.000000
200507,105,7,6.908755,1,-33.145362,26.110091,171.773016,0.614745,0.000000
200508,104,7,6.908755,1,-26.236607,31.388733,203.161749,0.610731,0.000000
200509,101,7,6.908755,1,-19.327852,27.578491,230.740240,0.638365,0.000000
200510,103,7,6.908755,1,-12.419098,29.290346,260.030587,0.660411,0.000000
200511,101,7,6.907495,1,-5.511603,13.583979,273.614566,0.682983,0.000000
200512,116,8,6.908753,1,1.397150,20.193856,293.808421,0.681985,0.000000
200601,116,8,6.908755,1,8.305905,22.672994,316.481416,0.726450,0.000000
200602,116,8,6.908588,1,15.214493,15.605188,332.086604,0.781682,0.000000
200603,118,8,-13.572037,62,1.642456,-13.573036,318.513568,0.795306,0.000000
200604,117,8,-1.228222,8,0.414234,-1.228929,317.284639,0.780911,0.000000
200605,120,8,-1.620526,12,-1.206292,-1.621328,315.663311,0.878457,0.000000
200606,128,9,-14.072251,55,-15.278543,-14.073250,301.590061,0.887839,0.000000
200607,125,9,5.713859,1,-9.564684,6.073450,307.663510,0.900106,0.000000
200608,127,9,-3.302583,16,-12.867267,-3.303546,304.359965,0.908063,0.000000
200609,130,9,4.557212,4,-8.310054,4.656279,309.016243,0.907654,0.000000
200610,141,10,6.908670,1,-1.401384,16.282829,325.299073,0.908527,0.000000
200611,127,9,6.906815,1,5.505430,13.151905,338.450978,0.917568,0.000000
200612,127,9,-8.389503,85,-2.884073,-8.390503,330.060476,0.923963,0.000000
200701,123,9,-12.535572,18,-15.419645,-12.536572,317.523904,0.928211,0.000000
200702,118,8,-16.210256,66,-31.629901,-16.211255,301.312648,0.928027,0.000000
200703,109,8,-3.219859,113,-34.849760,-3.220818,298.091830,0.928427,0.000000
200704,118,8,-22.565743,200,-57.415503,-22.566743,275.525087,0.928052,0.000000
200705,113,8,6.889286,1,-50.526218,10.836930,286.362017,0.904613,0.000000
200706,105,7,-8.109202,44,-58.635419,-8.110201,278.251816,0.916126,0.000000
200707,101,7,-71.020718,935,-129.656137,-71.021717,207.230099,0.907702,0.000000
200708,95,7,-47.653289,335,-177.309426,-47.654289,159.575810,0.915495,0.000000
200709,91,7,6.908749,1,-170.400678,18.935053,178.510864,0.910015,0.000000
200710,79,6,-9.604662,19,-180.005339,-9.605661,168.905202,0.909362,0.000000
200711,77,6,-22.965928,112,-202.971267,-22.966927,145.938275,0.900560,0.000000
200712,73,5,-8.845254,54,-211.816521,-8.846253,137.092022,0.907063,0.000000
200801,72,5,-14.339899,541,-226.156420,-14.340898,122.751123,0.909152,0.000000
200802,72,5,6.875073,1,-219.281347,10.281678,133.032801,0.888538,0.000000
200803,50,4,5.989220,1,-213.292126,6.496890,139.529691,0.883787,0.000000
200804,52,4,-2.723782,7,-216.015908,-2.724716,136.804975,0.902115,0.000000
200805,55,4,6.535853,1,-209.480055,7.701958,144.506934,0.907445,0.000000
200806,40,3,-3.822169,108,-213.302223,-3.823147,140.683787,0.904573,0.000000
200807,37,3,2.091325,24,-211.210898,2.098446,142.782234,0.911820,0.000000
200808,38,3,-0.044384,43,-211.255282,-0.044427,142.737806,0.910857,0.000000
200809,38,3,-3.928593,363,-215.183875,-3.929572,138.808234,0.917251,0.000000
200810,35,3,-7.727921,357,-222.911796,-7.728920,131.079314,0.947612,0.000000
200811,35,3,-25.127328,182,-248.039123,-25.128327,105.950987,0.945745,0.000000
200812,32,3,-6.749725,273,-254.788848,-6.750723,99.200264,0.941415,0.000000
200901,32,3,-0.018498,21,-254.807346,-0.018517,99.181747,0.944748,0.000000
200902,33,3,2.617253,6,-252.190093,2.630032,101.811779,0.975397,0.000000
200903,33,3,-0.371634,431,-252.561727,-0.371944,101.439835,1.001621,0.000000
200904,34,3,1.022244,38,-251.539483,1.024025,102.463860,0.960005,0.000000
200905,33,3,-2.967607,584,-254.507091,-2.968555,99.495305,0.942164,0.000000
200906,34,3,1.866747,4,-252.640344,1.872229,101.367533,0.952222,0.000000
200907,35,3,4.529221,1,-248.111123,4.625387,105.992920,0.935902,0.000000
200908,38,3,1.349723,5,-246.761399,1.352584,107.345504,0.925925,0.000000
200909,39,3,0.275648,223,-246.485751,0.275966,107.621469,0.908984,0.000000
200910,39,3,0.427076,137,-246.058676,0.427609,108.049078,0.850383,0.000000
200911,42,3,0.867955,73,-245.190720,0.869338,108.918416,0.824688,0.000000
200912,50,4,1.864832,18,-243.325888,1.870302,110.788718,0.800020,0.000000
201001,55,4,0.435075,177,-242.890813,0.435620,111.224339,0.804639,0.000000
201002,58,4,-21.306593,858,-264.197407,-21.307593,89.916746,0.757950,0.000000
201003,59,4,-2.870334,58,-267.067741,-2.871277,87.045469,0.688728,0.000000
201004,66,5,-9.691099,606,-276.758840,-9.692099,77.353370,0.698943,0.000000
201005,66,5,-1.294458,63,-278.053297,-1.295183,76.058187,0.686679,0.000000
201006,67,5,2.710363,6,-275.342935,2.724497,78.782684,0.616870,0.000000
201007,69,5,6.474525,1,-268.868410,7.516977,86.299660,0.637829,0.000000
201008,81,6,6.908755,1,-261.959655,22.643591,108.943252,0.643134,0.000000
201009,91,7,6.908749,1,-255.050906,18.989147,127.932398,0.648770,0.000000
201010,104,7,6.908328,1,-248.142578,14.666532,142.598930,0.661227,0.000000
201011,106,8,6.833731,1,-241.308848,9.459952,152.058882,0.695282,0.000000
201012,109,8,6.907617,1,-234.401231,13.685616,165.744498,0.709051,0.000000
201101,109,8,6.908754,1,-227.492477,21.296152,187.040650,0.672665,0.000000
201102,106,8,-1.527860,12,-229.020337,-1.528643,185.512008,0.696464,0.000000
201103,107,8,-6.955135,35,-235.975472,-6.956134,178.555874,0.722664,0.000000
201104,107,8,-23.725766,303,-259.701238,-23.726765,154.829108,0.706758,0.000000
201105,104,7,-11.223175,20,-270.924413,-11.224174,143.604934,0.695090,0.000000
201106,107,8,6.908013,1,-264.016400,14.113613,157.718547,0.700199,0.000000
201107,106,8,-0.148983,8,-264.165383,-0.149121,157.569426,0.718889,0.000000
201108,110,8,-19.937872,115,-284.103254,-19.938871,137.630555,0.739910,0.000000
201109,116,8,-5.277901,8,-289.381155,-5.278895,132.351660,0.759505,0.000000
