date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,137,10,-15.354201,515,-15.354201,-15.355201,-15.355201,0.805815,0.000000
200308,143,10,-6.975578,41,-22.329779,-6.976576,-22.331777,0.805815,0.000000
200309,148,10,6.821133,1,-15.508646,9.298352,-13.033425,0.814375,0.000000
200310,150,10,-9.777390,214,-25.286035,-9.778389,-22.811814,0.821181,0.000000
200311,152,11,6.859322,1,-18.426714,9.890073,-12.921741,0.821181,0.000000
200312,150,10,6.899718,1,-11.526995,11.609717,-1.312024,0.821181,0.000000
200401,139,10,-7.842800,110,-19.369795,-7.843799,-9.155824,0.807378,0.000000
200402,143,10,6.908755,1,-12.461041,25.347686,16.191862,0.810260,0.000000
200403,139,10,4.961436,2,-7.499605,5.114352,21.306215,0.810260,0.000000
200404,135,9,6.742061,1,-0.757544,8.614846,29.921060,0.810260,0.000000
200405,140,10,3.060365,2,2.302821,3.080910,33.001970,0.796739,0.000000
200406,146,10,-0.521490,6,1.781330,-0.521897,32.480073,0.799214,0.000000
200407,152,11,6.908754,1,8.690085,21.225835,53.705908,0.799214,0.000000
200408,153,11,-4.327798,7,4.362287,-4.328784,49.377123,0.794976,0.000000
200409,155,11,6.908755,1,11.271041,26.568863,75.945987,0.798574,0.000000
200410,162,11,6.908755,1,18.179796,27.928695,103.874682,0.791865,0.000000
200411,167,12,6.908755,1,25.088551,24.389808,128.264490,0.756696,0.000000
200412,163,11,6.908755,1,31.997306,31.958090,160.222580,0.788360,0.000000
200501,164,11,6.908755,1,38.906060,32.354570,192.577150,0.777928,0.000000
200502,169,12,6.908739,1,45.814800,17.977907,210.555058,0.755244,0.000000
200503,172,12,1.415870,4,47.230670,1.418995,211.974053,0.743899,0.000000
200504,187,13,6.908755,1,54.139425,29.003981,240.978034,0.755467,0.000000
200505,196,14,-5.847554,2,48.291871,-5.848550,235.129484,0.753233,0.000000
200506,190,13,6.908755,1,55.200626,37.181243,272.310727,0.767580,0.000000
200507,190,13,6.908755,1,62.109380,28.912093,301.222820,0.770886,0.000000
200508,190,13,6.908755,1,69.018135,25.784334,327.007154,0.787752,0.000000
200509,197,14,6.908755,1,75.926890,29.887915,356.895069,0.797486,0.000000
200510,194,13,6.908755,1,82.835645,50.152479,407.047547,0.798525,0.000000
200511,197,14,6.535979,1,89.371624,7.702362,414.749909,0.828704,0.000000
200512,165,11,6.908755,1,96.280378,22.706764,437.456673,0.828915,0.000000
200601,164,11,6.908753,1,103.189131,20.036978,457.493651,0.858192,0.000000
200602,171,12,6.506749,1,109.695880,7.611317,465.104967,0.911263,0.000000
200603,168,12,-15.493585,340,94.202295,-15.494584,449.610383,0.929860,0.000000
200604,158,11,1.443171,4,95.645466,1.446410,451.056793,0.922721,0.000000
200605,152,11,6.793760,1,102.439226,9.012577,460.069370,0.936817,0.000000
200606,142,10,0.362410,10,102.801637,0.362847,460.432217,0.923611,0.000000
200607,141,10,-38.826461,138,63.975176,-38.827460,421.604757,0.925018,0.000000
200608,140,10,-6.580098,83,57.395077,-6.581097,415.023660,0.918399,0.000000
200609,142,10,-7.321718,627,50.073359,-7.322717,407.700943,0.927800,0.000000
200610,143,10,6.742764,1,56.816123,8.619432,416.320375,0.902172,0.000000
200611,157,11,-36.983825,884,19.832298,-36.984824,379.335551,0.923385,0.000000
200612,147,10,-1.778091,22,18.054206,-1.778922,377.556629,0.932282,0.000000
200701,152,11,0.170276,9,18.224483,0.170462,377.727091,0.933264,0.000000
200702,157,11,4.291801,5,22.516283,4.366630,382.093721,0.895461,0.000000
200703,157,11,0.585456,12,23.101739,0.586252,382.679972,0.896338,0.000000
200704,134,9,-1.222901,7,21.878838,-1.223606,381.456366,0.883812,0.000000
200705,131,9,-16.271775,249,5.607063,-16.272775,365.183591,0.875859,0.000000
200706,136,10,-7.445425,53,-1.838362,-7.446424,357.737168,0.878769,0.000000
200707,128,9,6.908755,1,5.070393,51.784093,409.521261,0.871763,0.000000
200708,125,9,-22.182460,5,-17.112067,-22.183460,387.337802,0.873110,0.000000
200709,125,9,6.856442,1,-10.255625,9.831999,397.169800,0.868099,0.000000
200710,114,8,5.662636,2,-4.592989,6.000779,403.170579,0.880301,0.000000
200711,105,7,-1.129380,5,-5.722369,-1.130057,402.040523,0.872908,0.000000
200712,99,7,0.762530,5,-4.959838,0.763674,402.804197,0.848102,0.000000
200801,96,7,-8.640648,12,-13.600487,-8.641647,394.162550,0.827039,0.000000
200802,95,7,-19.806715,27,-33.407202,-19.807715,374.354835,0.855463,0.000000
200803,115,8,-20.215301,12,-53.622503,-20.216300,354.138535,0.850257,0.000000
200804,114,8,0.228461,4,-53.394041,0.228718,354.367253,0.884902,0.000000
200805,106,8,6.905915,1,-46.488126,12.770498,367.137750,0.887588,0.000000
