date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,442,30,6.908755,1,6.908755,112.781063,112.781063,0.723019,0.000000
200308,444,30,6.908755,1,13.817510,92.662550,205.443613,0.723019,0.000000
200309,451,31,6.908755,1,20.726264,104.736466,310.180078,0.717157,0.000000
200310,433,29,6.908755,1,27.635019,102.402238,412.582316,0.734709,0.000000
200311,437,30,6.908755,1,34.543774,143.335269,555.917585,0.734709,0.000000
200312,442,30,6.908755,1,41.452529,163.122838,719.040423,0.734709,0.000000
200401,441,30,6.908755,1,48.361283,141.173983,860.214406,0.739336,0.000000
200402,445,30,6.908755,1,55.270038,131.268760,991.483166,0.724982,0.000000
200403,438,30,6.908755,1,62.178793,295.828370,1287.311536,0.724982,0.000000
200404,440,30,6.908755,1,69.087548,273.973621,1561.285157,0.724982,0.000000
200405,435,29,6.908755,1,75.996303,257.493204,1818.778361,0.730524,0.000000
200406,436,30,6.908755,1,82.905057,311.557601,2130.335962,0.735550,0.000000
200407,432,29,6.908755,1,89.813812,252.658222,2382.994184,0.735550,0.000000
200408,431,29,6.908755,1,96.722567,387.704041,2770.698225,0.740104,0.000000
200409,441,30,6.908755,1,103.631322,285.867803,3056.566028,0.765764,0.000000
200410,437,30,6.908755,1,110.540076,279.662537,3336.228565,0.736643,0.000000
200411,434,29,6.908755,1,117.448831,244.696297,3580.924862,0.729813,0.000000
200412,423,29,6.908755,1,124.357586,92.974625,3673.899487,0.777638,0.000000
200501,425,29,6.908755,1,131.266341,99.169489,3773.068976,0.786359,0.000000
200502,427,29,6.908755,1,138.175096,104.328680,3877.397656,0.810964,0.000000
200503,411,28,6.908755,1,145.083850,97.215023,3974.612679,0.811914,0.000000
200504,404,27,6.908755,1,151.992605,147.181377,4121.794056,0.807826,0.000000
200505,402,27,6.908755,1,158.901360,53.982020,4175.776076,0.875615,0.000000
200506,397,27,6.908755,1,165.810115,44.926480,4220.702556,0.903220,0.000000
200507,403,27,6.853432,1,172.663547,9.774534,4230.477089,0.918880,0.000000
200508,405,27,6.908755,1,179.572301,25.290599,4255.767688,0.946538,0.000000
200509,404,27,6.908755,1,186.481056,28.991424,4284.759112,0.989553,0.000000
200510,414,28,-1.802168,9,184.678888,-1.803003,4282.956109,1.039952,0.000000
200511,411,28,2.801625,2,187.480513,2.817217,4285.773327,1.082548,0.000000
200512,411,28,6.461754,1,193.942267,7.481139,4293.254466,1.094731,0.000000
200601,413,28,3.720700,5,197.662967,3.761828,4297.016294,1.094648,0.000000
200602,424,29,6.908755,1,204.571722,39.677909,4336.694203,1.103544,0.000000
200603,419,28,6.908755,1,211.480477,34.592503,4371.286706,1.087461,0.000000
200604,424,29,-6.015161,8,205.465316,-6.016158,4365.270548,1.160857,0.000000
200605,416,28,6.908755,1,212.374071,31.898110,4397.168658,1.168573,0.000000
200606,410,28,6.908755,1,219.282826,60.390275,4457.558933,1.116833,0.000000
200607,416,28,6.908755,1,226.191581,81.670886,4539.229819,1.113572,0.000000
200608,417,28,6.908755,1,233.100335,64.955235,4604.185054,1.089664,0.000000
200609,416,28,6.908755,1,240.009090,76.772480,4680.957533,1.064254,0.000000
200610,403,27,6.908755,1,246.917845,24.419125,4705.376659,1.039202,0.000000
200611,394,27,3.783401,2,250.701246,3.827317,4709.203975,1.023982,0.000000
200612,395,27,6.908755,1,257.610001,36.610141,4745.814116,1.004882,0.000000
200701,400,27,6.685775,1,264.295775,8.294867,4754.108983,0.996392,0.000000
200702,391,27,6.908755,1,271.204530,37.251267,4791.360251,0.944056,0.000000
200703,380,26,6.908755,1,278.113285,66.966338,4858.326589,0.919612,0.000000
200704,384,26,6.908755,1,285.022040,92.810399,4951.136988,0.900094,0.000000
200705,384,26,6.908755,1,291.930794,32.506320,4983.643308,0.884063,0.000000
200706,381,26,6.908755,1,298.839549,59.657072,5043.300380,0.898375,0.000000
200707,390,26,6.908755,1,305.748304,153.635560,5196.935940,0.880384,0.000000
200708,376,26,6.908755,1,312.657059,134.268616,5331.204556,0.821002,0.000000
200709,381,26,6.908755,1,319.565814,93.757392,5424.961949,0.810356,0.000000
200710,379,26,6.908755,1,326.474568,132.290481,5557.252429,0.812203,0.000000
200711,387,26,6.908755,1,333.383323,225.123749,5782.376179,0.803644,0.000000
200712,381,26,6.908755,1,340.292078,101.430872,5883.807051,0.791857,0.000000
200801,384,26,6.908755,1,347.200833,101.144213,5984.951264,0.787586,0.000000
200802,384,26,6.908755,1,354.109587,38.658460,6023.609724,0.820425,0.000000
200803,377,26,6.908742,1,361.018330,18.206204,6041.815928,0.824045,0.000000
200804,387,26,6.908755,1,367.927085,57.449502,6099.265430,0.830515,0.000000
200805,405,27,6.908755,1,374.835839,27.064199,6126.329629,0.825159,0.000000
200806,413,28,6.908755,1,381.744594,53.815478,6180.145107,0.810389,0.000000
200807,424,29,6.908755,1,388.653349,32.067716,6212.212823,0.819067,0.000000
200808,427,29,6.908755,1,395.562104,55.540961,6267.753784,0.889966,0.000000
200809,428,29,-10.343649,11,385.218454,-10.344649,6257.409136,0.886411,0.000000
200810,424,29,6.908755,1,392.127209,37.542222,6294.951357,0.870728,0.000000
200811,415,28,6.908755,1,399.035964,53.084105,6348.035463,0.867186,0.000000
200812,422,29,6.908753,1,405.944717,19.945305,6367.980768,0.900787,0.000000
200901,430,29,-13.127260,50,392.817456,-13.128260,6354.852508,0.891555,0.000000
200902,439,30,6.908754,1,399.726211,21.653903,6376.506412,0.935365,0.000000
200903,434,29,6.908575,1,406.634786,15.530559,6392.036970,0.951020,0.000000
200904,441,30,6.908755,1,413.543540,30.364873,6422.401843,0.937525,0.000000
200905,451,31,6.907625,1,420.451166,13.693366,6436.095209,0.853141,0.000000
200906,457,31,6.908755,1,427.359921,31.871107,6467.966316,0.813843,0.000000
200907,463,31,6.908755,1,434.268675,30.782080,6498.748396,0.813513,0.000000
200908,460,31,6.908755,1,441.177430,25.895394,6524.643790,0.818598,0.000000
200909,477,32,6.908755,1,448.086185,51.727954,6576.371745,0.830805,0.000000
200910,488,33,6.908755,1,454.994940,80.651981,6657.023725,0.832547,0.000000
200911,506,34,6.908755,1,461.903695,135.720208,6792.743933,0.760302,0.000000
200912,515,35,6.908755,1,468.812449,142.058120,6934.802054,0.707997,0.000000
201001,521,35,6.908755,1,475.721204,157.629859,7092.431913,0.697810,0.000000
201002,522,35,6.908755,1,482.629959,324.416198,7416.848111,0.672845,0.000000
201003,521,35,6.908755,1,489.538714,268.062397,7684.910508,0.712032,0.000000
201004,523,35,6.908755,1,496.447468,294.883215,7979.793723,0.747721,0.000000
201005,534,36,6.908755,1,503.356223,343.525210,8323.318933,0.761576,0.000000
201006,531,36,6.908755,1,510.264978,292.423119,8615.742052,0.767300,0.000000
201007,529,36,6.908755,1,517.173733,227.626744,8843.368796,0.776760,0.000000
201008,540,36,6.908755,1,524.082488,257.752026,9101.120821,0.780524,0.000000
201009,548,37,6.908755,1,530.991242,338.020919,9439.141740,0.784277,0.000000
201010,563,38,6.908755,1,537.899997,466.128873,9905.270613,0.786088,0.000000
201011,565,38,6.908755,1,544.808752,448.914723,10354.185336,0.805910,0.000000
201012,573,39,6.908755,1,551.717507,463.251709,10817.437046,0.831624,0.000000
201101,568,38,6.908755,1,558.626261,365.029665,11182.466710,0.859453,0.000000
201102,577,39,6.908755,1,565.535016,265.398411,11447.865121,0.902960,0.000000
201103,566,38,6.908755,1,572.443771,364.043781,11811.908902,0.911129,0.000000
201104,548,37,6.908755,1,579.352526,535.358770,12347.267672,0.915233,0.000000
201105,563,38,6.908755,1,586.261281,432.799139,12780.066811,0.966731,0.000000
201106,576,39,6.908755,1,593.170035,476.962053,13257.028864,1.029953,0.000000
201107,569,38,6.908755,1,600.078790,290.253903,13547.282767,1.073548,0.000000
201108,582,39,6.908755,1,606.987545,298.381197,13845.663964,1.087626,0.000000
201109,583,39,6.908755,1,613.896300,170.271847,14015.935811,1.120362,0.000000
201110,585,39,6.908755,1,620.805054,111.819647,14127.755458,1.146734,0.000000
201111,619,42,6.908755,1,627.713809,94.783472,14222.538930,1.171022,0.000000
201112,643,43,6.908755,1,634.622564,135.866085,14358.405015,1.191237,0.000000
201201,651,44,6.908755,1,641.531319,195.238734,14553.643749,1.212098,0.000000
201202,654,44,6.908755,1,648.440074,175.306551,14728.950299,1.200352,0.000000
201203,655,44,6.908755,1,655.348828,161.818837,14890.769136,1.206191,0.000000
201204,659,44,6.908755,1,662.257583,152.669046,15043.438182,1.220240,0.000000
201205,662,45,6.908755,1,669.166338,139.579799,15183.017981,1.232674,0.000000
201206,663,45,6.908755,1,676.075093,213.197042,15396.215023,1.242042,0.000000
201207,680,46,6.908755,1,682.983847,139.453610,15535.668634,1.247596,0.000000
201208,652,44,6.908755,1,689.892602,234.794617,15770.463250,1.294430,0.000000
201209,704,47,6.908755,1,696.801357,172.580370,15943.043621,1.310937,0.000000
201210,702,47,6.908755,1,703.710112,221.948317,16164.991937,1.325732,0.000000
201211,713,48,6.908755,1,710.618867,207.457666,16372.449604,1.282462,0.000000
201212,723,49,6.908755,1,717.527621,204.474251,16576.923854,1.271138,0.000000
201301,738,50,6.908755,1,724.436376,331.986335,16908.910189,1.233500,0.000000
201302,745,50,6.908755,1,731.345131,320.814960,17229.725149,1.215824,0.000000
201303,745,50,6.908755,1,738.253886,426.289977,17656.015127,1.194282,0.000000
201304,776,52,6.908755,1,745.162641,445.184268,18101.199395,1.187601,0.000000
201305,797,54,6.908755,1,752.071395,611.420263,18712.619658,1.183118,0.000000
201306,806,54,6.908755,1,758.980150,698.641143,19411.260801,1.179560,0.000000
201307,798,54,6.908755,1,765.888905,672.386015,20083.646817,1.165028,0.000000
201308,809,54,6.908755,1,772.797660,592.634191,20676.281007,1.151329,0.000000
201309,863,58,6.908755,1,779.706414,757.423172,21433.704179,1.136677,0.000000
201310,891,60,6.908755,1,786.615169,859.136592,22292.840771,1.131367,0.000000
201311,897,60,6.908755,1,793.523924,1038.061655,23330.902426,1.142835,0.000000
201312,912,61,6.908755,1,800.432679,1050.070852,24380.973278,1.143727,0.000000
201401,911,61,6.908755,1,807.341434,1001.402825,25382.376102,1.154296,0.000000
201402,925,62,6.908755,1,814.250188,1053.309156,26435.685259,1.176426,0.000000
