date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,359,24,6.908755,1,6.908755,40.624810,40.624810,0.003977,-0.015479
200308,365,25,6.908755,1,13.817510,72.787848,113.412658,0.003977,-0.015479
200309,373,25,6.908754,1,20.726264,21.479820,134.892478,0.002908,-0.021822
200310,367,25,6.908755,1,27.635019,104.312031,239.204510,0.002908,-0.021822
200311,373,25,6.908755,1,34.543773,34.469482,273.673991,0.002908,-0.021822
200312,376,26,6.908755,1,41.452528,67.964407,341.638398,0.002908,-0.021822
200401,379,26,6.908755,1,48.361283,30.296940,371.935338,0.002908,-0.021822
200402,375,25,6.908755,1,55.270038,47.928899,419.864237,0.008634,-0.010173
200403,377,26,6.908755,1,62.178793,36.893990,456.758227,0.008634,-0.010173
200404,372,25,6.908755,1,69.087547,23.263011,480.021238,0.008634,-0.010173
200405,371,25,6.908755,1,75.996302,43.288622,523.309860,0.010960,-0.006158
200406,372,25,6.908755,1,82.905057,29.185950,552.495810,0.010960,-0.006158
200407,374,25,6.908755,1,89.813812,49.649645,602.145455,0.010960,-0.006158
200408,377,26,6.908755,1,96.722566,64.508268,666.653723,0.009306,-0.003729
200409,386,26,6.908755,1,103.631321,70.059871,736.713595,0.013160,0.004811
200410,383,26,6.908755,1,110.540076,54.089253,790.802848,0.011467,0.007344
200411,393,27,6.908755,1,117.448831,90.481919,881.284767,0.012194,0.015146
200412,393,27,6.908755,1,124.357585,54.960851,936.245618,0.009380,0.015108
200501,391,27,6.908755,1,131.266340,91.810257,1028.055876,0.007204,0.014731
200502,388,26,6.908755,1,138.175095,91.683747,1119.739623,0.007895,0.014328
200503,384,26,6.908755,1,145.083850,62.829798,1182.569421,0.003388,0.000670
200504,381,26,6.908755,1,151.992605,69.957129,1252.526550,0.003012,0.003658
200505,377,26,6.908755,1,158.901359,61.098990,1313.625541,0.000822,-0.002696
200506,386,26,6.908755,1,165.810114,59.093692,1372.719233,0.001110,-0.004316
200507,392,27,6.908755,1,172.718869,54.213724,1426.932957,0.002985,-0.000404
200508,390,26,6.908755,1,179.627624,45.660501,1472.593458,0.003116,-0.000377
200509,398,27,6.908755,1,186.536378,91.607822,1564.201280,0.001776,-0.003690
200510,403,27,6.908755,1,193.445133,123.570234,1687.771514,0.004411,0.001529
200511,402,27,6.908755,1,200.353888,99.714136,1787.485651,0.006958,0.005460
200512,390,26,6.908755,1,207.262643,56.895369,1844.381020,0.004914,-0.003671
200601,375,25,6.908755,1,214.171398,46.367950,1890.748970,0.001924,-0.008310
200602,380,26,6.908755,1,221.080152,71.819981,1962.568951,0.001225,-0.007443
200603,377,26,6.908755,1,227.988907,58.232266,2020.801216,0.002970,0.000939
200604,372,25,6.908703,1,234.897611,16.784589,2037.585806,-0.000238,-0.006096
200605,369,25,6.908755,1,241.806365,58.254110,2095.839915,-0.001745,-0.004821
200606,382,26,6.908755,1,248.715120,51.714320,2147.554235,-0.001214,-0.006799
200607,385,26,6.908755,1,255.623875,32.608950,2180.163185,-0.001919,-0.010054
200608,377,26,6.908755,1,262.532630,67.294076,2247.457261,-0.002961,-0.016954
200609,373,25,6.908755,1,269.441384,62.494193,2309.951454,-0.003218,-0.029724
200610,336,23,6.908755,1,276.350139,43.903264,2353.854718,-0.002490,-0.028035
200611,345,23,6.908755,1,283.258894,34.550928,2388.405646,-0.002050,-0.027886
200612,337,23,6.908624,1,290.167518,15.848460,2404.254106,-0.002826,-0.029683
200701,333,23,6.908755,1,297.076273,24.527433,2428.781540,-0.002175,-0.025786
200702,310,21,2.935812,4,300.012085,2.953810,2431.735350,-0.001169,-0.018930
200703,308,21,6.902590,1,306.914675,11.993636,2443.728985,-0.001552,-0.016098
200704,320,22,6.908680,1,313.823355,16.410898,2460.139883,-0.001723,-0.015677
200705,322,22,6.908754,1,320.732109,20.916784,2481.056668,-0.002165,-0.020145
200706,321,22,6.908751,1,327.640860,19.418882,2500.475550,-0.002105,-0.020031
200707,317,22,6.871261,1,334.512121,10.172523,2510.648072,-0.003117,-0.021731
200708,313,21,6.908755,1,341.420876,47.083705,2557.731777,-0.005005,-0.029175
200709,317,22,6.908755,1,348.329631,69.450961,2627.182738,-0.005855,-0.032356
200710,339,23,6.908755,1,355.238386,87.917597,2715.100336,-0.005730,-0.030253
200711,333,23,6.908755,1,362.147140,93.201714,2808.302050,-0.004822,-0.022240
200712,349,24,6.908755,1,369.055895,49.078055,2857.380104,-0.004518,-0.018627
200801,348,24,6.908755,1,375.964650,96.486216,2953.866320,-0.004704,-0.012693
200802,352,24,6.908755,1,382.873405,85.389689,3039.256009,-0.003446,-0.009951
200803,356,24,6.908755,1,389.782159,201.123079,3240.379088,-0.004126,-0.012429
200804,360,24,6.908755,1,396.690914,198.295169,3438.674258,-0.004518,-0.010687
200805,371,25,6.908755,1,403.599669,247.264564,3685.938822,-0.005865,-0.011601
200806,393,27,6.908755,1,410.508424,228.527797,3914.466618,-0.003807,-0.003980
200807,403,27,6.908755,1,417.417179,350.708169,4265.174787,-0.002306,-0.004364
200808,401,27,6.908755,1,424.325933,372.442098,4637.616885,-0.002263,-0.001684
200809,391,27,6.908755,1,431.234688,322.607350,4960.224235,-0.000446,0.002214
200810,391,27,6.908755,1,438.143443,148.985949,5109.210184,0.002021,0.001473
200811,399,27,6.908755,1,445.052198,184.952686,5294.162871,0.003698,0.003263
200812,463,31,6.908755,1,451.960952,271.314306,5565.477177,0.001920,-0.003476
200901,442,30,6.908755,1,458.869707,390.904464,5956.381641,0.002920,0.004560
200902,448,30,6.908755,1,465.778462,347.104678,6303.486319,0.006401,0.013691
200903,456,31,6.908755,1,472.687217,385.208350,6688.694669,0.013458,0.017772
200904,454,31,6.908755,1,479.595972,426.244548,7114.939217,0.014721,0.014026
200905,463,31,6.908755,1,486.504726,346.653240,7461.592457,0.017651,0.012386
200906,483,33,6.908755,1,493.413481,352.748228,7814.340684,0.026059,0.015003
200907,496,34,6.908755,1,500.322236,307.824482,8122.165166,0.030378,0.015839
200908,507,34,6.908755,1,507.230991,250.338261,8372.503428,0.031332,0.012765
200909,516,35,6.908755,1,514.139745,165.952372,8538.455800,0.033899,0.011869
200910,514,35,6.908755,1,521.048500,93.336727,8631.792527,0.049616,0.024355
200911,510,34,6.908755,1,527.957255,232.049109,8863.841636,0.032962,0.005331
200912,527,36,6.908755,1,534.866010,153.629049,9017.470685,0.034185,0.007147
201001,530,36,6.908755,1,541.774765,131.789847,9149.260532,0.038537,0.008199
201002,538,36,6.908755,1,548.683519,177.218157,9326.478689,0.042188,0.007653
201003,533,36,6.908755,1,555.592274,175.639167,9502.117857,0.044457,0.007360
201004,540,36,6.908755,1,562.501029,177.902532,9680.020389,0.049380,0.009264
201005,535,36,6.908755,1,569.409784,116.798658,9796.819047,0.059375,0.014125
201006,537,36,6.908755,1,576.318538,151.821471,9948.640519,0.060336,0.011159
201007,559,38,6.908755,1,583.227293,184.841873,10133.482392,0.048094,0.007330
201008,556,38,6.908755,1,590.136048,220.933804,10354.416195,0.047844,0.005941
201009,572,39,6.908755,1,597.044803,199.883247,10554.299442,0.045374,0.006020
201010,584,39,6.908755,1,603.953558,234.837578,10789.137020,0.029534,0.005798
201011,597,40,6.908755,1,610.862312,372.247011,11161.384031,0.030438,0.005182
201012,607,41,6.908755,1,617.771067,375.180788,11536.564819,0.029194,0.005396
201101,606,41,6.908755,1,624.679822,359.175402,11895.740221,0.029490,0.005137
201102,615,41,6.908755,1,631.588577,406.230317,12301.970538,0.027905,0.004763
201103,605,41,6.908755,1,638.497331,336.443783,12638.414321,0.025709,0.003705
201104,610,41,6.908755,1,645.406086,323.762993,12962.177314,0.028662,0.004998
201105,619,42,6.908755,1,652.314841,336.660749,13298.838063,0.025749,0.003839
201106,641,43,6.908755,1,659.223596,307.890812,13606.728875,0.026905,0.006601
201107,656,44,6.908755,1,666.132351,365.959590,13972.688465,0.025996,0.008182
201108,665,45,6.908755,1,673.041105,452.127617,14424.816083,0.031138,0.017665
201109,683,46,6.908755,1,679.949860,255.175657,14679.991739,0.044086,0.027736
201110,694,47,6.908755,1,686.858615,257.831811,14937.823550,0.043439,0.029786
201111,674,45,6.908755,1,693.767370,272.445459,15210.269009,0.044952,0.028272
201112,687,46,6.908755,1,700.676124,367.455720,15577.724729,0.047095,0.028616
201201,700,47,6.908755,1,707.584879,172.247882,15749.972611,0.050972,0.029389
201202,710,48,6.908755,1,714.493634,257.435468,16007.408078,0.050980,0.028631
201203,710,48,6.908755,1,721.402389,174.777605,16182.185683,0.053546,0.030323
201204,726,49,6.908755,1,728.311144,175.895939,16358.081622,0.054193,0.030338
201205,715,48,6.908755,1,735.219898,234.271784,16592.353405,0.051001,0.029922
201206,728,49,6.908755,1,742.128653,260.063247,16852.416652,0.049434,0.029777
201207,732,49,6.908755,1,749.037408,241.441750,17093.858402,0.046034,0.030513
201208,730,49,6.908755,1,755.946163,177.641654,17271.500056,0.046169,0.031543
201209,751,51,6.908755,1,762.854918,166.629989,17438.130045,0.043173,0.031301
201210,762,51,6.908755,1,769.763672,213.858120,17651.988165,0.042648,0.031025
201211,763,51,6.908755,1,776.672427,212.681777,17864.669942,0.042544,0.029305
201212,766,52,6.908755,1,783.581182,200.141578,18064.811520,0.039852,0.027962
201301,777,52,6.908755,1,790.489937,214.749471,18279.560991,0.040683,0.026711
201302,793,53,6.908755,1,797.398691,236.020632,18515.581622,0.042355,0.026442
201303,782,53,6.908755,1,804.307446,242.475548,18758.057170,0.050356,0.028391
201304,776,52,6.908755,1,811.216201,265.437567,19023.494737,0.061031,0.030422
201305,775,52,6.908755,1,818.124956,241.382673,19264.877411,0.062084,0.029702
201306,785,53,6.908755,1,825.033711,250.450798,19515.328209,0.067837,0.031030
201307,792,53,6.908755,1,831.942465,285.437906,19800.766115,0.069516,0.031345
201308,791,53,6.908755,1,838.851220,284.229924,20084.996039,0.066555,0.031344
201309,775,52,6.908755,1,845.759975,230.517880,20315.513920,0.062594,0.030544
