date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,23,2,2.420805,21,2.420805,2.431113,2.431113,0.000000,0.000000
200308,23,2,-0.833474,251,1.587330,-0.834040,1.597073,0.000000,0.000000
200309,24,2,0.837829,101,2.425160,0.839142,2.436215,0.000000,0.000000
200310,24,2,-0.653766,505,1.771394,-0.654246,1.781968,0.000000,0.000000
200311,24,2,1.134829,90,2.906223,1.136942,2.918911,0.000000,0.000000
200312,24,2,1.007720,105,3.913943,1.009461,3.928372,0.000000,0.000000
200401,26,2,0.772517,112,4.686460,0.773682,4.702054,0.000000,0.000000
200402,27,2,0.216369,215,4.902829,0.216610,4.918665,0.000000,0.000000
200403,27,2,0.884850,121,5.787678,0.886273,5.804938,0.000000,0.000000
200404,25,2,-0.271107,205,5.516571,-0.271345,5.533593,0.000000,0.000000
200405,29,2,-1.677600,336,3.838971,-1.678413,3.855181,0.000000,0.000000
200406,31,3,-0.508174,228,3.330797,-0.508572,3.346609,0.000000,0.000000
200407,32,3,0.027129,217,3.357927,0.027157,3.373765,0.000000,0.000000
200408,32,3,0.582650,154,3.940576,0.583441,3.957206,0.000000,0.000000
200409,31,3,0.449115,177,4.389691,0.449682,4.406888,0.000000,0.000000
200410,31,3,-4.199460,105,0.190231,-4.200445,0.206443,0.186166,1.643095
200411,32,3,-1.653427,205,-1.463197,-1.654236,-1.447793,0.154449,0.754703
200412,32,3,-4.293312,383,-5.756508,-4.294297,-5.742090,0.134040,0.788915
200501,34,3,-8.613289,768,-14.369797,-8.614288,-14.356378,0.131081,0.588377
200502,34,3,-8.772712,64,-23.142509,-8.773712,-23.130090,0.108184,0.628075
200503,33,3,-1.521213,590,-24.663723,-1.521994,-24.652084,0.116326,0.898596
200504,35,3,-11.654930,776,-36.318653,-11.655930,-36.308014,0.108994,0.595187
200505,35,3,0.402780,142,-35.915873,0.403276,-35.904738,0.127725,0.542182
200506,35,3,0.194311,231,-35.721561,0.194526,-35.710212,0.171812,0.198970
200507,40,3,-0.798150,385,-36.519712,-0.798700,-36.508912,0.206804,0.235792
200508,40,3,-0.821771,413,-37.341483,-0.822332,-37.331243,0.225378,0.124305
200509,40,3,-0.311205,352,-37.652688,-0.311472,-37.642716,0.231510,0.132071
200510,40,3,-1.154801,569,-38.807489,-1.155486,-38.798202,0.264286,0.054858
200511,42,3,-0.173333,198,-38.980822,-0.173492,-38.971694,0.226994,0.229261
200512,42,3,-0.764265,825,-39.745087,-0.764799,-39.736493,0.171543,0.605197
200601,43,3,-0.560303,344,-40.305391,-0.560732,-40.297225,0.126880,0.560752
200602,44,3,-5.303285,208,-45.608676,-5.304280,-45.601505,0.100440,0.196467
200603,42,3,1.181583,75,-44.427093,1.183845,-44.417660,0.073186,0.236615
200604,42,3,-0.601043,524,-45.028136,-0.601495,-45.019155,0.042484,0.316812
200605,43,3,-2.210682,452,-47.238818,-2.211572,-47.230726,0.036006,0.183597
200606,42,3,-0.758190,262,-47.997008,-0.758721,-47.989448,0.030919,0.066793
200607,43,3,-0.304163,339,-48.301170,-0.304425,-48.293873,0.032637,0.066095
200608,43,3,-0.185588,293,-48.486758,-0.185757,-48.479630,0.036184,0.097002
200609,43,3,-0.450544,293,-48.937302,-0.450907,-48.930537,0.053709,-0.039584
200610,43,3,1.674350,39,-47.262953,1.678694,-47.251843,0.061029,-0.017161
200611,44,3,4.076661,2,-43.186292,4.136356,-43.115486,0.087932,0.228950
200612,45,3,-3.181013,516,-46.367305,-3.181971,-46.297457,0.101788,0.260298
200701,44,3,1.627250,41,-44.740055,1.631349,-44.666109,0.115842,0.166248
200702,43,3,-1.914461,289,-46.654515,-1.915313,-46.581422,0.143583,0.305140
200703,43,3,-1.336567,233,-47.991083,-1.337304,-47.918726,0.162493,0.394646
200704,44,3,-1.025105,274,-49.016187,-1.025746,-48.944472,0.165667,0.363089
200705,45,3,2.580691,12,-46.435496,2.592972,-46.351500,0.144044,0.446218
200706,44,3,-7.264742,433,-53.700239,-7.265741,-53.617241,0.129014,0.415692
200707,45,3,-0.866495,548,-54.566734,-0.867075,-54.484315,0.118281,0.520701
200708,45,3,-10.612671,403,-65.179405,-10.613671,-65.097986,0.117441,0.473930
200709,48,4,-3.196157,191,-68.375562,-3.197115,-68.295101,0.128055,0.207861
