date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,84,6,-2.603627,57,-2.603627,-2.604552,-2.604552,0.000765,-0.001538
200308,86,6,6.873429,1,4.269802,10.233170,7.628618,0.000765,-0.001538
200309,91,7,6.908754,1,11.178556,21.486220,29.114838,0.000441,-0.001677
200310,94,7,5.409347,3,16.587903,5.661000,34.775838,0.000441,-0.001677
200311,95,7,0.716997,21,17.304900,0.718046,35.493883,0.000441,-0.001677
200312,92,7,-0.059266,61,17.245633,-0.059324,35.434560,0.000441,-0.001677
200401,102,7,-2.409642,292,14.835992,-2.410551,33.024008,0.000441,-0.001677
200402,97,7,4.574442,4,19.410434,4.675339,37.699347,0.000517,-0.001826
200403,100,7,6.905096,1,26.315529,12.516463,50.215810,0.000517,-0.001826
200404,99,7,-3.508308,2,22.807221,-3.509278,46.706532,0.000517,-0.001826
200405,101,7,6.797791,1,29.605012,9.050311,55.756843,0.000550,-0.001868
200406,99,7,5.497678,1,35.102689,5.776234,61.533077,0.000550,-0.001868
200407,104,7,6.908754,1,42.011444,21.380606,82.913683,0.000550,-0.001868
200408,102,7,-0.341852,8,41.669592,-0.342141,82.571542,0.000575,-0.001953
200409,105,7,-0.098417,12,41.571176,-0.098510,82.473031,0.000675,-0.002651
200410,102,7,-4.764880,124,36.806295,-4.765871,77.707160,0.000774,-0.001956
200411,103,7,-2.095995,88,34.710300,-2.096872,75.610288,0.002091,-0.000695
200412,110,8,-8.469408,71,26.240892,-8.470407,67.139881,0.039190,0.020596
200501,109,8,5.645416,2,31.886308,5.976690,73.116571,0.040348,0.018652
200502,109,8,2.405300,6,34.291609,2.415433,75.532004,0.046049,0.022338
200503,106,8,2.233568,17,36.525177,2.241936,77.773940,0.043985,0.021440
200504,95,7,5.097995,1,41.623172,5.275560,83.049501,0.036290,0.019571
200505,92,7,0.656116,29,42.279288,0.657043,83.706544,0.037519,0.023460
200506,99,7,3.155875,5,45.435163,3.178605,86.885149,0.031009,0.016252
200507,101,7,4.601193,2,50.036356,4.705002,91.590151,0.024373,0.021259
200508,100,7,3.696157,4,53.732513,3.736242,95.326393,0.012298,0.014924
200509,97,7,3.589713,6,57.322226,3.625572,98.951965,0.003651,0.011529
200510,99,7,2.925618,3,60.247844,2.943421,101.895387,-0.002792,0.006751
200511,98,7,6.907076,1,67.154920,13.296818,115.192205,-0.007462,-0.000899
200512,113,8,6.908755,1,74.063675,33.963768,149.155973,-0.008456,-0.005881
200601,112,8,6.908755,1,80.972430,24.395917,173.551889,-0.001570,-0.005696
200602,112,8,6.908755,1,87.881185,24.963689,198.515578,0.007739,-0.006770
200603,114,8,-2.209460,11,85.671725,-2.210349,196.305229,-0.000234,0.001239
200604,111,8,2.914172,10,88.585897,2.931759,199.236988,-0.000024,0.001756
200605,114,8,4.387974,2,92.973871,4.470788,203.707776,0.000247,0.002100
