date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,129,9,6.908755,1,6.908755,32.838817,32.838817,0.324868,0.097844
200308,135,9,6.908755,1,13.817510,31.291958,64.130775,0.324868,0.097844
200309,139,10,6.908755,1,20.726264,82.699667,146.830442,0.372755,0.076420
200310,141,10,6.908755,1,27.635019,33.978992,180.809433,0.372755,0.076420
200311,144,10,6.908755,1,34.543774,47.351337,228.160770,0.372755,0.076420
200312,144,10,6.908755,1,41.452529,30.128459,258.289229,0.372755,0.076420
200401,133,9,6.908755,1,48.361283,46.003453,304.292681,0.372755,0.076420
200402,134,9,6.908755,1,55.270038,45.876222,350.168904,0.339088,0.069857
200403,131,9,6.908755,1,62.178793,29.683590,379.852494,0.339088,0.069857
200404,127,9,6.908711,1,69.087504,16.940410,396.792904,0.339088,0.069857
200405,131,9,6.908755,1,75.996258,22.481130,419.274035,0.332058,0.061046
200406,137,10,4.198273,4,80.194532,4.266093,423.540128,0.332058,0.061046
200407,143,10,0.867636,8,81.062168,0.869018,424.409146,0.332058,0.061046
200408,144,10,6.908755,1,87.970923,27.597079,452.006225,0.327528,0.052594
200409,146,10,6.908748,1,94.879671,18.820793,470.827019,0.343101,0.052197
200410,152,11,6.908755,1,101.788426,25.720718,496.547737,0.301577,0.048167
200411,157,11,-5.950086,42,95.838340,-5.951083,490.596654,0.234115,0.020505
200412,153,11,3.752883,2,99.591223,3.795419,494.392073,0.213211,0.030878
200501,153,11,1.194036,15,100.785259,1.196339,495.588412,0.201158,0.005476
200502,158,11,4.306105,2,105.091364,4.382070,499.970482,0.182213,-0.001959
200503,160,11,6.870434,1,111.961797,10.150285,510.120767,0.175895,0.000662
200504,173,12,6.908748,1,118.870546,18.876597,528.997364,0.164004,-0.018167
200505,182,13,6.908755,1,125.779300,44.586793,573.584157,0.174611,-0.027780
200506,176,12,6.908755,1,132.688055,107.334159,680.918316,0.178420,-0.047065
200507,177,12,6.908755,1,139.596810,105.525889,786.444205,0.156839,-0.047904
200508,174,12,6.908755,1,146.505565,128.752666,915.196872,0.138599,-0.078217
200509,181,13,6.908755,1,153.414320,191.875013,1107.071884,0.117209,-0.144845
200510,182,13,6.908755,1,160.323074,247.955073,1355.026958,0.104435,-0.179527
200511,183,13,6.908755,1,167.231829,282.346349,1637.373307,0.091630,-0.207751
200512,151,11,6.908755,1,174.140584,251.122932,1888.496240,0.065326,-0.194969
200601,150,10,6.908755,1,181.049339,169.761602,2058.257842,0.067517,-0.165502
200602,154,11,6.908755,1,187.958093,153.027884,2211.285726,0.063654,-0.132493
200603,151,11,6.908755,1,194.866848,129.201449,2340.487175,0.058958,-0.072439
200604,146,10,6.908755,1,201.775603,112.234158,2452.721333,0.075181,-0.046154
200605,140,10,6.908754,1,208.684357,21.717350,2474.438683,0.095827,0.008127
200606,130,9,-3.880778,21,204.803579,-3.881757,2470.556926,0.109568,0.029540
200607,129,9,-35.674151,155,169.129428,-35.675150,2434.881776,0.109986,0.033778
200608,128,9,6.350295,1,175.479723,7.198136,2442.079912,0.123408,0.051461
200609,130,9,6.908755,1,182.388478,37.676701,2479.756613,0.123076,0.081478
200610,131,9,6.897981,1,189.286459,11.433044,2491.189657,0.130498,0.112212
200611,144,10,-47.384084,403,141.902375,-47.385084,2443.804573,0.121524,0.083931
200612,139,10,6.908129,1,148.810504,14.284052,2458.088626,0.089753,0.058315
200701,144,10,6.908335,1,155.718839,14.683047,2472.771673,0.096191,0.064780
200702,148,10,6.907594,1,162.626433,13.666087,2486.437760,0.092768,0.066206
200703,148,10,6.908755,1,169.535188,29.266213,2515.703973,0.095449,0.068051
