date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,395,27,6.908755,1,6.908755,237.141864,237.141864,0.311014,0.200623
200308,401,27,6.908755,1,13.817510,310.132380,547.274243,0.311014,0.200623
200309,412,28,6.908755,1,20.726264,385.533130,932.807374,0.315352,0.192511
200310,406,28,6.908755,1,27.635019,344.355684,1277.163058,0.315352,0.192511
200311,416,28,6.908755,1,34.543774,394.461604,1671.624662,0.315352,0.192511
200312,421,29,6.908755,1,41.452529,423.792407,2095.417069,0.315352,0.192511
200401,429,29,6.908755,1,48.361283,380.497647,2475.914716,0.315352,0.192511
200402,426,29,6.908755,1,55.270038,435.873161,2911.787877,0.314332,0.213539
200403,428,29,6.908755,1,62.178793,393.539216,3305.327092,0.314332,0.213539
200404,423,29,6.908755,1,69.087548,472.345790,3777.672883,0.314332,0.213539
200405,423,29,6.908755,1,75.996303,499.674065,4277.346947,0.324927,0.213167
200406,424,29,6.908755,1,82.905057,571.027681,4848.374629,0.324927,0.213167
200407,425,29,6.908755,1,89.813812,588.740365,5437.114994,0.324927,0.213167
200408,428,29,6.908755,1,96.722567,485.300594,5922.415588,0.302982,0.211251
200409,439,30,6.908755,1,103.631322,473.019872,6395.435459,0.290266,0.214378
200410,436,30,6.908755,1,110.540076,435.893654,6831.329113,0.268117,0.222505
200411,444,30,6.908755,1,117.448831,353.041282,7184.370395,0.227163,0.206207
200412,445,30,6.908755,1,124.357586,260.379647,7444.750042,0.201242,0.197854
200501,444,30,6.908755,1,131.266341,141.392736,7586.142778,0.158654,0.165648
200502,443,30,6.908755,1,138.175096,108.186263,7694.329041,0.135360,0.136713
200503,438,30,6.908755,1,145.083850,76.425025,7770.754066,0.109502,0.115804
200504,436,30,6.908755,1,151.992605,29.855649,7800.609715,0.086789,0.105570
200505,431,29,6.908755,1,158.901360,38.083351,7838.693065,0.083012,0.119476
200506,438,30,6.908755,1,165.810115,37.804090,7876.497155,0.071895,0.122110
200507,442,30,6.908755,1,172.718869,27.744582,7904.241737,0.066993,0.131247
200508,439,30,6.908755,1,179.627624,22.418432,7926.660170,0.064787,0.144249
200509,449,30,6.908755,1,186.536379,28.587964,7955.248133,0.064666,0.152769
200510,455,31,6.904284,1,193.440663,12.315779,7967.563912,0.067996,0.168286
200511,455,31,6.908755,1,200.349418,43.103328,8010.667240,0.066014,0.159051
200512,446,30,6.908755,1,207.258173,25.824391,8036.491631,0.064419,0.167428
200601,430,29,6.908755,1,214.166927,68.600716,8105.092347,0.065691,0.165714
200602,434,29,6.908755,1,221.075682,37.245299,8142.337646,0.063764,0.155206
200603,434,29,6.908755,1,227.984437,40.743377,8183.081024,0.064272,0.154002
200604,431,29,6.908755,1,234.893192,55.757624,8238.838648,0.062854,0.161485
200605,433,29,6.908755,1,241.801947,30.008476,8268.847124,0.063079,0.175349
200606,421,29,6.908755,1,248.710701,57.088931,8325.936055,0.065433,0.181218
200607,423,29,6.908755,1,255.619456,26.507498,8352.443553,0.064577,0.183073
