date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,54,4,-0.105709,23,-0.105709,-0.105809,-0.105809,0.124324,0.015252
200308,54,4,3.608580,2,3.502871,3.645154,3.539345,0.124324,0.015252
200309,53,4,4.871117,1,8.373988,5.009766,8.549111,0.163875,0.067595
200310,62,5,5.149663,2,13.523651,5.337648,13.886759,0.163875,0.067595
200311,62,5,3.015733,9,16.539384,3.035328,16.922087,0.163875,0.067595
200312,64,5,6.908705,1,23.448089,16.809333,33.731420,0.163875,0.067595
200401,67,5,6.770401,1,30.218490,8.815726,42.547146,0.163875,0.067595
200402,69,5,6.883473,1,37.101964,10.572778,53.119924,0.172740,0.185507
200403,67,5,6.908748,1,44.010711,18.770250,71.890173,0.172740,0.185507
200404,67,5,6.135624,1,50.146335,6.753714,78.643887,0.172740,0.185507
200405,69,5,-1.882224,43,48.264111,-1.883071,76.760816,0.171123,0.205026
200406,73,5,6.906795,1,55.170906,13.141935,89.902751,0.171123,0.205026
200407,71,5,6.908526,1,62.079432,15.289747,105.192498,0.171123,0.205026
200408,69,5,6.907914,1,68.987347,13.988938,119.181436,0.160464,0.184241
200409,72,5,6.908739,1,75.896086,17.972941,137.154377,0.177967,0.230105
200410,71,5,6.902344,1,82.798430,11.954373,149.108750,0.160479,0.202234
200411,72,5,6.907984,1,89.706414,14.075497,163.184247,0.139144,0.193782
200412,72,5,6.908749,1,96.615163,18.951796,182.136043,0.126850,0.176455
200501,72,5,6.787615,1,103.402778,8.957384,191.093426,0.114504,0.144983
200502,87,6,6.901388,1,110.304166,11.814895,202.908321,0.102474,0.105866
200503,88,6,6.753691,1,117.057858,8.693144,211.601465,0.107884,0.094699
200504,89,6,6.833417,1,123.891275,9.455620,221.057085,0.093266,0.089414
200505,90,6,5.628503,1,129.519778,5.953189,227.010274,0.081383,0.072185
200506,93,7,2.669367,8,132.189145,2.682889,229.693162,0.069976,0.098823
200507,93,7,0.104342,35,132.293487,0.104452,229.797614,0.059419,0.079578
200508,95,7,-3.324629,215,128.968858,-3.325593,226.472022,0.058179,0.048184
200509,100,7,-17.471036,221,111.497822,-17.472035,208.999987,0.044317,0.072341
200510,94,7,0.918009,7,112.415831,0.919515,209.919501,0.045965,0.037905
200511,94,7,6.900061,1,119.315892,11.648561,221.568063,0.077914,0.000815
200512,95,7,-17.440943,407,101.874950,-17.441942,204.126120,0.081855,-0.030988
200601,100,7,6.908639,1,108.783588,15.970383,220.096503,0.084690,-0.039945
200602,103,7,6.854525,1,115.638114,9.795047,229.891550,0.081726,-0.029300
200603,101,7,6.905042,1,122.543155,12.501798,242.393348,0.072476,-0.079019
200604,103,7,6.438023,1,128.981179,7.416641,249.809989,0.072170,-0.083773
200605,101,7,2.955677,7,131.936855,2.974060,252.784049,0.041515,-0.113355
200606,130,9,-3.048403,26,128.888453,-3.049355,249.734694,0.037383,-0.103276
200607,127,9,-11.560224,124,117.328229,-11.561223,238.173471,0.036183,-0.115215
200608,134,9,6.782537,1,124.110765,8.913725,247.087196,0.039517,-0.140937
200609,128,9,6.425622,1,130.536388,7.383947,254.471142,0.041313,-0.128565
200610,164,11,6.908754,1,137.445142,21.153287,275.624429,0.041811,-0.096842
200611,164,11,5.025404,2,142.470546,5.189373,280.813802,0.039583,-0.062307
200612,159,11,-18.427788,388,124.042758,-18.428787,262.385015,0.036198,0.014538
200701,158,11,6.209244,1,130.252002,6.895068,269.280082,0.037048,0.044743
200702,184,13,6.905045,1,137.157047,12.502766,281.782848,0.035387,0.066872
200703,185,13,6.908718,1,144.065765,17.110351,298.893199,0.035819,0.099995
200704,185,13,4.357670,4,148.423435,4.437877,303.331076,0.034835,0.096370
200705,188,13,6.908755,1,155.332189,25.947102,329.278178,0.026819,0.082005
200706,184,13,6.908755,1,162.240944,34.384275,363.662453,0.028575,0.077266
200707,184,13,6.908755,1,169.149699,28.765610,392.428063,0.035666,0.105120
200708,186,13,3.482180,4,172.631879,3.514218,395.942280,0.032528,0.112093
200709,192,13,-11.818275,9,160.813604,-11.819274,384.123006,0.033261,0.138120
200710,183,13,6.908752,1,167.722356,19.838713,403.961720,0.040194,0.161053
200711,185,13,-8.333102,97,159.389254,-8.334102,395.627618,0.055050,0.179232
200712,186,13,-8.485748,80,150.903506,-8.486747,387.140871,0.060022,0.162367
200801,178,12,6.908569,1,157.812076,15.499903,402.640774,0.063636,0.180796
200802,179,12,6.508874,1,164.320949,7.617748,410.258522,0.081021,0.203395
200803,178,12,-4.624955,35,159.695994,-4.625945,405.632577,0.084868,0.214206
200804,177,12,-2.841891,116,156.854103,-2.842832,402.789745,0.084357,0.192606
200805,177,12,6.908746,1,163.762849,18.591324,421.381069,0.084243,0.204129
200806,178,12,6.908755,1,170.671604,29.350726,450.731795,0.084635,0.211529
200807,176,12,6.908755,1,177.580359,24.192384,474.924179,0.071128,0.177019
200808,176,12,6.908755,1,184.489113,30.907526,505.831705,0.065302,0.121664
200809,173,12,6.843258,1,191.332371,9.600581,515.432287,0.060815,0.094905
200810,172,12,6.398445,1,197.730817,7.314511,522.746798,0.059444,0.106961
200811,173,12,6.804643,1,204.535460,9.117543,531.864341,0.060050,0.094066
200812,103,7,2.402344,14,206.937804,2.412444,534.276785,0.064480,0.114888
200901,101,7,-0.477570,362,206.460234,-0.477950,533.798835,0.076784,0.150071
200902,104,7,4.486824,1,210.947057,4.578762,538.377597,0.080045,0.113697
200903,126,9,-0.017215,32,210.929842,-0.017233,538.360364,0.080994,0.118555
200904,132,9,3.160473,6,214.090315,3.183314,541.543678,0.080522,0.066377
200905,134,9,6.869098,1,220.959413,10.115363,551.659041,0.082714,0.056463
200906,129,9,6.883400,1,227.842813,10.569846,562.228887,0.071710,0.009872
200907,131,9,6.907426,1,234.750239,13.530223,575.759110,0.072173,0.008707
200908,132,9,6.879539,1,241.629778,10.426159,586.185269,0.084012,0.031295
200909,134,9,6.908736,1,248.538514,17.805117,603.990387,0.091576,-0.005653
200910,138,10,6.908596,1,255.447110,15.655246,619.645633,0.099978,0.000964
200911,141,10,6.906150,1,262.353260,12.856938,632.502571,0.117809,-0.009071
200912,144,10,-9.623600,146,252.729661,-9.624599,622.877971,0.152928,0.017524
201001,141,10,0.535618,20,253.265278,0.536326,623.414298,0.173961,0.000304
201002,156,11,-4.838923,13,248.426355,-4.839915,618.574383,0.192353,0.003717
201003,158,11,6.379393,1,254.805747,7.267508,625.841890,0.222105,0.064823
201004,157,11,6.205455,1,261.011203,6.887553,632.729443,0.280847,0.084885
201005,159,11,6.882578,1,267.893780,10.537507,643.266950,0.306983,0.084988
201006,156,11,6.908653,1,274.802433,16.098894,659.365845,0.326670,0.112091
201007,160,11,6.908754,1,281.711188,21.740902,681.106746,0.365115,0.144368
201008,161,11,6.908754,1,288.619941,20.683262,701.790008,0.377256,0.147941
201009,163,11,6.908755,1,295.528696,32.246883,734.036891,0.391987,0.142422
201010,163,11,6.908755,1,302.437451,39.864998,773.901889,0.384540,0.125777
201011,165,11,6.908755,1,309.346206,68.690560,842.592449,0.381690,0.102589
201012,165,11,6.908755,1,316.254960,72.078708,914.671158,0.364755,0.119791
201101,165,11,6.908755,1,323.163715,69.808056,984.479214,0.345132,0.178823
201102,174,12,6.908755,1,330.072470,91.584580,1076.063793,0.330903,0.236283
201103,173,12,6.908755,1,336.981225,92.654522,1168.718315,0.335218,0.279501
201104,175,12,6.908755,1,343.889979,85.555475,1254.273790,0.305174,0.307685
201105,177,12,6.908755,1,350.798734,86.498756,1340.772546,0.290112,0.321143
201106,181,13,6.908755,1,357.707489,116.319824,1457.092370,0.304787,0.373603
201107,181,13,6.908755,1,364.616244,93.989809,1551.082179,0.309637,0.321585
201108,182,13,6.908755,1,371.524999,59.477029,1610.559208,0.298756,0.261744
201109,182,13,6.908754,1,378.433753,21.815132,1632.374340,0.272933,0.193920
201110,186,13,6.908755,1,385.342508,36.590519,1668.964859,0.250503,0.124335
201111,160,11,6.908754,1,392.251262,21.887781,1690.852640,0.234015,0.095502
201112,159,11,6.908744,1,399.160006,18.338358,1709.190997,0.204068,0.048161
201201,159,11,6.908753,1,406.068759,20.006011,1729.197008,0.174384,0.066013
201202,160,11,6.865734,1,412.934493,10.032244,1739.229253,0.174360,0.082204
201203,161,11,6.908407,1,419.842900,14.870712,1754.099965,0.179311,0.093426
201204,158,11,6.908755,1,426.751655,23.696860,1777.796825,0.188390,0.091217
201205,169,12,6.908700,1,433.660354,16.712665,1794.509490,0.188780,0.114238
201206,172,12,6.888385,1,440.548739,10.791253,1805.300743,0.190220,0.143478
201207,178,12,6.908642,1,447.457381,15.999178,1821.299922,0.180137,0.164374
201208,170,12,3.998257,3,451.455638,4.053244,1825.353166,0.163612,0.172231
201209,177,12,3.579277,6,455.034915,3.614746,1828.967912,0.146369,0.182400
201210,175,12,-13.062118,244,441.972797,-13.063118,1815.904794,0.134771,0.179480
201211,177,12,-1.532703,40,440.440094,-1.533487,1814.371308,0.130623,0.198792
201212,173,12,5.820992,2,446.261086,6.230927,1820.602235,0.126014,0.204197
201301,173,12,0.790193,14,447.051279,0.791398,1821.393633,0.131121,0.180472
201302,180,12,6.879204,1,453.930483,10.414597,1831.808230,0.142192,0.150285
201303,182,13,6.835436,1,460.765919,9.483809,1841.292039,0.159667,0.127159
201304,175,12,6.908200,1,467.674119,14.404190,1855.696229,0.177789,0.148806
201305,177,12,6.876965,1,474.551085,10.340440,1866.036669,0.185155,0.178975
201306,190,13,6.908752,1,481.459837,19.858916,1885.895585,0.197890,0.190119
201307,193,13,6.908754,1,488.368591,20.683567,1906.579152,0.204415,0.200589
201308,194,13,6.908755,1,495.277345,23.700954,1930.280106,0.207932,0.198597
201309,197,14,6.908755,1,502.186100,32.086223,1962.366328,0.204463,0.176002
201310,198,14,6.908755,1,509.094855,31.775400,1994.141728,0.189375,0.124379
201311,200,14,6.908731,1,516.003586,17.542465,2011.684193,0.191136,0.124746
201312,219,15,6.908755,1,522.912341,31.552627,2043.236820,0.189262,0.135309
201401,216,15,6.908755,1,529.821095,22.502621,2065.739440,0.184212,0.159395
201402,218,15,6.815112,1,536.636207,9.228834,2074.968275,0.175590,0.171351
201403,215,15,6.908755,1,543.544962,28.942056,2103.910331,0.171232,0.193405
201404,214,15,6.908742,1,550.453703,18.152339,2122.062669,0.170840,0.223789
201405,216,15,6.908747,1,557.362451,18.694669,2140.757338,0.162306,0.248342
201406,231,16,6.908755,1,564.271205,24.661051,2165.418389,0.153115,0.263018
201407,234,16,6.908754,1,571.179959,20.540577,2185.958967,0.150855,0.274944
201408,236,16,6.908755,1,578.088714,31.147076,2217.106043,0.149018,0.285428
201409,237,16,6.908755,1,584.997469,36.034485,2253.140527,0.145701,0.281489
201410,235,16,6.908755,1,591.906223,30.970458,2284.110985,0.144063,0.263317
201411,234,16,6.908755,1,598.814978,35.726230,2319.837215,0.144019,0.248820
201412,236,16,-8.117003,4,590.697975,-8.118003,2311.719213,0.146892,0.228097
201501,231,16,6.908754,1,597.606729,21.436564,2333.155777,0.146913,0.212811
201502,227,16,6.902878,1,604.509607,12.041604,2345.197381,0.150215,0.195096
201503,229,16,6.908755,1,611.418362,26.169515,2371.366896,0.151139,0.176511
201504,246,17,6.908755,1,618.327117,28.611968,2399.978864,0.153110,0.168917
201505,241,17,6.908755,1,625.235872,28.230561,2428.209426,0.151944,0.169972
201506,251,17,6.908755,1,632.144626,58.754520,2486.963946,0.147977,0.163452
201507,252,17,6.908755,1,639.053381,44.337988,2531.301934,0.141429,0.172033
201508,252,17,6.908755,1,645.962136,60.335085,2591.637019,0.138542,0.188647
201509,254,17,6.908755,1,652.870891,92.233159,2683.870178,0.136075,0.189048
201510,253,17,6.908755,1,659.779646,65.293097,2749.163275,0.130259,0.183536
201511,252,17,6.908755,1,666.688400,66.485880,2815.649156,0.131845,0.186613
201512,258,18,6.908755,1,673.597155,59.555424,2875.204579,0.132131,0.204052
201601,251,17,6.908755,1,680.505910,77.695673,2952.900252,0.133628,0.235389
