date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,137,10,3.841918,3,3.841918,3.888606,3.888606,0.282106,0.024633
200308,143,10,3.579172,3,7.421090,3.614638,7.503243,0.282106,0.024633
200309,148,10,6.908752,1,14.329842,19.842020,27.345263,0.229905,-0.024176
200310,150,10,6.842471,1,21.172313,9.588238,36.933502,0.229905,-0.024176
200311,152,11,6.908609,1,28.080922,15.740269,52.673771,0.229905,-0.024176
200312,150,10,1.447765,13,29.528687,1.451024,54.124794,0.229905,-0.024176
200401,139,10,-0.364612,16,29.164075,-0.364917,53.759877,0.229905,-0.024176
200402,143,10,1.861062,7,31.025137,1.866507,55.626384,0.205423,-0.055648
200403,139,10,6.729008,1,37.754145,8.532743,64.159127,0.205423,-0.055648
200404,135,9,6.832219,1,44.586364,9.439236,73.598364,0.205423,-0.055648
200405,140,10,-11.913824,42,32.672540,-11.914824,61.683540,0.234279,-0.047220
200406,146,10,6.325577,1,38.998117,7.141300,68.824839,0.234279,-0.047220
200407,152,11,6.697581,1,45.695698,8.355386,77.180225,0.234279,-0.047220
200408,153,11,6.901608,1,52.597306,11.845272,89.025497,0.255184,-0.036417
200409,155,11,6.908755,1,59.506061,25.804758,114.830255,0.263135,-0.054867
200410,162,11,6.908753,1,66.414814,20.301662,135.131917,0.248498,-0.088672
200411,167,12,6.908755,1,73.323569,23.708567,158.840485,0.269474,-0.103003
200412,163,11,6.908755,1,80.232324,27.059165,185.899650,0.316531,-0.079080
200501,164,11,6.908755,1,87.141078,37.630398,223.530047,0.343939,-0.096609
200502,169,12,6.908755,1,94.049833,28.887965,252.418012,0.362305,-0.063796
200503,172,12,6.908748,1,100.958582,18.875031,271.293044,0.381653,-0.084483
200504,187,13,3.706249,2,104.664830,3.746759,275.039803,0.389581,-0.049053
200505,196,14,6.492678,1,111.157508,7.569399,282.609202,0.411428,0.001724
200506,190,13,6.108270,2,117.265779,6.703494,289.312696,0.401121,0.020556
200507,190,13,6.908753,1,124.174532,20.419760,309.732455,0.371776,0.063100
200508,190,13,6.908755,1,131.083287,24.259869,333.992325,0.334361,0.087450
200509,197,14,4.796339,2,135.879626,4.924248,338.916573,0.321655,0.085541
200510,194,13,6.873297,1,142.752923,10.229386,349.145959,0.314194,0.103837
200511,197,14,6.734691,1,149.487614,8.567794,357.713753,0.279953,0.100008
200512,165,11,6.908053,1,156.395667,14.169619,371.883371,0.275224,0.100056
200601,164,11,6.908754,1,163.304421,21.696475,393.579847,0.269896,0.078804
200602,171,12,6.908697,1,170.213119,16.674778,410.254625,0.284651,0.073457
200603,168,12,6.908755,1,177.121874,23.867412,434.122037,0.273671,0.118133
200604,158,11,4.471257,2,181.593131,4.561693,438.683730,0.246099,0.125168
200605,152,11,6.908698,1,188.501829,16.682678,455.366408,0.249288,0.133382
200606,142,10,1.809207,2,190.311036,1.814326,457.180734,0.236967,0.165029
200607,141,10,6.905195,1,197.216231,12.544136,469.724870,0.235015,0.197887
200608,140,10,6.908754,1,204.124985,20.691618,490.416488,0.233415,0.207967
200609,142,10,6.908442,1,211.033427,14.977977,505.394465,0.239418,0.241387
200610,143,10,6.906249,1,217.939677,12.895736,518.290201,0.240138,0.218633
200611,157,11,5.818948,2,223.758625,6.227846,524.518047,0.249434,0.181088
200612,147,10,6.902354,1,230.660979,11.955929,536.473976,0.263512,0.128765
200701,152,11,6.908754,1,237.569733,21.746728,558.220704,0.268882,0.087680
200702,157,11,6.908702,1,244.478435,16.760381,574.981085,0.276257,0.089289
200703,157,11,5.921091,2,250.399526,6.386016,581.367101,0.275099,0.084587
200704,134,9,6.901103,1,257.300629,11.776755,593.143856,0.292555,0.092554
200705,131,9,6.906345,1,264.206974,12.934596,606.078451,0.281570,0.109528
200706,136,10,5.289962,2,269.496936,5.509781,611.588232,0.262757,0.101485
200707,128,9,6.896481,1,276.393416,11.301862,622.890094,0.247180,0.099629
200708,125,9,3.135641,5,279.529057,3.157890,626.047984,0.226309,0.109555
200709,125,9,1.787921,5,281.316978,1.792911,627.840895,0.219225,0.122351
200710,114,8,-21.885844,7,259.431135,-21.886843,605.954052,0.192681,0.118614
200711,105,7,-1.217044,5,258.214091,-1.217748,604.736304,0.190986,0.175740
200712,99,7,6.908755,1,265.122846,22.914191,627.650496,0.183744,0.207048
200801,96,7,-4.718210,10,260.404635,-4.719201,622.931295,0.182655,0.215452
