date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,442,30,6.908755,1,6.908755,168.506972,168.506972,0.675398,-0.002318
200308,444,30,6.908755,1,13.817510,168.719393,337.226364,0.675398,-0.002318
200309,451,31,6.908755,1,20.726264,243.051742,580.278106,0.642402,-0.007260
200310,433,29,6.908755,1,27.635019,228.689097,808.967203,0.642402,-0.007260
200311,437,30,6.908755,1,34.543774,244.703621,1053.670824,0.642402,-0.007260
200312,442,30,6.908755,1,41.452529,353.494458,1407.165282,0.642402,-0.007260
200401,441,30,6.908755,1,48.361283,368.030990,1775.196272,0.642402,-0.007260
200402,445,30,6.908755,1,55.270038,340.563636,2115.759908,0.596249,0.058977
200403,438,30,6.908755,1,62.178793,360.018600,2475.778508,0.596249,0.058977
200404,440,30,6.908755,1,69.087548,361.355464,2837.133972,0.596249,0.058977
200405,435,29,6.908755,1,75.996303,420.040256,3257.174228,0.563333,0.088148
200406,436,30,6.908755,1,82.905057,477.476562,3734.650790,0.563333,0.088148
200407,432,29,6.908755,1,89.813812,527.847791,4262.498581,0.563333,0.088148
200408,431,29,6.908755,1,96.722567,511.972551,4774.471133,0.538882,0.095512
200409,441,30,6.908755,1,103.631322,448.148876,5222.620008,0.502606,0.115334
200410,437,30,6.908755,1,110.540076,460.079605,5682.699613,0.471024,0.146637
200411,434,29,6.908755,1,117.448831,565.828259,6248.527873,0.445006,0.192491
200412,423,29,6.908755,1,124.357586,486.898509,6735.426381,0.425853,0.206684
200501,425,29,6.908755,1,131.266341,502.772715,7238.199097,0.406522,0.219972
200502,427,29,6.908755,1,138.175096,448.885331,7687.084428,0.378497,0.196377
200503,411,28,6.908755,1,145.083850,337.122113,8024.206541,0.342404,0.204049
200504,404,27,6.908755,1,151.992605,216.843246,8241.049788,0.313720,0.192793
200505,402,27,6.908755,1,158.901360,188.252860,8429.302647,0.284614,0.193122
200506,397,27,6.908755,1,165.810115,147.268629,8576.571276,0.264471,0.205843
200507,403,27,6.908755,1,172.718869,183.355163,8759.926439,0.249005,0.210426
200508,405,27,6.908755,1,179.627624,145.012179,8904.938618,0.234168,0.223742
200509,404,27,6.908755,1,186.536379,113.493454,9018.432072,0.223111,0.243879
200510,414,28,6.908755,1,193.445134,106.727516,9125.159588,0.213826,0.247798
200511,411,28,6.908755,1,200.353889,122.618817,9247.778405,0.208934,0.246918
200512,411,28,6.908755,1,207.262643,99.813432,9347.591836,0.202380,0.245460
200601,413,28,6.908755,1,214.171398,101.171500,9448.763336,0.190691,0.230720
200602,424,29,6.908755,1,221.080153,61.725799,9510.489135,0.180219,0.220907
200603,419,28,6.908755,1,227.988908,49.428675,9559.917810,0.173659,0.217105
200604,424,29,6.908755,1,234.897662,37.808010,9597.725820,0.163787,0.224607
200605,416,28,6.908755,1,241.806417,50.291224,9648.017043,0.158537,0.214032
200606,410,28,6.908755,1,248.715172,66.885618,9714.902661,0.149835,0.199999
200607,416,28,6.908755,1,255.623927,43.144855,9758.047516,0.149230,0.207890
200608,417,28,6.908755,1,262.532682,54.009249,9812.056766,0.149121,0.215932
200609,416,28,6.908755,1,269.441436,44.807624,9856.864390,0.143829,0.219729
200610,403,27,6.908755,1,276.350191,59.010444,9915.874834,0.141018,0.222579
200611,394,27,6.908755,1,283.258946,28.023132,9943.897966,0.139705,0.208301
200612,395,27,6.908755,1,290.167701,40.669297,9984.567263,0.141664,0.195289
200701,400,27,6.908755,1,297.076456,41.227596,10025.794858,0.140199,0.179454
200702,391,27,-0.975244,8,296.101211,-0.975867,10024.818991,0.139010,0.176527
200703,380,26,6.908755,1,303.009966,33.891881,10058.710872,0.139202,0.171390
