date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,395,27,6.908755,1,6.908755,70.144312,70.144312,0.022359,-0.023983
200308,401,27,6.908755,1,13.817510,91.954411,162.098723,0.022359,-0.023983
200309,412,28,6.908755,1,20.726264,93.422905,255.521628,0.009196,-0.033533
200310,406,28,6.908755,1,27.635019,139.458347,394.979975,0.009196,-0.033533
200311,416,28,6.908755,1,34.543774,91.032813,486.012788,0.009196,-0.033533
200312,421,29,6.908755,1,41.452529,126.338956,612.351744,0.009196,-0.033533
200401,429,29,6.908755,1,48.361283,163.106182,775.457926,0.009196,-0.033533
200402,426,29,6.908755,1,55.270038,209.973515,985.431441,0.000573,-0.040853
200403,428,29,6.908755,1,62.178793,196.039464,1181.470905,0.000573,-0.040853
200404,423,29,6.908755,1,69.087548,199.110428,1380.581333,0.000573,-0.040853
200405,423,29,6.908755,1,75.996303,211.283276,1591.864609,0.000843,-0.052404
200406,424,29,6.908755,1,82.905057,260.745513,1852.610122,0.000843,-0.052404
200407,425,29,6.908755,1,89.813812,271.494749,2124.104872,0.000843,-0.052404
200408,428,29,6.908755,1,96.722567,215.857564,2339.962436,0.007600,-0.055948
200409,439,30,6.908755,1,103.631322,304.268184,2644.230620,0.008827,-0.068123
200410,436,30,6.908755,1,110.540076,310.679173,2954.909794,0.009529,-0.086325
200411,444,30,6.908755,1,117.448831,256.655733,3211.565527,0.018871,-0.079741
200412,445,30,6.908755,1,124.357586,178.810745,3390.376272,0.030678,-0.076227
200501,444,30,6.908755,1,131.266341,227.028335,3617.404607,0.036353,-0.081935
200502,443,30,6.908755,1,138.175096,234.988371,3852.392978,0.038345,-0.081433
200503,438,30,6.908755,1,145.083850,117.747562,3970.140539,0.038856,-0.079686
200504,436,30,6.908755,1,151.992605,74.698036,4044.838575,0.043295,-0.067497
200505,431,29,6.908755,1,158.901360,123.783655,4168.622230,0.042173,-0.065270
200506,438,30,6.908755,1,165.810115,86.487906,4255.110136,0.039777,-0.055379
200507,442,30,6.908755,1,172.718869,96.834934,4351.945070,0.039097,-0.042679
200508,439,30,6.908755,1,179.627624,61.037905,4412.982974,0.038357,-0.036107
200509,449,30,6.908755,1,186.536379,158.602868,4571.585842,0.042306,-0.027595
200510,455,31,6.908755,1,193.445134,200.407160,4771.993002,0.041359,-0.032028
200511,455,31,6.908755,1,200.353889,119.666174,4891.659177,0.042459,-0.035778
200512,446,30,6.908755,1,207.262643,110.803474,5002.462651,0.046443,-0.026603
200601,430,29,6.908755,1,214.171398,67.431590,5069.894241,0.049604,-0.022336
200602,434,29,6.908755,1,221.080153,45.312664,5115.206905,0.054428,-0.010562
200603,434,29,6.908755,1,227.988908,47.275194,5162.482099,0.056415,-0.006330
200604,431,29,6.908755,1,234.897662,57.855536,5220.337635,0.060942,0.018206
200605,433,29,6.908755,1,241.806417,28.615415,5248.953050,0.064553,0.037973
200606,421,29,6.908755,1,248.715172,29.836093,5278.789143,0.061186,0.040534
200607,423,29,6.908755,1,255.623927,73.829822,5352.618965,0.060800,0.044251
200608,414,28,6.908755,1,262.532682,50.429074,5403.048039,0.058887,0.047015
200609,415,28,6.908755,1,269.441436,67.518424,5470.566462,0.056189,0.050230
200610,380,26,6.908755,1,276.350191,36.451776,5507.018239,0.054014,0.045842
200611,389,26,6.908755,1,283.258946,52.507566,5559.525805,0.052240,0.042423
200612,380,26,6.908755,1,290.167701,45.253607,5604.779411,0.052179,0.029441
200701,378,26,6.908755,1,297.076456,39.630765,5644.410176,0.053502,0.029996
200702,356,24,6.908755,1,303.985210,45.405614,5689.815789,0.054039,0.022598
200703,353,24,6.908755,1,310.893965,33.989910,5723.805699,0.055782,0.014588
200704,367,25,6.908751,1,317.802716,19.467796,5743.273495,0.058130,0.023153
200705,371,25,6.908755,1,324.711471,41.343551,5784.617046,0.061278,0.036821
200706,370,25,6.908666,1,331.620137,16.239523,5800.856569,0.065167,0.050607
200707,362,25,6.908755,1,338.528892,26.999577,5827.856146,0.066475,0.054693
200708,356,24,6.908755,1,345.437647,35.082368,5862.938514,0.068651,0.065684
200709,364,25,6.908755,1,352.346402,78.100999,5941.039513,0.069437,0.076167
200710,386,26,6.427344,1,358.773745,7.388445,5948.427958,0.066549,0.060353
200711,379,26,2.368777,6,361.142522,2.378509,5950.806467,0.062127,0.039222
200712,395,27,6.908755,1,368.051277,74.663475,6025.469942,0.061400,0.034082
200801,394,27,6.908755,1,374.960032,29.489627,6054.959569,0.062937,0.030679
200802,400,27,6.908755,1,381.868787,48.284810,6103.244379,0.059882,0.010389
200803,401,27,6.908755,1,388.777541,44.078280,6147.322659,0.062026,0.009921
200804,408,28,6.908755,1,395.686296,96.235339,6243.557999,0.066198,0.024252
200805,414,28,6.908755,1,402.595051,105.781547,6349.339545,0.070756,0.037974
200806,439,29,6.908755,1,409.503806,121.544325,6470.883870,0.068861,0.028903
200807,449,30,6.908755,1,416.412561,159.417639,6630.301510,0.065046,0.023751
200808,447,30,6.908755,1,423.321315,177.766639,6808.068149,0.065831,0.034756
200809,440,30,6.908755,1,430.230070,164.303137,6972.371286,0.062200,0.026428
200810,440,30,6.908755,1,437.138825,151.327220,7123.698506,0.060750,0.024410
200811,446,30,6.908755,1,444.047580,170.535637,7294.234143,0.057886,0.015040
200812,518,35,6.908755,1,450.956334,199.286103,7493.520245,0.057825,0.012572
200901,499,34,6.908755,1,457.865089,191.686669,7685.206915,0.060193,0.011327
200902,506,34,6.908755,1,464.773844,242.607785,7927.814700,0.059947,0.005815
200903,529,36,6.908755,1,471.682599,203.195924,8131.010624,0.056595,-0.008681
200904,527,36,6.908755,1,478.591354,226.214547,8357.225171,0.050983,-0.024587
200905,538,36,6.908755,1,485.500108,168.815718,8526.040889,0.049252,-0.015082
200906,561,38,6.908755,1,492.408863,193.621662,8719.662551,0.036665,-0.027393
200907,575,39,6.908755,1,499.317618,222.920736,8942.583288,0.023693,-0.041184
200908,593,40,6.908755,1,506.226373,149.975274,9092.558561,0.019366,-0.041597
200909,606,41,6.908755,1,513.135127,134.118311,9226.676872,0.014738,-0.037938
200910,604,41,6.908755,1,520.043882,174.292300,9400.969172,0.007415,-0.046756
200911,601,41,6.908755,1,526.952637,180.810607,9581.779780,-0.001669,-0.051691
200912,622,42,6.908755,1,533.861392,140.512540,9722.292320,0.005520,-0.051000
201001,626,42,6.908755,1,540.770147,145.436836,9867.729155,0.011048,-0.047480
201002,638,43,6.908755,1,547.678901,145.969758,10013.698913,0.009378,-0.051058
201003,637,43,6.908755,1,554.587656,143.327262,10157.026175,0.012161,-0.052347
201004,644,43,6.908755,1,561.496411,125.517505,10282.543680,0.012261,-0.045156
201005,641,43,6.908755,1,568.405166,118.971143,10401.514823,0.000710,-0.048483
201006,648,44,6.908755,1,575.313921,127.977606,10529.492430,-0.009416,-0.051355
201007,669,45,6.908755,1,582.222675,237.735341,10767.227771,-0.024603,-0.046631
201008,667,45,6.908755,1,589.131430,320.182849,11087.410620,-0.033641,-0.032375
201009,689,46,6.908755,1,596.040185,384.652068,11472.062688,-0.049211,-0.031399
201010,703,47,6.908755,1,602.948940,456.963987,11929.026675,-0.043449,-0.041856
201011,722,49,6.908755,1,609.857694,487.705977,12416.732652,-0.031385,-0.050828
201012,732,49,6.908755,1,616.766449,488.459524,12905.192176,-0.026453,-0.050385
201101,730,49,6.908755,1,623.675204,378.547896,13283.740072,-0.015215,-0.052277
201102,744,50,6.908755,1,630.583959,386.426157,13670.166229,-0.005540,-0.054298
201103,729,49,6.908755,1,637.492714,266.443946,13936.610176,0.012892,-0.051699
201104,758,51,6.908755,1,644.401468,319.507288,14256.117464,0.018810,-0.043064
201105,767,52,6.908755,1,651.310223,301.699942,14557.817405,0.029293,-0.032475
201106,786,53,6.908755,1,658.218978,303.780837,14861.598242,0.039303,-0.020273
201107,800,54,6.908755,1,665.127733,365.905156,15227.503398,0.043942,-0.017370
201108,799,54,6.908755,1,672.036487,287.596414,15515.099813,0.050693,-0.016003
201109,820,55,6.908755,1,678.945242,405.797793,15920.897606,0.054722,-0.012425
201110,834,56,6.908755,1,685.853997,468.498527,16389.396133,0.057236,-0.013280
201111,823,55,6.908755,1,692.762752,399.769922,16789.166055,0.057485,-0.013757
201112,845,57,6.908755,1,699.671507,418.129517,17207.295572,0.056147,-0.016280
201201,858,58,6.908755,1,706.580261,400.574897,17607.870470,0.059203,-0.015002
201202,871,59,6.908755,1,713.489016,366.513018,17974.383487,0.060136,-0.012726
201203,863,58,6.908755,1,720.397771,328.837998,18303.221485,0.065120,-0.007896
201204,886,60,6.908755,1,727.306526,386.617444,18689.838929,0.070522,-0.006109
201205,877,59,6.908755,1,734.215280,409.658061,19099.496990,0.077160,0.000785
201206,892,60,6.908755,1,741.124035,351.134214,19450.631204,0.081100,0.005473
201207,896,60,6.908755,1,748.032790,354.270534,19804.901737,0.078997,0.006536
201208,894,60,6.908755,1,754.941545,337.321271,20142.223009,0.077724,0.009275
201209,930,62,6.908755,1,761.850300,396.840433,20539.063442,0.072841,0.006506
201210,942,63,6.908755,1,768.759054,417.817213,20956.880655,0.069951,0.010269
201211,939,63,6.908755,1,775.667809,356.523855,21313.404509,0.065376,0.008571
201212,943,63,6.908755,1,782.576564,306.439419,21619.843929,0.064195,0.005859
201301,954,64,6.908755,1,789.485319,359.520937,21979.364866,0.066568,0.003951
201302,972,65,6.908755,1,796.394073,390.806249,22370.171115,0.067829,0.001852
201303,958,64,6.908755,1,803.302828,334.824620,22704.995735,0.068673,-0.002556
