date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,54,4,-0.883527,361,-0.883527,-0.884113,-0.884113,0.056857,-0.024076
200308,54,4,-19.457775,927,-20.341302,-19.458775,-20.342888,0.056857,-0.024076
200309,53,4,-3.457060,222,-23.798362,-3.458028,-23.800916,0.051313,-0.031353
200310,62,5,-0.219194,132,-24.017556,-0.219391,-24.020307,0.051313,-0.031353
200311,62,5,-3.687549,452,-27.705106,-3.688524,-27.708831,0.051313,-0.031353
200312,64,5,-2.913978,309,-30.619084,-2.914924,-30.623754,0.051313,-0.031353
200401,67,5,-10.616416,657,-41.235500,-10.617416,-41.241170,0.051313,-0.031353
200402,69,5,1.760584,35,-39.474916,1.765411,-39.475759,0.047294,-0.024294
200403,67,5,-11.722478,939,-51.197395,-11.723478,-51.199237,0.047294,-0.024294
200404,67,5,-3.671664,50,-54.869059,-3.672638,-54.871875,0.047294,-0.024294
200405,69,5,-7.966728,396,-62.835787,-7.967727,-62.839602,0.048697,-0.016644
200406,73,5,1.386491,22,-61.449296,1.389496,-61.450106,0.048697,-0.016644
200407,71,5,-0.270941,90,-61.720237,-0.271178,-61.721284,0.048697,-0.016644
200408,69,5,0.801200,102,-60.919037,0.802429,-60.918855,0.053677,-0.007400
200409,72,5,0.410089,126,-60.508948,0.410596,-60.508259,0.056913,-0.003087
200410,71,5,-1.380282,236,-61.889230,-1.381030,-61.889289,0.059045,-0.002331
200411,72,5,6.907933,1,-54.981296,14.011869,-47.877420,0.062858,-0.015159
200412,72,5,6.908683,1,-48.072614,16.445548,-31.431872,0.071930,0.005762
200501,72,5,6.117269,2,-41.955345,6.719888,-24.711984,0.072177,0.007618
200502,87,6,6.908752,1,-35.046593,19.811142,-4.900842,0.068354,-0.002784
200503,88,6,4.059426,6,-30.987167,4.118053,-0.782790,0.059209,-0.016390
200504,89,6,2.575772,15,-28.411395,2.587988,1.805198,0.053416,-0.019748
200505,90,6,5.234280,2,-23.177115,5.440805,7.246003,0.047292,-0.014004
200506,93,7,-3.787859,154,-26.964974,-3.788836,3.457167,0.037645,-0.042705
200507,93,7,-12.712121,197,-39.677094,-12.713120,-9.255953,0.030894,-0.071438
200508,95,7,6.908097,1,-32.768997,14.234455,4.978502,0.020327,-0.135440
200509,100,7,6.908548,1,-25.860449,15.390476,20.368978,0.021543,-0.160622
200510,94,7,6.908753,1,-18.951696,20.367676,40.736654,0.019894,-0.164201
200511,94,7,6.908753,1,-12.042943,20.130505,60.867159,0.006924,-0.145502
200512,95,7,6.907855,1,-5.135088,13.920247,74.787406,0.012021,-0.202739
