date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,24,2,3.536064,4,3.536064,3.569963,3.569963,0.107179,0.003103
200308,24,2,1.197609,95,4.733672,1.199924,4.769887,0.107179,0.003103
200309,26,2,0.690964,146,5.424636,0.691960,5.461847,0.087320,0.011478
200310,26,2,1.282462,81,6.707098,1.285071,6.746918,0.087320,0.011478
200311,25,2,-3.238715,239,3.468383,-3.239676,3.507242,0.087320,0.011478
200312,25,2,-2.798225,161,0.670158,-2.799164,0.708078,0.087320,0.011478
200401,27,2,0.141203,76,0.811360,0.141354,0.849432,0.087320,0.011478
200402,28,2,-6.721962,156,-5.910602,-6.722961,-5.873528,0.083439,0.000663
200403,29,2,-9.763265,222,-15.673867,-9.764264,-15.637792,0.083439,0.000663
200404,27,2,-6.127684,142,-21.801551,-6.128682,-21.766474,0.083439,0.000663
200405,31,3,-11.962968,79,-33.764520,-11.963968,-33.730442,0.075365,-0.009404
200406,33,3,1.824420,13,-31.940100,1.829633,-31.900809,0.075365,-0.009404
200407,34,3,3.695939,4,-28.244160,3.736015,-28.164794,0.075365,-0.009404
200408,34,3,5.688818,1,-22.555342,6.037729,-22.127065,0.077884,0.006562
200409,33,3,3.166431,4,-19.388911,3.189416,-18.937649,0.075098,0.045824
200410,33,3,3.496955,8,-15.891956,3.529493,-15.408156,0.070609,0.030136
200411,34,3,5.898619,1,-9.993337,6.350443,-9.057712,0.072111,0.066689
200412,34,3,4.767681,1,-5.225656,4.891710,-4.166002,0.072628,0.075175
200501,36,3,0.785483,82,-4.440173,0.786677,-3.379325,0.074687,0.116779
200502,36,3,5.241088,1,0.800916,5.449190,2.069865,0.072318,0.118452
200503,35,3,-1.984486,112,-1.183571,-1.985348,0.084517,0.066659,0.096255
200504,38,3,-1.955109,201,-3.138679,-1.955967,-1.871450,0.065274,0.102879
200505,38,3,1.926057,27,-1.212623,1.931936,0.060486,0.063228,0.095085
200506,38,3,2.658568,15,1.445945,2.671932,2.732419,0.056345,0.111411
200507,43,3,1.172042,47,2.617987,1.174274,3.906692,0.046754,0.052960
200508,43,3,2.297100,13,4.915088,2.306086,6.212778,0.042493,0.024623
200509,43,3,1.390568,43,6.305656,1.393590,7.606368,0.043401,0.011028
200510,43,3,-2.992285,140,3.313370,-2.993235,4.613133,0.018406,0.016981
200511,45,3,3.292829,6,6.606199,3.319089,7.932222,0.015731,-0.006363
200512,45,3,1.865894,11,8.472093,1.871371,9.803593,0.017731,-0.018827
200601,46,4,2.901441,3,11.373534,2.918791,12.722384,0.024964,0.011070
200602,48,4,-3.819271,98,7.554263,-3.820248,8.902136,0.025401,0.026057
200603,46,4,1.821326,22,9.375589,1.826520,10.728656,0.023088,0.030604
200604,46,4,1.586580,24,10.962169,1.590474,12.319130,0.046511,0.117251
200605,47,4,2.751153,18,13.713322,2.765922,15.085052,0.046116,0.137066
200606,47,4,3.057290,3,16.770612,3.077768,18.162820,0.041695,0.091512
200607,48,4,4.046927,2,20.817539,4.104791,22.267611,0.038054,0.074248
200608,48,4,5.192178,1,26.009718,5.389240,27.656851,0.036433,0.065467
200609,48,4,1.180954,58,27.190671,1.183214,28.840065,0.033167,0.049439
200610,48,4,1.517031,5,28.707702,1.520596,30.360660,0.032169,0.029173
200611,49,4,5.845761,1,34.553463,6.268523,36.629183,0.010920,0.054317
200612,50,4,-6.681001,345,27.872462,-6.681999,29.947184,0.012609,0.019152
200701,49,4,2.676867,9,30.549329,2.690499,32.637683,0.014876,-0.009179
200702,48,4,-10.517044,461,20.032285,-10.518044,22.119639,0.016453,-0.006466
200703,48,4,-2.000780,137,18.031505,-2.001644,20.117995,0.020573,-0.061811
200704,49,4,1.718537,31,19.750041,1.723123,21.841118,0.023254,-0.055044
200705,50,4,-3.021199,548,16.728843,-3.022149,18.818969,0.044009,-0.038784
200706,49,4,-24.501042,975,-7.772199,-24.502041,-5.683072,0.047429,-0.030424
200707,50,4,-0.100251,299,-7.872450,-0.100347,-5.783419,0.048370,-0.018029
200708,50,4,-0.079753,76,-7.952203,-0.079829,-5.863248,0.048264,-0.009128
200709,53,4,-1.426857,219,-9.379059,-1.427617,-7.290865,0.041673,0.000505
200710,54,4,-0.843221,229,-10.222281,-0.843791,-8.134655,0.041957,-0.024051
200711,56,4,-11.804453,1001,-22.026734,-11.805453,-19.940108,0.042192,-0.009993
200712,55,4,-1.612441,307,-23.639175,-1.613241,-21.553350,0.043789,-0.003842
200801,54,4,0.702871,88,-22.936305,0.703891,-20.849459,0.047813,0.041796
200802,55,4,-0.632235,209,-23.568539,-0.632703,-21.482162,0.049873,0.051774
200803,56,4,3.348776,10,-20.219763,3.376629,-18.105533,0.056429,0.115232
200804,55,4,-1.205324,197,-21.425086,-1.206024,-19.311557,0.053453,0.060422
200805,55,4,2.056621,13,-19.368466,2.063463,-17.248094,0.053085,0.059833
200806,56,4,4.989131,1,-14.379335,5.146731,-12.101363,0.050701,0.044763
200807,56,4,-0.080409,221,-14.459744,-0.080486,-12.181849,0.043390,-0.027829
200808,57,4,3.850334,6,-10.609410,3.897435,-8.284414,0.041702,-0.069952
200809,57,4,-1.557037,50,-12.166447,-1.557825,-9.842240,0.034363,-0.063821
200810,55,4,6.685775,1,-5.480672,8.294868,-1.547372,0.035676,-0.080524
200811,55,4,0.276365,5,-5.204307,0.276683,-1.270689,0.033930,-0.096588
200812,55,4,6.387885,1,1.183578,7.288297,6.017608,0.034104,-0.118643
200901,58,4,6.868824,1,8.052402,10.108321,16.125929,0.026908,-0.119355
200902,56,4,6.901939,1,14.954341,11.892886,28.018815,0.028587,-0.107226
200903,17,2,-0.952398,382,14.001943,-0.953012,27.065802,0.031840,-0.097016
200904,20,2,-1.050052,619,12.951891,-1.050702,26.015101,0.020855,-0.078659
200905,19,2,0.090526,217,13.042417,0.090621,26.105722,0.021490,-0.069915
200906,19,2,-0.046909,183,12.995508,-0.046955,26.058767,0.011499,-0.100525
200907,22,2,0.349282,207,13.344790,0.349700,26.408467,0.011511,-0.076762
200908,22,2,-2.603665,482,10.741125,-2.604591,23.803876,0.014618,-0.038487
200909,22,2,3.682128,7,14.423253,3.721629,27.525505,0.019639,-0.023279
200910,17,2,1.928849,30,16.352102,1.934748,29.460254,0.024714,-0.005059
200911,18,2,1.769005,28,18.121107,1.773882,31.234135,0.024294,-0.010081
200912,18,2,-0.418281,253,17.702826,-0.418623,30.815513,0.037826,-0.008662
201001,17,2,-0.821678,305,16.881148,-0.822238,29.993274,0.052407,0.001452
201002,9,2,-4.392515,168,12.488633,-4.393502,25.599772,0.056509,-0.019400
201003,9,2,3.129930,15,15.618563,3.152045,28.751817,0.060699,-0.011710
201004,9,2,-5.894994,797,9.723568,-5.895991,22.855826,0.040222,-0.015843
201005,9,2,-2.815412,966,6.908157,-2.816351,20.039474,0.025722,-0.026010
201006,9,2,1.175860,46,8.084016,1.178103,21.217577,0.000483,0.003984
201007,9,2,0.746410,52,8.830426,0.747520,21.965097,-0.009951,-0.001110
201008,9,2,0.933728,51,9.764154,0.935273,22.900370,-0.009546,0.015757
201009,10,2,2.916524,9,12.680678,2.934155,25.834525,-0.012707,0.027506
201010,10,2,3.169396,7,15.850073,3.192453,29.026978,0.001214,0.029948
201011,11,2,2.335713,39,18.185787,2.345094,31.372072,0.015917,0.026881
201012,11,2,0.124141,122,18.309928,0.124273,31.496345,0.038550,0.030357
