date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,86,6,0.560602,25,0.560602,0.561354,0.561354,-0.315323,0.075796
200308,88,6,6.908533,1,7.469135,15.319813,15.881167,-0.315323,0.075796
200309,94,7,3.778370,3,11.247504,3.822055,19.703222,-0.312942,0.094210
200310,97,7,6.903444,1,18.150948,12.143108,31.846330,-0.312942,0.094210
200311,98,7,6.907569,1,25.058518,13.644741,45.491071,-0.312942,0.094210
200312,96,7,6.038444,1,31.096962,6.580141,52.071213,-0.312942,0.094210
200401,106,8,6.906828,1,38.003790,13.158765,65.229978,-0.312942,0.094210
200402,101,7,6.908755,1,44.912544,26.309336,91.539314,-0.327564,0.145238
200403,106,8,6.908677,1,51.821221,16.366168,107.905482,-0.327564,0.145238
200404,107,8,6.908755,1,58.729976,34.796819,142.702300,-0.327564,0.145238
200405,108,8,6.908755,1,65.638730,22.129257,164.831557,-0.346105,0.135897
200406,106,8,6.908755,1,72.547485,44.527812,209.359369,-0.346105,0.135897
200407,110,8,6.908755,1,79.456240,52.691874,262.051243,-0.346105,0.135897
200408,108,8,6.908755,1,86.364995,35.590428,297.641671,-0.349723,0.088684
200409,111,8,6.908755,1,93.273750,49.252139,346.893810,-0.354394,0.108218
200410,108,8,6.908755,1,100.182504,41.991235,388.885044,-0.345516,0.123292
200411,109,8,6.908755,1,107.091259,40.773293,429.658337,-0.318605,0.108886
200412,116,8,6.908755,1,114.000014,39.393824,469.052162,-0.287202,0.083050
200501,115,8,6.908755,1,120.908769,37.376255,506.428416,-0.246500,0.030587
200502,115,8,6.908755,1,127.817523,38.935576,545.363992,-0.217096,0.017199
200503,111,8,6.908738,1,134.726262,17.913041,563.277034,-0.189861,0.018776
200504,100,7,-7.854865,18,126.871397,-7.855864,555.421170,-0.199366,-0.004934
200505,98,7,6.660508,1,133.531905,8.174398,563.595568,-0.204754,-0.023512
200506,104,7,6.908755,1,140.440659,22.546907,586.142475,-0.204299,-0.035614
200507,105,7,6.908362,1,147.349021,14.749498,600.891972,-0.223533,-0.054884
200508,104,7,6.906764,1,154.255786,13.126105,614.018077,-0.217151,-0.106712
200509,101,7,6.908754,1,161.164540,21.003538,635.021615,-0.212290,-0.097572
200510,103,7,6.908487,1,168.073027,15.134722,650.156338,-0.211255,-0.110422
200511,101,7,-0.681631,66,167.391396,-0.682125,649.474213,-0.187757,-0.108848
200512,116,8,6.908752,1,174.300149,19.879584,669.353797,-0.177893,-0.108225
200601,116,8,6.907948,1,181.208097,14.029588,683.383385,-0.148444,-0.123976
200602,116,8,6.908754,1,188.116851,21.867013,705.250399,-0.139566,-0.112966
200603,118,8,6.907729,1,195.024580,13.789734,719.040132,-0.122498,-0.123731
200604,117,8,6.908068,1,201.932649,14.191345,733.231478,-0.079664,-0.130278
200605,120,8,6.891538,1,208.824187,10.961006,744.192484,-0.074503,-0.133131
200606,128,9,6.908755,1,215.732942,57.595333,801.787817,-0.066372,-0.132298
