date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,137,10,6.908755,1,6.908755,25.949742,25.949742,-0.122016,-0.031275
200308,143,10,6.908755,1,13.817510,30.939662,56.889404,-0.122016,-0.031275
200309,148,10,6.908755,1,20.726264,34.505831,91.395235,-0.114830,-0.026277
200310,150,10,6.908755,1,27.635019,36.180544,127.575780,-0.114830,-0.026277
200311,152,11,6.908755,1,34.543774,33.740355,161.316134,-0.114830,-0.026277
200312,150,10,6.908755,1,41.452529,35.894483,197.210617,-0.114830,-0.026277
200401,139,10,6.908755,1,48.361283,28.857417,226.068034,-0.114830,-0.026277
200402,143,10,6.908734,1,55.270017,17.682329,243.750363,-0.090875,-0.040146
200403,139,10,6.908742,1,62.178759,18.143257,261.893620,-0.090875,-0.040146
200404,135,9,6.908749,1,69.087508,18.973018,280.866638,-0.090875,-0.040146
200405,140,10,6.908755,1,75.996263,36.788474,317.655112,-0.086130,-0.029168
200406,146,10,6.908755,1,82.905017,66.756494,384.411605,-0.086130,-0.029168
200407,152,11,6.908755,1,89.813772,52.348386,436.759991,-0.086130,-0.029168
200408,153,11,6.908755,1,96.722527,36.714325,473.474316,-0.057863,-0.009497
200409,155,11,6.908754,1,103.631282,21.949178,495.423494,-0.052906,-0.004562
200410,162,11,6.908755,1,110.540036,44.446871,539.870365,-0.034172,-0.015167
200411,167,12,6.908755,1,117.448791,25.494685,565.365051,-0.019477,-0.020845
200412,163,11,6.908755,1,124.357546,23.762587,589.127638,-0.014466,-0.034089
200501,164,11,6.908753,1,131.266298,19.919912,609.047550,-0.009618,-0.053779
200502,169,12,6.908755,1,138.175053,28.091835,637.139385,-0.026124,-0.051882
200503,172,12,6.908755,1,145.083808,24.214085,661.353470,-0.016976,-0.053556
200504,187,13,6.908755,1,151.992563,39.945715,701.299185,-0.038290,-0.070766
200505,196,14,6.908755,1,158.901317,66.244925,767.544110,-0.036281,-0.077551
200506,190,13,6.908755,1,165.810072,42.818895,810.363005,-0.033983,-0.087800
200507,190,13,6.908755,1,172.718827,98.119170,908.482175,-0.041187,-0.084139
200508,190,13,6.908755,1,179.627582,78.123353,986.605528,-0.039309,-0.091486
200509,197,14,6.908755,1,186.536337,110.286717,1096.892245,-0.039560,-0.089039
200510,194,13,6.908755,1,193.445091,76.643072,1173.535317,-0.018436,-0.067158
200511,197,14,6.908755,1,200.353846,80.087298,1253.622615,-0.015177,-0.056369
200512,165,11,6.908755,1,207.262601,33.792178,1287.414793,-0.007611,-0.047977
200601,164,11,6.908755,1,214.171356,37.887910,1325.302703,0.014199,-0.039128
200602,171,12,6.908755,1,221.080110,29.738110,1355.040813,0.030316,-0.026946
200603,168,12,6.908755,1,227.988865,39.878223,1394.919036,0.041377,0.001806
200604,158,11,6.908755,1,234.897620,82.057717,1476.976754,0.043678,0.005244
200605,152,11,6.908755,1,241.806375,38.894272,1515.871026,0.056769,0.007318
200606,142,10,6.894534,1,248.700909,11.153714,1527.024739,0.057649,0.014197
200607,141,10,6.544927,1,255.245836,7.731406,1534.756145,0.057734,0.015870
200608,140,10,6.094383,1,261.340219,6.678425,1541.434570,0.065291,0.015129
200609,142,10,6.898564,1,268.238782,11.488909,1552.923479,0.067574,0.011250
200610,143,10,6.908755,1,275.147537,23.667728,1576.591207,0.074478,0.013365
200611,157,11,6.908755,1,282.056292,28.273459,1604.864666,0.073818,0.007134
200612,147,10,6.745216,1,288.801508,8.635578,1613.500244,0.088737,0.011969
200701,152,11,6.908747,1,295.710255,18.704565,1632.204808,0.094703,0.008345
200702,157,11,6.907271,1,302.617526,13.420245,1645.625053,0.099971,0.022201
200703,157,11,6.892379,1,309.509906,11.011526,1656.636579,0.109804,0.035356
200704,134,9,6.908750,1,316.418655,19.065665,1675.702244,0.122872,0.039129
200705,131,9,6.908753,1,323.327409,20.388361,1696.090605,0.128132,0.039658
200706,136,10,3.585260,3,326.912668,3.620952,1699.711557,0.127836,0.037360
200707,128,9,-0.494640,37,326.418028,-0.495030,1699.216527,0.125694,0.036011
200708,125,9,6.895457,1,333.313486,11.221267,1710.437794,0.127128,0.030737
200709,125,9,5.992179,2,339.305664,6.501814,1716.939609,0.123660,0.015223
200710,114,8,6.867926,1,346.173590,10.085628,1727.025236,0.116067,0.008903
200711,105,7,-9.727962,13,336.445628,-9.728961,1717.296275,0.111076,0.003220
200712,99,7,6.908755,1,343.354383,23.876200,1741.172475,0.106545,-0.003359
200801,96,7,6.908755,1,350.263138,55.041467,1796.213942,0.111968,-0.008969
200802,95,7,6.908755,1,357.171892,32.256657,1828.470599,0.101042,-0.026258
200803,115,8,6.908755,1,364.080647,42.109112,1870.579711,0.101090,-0.032138
200804,114,8,6.908755,1,370.989402,55.364576,1925.944287,0.099623,-0.049399
200805,106,8,6.820937,1,377.810339,9.296012,1935.240299,0.102547,-0.055604
200806,105,7,-1.016605,5,376.793734,-1.017243,1934.223057,0.105856,-0.053249
200807,100,7,4.706414,4,381.500148,4.822560,1939.045617,0.109081,-0.060455
200808,100,7,-11.540422,20,369.959726,-11.541422,1927.504195,0.123614,-0.040040
200809,99,7,6.658267,1,376.617993,8.164246,1935.668440,0.126464,-0.040334
200810,99,7,6.908754,1,383.526747,21.067988,1956.736429,0.126326,-0.036290
200811,96,7,1.628387,20,385.155134,1.632491,1958.368920,0.131400,-0.035380
200812,94,7,-7.364172,243,377.790962,-7.365171,1951.003749,0.132910,-0.031021
200901,94,7,5.463516,2,383.254478,5.731298,1956.735047,0.134957,-0.029348
200902,97,7,3.013943,9,386.268421,3.033500,1959.768547,0.127736,-0.029050
200903,101,7,-1.998250,82,384.270171,-1.999114,1957.769433,0.109191,-0.026865
200904,113,8,6.444996,1,390.715167,7.435322,1965.204755,0.090164,-0.021494
200905,110,8,6.908748,1,397.623915,18.827707,1984.032462,0.065805,-0.010347
200906,113,8,6.906094,1,404.530009,12.835648,1996.868110,0.026609,-0.022521
200907,116,8,5.859036,1,410.389045,6.288874,2003.156984,-0.009833,-0.034418
200908,113,8,6.795036,1,417.184081,9.024386,2012.181370,-0.055685,-0.050763
200909,121,9,6.894851,1,424.078932,11.176387,2023.357757,-0.088631,-0.053599
200910,120,8,6.907087,1,430.986019,13.302950,2036.660707,-0.108305,-0.045966
