date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,442,30,6.908755,1,6.908755,180.330509,180.330509,-0.072566,-0.011170
200308,444,30,6.908755,1,13.817510,216.469550,396.800059,-0.072566,-0.011170
200309,451,31,6.908755,1,20.726264,243.843950,640.644009,-0.090525,-0.033039
200310,433,29,6.908755,1,27.635019,211.132701,851.776710,-0.090525,-0.033039
200311,437,30,6.908755,1,34.543774,283.223539,1135.000249,-0.090525,-0.033039
200312,442,30,6.908755,1,41.452529,252.478377,1387.478626,-0.090525,-0.033039
200401,441,30,6.908755,1,48.361283,287.579703,1675.058329,-0.090525,-0.033039
200402,445,30,6.908755,1,55.270038,263.012870,1938.071199,-0.084736,-0.036662
200403,438,30,6.908755,1,62.178793,281.883647,2219.954846,-0.084736,-0.036662
200404,440,30,6.908755,1,69.087548,280.308605,2500.263451,-0.084736,-0.036662
200405,435,29,6.908755,1,75.996303,253.070614,2753.334065,-0.078599,-0.042307
200406,436,30,6.908755,1,82.905057,270.072833,3023.406898,-0.078599,-0.042307
200407,432,29,6.908755,1,89.813812,355.819688,3379.226585,-0.078599,-0.042307
200408,431,29,6.908755,1,96.722567,280.295783,3659.522369,-0.066615,-0.047442
200409,441,30,6.908755,1,103.631322,320.981030,3980.503399,-0.055805,-0.058086
200410,437,30,6.908755,1,110.540076,298.995379,4279.498777,-0.046715,-0.067990
200411,434,29,6.908755,1,117.448831,265.638803,4545.137580,-0.029193,-0.063297
200412,423,29,6.908755,1,124.357586,191.411194,4736.548774,-0.015416,-0.061702
200501,425,29,6.908755,1,131.266341,210.381068,4946.929842,-0.002134,-0.059389
200502,427,29,6.908755,1,138.175096,183.016271,5129.946113,0.002384,-0.060591
200503,411,28,6.908755,1,145.083850,197.999218,5327.945331,0.005956,-0.065354
200504,404,27,6.908755,1,151.992605,157.455748,5485.401079,0.012146,-0.069400
200505,402,27,6.908755,1,158.901360,146.061965,5631.463045,0.013777,-0.076155
200506,397,27,6.908755,1,165.810115,152.324903,5783.787948,0.016413,-0.075993
200507,403,27,6.908755,1,172.718869,145.926756,5929.714704,0.017249,-0.071263
200508,405,27,6.908755,1,179.627624,161.125235,6090.839939,0.021822,-0.062492
200509,404,27,6.908755,1,186.536379,116.476286,6207.316225,0.023688,-0.061537
200510,414,28,6.908755,1,193.445134,97.512686,6304.828911,0.027947,-0.058171
200511,411,28,6.908755,1,200.353889,68.663435,6373.492345,0.037194,-0.044198
200512,411,28,6.908755,1,207.262643,53.273382,6426.765728,0.040130,-0.044915
200601,413,28,6.908755,1,214.171398,51.408257,6478.173985,0.044573,-0.039490
200602,424,29,6.908755,1,221.080153,53.812042,6531.986027,0.048644,-0.038532
200603,419,28,6.908755,1,227.988908,49.754246,6581.740273,0.055507,-0.025330
200604,424,29,6.908755,1,234.897662,75.757160,6657.497434,0.060370,-0.014566
200605,416,28,6.908755,1,241.806417,33.008200,6690.505634,0.062183,-0.016867
200606,410,28,6.908755,1,248.715172,73.148262,6763.653896,0.061144,-0.008396
200607,416,28,6.908755,1,255.623927,75.750309,6839.404205,0.059884,-0.010678
200608,417,28,6.908755,1,262.532682,65.914914,6905.319120,0.059277,-0.007390
200609,416,28,6.908755,1,269.441436,86.777513,6992.096633,0.056618,-0.006461
