date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,359,24,6.699948,1,6.699948,8.367880,8.367880,22.118707,11.930242
200308,365,25,6.908755,1,13.608702,39.176108,47.543988,22.118707,11.930242
200309,373,25,6.908755,1,20.517457,30.777122,78.321109,25.556414,13.548700
200310,367,25,6.908755,1,27.426212,42.990046,121.311155,25.556414,13.548700
200311,373,25,6.908753,1,34.334965,20.168507,141.479662,25.556414,13.548700
200312,376,26,6.908755,1,41.243720,36.526322,178.005984,25.556414,13.548700
200401,379,26,6.908755,1,48.152475,25.495264,203.501248,25.556414,13.548700
200402,375,25,6.908755,1,55.061229,54.345966,257.847214,27.308943,13.771542
200403,377,26,6.908755,1,61.969984,33.205369,291.052583,27.308943,13.771542
200404,372,25,6.908755,1,68.878739,43.723819,334.776402,27.308943,13.771542
200405,371,25,6.908755,1,75.787494,49.070789,383.847191,28.703048,14.950178
200406,372,25,6.908755,1,82.696248,23.352924,407.200115,28.703048,14.950178
200407,374,25,6.908755,1,89.605003,45.456471,452.656586,28.703048,14.950178
200408,377,26,6.908755,1,96.513758,65.470003,518.126589,28.280205,16.497317
200409,386,26,6.908755,1,103.422513,77.652695,595.779284,33.610380,19.450265
200410,383,26,6.908755,1,110.331268,73.003975,668.783259,30.947106,17.459291
200411,393,27,6.908755,1,117.240022,55.162513,723.945772,27.284973,18.563832
200412,393,27,6.908755,1,124.148777,70.005423,793.951195,21.029460,13.370614
200501,391,27,6.908755,1,131.057532,91.973032,885.924227,15.221442,8.271285
200502,388,26,6.908755,1,137.966287,64.066180,949.990407,13.057012,7.011992
200503,384,26,6.908755,1,144.875041,75.417945,1025.408352,9.596138,12.400935
200504,381,26,6.908755,1,151.783796,58.857342,1084.265694,9.747833,19.400422
200505,377,26,6.908755,1,158.692551,74.518299,1158.783992,8.966126,24.291755
200506,386,26,6.908755,1,165.601306,75.889692,1234.673684,5.534904,20.347270
200507,392,27,6.908755,1,172.510061,92.319370,1326.993053,2.620145,16.895555
200508,390,26,6.908755,1,179.418815,57.688034,1384.681087,0.902124,14.404637
200509,398,27,6.908755,1,186.327570,107.166514,1491.847602,0.173558,12.642935
200510,403,27,6.908755,1,193.236325,88.588897,1580.436499,1.921817,18.699102
200511,402,27,6.908755,1,200.145080,108.699921,1689.136419,0.211314,13.605216
200512,390,26,6.908755,1,207.053834,46.111822,1735.248241,-0.387888,21.701149
200601,375,25,6.908755,1,213.962589,72.414228,1807.662469,-2.056187,13.500497
200602,380,26,6.908755,1,220.871344,93.443823,1901.106292,-2.372061,11.181508
200603,377,26,6.908755,1,227.780099,67.884846,1968.991139,-0.433246,17.347786
200604,372,25,6.908755,1,234.688854,36.395004,2005.386142,-3.383042,7.602089
200605,369,25,6.908755,1,241.597608,63.874103,2069.260245,-2.883523,10.757228
200606,382,26,6.908755,1,248.506363,70.179911,2139.440156,0.683993,11.499959
200607,385,26,6.908755,1,255.415118,41.926095,2181.366252,2.217644,17.784794
200608,377,26,6.908755,1,262.323873,84.988776,2266.355028,4.052063,19.921722
