date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,52,4,3.297017,9,3.297017,3.323393,3.323393,7.498257,-18.387865
200308,52,4,-9.046406,278,-5.749389,-9.047406,-5.724012,7.498257,-18.387865
200309,51,4,2.738939,13,-3.010450,2.753516,-2.970497,9.649609,-25.473772
200310,59,4,-3.991091,76,-7.001541,-3.992072,-6.962569,9.649609,-25.473772
200311,59,4,1.712476,43,-5.289065,1.717029,-5.245539,9.649609,-25.473772
200312,61,5,-2.010216,204,-7.299280,-2.011081,-7.256620,9.649609,-25.473772
200401,64,5,2.566360,7,-4.732920,2.578451,-4.678169,9.649609,-25.473772
200402,66,5,3.034502,12,-1.698418,3.054491,-1.623678,12.415490,-7.685186
200403,65,5,0.915286,61,-0.783132,0.916785,-0.706893,12.415490,-7.685186
200404,65,5,-4.722850,518,-5.505982,-4.723840,-5.430734,12.415490,-7.685186
200405,65,5,-2.835861,77,-8.341843,-2.836802,-8.267536,14.625467,-7.174090
200406,69,5,3.258628,9,-5.083215,3.283960,-4.983576,14.625467,-7.174090
200407,66,5,1.843522,29,-3.239694,1.848855,-3.134722,14.625467,-7.174090
200408,64,5,-0.830194,104,-4.069888,-0.830758,-3.965479,14.927580,-5.191623
200409,67,5,-4.612768,57,-8.682656,-4.613758,-8.579237,26.348043,-6.984705
200410,66,5,-1.377048,219,-10.059704,-1.377795,-9.957032,29.485231,10.468837
200411,67,5,-1.031249,176,-11.090953,-1.031893,-10.988925,33.999398,31.441614
200412,67,5,4.315610,3,-6.775343,4.392339,-6.596586,36.900172,39.210884
200501,67,5,6.525364,1,-0.249979,7.668643,1.072057,37.270891,42.627307
200502,82,6,6.900685,1,6.650706,11.723343,12.795400,38.242192,54.734135
200503,83,6,6.905525,1,13.556230,12.641417,25.436818,42.034844,64.783860
200504,84,6,6.819450,1,20.375681,9.278475,34.715293,42.498083,79.750848
200505,85,6,6.864277,1,27.239958,9.998195,44.713488,30.812565,68.788226
200506,88,6,1.271567,41,28.511525,1.274137,45.987624,23.185884,52.158996
200507,88,6,-2.829622,112,25.681902,-2.830563,43.157062,23.599132,33.120600
200508,90,6,6.088263,1,31.770166,6.667467,49.824528,16.553383,27.404778
200509,95,7,-9.881212,229,21.888954,-9.882212,39.942317,10.327094,2.426438
200510,89,6,-3.001995,110,18.886959,-3.002945,36.939372,10.111288,7.278476
200511,89,6,3.122376,7,22.009335,3.144315,40.083688,9.012359,8.194599
200512,90,6,-21.471725,558,0.537610,-21.472725,18.610963,4.988908,16.963999
200601,94,7,-1.198466,147,-0.660856,-1.199164,17.411799,0.354653,11.603731
200602,97,7,2.092277,11,1.431421,2.099405,19.511205,2.711263,22.852161
200603,95,7,-5.014570,431,-3.583149,-5.015562,14.495642,2.409344,20.515933
200604,97,7,-1.189816,177,-4.772965,-1.190511,13.305131,-3.085855,-6.294597
200605,95,7,-4.394846,396,-9.167811,-4.395834,8.909297,-4.718263,1.742131
200606,98,7,-15.581216,441,-24.749027,-15.582215,-6.672918,2.510969,10.988689
200607,94,7,-4.320298,154,-29.069325,-4.321285,-10.994203,2.084032,6.246211
200608,100,7,-0.122226,81,-29.191551,-0.122341,-11.116544,0.951145,4.168512
200609,106,8,-2.744262,337,-31.935813,-2.745197,-13.861741,-0.358801,18.028692
200610,142,9,-4.694021,186,-36.629834,-4.695011,-18.556752,1.008009,19.219147
200611,142,10,1.602090,9,-35.027744,1.606061,-16.950691,1.913839,25.007287
200612,137,10,4.627204,2,-30.400540,4.733930,-12.216761,-0.954406,26.183353
200701,136,10,5.840100,1,-24.560440,6.259887,-5.956873,0.772768,29.433433
200702,160,11,-8.747159,147,-33.307599,-8.748158,-14.705032,1.437273,23.262632
200703,160,11,6.685271,1,-26.622328,8.292349,-6.412683,1.234149,23.679384
200704,161,11,-11.362134,183,-37.984462,-11.363133,-17.775816,0.850193,19.858079
200705,164,11,0.935438,6,-37.049023,0.936988,-16.838828,0.617290,17.339785
200706,162,11,6.902609,1,-30.146415,11.996609,-4.842219,-2.463971,14.174305
200707,161,11,6.895856,1,-23.250559,11.251912,6.409693,-3.982437,21.443891
200708,161,11,6.532934,1,-16.717625,7.692609,14.102302,-5.165563,28.690369
200709,167,12,-5.801091,44,-22.518717,-5.802088,8.300214,-3.141916,30.417789
200710,154,11,6.908743,1,-15.609973,18.276731,26.576945,-2.804282,34.085144
200711,157,11,6.908739,1,-8.701235,17.946050,44.522995,0.626538,49.168271
200712,158,11,6.908755,1,-1.792480,52.285248,96.808243,3.347945,45.360772
200801,150,10,6.908755,1,5.116275,45.652880,142.461122,-0.871920,51.803782
200802,152,11,6.908755,1,12.025030,62.730221,205.191343,-5.054965,30.485026
200803,152,11,6.908755,1,18.933784,85.259536,290.450880,-3.829230,50.632967
200804,151,11,6.908755,1,25.842539,191.642144,482.093024,-3.691181,46.030614
200805,151,11,6.908755,1,32.751294,90.647795,572.740819,-6.111637,29.016455
200806,153,11,6.908755,1,39.660049,66.310472,639.051291,-2.850374,44.477971
200807,150,10,6.908755,1,46.568804,84.796627,723.847918,2.161834,36.055698
200808,149,10,6.908755,1,53.477558,96.670628,820.518546,6.307540,31.007644
200809,147,10,6.908755,1,60.386313,49.838529,870.357075,3.508865,27.387646
200810,146,10,6.908755,1,67.295068,275.618201,1145.975276,5.633397,32.858777
200811,146,10,6.908755,1,74.203823,121.858104,1267.833379,4.650441,27.317778
200812,77,6,6.865881,1,81.069704,10.035739,1277.869119,2.582369,9.424288
200901,76,6,6.908755,1,87.978459,26.495308,1304.364427,0.752516,10.076815
200902,77,6,6.908755,1,94.887213,33.729271,1338.093698,0.415829,12.179619
200903,115,5,6.892969,1,101.780183,11.048524,1349.142222,4.974433,-1.627437
200904,119,8,6.908755,1,108.688938,52.780426,1401.922648,7.873879,1.545639
200905,119,8,6.908755,1,115.597692,44.350898,1446.273547,13.731483,-0.387092
200906,113,8,6.908755,1,122.506447,69.628176,1515.901723,14.991455,-6.381442
200907,114,8,6.899598,1,129.406045,11.596417,1527.498140,23.968397,-8.997126
200908,114,8,6.908750,1,136.314795,19.069881,1546.568021,26.851267,-2.874163
200909,114,8,6.908755,1,143.223549,24.765259,1571.333280,25.752550,-1.753507
200910,118,8,-0.238196,2,142.985353,-0.238408,1571.094872,35.896684,0.064716
200911,120,8,6.908745,1,149.894098,18.426004,1589.520876,14.463899,5.607610
200912,121,9,6.908755,1,156.802852,29.438870,1618.959746,15.562864,5.172174
201001,118,8,6.908755,1,163.711607,37.461586,1656.421332,15.894718,5.818828
201002,132,9,6.908755,1,170.620362,27.820546,1684.241878,17.840253,7.277990
201003,123,9,6.908754,1,177.529116,21.275397,1705.517275,17.905631,7.314724
201004,122,9,6.908755,1,184.437871,32.886917,1738.404192,19.348313,6.087968
201005,124,9,6.908755,1,191.346626,27.631274,1766.035466,29.102803,9.561895
201006,127,9,6.908755,1,198.255381,30.270373,1796.305839,33.535315,10.581964
201007,128,9,6.908755,1,205.164135,26.456081,1822.761920,28.033822,6.727829
201008,129,9,6.908755,1,212.072890,39.094457,1861.856377,27.348493,5.606656
201009,128,9,6.908755,1,218.981645,39.108017,1900.964394,29.041548,4.125233
201010,127,9,6.908755,1,225.890400,25.634835,1926.599230,29.150883,4.719229
201011,129,9,6.908755,1,232.799154,46.024725,1972.623955,29.606850,3.585028
201012,131,9,6.908754,1,239.707909,21.957938,1994.581893,25.280949,3.144143
201101,129,9,6.908755,1,246.616664,42.351710,2036.933603,26.590624,6.199931
201102,132,9,6.908615,1,253.525279,15.786512,2052.720116,26.018349,6.991636
201103,131,9,6.908754,1,260.434033,20.796863,2073.516979,25.862343,7.731527
201104,133,9,6.908755,1,267.342788,26.081266,2099.598245,22.170405,6.775339
201105,135,9,6.908755,1,274.251543,29.225166,2128.823411,19.465353,6.985366
201106,139,10,6.908735,1,281.160278,17.735807,2146.559217,23.406047,21.358119
201107,139,10,6.908755,1,288.069032,31.026468,2177.585685,42.251665,29.629318
201108,140,10,6.908755,1,294.977787,26.108877,2203.694562,41.717336,31.154598
201109,140,10,6.908750,1,301.886537,19.092565,2222.787128,41.140643,38.447532
201110,142,10,6.908755,1,308.795291,22.327257,2245.114384,40.458054,39.429201
