date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,23,2,1.803725,44,1.803725,1.808810,1.808810,0.000000,0.000000
200308,23,2,-0.833474,251,0.970251,-0.834040,0.974771,0.000000,0.000000
200309,24,2,0.497248,162,1.467499,0.497892,1.472663,0.000000,0.000000
200310,24,2,-0.653766,505,0.813733,-0.654246,0.818417,0.000000,0.000000
200311,24,2,-7.685401,348,-6.871668,-7.686400,-6.867983,0.000000,0.000000
200312,24,2,-5.157761,618,-12.029429,-5.158754,-12.026737,0.000000,0.000000
200401,26,2,0.922322,61,-11.107107,0.923838,-11.102899,0.000000,0.000000
200402,27,2,0.216369,215,-10.890738,0.216610,-10.886289,0.000000,0.000000
200403,27,2,0.283397,422,-10.607341,0.283725,-10.602564,0.000000,0.000000
200404,25,2,-0.271107,205,-10.878448,-0.271345,-10.873908,0.000000,0.000000
200405,29,2,-0.357407,632,-11.235855,-0.357707,-11.231616,0.000000,0.000000
200406,31,3,-0.927072,319,-12.162927,-0.927676,-12.159291,0.000000,0.000000
200407,32,3,0.035355,318,-12.127571,0.035391,-12.123900,0.000000,0.000000
200408,32,3,0.266620,210,-11.860951,0.266926,-11.856974,0.000000,0.000000
200409,31,3,1.064812,62,-10.796139,1.066714,-10.790260,0.000000,0.000000
200410,31,3,-10.775569,457,-21.571708,-10.776568,-21.566828,304.114531,2684.106509
200411,32,3,0.661766,131,-20.909942,0.662705,-20.904124,34.013119,200.076331
200412,32,3,0.823579,65,-20.086363,0.824858,-20.079265,34.494477,188.370786
200501,34,3,1.273381,43,-18.812982,1.275957,-18.803308,35.450265,104.563046
200502,34,3,-16.693110,618,-35.506092,-16.694110,-35.497418,33.749146,95.880975
200503,33,3,-1.543501,754,-37.049593,-1.544287,-37.041705,39.502125,25.231201
200504,35,3,0.753830,106,-36.295764,0.754955,-36.286750,32.786371,127.660902
200505,35,3,0.777380,101,-35.518383,0.778557,-35.508193,72.207752,211.663541
200506,35,3,1.232019,67,-34.286364,1.234450,-34.273743,40.180413,28.236782
200507,40,3,0.460052,123,-33.826313,0.460636,-33.813107,4.108262,-10.580570
200508,40,3,1.609768,40,-32.216544,1.613778,-32.199329,2.814852,4.922822
200509,40,3,0.652230,120,-31.564314,0.653151,-31.546178,7.787863,9.979217
200510,40,3,0.679278,68,-30.885036,0.680251,-30.865928,25.305253,8.682179
200511,42,3,1.513633,35,-29.371404,1.517182,-29.348746,16.083752,6.443568
200512,42,3,2.724461,6,-26.646942,2.738812,-26.609934,24.584023,-37.109722
200601,43,3,1.396181,41,-25.250761,1.399225,-25.210708,20.918829,-69.486166
200602,44,3,-1.395463,21,-26.646224,-1.396215,-26.606923,15.221213,-110.097434
200603,42,3,0.501346,117,-26.144878,0.501997,-26.104926,1.624558,-205.925054
200604,42,3,-1.088962,549,-27.233841,-1.089625,-27.194551,-3.406717,-155.543132
200605,43,3,-1.385104,357,-28.618944,-1.385853,-28.580405,2.720500,-34.421991
200606,42,3,1.781876,30,-26.837068,1.786829,-26.793575,2.259470,-8.680520
200607,43,3,0.384451,183,-26.452618,0.384919,-26.408656,2.406724,-2.860451
200608,43,3,2.423673,6,-24.028945,2.434013,-23.974643,2.075222,1.157263
200609,43,3,1.635080,32,-22.393865,1.639219,-22.335424,2.132807,2.646449
200610,43,3,0.993041,81,-21.400824,0.994742,-21.340682,1.746090,2.339422
200611,44,3,4.505569,2,-16.895255,4.599353,-16.741330,-1.884086,-4.343670
200612,45,3,1.068408,57,-15.826847,1.070320,-15.671009,-1.949214,-56.120779
200701,44,3,1.286129,59,-14.540718,1.288751,-14.382259,-0.302875,-118.710421
200702,43,3,2.286892,12,-12.253827,2.295776,-12.086483,4.707148,-36.129023
200703,43,3,-0.772032,46,-13.025859,-0.772570,-12.859053,7.786436,5.048429
200704,44,3,0.588588,103,-12.437271,0.589390,-12.269663,16.678419,-19.066025
200705,45,3,-3.480169,685,-15.917440,-3.481138,-15.750801,18.342372,-22.240235
200706,44,3,-4.203591,677,-20.121030,-4.204575,-19.955376,2.884993,53.221912
200707,45,3,-0.293804,326,-20.414834,-0.294059,-20.249435,-0.357499,27.493640
200708,45,3,-2.979872,602,-23.394706,-2.980821,-23.230256,-5.624871,29.907197
200709,48,4,2.124861,11,-21.269845,2.132260,-21.097996,-5.723536,27.986740
200710,49,4,0.929549,75,-20.340297,0.931083,-20.166912,-5.607929,21.995914
200711,51,4,-2.017363,212,-22.357660,-2.018230,-22.185142,-5.742973,22.206368
200712,50,4,1.175834,55,-21.181826,1.178077,-21.007065,-7.676354,3.429917
200801,50,4,-0.414166,156,-21.595991,-0.414505,-21.421570,-7.607338,-1.238558
200802,51,4,-0.673935,559,-22.269926,-0.674425,-22.095994,-7.253133,11.864393
200803,52,4,6.870952,1,-15.398974,10.164156,-11.931838,-8.021554,-33.435504
200804,51,4,6.904111,1,-8.494863,12.277759,0.345921,-9.669252,-27.268742
200805,51,4,6.795633,1,-1.699230,9.029956,9.375877,-8.236038,-74.040512
200806,52,4,-0.055223,272,-1.754453,-0.055277,9.320600,-12.422745,-37.677783
200807,52,4,6.865947,1,5.111494,10.037302,19.357902,-10.979710,-39.426431
200808,54,4,6.790918,1,11.902412,8.986711,28.344613,-4.354025,-19.165163
200809,54,4,6.907735,1,18.810146,13.795122,42.139735,-2.579627,-27.243688
200810,52,4,6.829399,1,25.639546,9.401632,51.541367,-1.588173,-44.869553
200811,52,4,6.908519,1,32.548064,15.259567,66.800935,-1.068035,-61.213225
200812,52,4,6.767327,1,39.315392,8.792176,75.593111,6.340060,9.279751
200901,55,4,6.867072,1,46.182463,10.064503,85.657613,3.120114,-17.836198
200902,56,4,6.908729,1,53.091193,17.486814,103.144428,16.005551,10.975961
200903,17,2,3.285855,3,56.377048,3.311924,106.456352,20.729991,-8.344456
200904,20,2,1.732763,34,58.109811,1.737430,108.193782,25.467639,-20.774056
200905,19,2,-19.603357,738,38.506454,-19.604356,88.589425,21.680353,-18.968951
200906,19,2,-1.469410,129,37.037044,-1.470180,87.119245,22.354502,-21.499262
200907,22,2,-0.023114,265,37.013929,-0.023137,87.096108,26.567837,6.756402
