date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,84,6,-0.163662,22,-0.163662,-0.163813,-0.163813,23.897450,7.140260
200308,86,6,4.380434,3,4.216772,4.462591,4.298778,23.897450,7.140260
200309,91,7,1.557509,14,5.774281,1.561263,5.860041,24.021779,4.709128
200310,94,7,1.502275,23,7.276556,1.505773,7.365814,24.021779,4.709128
200311,95,7,2.401712,15,9.678268,2.411805,9.777619,24.021779,4.709128
200312,92,7,6.168311,1,15.846579,6.815299,16.592918,24.021779,4.709128
200401,102,7,-20.260130,983,-4.413550,-20.261129,-3.668211,24.021779,4.709128
200402,97,7,6.908390,1,2.494840,14.824274,11.156063,24.436168,3.299704
200403,101,7,1.615617,28,4.110457,1.619657,12.775720,24.436168,3.299704
200404,100,7,5.806858,2,9.917315,6.209685,18.985405,24.436168,3.299704
200405,101,7,6.389618,1,16.306933,7.292571,26.277976,24.506490,3.610614
200406,99,7,4.261903,3,20.568836,4.334414,30.612390,24.506490,3.610614
200407,104,7,6.908589,1,27.477424,15.610506,46.222896,24.506490,3.610614
200408,102,7,0.317097,22,27.794521,0.317470,46.540366,23.678336,2.289468
200409,105,7,-0.920304,25,26.874217,-0.920905,45.619461,26.847356,0.786895
200410,102,7,6.902921,1,33.777139,12.048986,57.668447,26.883861,-6.636266
200411,103,7,-2.432974,201,31.344164,-2.433886,55.234561,28.578041,-4.922421
200412,109,8,1.888186,24,33.232351,1.893810,57.128370,28.701926,-0.812782
200501,109,8,-4.121987,220,29.110364,-4.122970,53.005400,27.145020,-0.979150
200502,109,8,4.578597,3,33.688962,4.679941,57.685341,32.138056,-2.041089
200503,106,8,0.887619,4,34.576581,0.889050,58.574391,31.865746,-0.620911
200504,95,7,5.223038,1,39.799619,5.426988,64.001379,31.947405,3.556005
200505,92,7,-0.277895,13,39.521724,-0.278138,63.723241,31.652441,6.200849
200506,99,7,6.087848,1,45.609571,6.666725,70.389966,34.006144,4.923274
200507,101,7,1.907441,4,47.517012,1.913194,72.303159,37.561396,8.088793
200508,100,7,6.872496,1,54.389508,10.206637,82.509796,33.095837,3.134563
200509,97,7,-2.921344,47,51.468164,-2.922290,79.587506,24.731787,-8.436038
200510,99,7,-1.700574,51,49.767590,-1.701391,77.886116,20.983875,-13.110148
200511,98,7,6.908192,1,56.675783,14.390802,92.276918,20.565827,-13.253347
200512,113,8,6.228013,1,62.903795,6.932721,99.209639,19.691769,-14.227133
200601,112,8,6.908755,1,69.812550,27.618744,126.828383,21.601905,-14.128933
200602,112,8,4.778155,2,74.590705,4.903587,131.731970,26.340495,-8.161648
200603,114,8,-0.444266,36,74.146439,-0.444625,131.287346,33.117593,-5.169164
200604,111,8,-8.934714,308,65.211725,-8.935714,122.351632,40.987485,8.845739
200605,114,8,-4.130087,31,61.081637,-4.131071,118.220561,42.873474,6.804128
200606,121,9,-6.906175,103,54.175462,-6.907174,111.313388,41.905072,3.958862
200607,118,8,6.908678,1,61.084140,16.382874,127.696262,37.469062,5.143929
200608,119,8,6.690725,1,67.774865,8.319886,136.016148,30.376952,4.513561
200609,122,9,6.908045,1,74.682910,14.157282,150.173430,29.380480,0.674406
200610,133,9,6.908755,1,81.591665,24.239855,174.413285,24.009090,-8.371103
200611,119,8,6.908755,1,88.500419,23.141899,197.555184,21.382621,-5.534027
200612,119,8,6.897399,1,95.397819,11.380137,208.935320,18.241207,-0.960254
200701,115,8,-9.685654,54,85.712165,-9.686653,199.248667,20.419414,0.029397
200702,110,8,-2.891183,46,82.820982,-2.892127,196.356540,26.246926,1.005705
200703,101,7,2.576894,10,85.397876,2.589125,198.945665,24.321815,-0.432769
200704,110,8,-1.247051,44,84.150825,-1.247764,197.697901,22.398929,5.907801
200705,105,7,-3.614968,95,80.535857,-3.615940,194.081961,22.183040,6.876305
200706,98,7,6.899397,1,87.435254,11.574586,205.656547,26.218146,5.995703
200707,94,7,-8.374866,51,79.060388,-8.375865,197.280682,28.890882,14.334217
200708,89,6,3.966512,6,83.026899,4.019702,201.300383,31.486687,18.100792
200709,85,6,6.907129,1,89.934028,13.328545,214.628929,36.175450,13.850492
200710,74,5,-3.607807,152,86.326221,-3.608780,211.020149,38.531813,17.586142
200711,72,5,6.885551,1,93.211772,10.659562,221.679711,32.721163,22.132139
200712,68,5,6.888731,1,100.100502,10.808541,232.488251,27.145214,22.975940
200801,67,5,1.005970,29,101.106472,1.007706,233.495958,23.853813,22.932231
200802,68,5,6.908749,1,108.015222,19.021079,252.517037,19.550535,22.400623
200803,46,4,6.904868,1,114.920090,12.456064,264.973101,18.766141,19.109810
200804,48,4,6.879506,1,121.799596,10.425020,275.398121,22.860425,21.827829
200805,51,4,6.908746,1,128.708343,18.607067,294.005188,29.106846,22.051981
200806,36,3,-3.350282,531,125.358061,-3.351246,290.653942,34.667619,23.983906
200807,35,3,-2.402579,305,122.955482,-2.403488,288.250454,39.115357,20.949351
200808,36,3,1.943328,24,124.898810,1.949328,290.199782,40.238542,18.500099
200809,36,3,0.281976,142,125.180786,0.282302,290.482084,36.580856,15.376399
200810,33,3,-1.395973,578,123.784813,-1.396725,289.085359,32.992607,14.149612
200811,33,3,1.567259,25,125.352072,1.571060,290.656419,29.727856,12.654766
200812,30,2,-4.413836,513,120.938237,-4.414823,286.241596,23.488060,7.324222
200901,30,2,0.844843,121,121.783079,0.846171,287.087767,18.198421,5.974523
200902,31,3,0.640744,84,122.423823,0.641642,287.729409,14.941020,6.245058
200903,31,3,0.039350,185,122.463173,0.039390,287.768799,7.256916,2.694175
200904,32,3,0.703312,130,123.166485,0.704333,288.473132,24.941697,17.143111
200905,31,3,-2.292445,201,120.874039,-2.293344,286.179788,20.989788,14.899864
200906,31,3,-0.306774,349,120.567266,-0.307038,285.872750,27.395417,10.156228
200907,32,3,-5.990213,595,114.577053,-5.991210,279.881540,27.327399,8.811059
200908,35,3,2.356463,14,116.933516,2.366062,282.247602,28.369580,5.499530
200909,36,3,2.107014,9,119.040530,2.114264,284.361867,39.155776,8.592412
200910,36,3,5.099729,2,124.140259,5.277633,289.639500,19.575270,-6.484083
200911,39,3,-2.230745,109,121.909514,-2.231638,287.407863,47.230132,21.553001
200912,45,3,0.439461,116,122.348975,0.440013,287.847876,37.141305,15.533815
201001,50,4,0.962683,26,123.311659,0.964303,288.812179,37.780400,23.041292
201002,54,4,-16.511502,671,106.800157,-16.512501,272.299678,39.449031,22.524004
201003,54,4,-1.461215,108,105.338942,-1.461983,270.837695,36.302147,19.348590
201004,60,4,-6.843926,316,98.495016,-6.844924,263.992771,35.561854,14.743875
201005,60,4,-5.038479,490,93.456537,-5.039472,258.953299,17.072427,4.121026
201006,61,5,5.267079,2,98.723616,5.481323,264.434622,15.389037,0.189076
201007,62,5,5.701357,2,104.424973,6.055569,270.490191,6.181752,5.226993
201008,73,5,6.908746,1,111.333720,18.580689,289.070880,7.741227,5.597737
201009,81,6,6.908754,1,118.242474,21.551710,310.622590,9.846577,4.540123
201010,93,7,6.908755,1,125.151229,32.239393,342.861983,10.122035,4.969439
201011,96,7,6.901203,1,132.052431,11.789918,354.651901,10.376738,5.075549
201012,99,7,6.904855,1,138.957286,12.452536,367.104437,10.107927,6.435388
201101,99,7,6.908755,1,145.866041,26.177379,393.281816,30.193966,2.881031
201102,96,7,6.907029,1,152.773070,13.268975,406.550791,26.952074,6.302472
201103,97,7,5.601192,1,158.374262,5.915559,412.466350,26.603039,7.727786
201104,97,7,4.148023,3,162.522285,4.212358,416.678707,24.158487,4.346461
201105,93,7,6.891415,1,169.413700,10.953813,427.632521,26.355249,8.118058
201106,93,7,6.897105,1,176.310805,11.354394,438.986915,43.473856,25.661066
201107,92,7,6.626779,1,182.937584,8.029391,447.016306,47.213749,25.258542
201108,95,7,6.592674,1,189.530258,7.897313,454.913619,52.314377,19.674486
201109,101,7,0.367721,3,189.897979,0.368165,455.281785,47.957315,13.036500
201110,104,7,-3.167588,50,186.730391,-3.168546,452.113239,50.876542,9.011504
201111,109,8,2.055145,15,188.785535,2.061976,454.175215,48.039589,10.156131
201112,107,8,0.910463,4,189.695999,0.911950,455.087165,35.256750,11.205181
201201,108,8,3.861951,4,193.557949,3.909627,458.996792,34.663813,11.325634
201202,110,8,4.739770,2,198.297720,4.860141,463.856933,36.636593,11.685812
201203,115,8,-0.040072,60,198.257647,-0.040112,463.816821,37.530825,7.367382
201204,118,8,1.597780,15,199.855427,1.601729,465.418551,39.010440,6.737507
201205,116,8,-0.251886,67,199.603541,-0.252109,465.166442,44.570558,5.075601
201206,119,8,6.872709,1,206.476250,10.212650,475.379091,51.022186,3.274650
201207,124,9,-9.702346,102,196.773904,-9.703345,465.675746,47.709063,1.413226
201208,122,9,6.908145,1,203.682050,14.310520,479.986266,51.475565,0.015497
201209,135,9,6.895397,1,210.577446,11.216721,491.202987,42.614883,3.145846
201210,142,10,6.889495,1,217.466942,10.847864,502.050851,35.187177,0.116483
201211,143,10,6.908755,1,224.375696,22.866482,524.917333,26.929832,-4.391617
201212,147,10,6.908755,1,231.284451,23.929965,548.847299,24.846090,-7.392602
201301,148,10,6.908755,1,238.193206,46.273299,595.120598,26.076341,-10.932240
201302,143,10,6.908755,1,245.101961,26.681354,621.801952,21.365832,-12.083606
201303,138,10,6.128252,2,251.230213,6.740065,628.542018,21.551474,-12.473521
201304,145,10,6.908755,1,258.138967,25.182998,653.725016,22.982227,-13.115209
201305,140,10,6.908755,1,265.047722,25.520376,679.245393,26.079259,-10.071092
201306,139,10,6.908661,1,271.956383,16.183801,695.429194,21.795575,-4.733128
201307,145,10,6.908745,1,278.865128,18.425797,713.854991,22.203841,-2.438781
201308,142,10,6.908755,1,285.773883,39.814240,753.669230,22.978819,-1.036214
201309,156,11,6.901295,1,292.675178,11.802294,765.471524,24.828981,-0.576132
201310,147,10,6.908755,1,299.583933,26.541003,792.012528,28.100786,-0.145222
201311,152,11,6.908755,1,306.492688,45.258835,837.271363,29.682226,2.629621
201312,151,11,6.908755,1,313.401442,42.928927,880.200290,41.487074,5.167759
201401,155,11,6.908755,1,320.310197,42.050598,922.250888,42.362731,8.918932
201402,154,11,6.908625,1,327.218822,15.853913,938.104801,42.986586,6.345599
201403,152,11,6.908732,1,334.127554,17.608180,955.712981,40.652910,4.958672
201404,154,11,6.908755,1,341.036309,46.703428,1002.416409,37.937187,5.662021
201405,152,11,6.908754,1,347.945063,21.813949,1024.230358,37.374971,3.611093
201406,151,11,6.908755,1,354.853818,23.472379,1047.702737,38.469877,5.715284
201407,169,12,-29.660803,303,325.193015,-29.661802,1018.040935,39.322650,6.963328
201408,173,12,6.908755,1,332.101770,30.557749,1048.598684,36.533645,7.648827
201409,178,12,6.908755,1,339.010525,48.627791,1097.226475,38.969287,11.314773
201410,174,12,6.908755,1,345.919280,38.706443,1135.932919,40.409118,7.782262
201411,171,12,6.908755,1,352.828034,30.366326,1166.299245,42.296188,8.134387
201412,168,12,6.908755,1,359.736789,28.291156,1194.590401,40.333540,9.128408
201501,156,11,6.908755,1,366.645544,28.606513,1223.196914,40.853680,8.230860
201502,158,11,6.908755,1,373.554299,29.293639,1252.490553,49.211984,10.596009
201503,154,11,4.976028,2,378.530327,5.131394,1257.621947,48.925803,10.056489
201504,143,10,-0.588417,9,377.941910,-0.588862,1257.033085,54.959832,12.451054
201505,139,10,6.907273,1,384.849183,13.421571,1270.454656,52.864388,16.837137
201506,132,9,5.209204,2,390.058387,5.410033,1275.864690,58.183239,18.122622
201507,133,9,6.908577,1,396.966964,15.543539,1291.408228,53.832314,19.487605
201508,135,9,6.908755,1,403.875719,28.447282,1319.855510,59.510920,20.841365
201509,140,10,6.890527,1,410.766246,10.903428,1330.758939,58.552386,19.015950
