date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,129,9,6.908755,1,6.908755,46.212488,46.212488,1.624886,-3.760259
200308,135,9,6.908755,1,13.817509,23.044891,69.257378,1.624886,-3.760259
200309,139,10,6.908755,1,20.726264,29.547447,98.804826,33.798542,-1.872052
200310,141,10,6.908755,1,27.635019,39.967672,138.772498,33.798542,-1.872052
200311,144,10,4.405370,3,32.040389,4.489719,143.262217,33.798542,-1.872052
200312,144,10,6.908755,1,38.949144,37.093078,180.355295,33.798542,-1.872052
200401,133,9,6.668561,1,45.617705,8.211566,188.566861,33.798542,-1.872052
200402,136,10,6.815504,1,52.433209,9.233234,197.800095,32.953886,-4.227249
200403,132,9,2.036944,3,54.470153,2.043633,199.843729,32.953886,-4.227249
200404,128,9,-17.022330,576,37.447823,-17.023329,182.820399,32.953886,-4.227249
200405,131,9,6.908751,1,44.356574,19.287556,202.107956,33.697763,-7.579119
200406,137,10,-4.322357,45,40.034217,-4.323344,197.784612,33.697763,-7.579119
200407,143,10,6.873873,1,46.908090,10.246068,208.030680,33.697763,-7.579119
200408,144,10,6.900464,1,53.808554,11.696260,219.726940,36.186872,-4.686424
200409,146,10,-11.186997,166,42.621557,-11.187997,208.538943,41.618401,-6.760188
200410,152,11,6.908755,1,49.530312,24.399492,232.938435,40.479712,-5.918075
200411,157,11,5.253761,2,54.784073,5.464834,238.403268,37.934835,-7.413712
200412,153,11,6.908707,1,61.692780,16.848130,255.251399,41.816911,-6.249971
200501,153,11,6.908742,1,68.601522,18.184995,273.436394,44.676895,-22.832592
200502,158,11,6.908738,1,75.510260,17.917115,291.353509,32.861164,-29.154575
200503,160,11,6.900513,1,82.410773,11.702135,303.055644,23.663690,-13.015174
200504,173,12,6.908755,1,89.319528,22.367154,325.422798,22.020404,-12.683971
200505,182,13,6.908755,1,96.228282,27.458010,352.880808,13.724381,-17.528888
200506,176,12,6.908718,1,103.137000,17.112179,369.992986,12.718497,-17.078437
200507,177,12,6.908755,1,110.045755,42.279077,412.272063,12.098276,-10.839234
200508,174,12,6.908755,1,116.954510,24.729900,437.001963,11.545652,-6.678335
200509,181,13,6.908752,1,123.863262,19.662220,456.664183,15.917482,-9.490136
200510,182,13,6.908755,1,130.772016,31.057455,487.721638,28.302408,-1.891961
200511,183,13,6.908755,1,137.680771,28.304721,516.026359,28.957777,-4.048852
200512,151,11,6.908755,1,144.589526,68.405356,584.431716,27.954253,-3.669535
200601,150,10,6.908755,1,151.498281,27.858328,612.290043,28.010830,-3.658613
200602,154,11,6.908755,1,158.407036,29.610081,641.900124,28.801682,2.618668
200603,151,11,6.908755,1,165.315790,55.084271,696.984395,20.481179,0.560657
200604,146,10,6.908755,1,172.224545,45.186404,742.170799,16.218877,-2.083556
200605,140,10,6.908743,1,179.133288,18.248341,760.419140,19.945665,2.694377
200606,130,9,6.908755,1,186.042043,63.250369,823.669509,20.378648,3.082298
200607,129,9,-11.780948,18,174.261094,-11.781948,811.887562,20.174817,7.466498
200608,128,9,6.908754,1,181.169848,21.084159,832.971721,19.254098,5.510409
200609,130,9,6.903310,1,188.073159,12.118187,845.089908,19.918475,6.498790
200610,131,9,-2.717251,56,185.355908,-2.718185,842.371723,21.456405,12.997320
200611,144,10,6.908754,1,192.264662,21.379432,863.751155,27.968153,15.964320
200612,139,10,-6.378629,67,185.886032,-6.379627,857.371528,27.869074,12.036737
200701,144,10,6.908747,1,192.794779,18.627536,875.999064,32.384389,11.561566
200702,148,10,1.509249,6,194.304028,1.512779,877.511843,36.636987,8.539757
200703,148,10,6.900293,1,201.204321,11.675678,889.187522,39.712094,1.876951
200704,124,9,6.908703,1,208.113024,16.777448,905.964970,39.461707,2.241337
200705,122,9,6.908755,1,215.021779,25.166673,931.131642,32.027629,4.106228
200706,125,9,6.908755,1,221.930534,31.668797,962.800440,31.356191,9.482092
