date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,405,27,6.908755,1,6.908755,96.503036,96.503036,62.834040,0.633404
200308,413,28,6.908755,1,13.817510,181.837904,278.340939,62.834040,0.633404
200309,417,28,6.908755,1,20.726264,91.493546,369.834485,65.521383,4.566091
200310,398,27,6.908755,1,27.635019,76.395331,446.229817,65.521383,4.566091
200311,402,27,6.908755,1,34.543774,110.089481,556.319298,65.521383,4.566091
200312,406,28,6.908755,1,41.452529,123.759464,680.078761,65.521383,4.566091
200401,405,27,6.908755,1,48.361283,103.440984,783.519745,65.521383,4.566091
200402,408,28,6.908755,1,55.270038,83.145208,866.664954,62.581996,4.354836
200403,401,27,6.908755,1,62.178793,189.755584,1056.420538,62.581996,4.354836
200404,403,27,6.908755,1,69.087548,30.602122,1087.022660,62.581996,4.354836
200405,402,27,6.908755,1,75.996303,84.333248,1171.355908,61.721902,4.023459
200406,402,27,6.908755,1,82.905057,79.622166,1250.978074,61.721902,4.023459
200407,397,27,6.908755,1,89.813812,101.182519,1352.160593,61.721902,4.023459
200408,396,27,6.908755,1,96.722567,114.729871,1466.890464,62.337818,5.790185
200409,403,27,6.908755,1,103.631322,96.461321,1563.351786,66.436274,10.469500
200410,399,27,6.908755,1,110.540076,85.657473,1649.009259,60.807660,11.128504
200411,397,27,6.908755,1,117.448831,111.554756,1760.564015,55.464305,15.630168
200412,386,26,6.908755,1,124.357586,42.968945,1803.532960,53.147582,19.440975
200501,387,26,6.908755,1,131.266341,56.978111,1860.511070,53.607480,26.266615
200502,387,26,6.908755,1,138.175096,80.938063,1941.449134,50.129168,28.117110
200503,370,25,6.908755,1,145.083850,84.487567,2025.936700,49.184443,33.224999
200504,359,24,6.908755,1,151.992605,89.507377,2115.444078,48.354877,35.447977
200505,354,24,6.908755,1,158.901360,55.900437,2171.344514,49.642994,40.143908
200506,345,23,6.908755,1,165.810115,60.694917,2232.039432,52.981974,52.388692
200507,348,24,6.908755,1,172.718869,55.863993,2287.903425,50.018296,51.149351
200508,350,24,6.165494,2,178.884364,6.809920,2294.713345,45.677646,48.902050
200509,347,24,6.883862,1,185.768226,10.588466,2305.301811,38.286659,38.021938
200510,349,24,-1.290160,2,184.478066,-1.290885,2304.010926,33.029169,37.114941
200511,342,23,6.908755,1,191.386820,27.371996,2331.382923,28.741464,31.821427
200512,345,23,-7.221280,14,184.165541,-7.222279,2324.160644,25.773119,25.835846
200601,347,24,6.908429,1,191.073970,14.938274,2339.098918,22.022277,23.729836
200602,349,24,6.908755,1,197.982725,36.917931,2376.016850,21.394517,17.607334
200603,351,24,6.908755,1,204.891480,39.460883,2415.477733,21.745915,12.779044
200604,354,24,6.908755,1,211.800234,33.618157,2449.095889,21.566607,10.429066
200605,345,23,6.908755,1,218.708989,32.852455,2481.948345,22.984382,13.419811
200606,338,23,6.908755,1,225.617744,45.087803,2527.036147,19.826138,15.050816
200607,343,23,6.908755,1,232.526499,42.649151,2569.685298,19.873217,13.185137
200608,343,23,6.908755,1,239.435254,28.799435,2598.484733,17.828902,11.520183
200609,340,23,6.908755,1,246.344008,36.926471,2635.411204,17.238003,13.282408
200610,328,22,6.908755,1,253.252763,107.060579,2742.471783,17.422283,9.903983
200611,313,21,6.908755,1,260.161518,23.904786,2766.376568,15.434038,7.380150
200612,309,21,6.908755,1,267.070273,23.534576,2789.911144,17.154193,1.799789
200701,313,21,6.908645,1,273.978918,16.025531,2805.936675,15.711302,8.199154
200702,315,21,1.350514,5,275.329432,1.353378,2807.290053,14.953738,9.692831
200703,307,21,6.908755,1,282.238187,28.052358,2835.342411,14.333839,11.233564
200704,312,21,5.187605,2,287.425791,5.383667,2840.726079,12.056910,8.261940
200705,311,21,3.082605,2,290.508396,3.103640,2843.829718,13.308859,13.689930
200706,307,21,6.908755,1,297.417151,27.258251,2871.087969,10.350864,7.784190
