date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,395,27,6.908755,1,6.908755,326.229357,326.229357,0.322903,-0.001777
200308,401,27,6.908755,1,13.817510,408.748996,734.978353,0.322903,-0.001777
200309,412,28,6.908755,1,20.726264,341.510414,1076.488767,0.319264,-0.014336
200310,406,28,6.908755,1,27.635019,499.093246,1575.582014,0.319264,-0.014336
200311,416,28,6.908755,1,34.543774,455.262576,2030.844590,0.319264,-0.014336
200312,421,29,6.908755,1,41.452529,488.241077,2519.085667,0.319264,-0.014336
200401,429,29,6.908755,1,48.361283,476.324613,2995.410280,0.319264,-0.014336
200402,426,29,6.908755,1,55.270038,542.928308,3538.338588,0.311344,-0.023591
200403,428,29,6.908755,1,62.178793,546.807490,4085.146078,0.311344,-0.023591
200404,423,29,6.908755,1,69.087548,761.074529,4846.220607,0.311344,-0.023591
200405,423,29,6.908755,1,75.996303,792.716183,5638.936790,0.313096,-0.027644
200406,424,29,6.908755,1,82.905057,705.867256,6344.804046,0.313096,-0.027644
200407,425,29,6.908755,1,89.813812,803.746502,7148.550548,0.313096,-0.027644
200408,428,29,6.908755,1,96.722567,675.613358,7824.163906,0.318761,-0.028998
200409,439,30,6.908755,1,103.631322,634.257291,8458.421198,0.319192,-0.038751
200410,436,30,6.908755,1,110.540076,752.612875,9211.034073,0.321454,-0.052162
200411,444,30,6.908755,1,117.448831,771.002337,9982.036410,0.328108,-0.041393
200412,445,30,6.908755,1,124.357586,989.985811,10972.022221,0.333849,-0.036363
200501,444,30,6.908755,1,131.266341,1143.967964,12115.990185,0.335331,-0.031436
200502,443,30,6.908755,1,138.175096,1263.417666,13379.407852,0.343872,-0.030353
200503,438,30,6.908755,1,145.083850,1294.551548,14673.959400,0.350498,-0.020466
200504,436,30,6.908755,1,151.992605,783.111220,15457.070620,0.359639,-0.007977
200505,431,29,6.908755,1,158.901360,706.399764,16163.470384,0.361497,-0.008981
200506,438,30,6.908755,1,165.810115,781.182559,16944.652943,0.364061,-0.005014
200507,442,30,6.908755,1,172.718869,789.681631,17734.334574,0.369066,0.002496
200508,439,30,6.908755,1,179.627624,803.271395,18537.605969,0.364295,0.002807
200509,449,30,6.908755,1,186.536379,868.065847,19405.671816,0.363834,0.005627
200510,455,31,6.908755,1,193.445134,1017.464835,20423.136651,0.357804,-0.006209
200511,455,31,6.908755,1,200.353889,920.588943,21343.725594,0.354003,-0.006165
200512,446,30,6.908755,1,207.262643,1061.453910,22405.179504,0.355787,-0.002060
200601,430,29,6.908755,1,214.171398,984.718133,23389.897637,0.350273,-0.001626
200602,434,29,6.908755,1,221.080153,1037.669312,24427.566949,0.345593,0.007451
200603,434,29,6.908755,1,227.988908,1208.598145,25636.165094,0.337928,0.009214
200604,431,29,6.908755,1,234.897662,1329.412600,26965.577694,0.326887,0.021283
200605,433,29,6.908755,1,241.806417,1514.028615,28479.606309,0.316002,0.021916
200606,421,29,6.908755,1,248.715172,1365.031481,29844.637790,0.296342,0.020351
200607,423,29,6.908755,1,255.623927,1398.988804,31243.626594,0.279909,0.028509
200608,414,28,6.908755,1,262.532682,1296.740372,32540.366966,0.257194,0.025693
200609,415,28,6.908755,1,269.441436,1051.309339,33591.676305,0.232270,0.024944
200610,380,26,6.908755,1,276.350191,843.838744,34435.515049,0.210502,0.037701
200611,389,26,6.908755,1,283.258946,749.240624,35184.755673,0.189013,0.028857
200612,380,26,6.908755,1,290.167701,531.881918,35716.637592,0.168447,0.024268
200701,378,26,6.908755,1,297.076456,430.213210,36146.850802,0.149668,0.016378
200702,356,24,6.908755,1,303.985210,344.242531,36491.093334,0.135552,0.015641
200703,353,24,6.908755,1,310.893965,251.243626,36742.336960,0.124272,0.016470
200704,367,25,6.908755,1,317.802720,224.205854,36966.542814,0.115550,0.023725
200705,371,25,6.908755,1,324.711475,195.026329,37161.569142,0.110267,0.044420
200706,370,25,6.908755,1,331.620229,54.720615,37216.289758,0.106700,0.058555
200707,362,25,6.908755,1,338.528984,56.871457,37273.161215,0.100432,0.053918
200708,356,24,6.908755,1,345.437739,112.373469,37385.534685,0.096373,0.070052
200709,364,25,6.908755,1,352.346494,128.508578,37514.043262,0.089375,0.064011
200710,386,26,6.908755,1,359.255249,94.163280,37608.206543,0.081533,0.061409
200711,379,26,6.908755,1,366.164003,93.397272,37701.603814,0.075592,0.043976
200712,395,27,6.908755,1,373.072758,144.817921,37846.421735,0.073288,0.032233
200801,394,27,6.908755,1,379.981513,161.696710,38008.118445,0.073448,0.034074
200802,400,27,6.908755,1,386.890268,181.307419,38189.425864,0.069505,0.022742
200803,401,27,6.908755,1,393.799022,154.159842,38343.585705,0.072580,0.018941
200804,408,28,6.908755,1,400.707777,217.305883,38560.891588,0.073677,0.021873
200805,414,28,6.908755,1,407.616532,379.955619,38940.847207,0.071633,0.034069
200806,439,29,6.908755,1,414.525287,440.867068,39381.714275,0.063614,0.036190
200807,449,30,6.908755,1,421.434042,440.916711,39822.630986,0.058003,0.019866
200808,447,30,6.908755,1,428.342796,547.378892,40370.009878,0.056607,0.020013
200809,440,30,6.908755,1,435.251551,584.112352,40954.122229,0.051639,0.012832
200810,440,30,6.908755,1,442.160306,473.188799,41427.311028,0.052354,0.017633
200811,446,30,6.908755,1,449.069061,425.900617,41853.211645,0.051254,0.008054
200812,518,35,6.908755,1,455.977815,567.187299,42420.398945,0.055261,0.007214
200901,499,34,6.908755,1,462.886570,560.172081,42980.571026,0.062825,-0.001164
200902,506,34,6.908755,1,469.795325,510.858449,43491.429475,0.068202,-0.010688
200903,529,36,6.908755,1,476.704080,386.377732,43877.807207,0.073891,-0.020958
200904,527,36,6.908755,1,483.612835,520.910066,44398.717272,0.079410,-0.016070
200905,538,36,6.908755,1,490.521589,560.727122,44959.444394,0.088790,-0.000443
200906,561,38,6.908755,1,497.430344,569.044244,45528.488638,0.095607,-0.009370
200907,575,39,6.908755,1,504.339099,621.666927,46150.155566,0.098636,-0.025875
200908,593,40,6.908755,1,511.247854,509.504023,46659.659589,0.122351,-0.027945
200909,606,41,6.908755,1,518.156608,490.540221,47150.199810,0.148082,-0.018794
200910,604,41,6.908755,1,525.065363,532.787365,47682.987175,0.166594,-0.017011
200911,601,41,6.908755,1,531.974118,410.600217,48093.587391,0.180514,-0.035930
