date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,54,4,6.817623,1,6.817623,9.257287,9.257287,0.339505,-0.044406
200308,54,4,-14.473498,117,-7.655875,-14.474497,-5.217210,0.339505,-0.044406
200309,53,4,5.454897,2,-2.200978,5.720037,0.502827,0.341140,-0.050298
200310,62,5,5.695788,1,3.494810,6.047634,6.550460,0.341140,-0.050298
200311,62,5,-2.534793,6,0.960018,-2.535713,4.014747,0.341140,-0.050298
200312,64,5,6.839617,1,7.799635,9.544648,13.559395,0.341140,-0.050298
200401,67,5,4.590881,2,12.390516,4.693557,18.252952,0.341140,-0.050298
200402,69,5,6.497437,1,18.887952,7.583445,25.836397,0.339567,-0.046399
200403,67,5,6.907112,1,25.795065,13.318454,39.154851,0.339567,-0.046399
200404,67,5,6.261036,1,32.056100,7.000774,46.155625,0.339567,-0.046399
200405,69,5,6.908755,1,38.964855,37.364326,83.519951,0.345189,-0.020072
200406,73,5,6.908753,1,45.873608,20.377405,103.897356,0.345189,-0.020072
200407,71,5,6.908755,1,52.782363,25.685434,129.582790,0.345189,-0.020072
200408,69,5,6.902486,1,59.684849,11.976835,141.559625,0.352369,-0.023955
200409,72,5,6.418875,1,66.103725,7.366431,148.926056,0.359132,-0.041567
200410,71,5,6.908319,1,73.012043,14.644934,163.570991,0.368165,-0.046815
200411,72,5,6.908755,1,79.920798,31.883126,195.454116,0.372804,-0.029934
200412,72,5,6.908755,1,86.829553,30.896633,226.350749,0.379486,-0.005806
200501,72,5,6.908755,1,93.738307,40.915254,267.266003,0.377527,-0.015083
200502,87,6,6.908755,1,100.647062,54.290710,321.556713,0.380458,-0.008687
200503,88,6,6.908755,1,107.555817,68.528805,390.085518,0.380157,-0.018665
200504,89,6,6.908755,1,114.464572,70.809903,460.895421,0.380845,-0.012734
200505,90,6,6.908755,1,121.373327,86.895578,547.790999,0.384787,-0.017513
200506,93,7,6.908755,1,128.282081,115.484689,663.275688,0.387846,-0.045370
