date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,24,2,0.237475,266,0.237475,0.237743,0.237743,0.398687,0.010881
200308,24,2,-0.692776,485,-0.455301,-0.693276,-0.455533,0.398687,0.010881
200309,26,2,1.556486,3,1.101185,1.560235,1.104703,0.385356,0.026168
200310,26,2,1.252217,16,2.353402,1.254718,2.359421,0.385356,0.026168
200311,25,2,-1.719046,547,0.634356,-1.719866,0.639555,0.385356,0.026168
200312,25,2,0.260284,236,0.894641,0.260582,0.900136,0.385356,0.026168
200401,27,2,0.083990,251,0.978631,0.084078,0.984214,0.385356,0.026168
200402,28,2,2.666198,1,3.644829,2.679673,3.663888,0.384858,0.030253
200403,29,2,-10.199593,651,-6.554764,-10.200592,-6.536704,0.384858,0.030253
200404,27,2,-6.575224,384,-13.129988,-6.576222,-13.112927,0.384858,0.030253
200405,31,3,-17.907180,285,-31.037167,-17.908179,-31.021106,0.380258,0.025844
200406,33,3,1.889098,15,-29.148069,1.894728,-29.126378,0.380258,0.025844
200407,34,3,-6.824389,129,-35.972458,-6.825387,-35.951765,0.380258,0.025844
200408,34,3,2.875193,12,-33.097264,2.892064,-33.059702,0.383936,0.043790
200409,33,3,2.615266,15,-30.481998,2.628018,-30.431683,0.381828,0.064064
200410,33,3,5.727767,1,-24.754231,6.093458,-24.338226,0.382250,0.063943
200411,34,3,6.782796,1,-17.971435,8.915914,-15.422312,0.384058,0.070017
200412,34,3,6.554165,1,-11.417270,7.762020,-7.660292,0.377750,0.078859
200501,36,3,6.617220,1,-4.800050,7.991045,0.330753,0.376352,0.112073
200502,36,3,6.873139,1,2.073089,10.224872,10.555626,0.383329,0.103217
200503,35,3,6.761062,1,8.834151,8.745621,19.301247,0.387701,0.089875
200504,38,3,6.899951,1,15.734102,11.635916,30.937163,0.391404,0.089562
200505,38,3,6.908719,1,22.642821,17.141512,48.078675,0.394113,0.101743
200506,38,3,6.908755,1,29.551576,23.984462,72.063137,0.395225,0.124612
200507,43,3,6.908749,1,36.460325,19.044400,91.107537,0.393245,0.095138
200508,43,3,6.908755,1,43.369080,25.167179,116.274715,0.384271,0.088326
200509,43,3,6.908755,1,50.277834,22.961847,139.236563,0.378927,0.099560
200510,43,3,6.908754,1,57.186589,21.976941,161.213503,0.348402,0.032440
200511,45,3,6.908753,1,64.095342,20.243300,181.456803,0.337174,0.023120
200512,45,3,6.908746,1,71.004088,18.565438,200.022241,0.334964,0.019607
200601,46,4,6.908755,1,77.912843,30.473210,230.495451,0.331300,0.022942
200602,48,4,6.908755,1,84.821598,24.018906,254.514357,0.320788,0.042024
200603,46,4,6.908755,1,91.730353,37.239735,291.754092,0.307769,0.035788
200604,46,4,6.908755,1,98.639107,50.158606,341.912698,0.315050,0.104435
200605,47,4,6.908755,1,105.547862,56.055379,397.968077,0.303198,0.116565
200606,47,4,6.908755,1,112.456617,72.635040,470.603117,0.284464,0.098292
200607,48,4,6.908755,1,119.365372,70.755094,541.358211,0.266337,0.112349
200608,48,4,6.908755,1,126.274126,61.527512,602.885723,0.243786,0.062272
200609,48,4,6.908755,1,133.182881,60.318971,663.204694,0.218047,0.038183
200610,48,4,6.908755,1,140.091636,65.311984,728.516679,0.197435,0.055647
200611,49,4,6.908755,1,147.000391,34.850274,763.366953,0.153530,0.023960
200612,50,4,6.908755,1,153.909146,34.621595,797.988548,0.131738,-0.002004
200701,49,4,6.908570,1,160.817715,15.502805,813.491353,0.111686,-0.052068
200702,48,4,-7.516597,42,153.301119,-7.517596,805.973757,0.097285,-0.077371
200703,48,4,3.047089,9,156.348208,3.067347,809.041104,0.086500,-0.105546
200704,49,4,4.817924,3,161.166132,4.948840,813.989944,0.077950,-0.054809
200705,50,4,6.866250,1,168.032382,10.044568,824.034512,0.090495,-0.076585
200706,49,4,-11.163187,135,156.869195,-11.164186,812.870325,0.086226,-0.052402
200707,50,4,-1.642593,188,155.226602,-1.643400,811.226926,0.078974,-0.041763
200708,50,4,0.108714,49,155.335315,0.108828,811.335754,0.071346,0.017184
200709,53,4,-1.869331,533,153.465984,-1.870177,809.465578,0.056177,0.066947
200710,54,4,4.860096,1,158.326080,4.997104,814.462681,0.051761,0.065756
200711,56,4,6.271471,1,164.597551,7.022789,821.485470,0.050650,0.071875
200712,55,4,6.018129,1,170.615680,6.545438,828.030908,0.050817,0.077562
200801,54,4,6.908713,1,177.524393,16.990301,845.021209,0.053091,0.095920
200802,55,4,6.908547,1,184.432939,15.385041,860.406250,0.053466,0.102229
