date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,86,6,6.839239,1,6.839239,9.538992,9.538992,-0.004808,0.079357
200308,88,6,6.908755,1,13.747993,25.919824,35.458816,-0.004808,0.079357
200309,94,7,5.900766,1,19.648759,6.353821,41.812637,0.014944,0.095791
200310,97,7,6.908492,1,26.557252,15.153248,56.965885,0.014944,0.095791
200311,98,7,6.908724,1,33.465976,17.289554,74.255439,0.014944,0.095791
200312,96,7,6.834899,1,40.300874,9.476239,83.731678,0.014944,0.095791
200401,106,8,6.908710,1,47.209584,16.918977,100.650656,0.014944,0.095791
200402,101,7,6.908754,1,54.118339,21.850504,122.501160,0.012687,0.090057
200403,106,8,6.908706,1,61.027044,16.826360,139.327520,0.012687,0.090057
200404,107,8,6.908755,1,67.935799,29.761087,169.088607,0.012687,0.090057
200405,108,8,6.908755,1,74.844554,23.197930,192.286536,-0.001615,0.102254
200406,106,8,6.908755,1,81.753309,35.781005,228.067541,-0.001615,0.102254
200407,110,8,6.908755,1,88.662063,43.909434,271.976975,-0.001615,0.102254
200408,108,8,6.908755,1,95.570818,34.388607,306.365582,-0.001999,0.089452
200409,111,8,6.908755,1,102.479573,43.267704,349.633286,-0.005987,0.087418
200410,108,8,6.908755,1,109.388328,30.518864,380.152150,0.010026,0.087214
200411,109,8,6.908754,1,116.297082,21.515891,401.668041,0.036638,0.055687
200412,116,8,6.908754,1,123.205836,21.422127,423.090168,0.058716,0.043416
200501,115,8,6.908716,1,130.114552,17.068531,440.158700,0.098409,-0.011430
200502,115,8,6.908755,1,137.023307,25.266396,465.425096,0.131880,0.003045
200503,111,8,6.043747,2,143.067055,6.589284,472.014380,0.165683,-0.026968
200504,100,7,-7.034831,135,136.032224,-7.035829,464.978551,0.160389,-0.057913
200505,98,7,6.690962,1,142.723186,8.321094,473.299645,0.156958,-0.044732
200506,104,7,6.902446,1,149.625632,11.970371,485.270016,0.160811,-0.073373
200507,105,7,6.369688,1,155.995319,7.244058,492.514074,0.144197,-0.073764
200508,104,7,0.357938,7,156.353257,0.358369,492.872443,0.148175,-0.090997
200509,101,7,6.908749,1,163.262006,18.927480,511.799923,0.146002,-0.115357
200510,103,7,6.904097,1,170.166103,12.274693,524.074616,0.141512,-0.155655
200511,101,7,0.790480,2,170.956584,0.791686,524.866302,0.159194,-0.146209
200512,116,8,6.908755,1,177.865339,23.125183,547.991484,0.163828,-0.141706
200601,116,8,6.908755,1,184.774093,27.794336,575.785820,0.183058,-0.170396
200602,116,8,6.908755,1,191.682848,36.741336,612.527156,0.180468,-0.165013
200603,118,8,6.908755,1,198.591603,32.882667,645.409823,0.189060,-0.154580
200604,117,8,6.908755,1,205.500358,34.978587,680.388410,0.213236,-0.145321
200605,120,8,6.908755,1,212.409113,35.753589,716.141999,0.201255,-0.146054
200606,128,9,6.908755,1,219.317867,45.952190,762.094189,0.194893,-0.131698
200607,125,9,6.908755,1,226.226622,41.592995,803.687184,0.189809,-0.130636
200608,127,9,6.908755,1,233.135377,30.421576,834.108760,0.192279,-0.126390
200609,130,9,6.908755,1,240.044132,35.439188,869.547948,0.173877,-0.120788
200610,141,10,6.908755,1,246.952886,41.957795,911.505744,0.158510,-0.113414
200611,127,9,1.338257,3,248.291143,1.341073,912.846817,0.149920,-0.098494
200612,127,9,1.222180,3,249.513324,1.224578,914.071395,0.130917,-0.111226
200701,123,9,-14.612991,84,234.900333,-14.613990,899.457405,0.105727,-0.086667
200702,118,8,6.833366,1,241.733699,9.454924,908.912329,0.067056,-0.099806
200703,109,8,6.902429,1,248.636128,11.967737,920.880066,0.052468,-0.106829
200704,118,8,6.906573,1,255.542701,13.034251,933.914317,0.046630,-0.113158
200705,113,8,6.902347,1,262.445048,11.954717,945.869034,0.035947,-0.116194
200706,105,7,6.904608,1,269.349656,12.391019,958.260053,0.026641,-0.115042
200707,101,7,1.079036,3,270.428692,1.080980,959.341033,0.039032,-0.082116
200708,95,7,-3.654546,19,266.774146,-3.655520,955.685513,0.063174,-0.015513
200709,91,7,-13.318055,56,253.456091,-13.319054,942.366459,0.071452,0.004485
200710,79,6,-15.651561,240,237.804530,-15.652560,926.713899,0.074891,0.016522
200711,77,6,-16.467872,96,221.336658,-16.468872,910.245027,0.082504,0.033377
