date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,137,10,6.908723,1,6.908723,17.268226,17.268226,0.210447,-0.027197
200308,143,10,6.908755,1,13.817478,37.865924,55.134150,0.210447,-0.027197
200309,148,10,6.908755,1,20.726233,44.012997,99.147147,0.225592,-0.022272
200310,150,10,6.908755,1,27.634987,38.341802,137.488950,0.225592,-0.022272
200311,152,11,6.908755,1,34.543742,40.402774,177.891723,0.225592,-0.022272
200312,150,10,6.908755,1,41.452497,51.378211,229.269934,0.225592,-0.022272
200401,139,10,6.908755,1,48.361252,34.425428,263.695363,0.225592,-0.022272
200402,143,10,6.908748,1,55.269999,18.738604,282.433966,0.256835,-0.033632
200403,139,10,6.908755,1,62.178754,23.914508,306.348474,0.256835,-0.033632
200404,135,9,6.908755,1,69.087509,29.082734,335.431208,0.256835,-0.033632
200405,140,10,6.908755,1,75.996264,44.108424,379.539632,0.262084,-0.046829
200406,146,10,6.908755,1,82.905018,55.893417,435.433049,0.262084,-0.046829
200407,152,11,6.908755,1,89.813773,50.313378,485.746427,0.262084,-0.046829
200408,153,11,6.908755,1,96.722528,39.503632,525.250059,0.288936,-0.038646
200409,155,11,6.908733,1,103.631261,17.627198,542.877257,0.288280,-0.033566
200410,162,11,6.908755,1,110.540015,72.843347,615.720604,0.308647,-0.059690
200411,167,12,6.908755,1,117.448770,94.796813,710.517416,0.323347,-0.062906
200412,163,11,6.908755,1,124.357525,106.262890,816.780306,0.315155,-0.061605
200501,164,11,6.908755,1,131.266280,51.296775,868.077082,0.315028,-0.053124
200502,169,12,6.908755,1,138.175034,95.986360,964.063441,0.305219,-0.066229
200503,172,12,6.908755,1,145.083789,87.002272,1051.065713,0.318488,-0.068311
200504,187,13,6.908755,1,151.992544,63.052665,1114.118379,0.302807,-0.090825
200505,196,14,6.908755,1,158.901299,149.667066,1263.785445,0.305995,-0.099619
200506,190,13,6.908755,1,165.810054,125.317218,1389.102663,0.313451,-0.100249
200507,190,13,6.908755,1,172.718808,166.791910,1555.894573,0.311004,-0.099663
200508,190,13,6.908755,1,179.627563,137.999884,1693.894457,0.307573,-0.108536
200509,197,14,6.908755,1,186.536318,161.112161,1855.006618,0.301914,-0.105933
200510,194,13,6.908755,1,193.445073,113.962519,1968.969137,0.315457,-0.077970
200511,197,14,6.908755,1,200.353828,109.370879,2078.340016,0.309841,-0.066206
200512,165,11,6.908755,1,207.262582,106.451228,2184.791244,0.309518,-0.061108
200601,164,11,6.908755,1,214.171337,89.330615,2274.121858,0.318236,-0.046525
200602,171,12,6.908755,1,221.080092,85.359697,2359.481555,0.322240,-0.023235
200603,168,12,6.908755,1,227.988847,93.604207,2453.085762,0.323062,-0.003252
200604,158,11,6.908755,1,234.897601,95.728004,2548.813766,0.310209,-0.005074
200605,152,11,6.908755,1,241.806356,92.821139,2641.634905,0.311127,0.001106
200606,142,10,6.908755,1,248.715111,46.825302,2688.460207,0.298287,0.005212
200607,141,10,6.908755,1,255.623866,30.836953,2719.297160,0.284463,0.008585
200608,140,10,6.908755,1,262.532620,24.135882,2743.433042,0.272090,0.004455
200609,142,10,6.908755,1,269.441375,25.757794,2769.190836,0.252477,0.003453
200610,143,10,6.908755,1,276.350130,31.767797,2800.958633,0.238753,0.004975
200611,157,11,6.908755,1,283.258885,34.785766,2835.744400,0.216802,0.001584
200612,147,10,5.879627,1,289.138512,6.320734,2842.065133,0.209643,0.006284
200701,152,11,6.875743,1,296.014255,10.302084,2852.367217,0.194550,0.009027
200702,157,11,6.644743,1,302.658998,8.104609,2860.471826,0.185387,0.025232
200703,157,11,-1.534922,12,301.124076,-1.535706,2858.936121,0.182371,0.033768
200704,134,9,6.892240,1,308.016316,11.002978,2869.939098,0.185321,0.039342
200705,131,9,6.907846,1,314.924162,13.910578,2883.849676,0.182756,0.043256
200706,136,10,0.141074,13,315.065236,0.141226,2883.990902,0.174484,0.039470
200707,128,9,-8.071208,113,306.994029,-8.072207,2875.918695,0.164634,0.034671
200708,125,9,6.867432,1,313.861461,10.073368,2885.992063,0.159638,0.028794
200709,125,9,4.171993,2,318.033454,4.237967,2890.230030,0.148151,0.014739
200710,114,8,-2.220477,17,315.812977,-2.221368,2888.008662,0.134274,0.016070
200711,105,7,1.770138,5,317.583115,1.775022,2889.783684,0.126388,0.007242
200712,99,7,5.860482,2,323.443597,6.291101,2896.074785,0.119241,0.000695
200801,96,7,6.899270,1,330.342867,11.561047,2907.635832,0.124502,-0.000164
200802,95,7,2.702537,3,333.045404,2.716553,2910.352384,0.113552,-0.017692
200803,115,8,6.908589,1,339.953993,15.610247,2925.962631,0.116911,-0.025117
200804,114,8,6.439971,1,346.393964,7.421838,2933.384469,0.113779,-0.040590
200805,106,8,6.908753,1,353.302717,20.106695,2953.491164,0.108568,-0.045136
200806,105,7,6.823829,1,360.126546,9.330971,2962.822135,0.104731,-0.040454
200807,100,7,6.894209,1,367.020755,11.130907,2973.953041,0.106177,-0.037714
200808,100,7,1.947506,14,368.968260,1.953535,2975.906576,0.117629,-0.029333
200809,99,7,-15.231143,309,353.737117,-15.232143,2960.674434,0.118781,-0.018409
200810,99,7,1.904645,35,355.641762,1.910379,2962.584812,0.120277,-0.007742
200811,96,7,-1.904149,364,353.737613,-1.905000,2960.679812,0.126740,-0.002617
200812,94,7,-1.998141,362,351.739472,-1.999005,2958.680807,0.131633,-0.001748
200901,94,7,4.087597,3,355.827069,4.147981,2962.828788,0.138639,-0.004111
200902,97,7,2.423235,10,358.250305,2.433571,2965.262359,0.137231,-0.006585
200903,101,7,1.305907,23,359.556212,1.308602,2966.570961,0.128320,-0.006921
200904,113,8,6.898208,1,366.454419,11.454373,2978.025334,0.121868,-0.005806
200905,110,8,6.908755,1,373.363174,29.671178,3007.696512,0.108594,-0.010310
200906,113,8,6.908755,1,380.271929,56.415239,3064.111750,0.087280,-0.026922
200907,116,8,6.908755,1,387.180684,44.890098,3109.001849,0.067208,-0.037473
200908,113,8,6.908755,1,394.089439,79.532783,3188.534632,0.048378,-0.042113
200909,121,9,6.908755,1,400.998193,57.804000,3246.338632,0.049261,-0.038215
200910,120,8,6.908755,1,407.906948,60.470052,3306.808683,0.061222,-0.037359
200911,122,9,6.908755,1,414.815703,60.947561,3367.756244,0.069909,-0.034523
200912,116,8,6.908755,1,421.724458,50.761957,3418.518201,0.106776,-0.023469
201001,118,8,6.908755,1,428.633212,70.521879,3489.040079,0.139258,-0.003103
201002,121,9,6.908755,1,435.541967,78.070445,3567.110524,0.178645,0.000392
201003,130,9,6.908755,1,442.450722,42.121065,3609.231590,0.206136,-0.000797
201004,127,9,6.908755,1,449.359477,55.547046,3664.778636,0.200836,-0.012996
201005,130,9,6.908753,1,456.268230,20.390291,3685.168928,0.187423,-0.034552
201006,134,9,6.908755,1,463.176985,72.456598,3757.625525,0.161868,-0.029203
201007,140,10,6.908755,1,470.085740,71.564291,3829.189816,0.158740,-0.024260
201008,140,10,6.908755,1,476.994494,68.818263,3898.008079,0.143548,-0.044642
201009,150,10,6.908755,1,483.903249,52.911827,3950.919906,0.150609,-0.061121
201010,149,10,6.908755,1,490.812004,30.732653,3981.652559,0.187972,-0.056298
201011,159,11,6.908755,1,497.720759,50.008568,4031.661127,0.261712,-0.064209
201012,164,11,6.908755,1,504.629514,49.700443,4081.361570,0.291154,-0.031138
201101,164,11,6.908755,1,511.538268,44.767975,4126.129545,0.304579,-0.047097
201102,175,12,6.908755,1,518.447023,36.582634,4162.712179,0.330730,-0.055478
201103,186,13,6.908755,1,525.355778,52.847984,4215.560163,0.340996,-0.068674
201104,194,13,6.908755,1,532.264533,54.354779,4269.914942,0.349736,-0.059918
201105,193,13,6.908755,1,539.173287,53.541959,4323.456901,0.355772,-0.056593
201106,199,14,6.908755,1,546.082042,53.117479,4376.574380,0.352550,-0.064869
201107,221,15,6.908755,1,552.990797,62.027728,4438.602108,0.333373,-0.055744
201108,221,15,6.908755,1,559.899552,83.209971,4521.812080,0.321116,-0.050260
201109,224,15,6.908755,1,566.808307,96.903449,4618.715528,0.314902,-0.037368
201110,221,15,6.908755,1,573.717061,81.183692,4699.899221,0.307353,-0.039159
201111,227,16,6.908755,1,580.625816,91.349255,4791.248475,0.303574,-0.030644
201112,228,16,6.908755,1,587.534571,106.887058,4898.135533,0.296330,-0.023909
201201,234,16,6.908755,1,594.443326,109.121361,5007.256894,0.306749,-0.018399
201202,239,16,6.908755,1,601.352080,77.409783,5084.666677,0.306535,-0.025358
201203,232,16,6.908755,1,608.260835,81.895006,5166.561683,0.306658,-0.022421
201204,234,16,6.908755,1,615.169590,119.013545,5285.575228,0.309045,-0.017211
201205,232,16,6.908755,1,622.078345,111.491527,5397.066755,0.304612,-0.033811
201206,242,17,6.908755,1,628.987100,94.402517,5491.469273,0.305707,-0.049102
201207,242,17,6.908755,1,635.895854,82.498717,5573.967990,0.297601,-0.061474
