date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,395,27,6.908755,1,6.908755,197.621594,197.621594,0.904054,0.157638
200308,401,27,6.908755,1,13.817510,256.783237,454.404830,0.904054,0.157638
200309,412,28,6.908755,1,20.726264,244.221814,698.626644,0.954150,0.089645
200310,406,28,6.908755,1,27.635019,165.932667,864.559312,0.954150,0.089645
200311,416,28,6.908755,1,34.543774,227.291763,1091.851074,0.954150,0.089645
200312,421,29,6.908755,1,41.452529,165.190296,1257.041371,0.954150,0.089645
200401,429,29,6.908755,1,48.361283,224.929374,1481.970745,0.954150,0.089645
200402,426,29,6.908755,1,55.270038,345.055840,1827.026585,0.792879,0.066920
200403,428,29,6.908755,1,62.178793,423.136996,2250.163581,0.792879,0.066920
200404,423,29,6.908755,1,69.087548,629.248632,2879.412213,0.792879,0.066920
200405,423,29,6.908755,1,75.996303,641.086046,3520.498259,0.769296,0.110193
200406,424,29,6.908755,1,82.905057,434.192555,3954.690814,0.769296,0.110193
200407,425,29,6.908755,1,89.813812,679.728748,4634.419561,0.769296,0.110193
200408,428,29,6.908755,1,96.722567,705.782695,5340.202256,0.718022,0.119170
200409,439,30,6.908755,1,103.631322,512.665148,5852.867405,0.723351,0.121537
200410,436,30,6.908755,1,110.540076,1172.328324,7025.195729,0.610228,0.130279
200411,444,30,6.908755,1,117.448831,874.439694,7899.635423,0.567606,0.150610
200412,445,30,6.908755,1,124.357586,414.545810,8314.181232,0.636695,0.158255
200501,444,30,6.908755,1,131.266341,334.829281,8649.010514,0.669259,0.158116
200502,443,30,6.908755,1,138.175096,582.341433,9231.351947,0.785771,0.160281
200503,438,30,6.908755,1,145.083850,268.734345,9500.086292,0.813082,0.183142
200504,436,30,6.908755,1,151.992605,299.830154,9799.916446,1.110620,0.195474
200505,431,29,6.908755,1,158.901360,201.864506,10001.780951,1.199748,0.281470
200506,438,30,6.908755,1,165.810115,111.253369,10113.034320,1.223311,0.313897
200507,442,30,-62.446246,28,103.363869,-62.447246,10050.587075,1.253727,0.294979
200508,439,30,-2.391207,2,100.972662,-2.392115,10048.194960,1.225493,0.245433
200509,449,30,6.908755,1,107.881417,34.772060,10082.967020,1.204608,0.248211
200510,455,31,-11.136894,3,96.744522,-11.137894,10071.829126,1.486561,0.246005
200511,455,31,6.908755,1,103.653277,97.766369,10169.595496,1.320049,0.289212
200512,446,30,-18.009458,6,85.643820,-18.010457,10151.585038,1.226547,0.335326
200601,430,29,6.908755,1,92.552574,92.500713,10244.085751,1.263093,0.307580
200602,434,29,6.908755,1,99.461329,181.809024,10425.894776,1.490877,0.295198
200603,434,29,6.908755,1,106.370084,147.860556,10573.755332,1.639278,0.273280
200604,431,29,6.908755,1,113.278839,177.461086,10751.216418,1.603249,0.246335
200605,433,29,6.908755,1,120.187593,187.630884,10938.847302,1.973258,0.325798
200606,421,29,6.908755,1,127.096348,191.841676,11130.688978,2.138148,0.302334
200607,423,29,6.908755,1,134.005103,174.279771,11304.968749,2.174714,0.317225
200608,414,28,6.908755,1,140.913858,218.493920,11523.462669,2.058139,0.334612
200609,415,28,6.908755,1,147.822613,261.614188,11785.076857,1.942948,0.262225
200610,380,26,6.908755,1,154.731367,154.885264,11939.962121,1.879602,0.115407
200611,389,26,6.908755,1,161.640122,111.945673,12051.907794,1.644110,0.183940
200612,380,26,6.908755,1,168.548877,78.847993,12130.755787,1.332182,0.473122
200701,378,26,6.908755,1,175.457632,59.298042,12190.053829,1.246149,0.426027
200702,356,24,6.908755,1,182.366386,47.757637,12237.811466,1.161017,0.530725
200703,353,24,1.494874,3,183.861260,1.498339,12239.309805,1.087990,0.577823
200704,367,25,6.908755,1,190.770015,23.762205,12263.072010,0.986124,0.734637
200705,371,25,6.908727,1,197.678743,17.415999,12280.488009,0.988496,0.757565
200706,370,25,-3.022133,2,194.656609,-3.023084,12277.464925,1.034013,0.745376
200707,362,25,6.908755,1,201.565364,23.283312,12300.748237,0.974500,0.790662
200708,356,24,6.908755,1,208.474119,75.093537,12375.841774,0.903707,0.798481
200709,364,25,6.867324,1,215.341443,10.070704,12385.912478,0.847248,0.706144
200710,386,26,6.908755,1,222.250198,31.571122,12417.483600,0.830250,0.544403
200711,379,26,6.908755,1,229.158952,108.566873,12526.050473,0.700412,0.602326
200712,395,27,6.027257,2,235.186209,6.560969,12532.611442,0.684296,0.599048
200801,394,27,6.908755,1,242.094964,51.094820,12583.706261,0.624100,0.644761
200802,400,27,6.908755,1,249.003719,106.215896,12689.922157,0.627170,0.615493
200803,401,27,6.908755,1,255.912473,80.898224,12770.820381,0.648659,0.672042
200804,408,28,6.908755,1,262.821228,136.550835,12907.371216,0.658004,0.713292
200805,414,28,6.908755,1,269.729983,48.009293,12955.380509,0.712424,0.633442
200806,439,30,6.908755,1,276.638738,216.601524,13171.982034,0.684607,0.546229
200807,449,30,6.908755,1,283.547493,383.099623,13555.081656,0.580656,0.573567
200808,447,30,6.908755,1,290.456247,621.074331,14176.155988,0.564486,0.641798
200809,440,30,6.908755,1,297.365002,462.155872,14638.311860,0.546889,0.566700
