date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,54,4,6.499170,1,6.499170,7.588593,7.588593,1.516621,-0.056625
200308,54,4,3.442432,5,9.941602,3.473162,11.061756,1.516621,-0.056625
200309,53,4,-1.131942,196,8.809660,-1.132619,9.929136,1.475516,-0.106038
200310,62,5,-2.982075,208,5.827585,-2.983024,6.946113,1.475516,-0.106038
200311,62,5,6.884487,1,12.712073,10.614220,17.560333,1.475516,-0.106038
200312,64,5,2.461452,15,15.173524,2.472231,20.032564,1.475516,-0.106038
200401,67,5,-3.978615,150,11.194909,-3.979596,16.052969,1.475516,-0.106038
200402,69,5,-3.808338,23,7.386571,-3.809316,12.243653,1.296026,0.269787
200403,67,5,-0.073803,34,7.312768,-0.073874,12.169779,1.296026,0.269787
200404,67,5,6.902429,1,14.215197,11.967788,24.137567,1.296026,0.269787
200405,69,5,6.908755,1,21.123952,27.168284,51.305851,1.220140,0.442795
200406,73,5,6.849696,1,27.973648,9.707311,61.013162,1.220140,0.442795
200407,71,5,6.908048,1,34.881697,14.162660,75.175822,1.220140,0.442795
200408,69,5,6.891476,1,41.773172,10.957356,86.133178,1.221306,0.482623
200409,72,5,6.904290,1,48.677462,12.316970,98.450148,1.270340,0.436102
200410,71,5,6.908460,1,55.585922,15.038263,113.488410,1.282342,0.424731
200411,72,5,6.903495,1,62.489418,12.152828,125.641238,1.295837,0.538687
200412,72,5,0.807575,66,63.296993,0.808818,126.450057,1.435055,0.521368
200501,72,5,-0.296842,131,63.000151,-0.297099,126.152957,1.554530,0.568148
200502,87,6,1.102556,23,64.102706,1.104570,127.257527,1.612081,0.653413
200503,88,6,0.384312,143,64.487018,0.384780,127.642307,1.608348,0.638988
200504,89,6,6.908709,1,71.395727,16.900289,144.542597,1.084366,0.415967
200505,90,6,6.908743,1,78.304470,18.223624,162.766221,1.029508,0.333347
200506,93,7,6.843795,1,85.148264,9.609081,172.375302,0.925478,0.461263
200507,93,7,5.175481,2,90.323745,5.368922,177.744224,0.838365,0.416240
200508,95,7,6.896580,1,97.220325,11.310023,189.054247,0.742871,0.303124
200509,100,7,6.908755,1,104.129080,45.835927,234.890175,0.519769,0.263386
200510,94,7,-8.685079,42,95.444001,-8.686078,226.204097,1.044102,0.401002
200511,94,7,-34.652138,415,60.791863,-34.653137,191.550959,1.081489,0.545285
200512,95,7,-52.493413,940,8.298450,-52.494413,139.056547,1.349408,0.515309
200601,100,7,6.908755,1,15.207205,32.384552,171.441099,1.295845,0.605070
200602,103,7,-4.502407,16,10.704799,-4.503395,166.937704,1.443649,0.592875
200603,101,7,6.908746,1,17.613545,18.604097,185.541801,1.816373,0.279410
200604,103,7,6.908755,1,24.522300,27.117033,212.658834,1.910910,0.177745
200605,101,7,2.211964,13,26.734264,2.220131,214.878965,1.887369,0.261181
200606,130,9,6.908755,1,33.643019,25.600276,240.479241,1.764924,0.431208
200607,127,9,6.908755,1,40.551774,46.098417,286.577658,1.867220,0.389342
200608,134,9,6.908755,1,47.460528,29.316716,315.894374,1.626189,0.112464
200609,128,9,6.908755,1,54.369283,52.386612,368.280986,1.525373,0.613996
200610,164,11,6.908755,1,61.278038,32.922699,401.203685,1.355070,0.138633
200611,164,11,6.908606,1,68.186644,15.719577,416.923262,1.174294,0.235761
200612,159,11,6.908661,1,75.095305,16.182221,433.105483,1.125951,0.137964
200701,158,11,6.908755,1,82.004060,31.020004,464.125487,1.086214,0.133831
200702,184,13,6.908755,1,88.912814,33.438430,497.563917,1.085749,0.366848
200703,185,13,1.090523,9,90.003338,1.092501,498.656418,1.069770,0.218531
200704,185,13,6.908755,1,96.912092,24.733608,523.390026,1.029594,0.531683
200705,188,13,6.908563,1,103.820655,15.466612,538.856638,1.008017,0.384196
200706,184,13,6.908754,1,110.729410,21.944155,560.800793,0.779613,0.841013
200707,184,13,6.908755,1,117.638165,31.088488,591.889281,0.743664,0.892968
200708,186,13,6.908745,1,124.546909,18.402363,610.291644,0.628429,0.807040
