date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,86,6,3.001135,3,3.001135,3.020428,3.020428,0.783119,0.405884
200308,88,6,1.262399,15,4.263533,1.264936,4.285364,0.783119,0.405884
200309,94,7,-3.957387,306,0.306147,-3.958367,0.326997,0.740629,0.316553
200310,97,7,-0.058251,7,0.247896,-0.058308,0.268689,0.740629,0.316553
200311,98,7,-14.630933,101,-14.383037,-14.631933,-14.363243,0.740629,0.316553
200312,96,7,3.593269,4,-10.789769,3.629261,-10.733982,0.740629,0.316553
200401,106,8,1.685415,5,-9.104354,1.689819,-9.044163,0.740629,0.316553
200402,101,7,6.907752,1,-2.196602,13.812549,4.768386,0.702355,0.225936
200403,106,8,6.717469,1,4.520867,8.464573,13.232959,0.702355,0.225936
200404,107,8,0.698539,20,5.219406,0.699550,13.932509,0.702355,0.225936
200405,108,8,0.049704,21,5.269109,0.049755,13.982263,0.722948,0.275815
200406,106,8,-35.081257,254,-29.812148,-35.082257,-21.099993,0.722948,0.275815
200407,110,8,6.908754,1,-22.903394,20.641862,-0.458131,0.722948,0.275815
200408,108,8,6.908755,1,-15.994640,52.063003,51.604872,0.691539,0.261254
200409,111,8,6.908755,1,-9.085885,30.425879,82.030750,0.713486,0.256145
200410,108,8,6.908755,1,-2.177130,27.508603,109.539353,0.662640,0.229749
200411,109,8,4.982540,2,2.805410,5.139012,114.678365,0.642442,0.206006
200412,116,8,6.905029,1,9.710440,12.498504,127.176870,0.669770,0.218496
200501,115,8,6.908755,1,16.619195,24.387116,151.563986,0.644547,0.228895
200502,115,8,6.908755,1,23.527949,61.877825,213.441810,0.696683,0.180317
200503,111,8,6.908755,1,30.436704,39.284459,252.726269,0.673769,0.175270
200504,100,7,-5.837666,18,24.599038,-5.838663,246.887607,0.688036,0.166659
200505,98,7,6.908755,1,31.507793,32.130160,279.017767,0.698901,0.218704
200506,104,7,6.908754,1,38.416547,20.860122,299.877889,0.711267,0.174795
200507,105,7,6.908755,1,45.325302,38.999754,338.877643,0.649351,0.188805
200508,104,7,6.908755,1,52.234056,54.285838,393.163481,0.575799,0.249507
200509,101,7,6.908755,1,59.142811,33.444496,426.607977,0.589562,0.210796
200510,103,7,6.908755,1,66.051566,42.101146,468.709123,0.616134,0.160222
200511,101,7,6.908755,1,72.960321,39.202277,507.911401,0.551067,0.131770
200512,116,8,6.908755,1,79.869075,63.173214,571.084615,0.519990,0.114374
200601,116,8,6.908755,1,86.777830,53.516498,624.601113,0.577293,0.161010
200602,116,8,6.908755,1,93.686585,38.547893,663.149007,0.652908,0.181568
200603,118,8,4.958832,2,98.645417,5.111316,668.260322,0.695291,0.180900
200604,117,8,-16.486269,4,82.159148,-16.487268,651.773054,0.710524,0.164922
200605,120,8,-5.945185,20,76.213963,-5.946182,645.826872,0.860694,0.052244
200606,128,9,-8.795502,57,67.418461,-8.796502,637.030371,0.884847,-0.021963
200607,125,9,4.982171,3,72.400632,5.138580,642.168951,0.886989,-0.038372
200608,127,9,2.951216,3,75.351848,2.969512,645.138462,0.911499,-0.100343
200609,130,9,6.596814,1,81.948662,7.912676,653.051138,0.888945,-0.085598
200610,141,10,6.908755,1,88.857417,28.254965,681.306103,0.851026,-0.050351
200611,127,9,6.840038,1,95.697455,9.550962,690.857065,0.895852,-0.057421
200612,127,9,-7.676194,63,88.021261,-7.677193,683.179872,0.890917,-0.007501
200701,123,9,-11.023895,57,76.997365,-11.024895,672.154977,0.910799,0.047715
200702,118,8,-8.587716,24,68.409649,-8.588715,663.566262,0.905894,0.091760
200703,109,8,-7.892478,134,60.517171,-7.893477,655.672785,0.921337,0.135294
200704,118,8,-15.372969,106,45.144203,-15.373968,640.298817,0.950374,0.153663
200705,113,8,6.004068,1,51.148270,6.521705,646.820522,0.932036,0.129041
200706,105,7,-3.751044,161,47.397226,-3.752020,643.068501,0.954071,0.206820
200707,101,7,-33.977488,625,13.419738,-33.978487,609.090014,0.947395,0.225412
200708,95,7,-4.511743,200,8.907995,-4.512731,604.577283,0.955328,0.253304
200709,91,7,1.567323,6,10.475319,1.571124,606.148407,0.938347,0.243246
200710,79,6,-5.147095,64,5.328224,-5.148088,601.000319,0.901782,0.235879
200711,77,6,-6.350254,49,-1.022030,-6.351252,594.649067,0.872326,0.228846
200712,73,5,-4.745692,457,-5.767722,-4.746683,589.902384,0.876040,0.218475
200801,72,5,-3.737165,237,-9.504887,-3.738140,586.164244,0.866495,0.291363
200802,72,5,-0.009344,134,-9.514231,-0.009353,586.154890,0.872989,0.265844
200803,50,4,-0.267635,60,-9.781865,-0.267869,585.887021,0.881451,0.199010
200804,52,4,3.394388,7,-6.387478,3.423607,589.310628,0.917807,0.202103
200805,55,4,-0.250550,97,-6.638028,-0.250772,589.059856,0.928743,0.257641
200806,40,3,3.414566,5,-3.223462,3.444411,592.504266,0.935005,0.272566
200807,37,3,0.901021,70,-2.322441,0.902484,593.406751,0.944746,0.208735
200808,38,3,-4.924064,647,-7.246505,-4.925056,588.481695,0.900015,0.192867
200809,38,3,-3.543741,761,-10.790246,-3.544712,584.936983,0.885817,0.208563
200810,35,3,-3.740764,950,-14.531011,-3.741740,581.195242,0.889577,0.201334
200811,35,3,-2.862370,278,-17.393381,-2.863312,578.331930,0.887030,0.155635
200812,32,3,-0.294880,319,-17.688261,-0.295136,578.036794,0.867822,0.138513
200901,32,3,0.767902,53,-16.920359,0.769058,578.805853,0.865542,0.168394
200902,33,3,1.558049,47,-15.362309,1.561806,580.367659,0.929295,0.101595
200903,33,3,-0.771172,610,-16.133481,-0.771709,579.595949,0.966368,0.106506
200904,34,3,1.688750,23,-14.444731,1.693172,581.289122,1.019766,0.142655
200905,33,3,0.801786,133,-13.642946,0.803016,582.092138,1.010219,0.091343
200906,34,3,3.835259,1,-9.807687,3.881623,585.973760,1.016805,0.096465
200907,35,3,6.137720,1,-3.669967,6.757610,592.731370,1.019863,0.097745
200908,38,3,1.644105,42,-2.025863,1.648290,594.379660,1.013656,0.117962
200909,39,3,4.964494,1,2.938631,5.117920,599.497580,1.036941,0.207078
200910,39,3,0.687451,86,3.626083,0.688440,600.186021,0.902985,0.198537
200911,42,3,0.745899,52,4.371981,0.747008,600.933028,0.882151,0.231947
200912,50,4,6.793816,1,11.165797,9.013089,609.946117,0.899846,0.274880
201001,55,4,1.637923,19,12.803720,1.642076,611.588194,0.861519,0.235047
201002,58,4,-21.274497,795,-8.470777,-21.275496,590.312697,0.837121,0.282809
201003,59,4,4.215959,3,-4.254817,4.285051,594.597748,0.766394,0.288860
201004,66,5,-3.358229,12,-7.613046,-3.359193,591.238555,0.768236,0.332524
201005,66,5,4.674056,3,-2.938990,4.786253,596.024808,0.704934,0.329194
201006,67,5,6.908260,1,3.969271,14.519530,610.544338,0.472545,0.186177
201007,69,5,6.907519,1,10.876790,13.603372,624.147710,0.652411,0.242145
201008,81,6,6.908755,1,17.785545,37.887374,662.035084,0.625587,0.187542
201009,91,7,6.908755,1,24.694299,57.341810,719.376893,0.591822,0.174072
201010,104,7,6.908755,1,31.603054,50.454717,769.831610,0.643359,0.196040
201011,106,8,6.908755,1,38.511809,32.834462,802.666072,0.676835,0.170373
201012,109,8,6.908755,1,45.420564,35.701591,838.367663,0.687155,0.144724
201101,109,8,6.908755,1,52.329319,38.937203,877.304865,0.628293,0.074923
201102,106,8,5.570634,2,57.899953,5.873905,883.178770,0.664672,0.118704
201103,107,8,-8.220330,22,49.679623,-8.221329,874.957441,0.749604,0.057734
201104,107,8,-27.032102,65,22.647521,-27.033102,847.924339,0.698498,0.002178
201105,104,7,-5.306830,9,17.340690,-5.307825,842.616514,0.741488,0.008000
201106,107,8,6.908477,1,24.249168,15.096951,857.713465,0.759468,0.013427
201107,106,8,-2.253574,9,21.995594,-2.254468,855.458997,0.756242,-0.024785
201108,110,8,1.472194,4,23.467788,1.475558,856.934556,0.736136,-0.028364
201109,116,8,0.622951,6,24.090739,0.623816,857.558371,0.695747,-0.071151
201110,119,8,-16.246311,13,7.844428,-16.247310,841.311061,0.713091,-0.038851
201111,126,9,6.433453,1,14.277881,7.404516,848.715576,0.669373,-0.148540
201112,124,9,6.908755,1,21.186636,23.601964,872.317541,0.666189,-0.190616
201201,125,9,6.908754,1,28.095390,20.513789,892.831330,0.696144,-0.151950
201202,127,9,6.908748,1,35.004137,18.746591,911.577921,0.742625,-0.095599
201203,133,9,6.908755,1,41.912892,25.054239,936.632160,0.799645,-0.118624
201204,135,9,6.908755,1,48.821647,27.436766,964.068926,0.843680,-0.146003
201205,132,9,6.804404,1,55.626051,9.115120,973.184047,0.880823,-0.173374
201206,136,10,6.893568,1,62.519618,11.087458,984.271505,0.842524,-0.128442
201207,141,10,6.908731,1,69.428350,17.572425,1001.843929,0.823599,-0.161567
201208,136,10,6.908755,1,76.337104,22.239889,1024.083819,0.798902,-0.188589
201209,155,11,6.908755,1,83.245859,41.370943,1065.454761,0.758654,-0.196355
201210,162,11,6.908755,1,90.154614,89.338843,1154.793605,0.721505,-0.199901
201211,164,11,6.908755,1,97.063368,100.504520,1255.298125,0.696651,-0.234568
201212,167,12,6.908755,1,103.972123,115.673772,1370.971897,0.682473,-0.191014
201301,166,12,6.908755,1,110.880878,115.650972,1486.622868,0.674918,-0.135680
201302,162,11,6.908755,1,117.789633,105.738419,1592.361287,0.688456,-0.129149
201303,158,11,6.908755,1,124.698388,40.864861,1633.226148,0.743514,-0.133467
201304,167,12,6.908755,1,131.607142,46.897578,1680.123726,0.813128,-0.114430
201305,158,11,6.908755,1,138.515897,34.956407,1715.080133,0.786356,-0.102682
201306,158,11,6.908755,1,145.424652,32.354542,1747.434676,0.766463,-0.016345
201307,166,12,6.908755,1,152.333407,88.812289,1836.246965,0.792161,-0.006320
201308,166,12,6.908755,1,159.242161,45.049056,1881.296021,0.800232,0.016864
201309,180,12,6.908755,1,166.150916,105.264431,1986.560452,0.812762,0.037426
201310,171,12,6.908755,1,173.059671,110.364028,2096.924480,0.823443,0.011587
201311,175,12,6.908755,1,179.968426,75.275525,2172.200005,0.863928,-0.002323
201312,174,12,6.908755,1,186.877181,52.515944,2224.715949,0.906213,-0.046818
201401,178,12,6.908755,1,193.785935,63.348843,2288.064792,0.921426,-0.053848
201402,176,12,6.908755,1,200.694690,35.976133,2324.040925,0.938811,-0.039564
201403,170,12,6.908755,1,207.603445,63.206615,2387.247540,0.937388,-0.023519
201404,173,12,6.908755,1,214.512200,73.155442,2460.402983,0.935098,-0.029475
201405,169,12,6.908755,1,221.420954,105.690286,2566.093269,0.940867,0.000028
201406,167,12,6.908755,1,228.329709,127.414659,2693.507928,0.969951,0.019586
201407,185,13,6.908755,1,235.238464,73.998464,2767.506392,0.949561,0.017835
201408,188,13,6.908755,1,242.147219,94.336110,2861.842502,0.936542,0.002362
201409,194,13,6.908755,1,249.055974,45.362964,2907.205466,0.939116,-0.040283
201410,191,13,6.908755,1,255.964728,93.228187,3000.433652,0.932242,-0.044240
201411,187,13,6.908755,1,262.873483,39.510632,3039.944285,0.934800,-0.065543
