date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,137,10,-1.665122,27,-1.665122,-1.665933,-1.665933,0.906105,0.131998
200308,143,10,5.205150,2,3.540028,5.405075,3.739142,0.906105,0.131998
200309,148,10,6.660587,1,10.200615,8.174757,11.913900,0.905750,0.096464
200310,150,10,2.430135,19,12.630750,2.440549,14.354449,0.905750,0.096464
200311,152,11,6.908129,1,19.538878,14.283705,28.638155,0.905750,0.096464
200312,150,10,6.908022,1,26.446900,14.125966,42.764120,0.905750,0.096464
200401,139,10,-7.067933,289,19.378967,-7.068932,35.695189,0.905750,0.096464
200402,143,10,6.908755,1,26.287722,22.383409,58.078598,0.798140,0.064678
200403,139,10,5.979576,2,32.267298,6.480902,64.559500,0.798140,0.064678
200404,135,9,6.793221,1,39.060520,9.007627,73.567127,0.798140,0.064678
200405,140,10,-7.299552,13,31.760968,-7.300550,66.266576,0.805815,0.091625
200406,146,10,-1.062188,6,30.698780,-1.062842,65.203734,0.805815,0.091625
200407,152,11,6.908755,1,37.607535,38.665450,103.869184,0.805815,0.091625
200408,153,11,-2.869074,5,34.738461,-2.870016,100.999168,0.814375,0.112686
200409,155,11,6.908755,1,41.647216,39.336074,140.335242,0.835496,0.102365
200410,162,11,6.908755,1,48.555971,40.458246,180.793488,0.786091,0.098014
200411,167,12,6.908755,1,55.464726,39.679525,220.473013,0.768862,0.086699
200412,163,11,6.908755,1,62.373480,38.910434,259.383448,0.796003,0.108308
200501,164,11,6.908755,1,69.282235,41.878527,301.261975,0.794452,0.061465
200502,169,12,6.908755,1,76.190990,56.578205,357.840180,0.775583,0.011369
200503,172,12,6.908755,1,83.099745,24.551710,382.391890,0.757732,-0.012639
200504,187,13,6.908755,1,90.008499,32.817476,415.209366,0.799103,-0.026199
200505,196,14,-15.900740,5,74.107760,-15.901739,399.307627,0.743365,-0.016655
200506,190,13,6.908755,1,81.016514,43.912786,443.220413,0.780661,-0.073075
200507,190,13,6.908755,1,87.925269,69.589148,512.809561,0.760178,-0.077903
200508,190,13,6.908755,1,94.834024,118.509318,631.318880,0.732334,-0.111172
200509,197,14,6.908755,1,101.742779,91.170862,722.489741,0.728060,-0.088550
200510,194,13,6.908755,1,108.651534,158.240467,880.730208,0.705956,-0.086992
200511,197,14,6.908755,1,115.560288,78.442507,959.172715,0.768286,-0.166802
200512,165,11,6.908755,1,122.469043,136.884926,1096.057641,0.745752,-0.133477
200601,164,11,6.908755,1,129.377798,67.768131,1163.825773,0.789572,-0.103313
200602,171,12,6.908755,1,136.286553,49.417962,1213.243734,0.885464,-0.139451
200603,168,12,-2.508171,7,133.778382,-2.509089,1210.734646,0.916621,-0.119106
200604,158,11,5.857285,2,139.635667,6.286182,1217.020828,0.954652,-0.114302
200605,152,11,6.904728,1,146.540395,12.420458,1229.441286,0.908589,-0.020714
