date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,442,30,6.908755,1,6.908755,101.363868,101.363868,0.755821,0.117488
200308,444,30,6.908755,1,13.817510,100.367237,201.731106,0.755821,0.117488
200309,451,31,6.908755,1,20.726264,99.681224,301.412330,0.766914,0.119741
200310,433,29,6.908755,1,27.635019,85.636565,387.048895,0.766914,0.119741
200311,437,30,6.908755,1,34.543774,153.622879,540.671774,0.766914,0.119741
200312,442,30,6.908755,1,41.452529,130.707019,671.378793,0.766914,0.119741
200401,441,30,6.908755,1,48.361283,134.297876,805.676669,0.766914,0.119741
200402,445,30,6.908755,1,55.270038,162.756670,968.433339,0.715926,0.101029
200403,438,30,6.908755,1,62.178793,263.833480,1232.266819,0.715926,0.101029
200404,440,30,6.908755,1,69.087548,284.950922,1517.217741,0.715926,0.101029
200405,435,29,6.908755,1,75.996303,333.216054,1850.433795,0.723019,0.097116
200406,436,30,6.908755,1,82.905057,352.765198,2203.198993,0.723019,0.097116
200407,432,29,6.908755,1,89.813812,308.057507,2511.256501,0.723019,0.097116
200408,431,29,6.908755,1,96.722567,518.818438,3030.074939,0.717157,0.088632
200409,441,30,6.908755,1,103.631322,353.059198,3383.134136,0.772096,0.088895
200410,437,30,6.908755,1,110.540076,399.610509,3782.744645,0.731513,0.069346
200411,434,29,6.908755,1,117.448831,382.200002,4164.944647,0.690793,0.072711
200412,423,29,6.908755,1,124.357586,166.542843,4331.487490,0.750641,0.051621
200501,425,29,6.908755,1,131.266341,207.830230,4539.317721,0.756036,0.037824
200502,427,29,6.908755,1,138.175096,256.752601,4796.070321,0.785440,0.035992
200503,411,28,6.908755,1,145.083850,253.336055,5049.406377,0.754538,0.072153
200504,404,27,6.908755,1,151.992605,301.887675,5351.294052,0.747071,0.075356
200505,402,27,6.908755,1,158.901360,197.293874,5548.587926,0.818072,0.067818
200506,397,27,6.908755,1,165.810115,220.038852,5768.626778,0.832104,0.069934
200507,403,27,6.908755,1,172.718869,272.129219,6040.755997,0.851251,0.083455
200508,405,27,6.908755,1,179.627624,147.098180,6187.854177,0.866764,0.070411
200509,404,27,6.908755,1,186.536379,75.574724,6263.428901,0.941792,0.045397
200510,414,28,6.908755,1,193.445134,69.374014,6332.802915,0.932872,0.058594
200511,411,28,6.673817,1,200.118951,8.236423,6341.039337,0.977303,0.041832
200512,411,28,6.886951,1,207.005902,10.722527,6351.761864,1.023289,0.003176
200601,413,28,-25.277252,33,181.728650,-25.278252,6326.483613,1.024252,0.001428
200602,424,29,6.908755,1,188.637405,41.460994,6367.944607,1.062595,0.009006
200603,419,28,6.908755,1,195.546160,32.207353,6400.151959,1.052371,0.022795
200604,424,29,6.908432,1,202.454592,14.947472,6415.099431,1.191837,0.029672
200605,416,28,6.908755,1,209.363347,58.229851,6473.329282,1.229782,0.081187
200606,410,28,6.908755,1,216.272102,77.340310,6550.669593,1.191019,0.084879
