date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,349,24,6.908755,1,6.908755,92.077551,92.077551,0.313096,-0.027644
200302,351,24,6.908755,1,13.817510,107.264062,199.341613,0.318761,-0.028998
200303,355,24,6.908755,1,20.726264,120.419437,319.761050,0.319725,-0.033722
200304,360,24,6.908755,1,27.635019,135.933956,455.695007,0.321714,-0.041899
200305,371,25,6.908755,1,34.543774,114.975263,570.670269,0.325769,-0.034975
200306,383,26,6.908755,1,41.452529,128.137075,698.807345,0.326534,-0.034709
200307,395,27,6.908755,1,48.361283,232.932432,931.739776,0.326923,-0.035516
200308,401,27,6.908755,1,55.270038,242.920122,1174.659898,0.333251,-0.032614
200309,412,28,6.908755,1,62.178793,212.850000,1387.509898,0.336958,-0.030762
200310,406,28,6.908755,1,69.087548,302.950978,1690.460876,0.342740,-0.028694
200311,416,28,6.908755,1,75.996303,293.735742,1984.196618,0.346605,-0.024627
200312,421,29,6.908755,1,82.905057,443.723680,2427.920298,0.350402,-0.020199
200401,429,29,6.908755,1,89.813812,430.689008,2858.609305,0.353532,-0.015350
200402,426,29,6.908755,1,96.722567,477.984852,3336.594157,0.354765,-0.015427
200403,428,29,6.908755,1,103.631322,527.403627,3863.997784,0.357610,-0.010872
200404,423,29,6.908755,1,110.540076,797.563998,4661.561782,0.358658,-0.006688
200405,423,29,6.908755,1,117.448831,813.459424,5475.021206,0.357530,-0.007302
200406,424,29,6.908755,1,124.357586,669.365644,6144.386851,0.359719,-0.002048
200407,425,29,6.908755,1,131.266341,664.788282,6809.175133,0.359255,0.002327
200408,428,29,6.908755,1,138.175096,523.854655,7333.029788,0.354640,0.003777
200409,439,30,6.908755,1,145.083850,542.480960,7875.510748,0.350673,0.008717
200410,436,30,6.908755,1,151.992605,478.111516,8353.622264,0.342255,0.011022
200411,444,30,6.908755,1,158.901360,603.419382,8957.041646,0.334924,0.014784
200412,445,30,6.908755,1,165.810115,612.619866,9569.661512,0.325527,0.017403
200501,444,30,6.908755,1,172.718869,774.572785,10344.234297,0.313969,0.018910
200502,443,30,6.908755,1,179.627624,916.440377,11260.674674,0.299171,0.015165
200503,438,30,6.908755,1,186.536379,922.980116,12183.654790,0.281457,0.014306
200504,436,30,6.908755,1,193.445134,729.700961,12913.355751,0.264366,0.015963
200505,431,29,6.908755,1,200.353889,655.000775,13568.356526,0.248044,0.019255
200506,438,30,6.908755,1,207.262643,686.989947,14255.346472,0.229022,0.026859
200507,442,30,6.908755,1,214.171398,578.450939,14833.797411,0.212202,0.033747
200508,439,30,6.908755,1,221.080153,494.615073,15328.412484,0.194812,0.035950
200509,449,30,6.908755,1,227.988908,380.923610,15709.336094,0.178080,0.034174
200510,455,31,6.908755,1,234.897662,220.792461,15930.128554,0.163099,0.037847
200511,455,31,6.908755,1,241.806417,182.514757,16112.643312,0.149442,0.037194
200512,446,30,6.908755,1,248.715172,244.720391,16357.363702,0.137143,0.038443
200601,430,29,6.908755,1,255.623927,74.641633,16432.005335,0.124759,0.035139
200602,434,29,6.908755,1,262.532682,197.891001,16629.896336,0.115843,0.040384
200603,434,29,6.908755,1,269.441436,97.683404,16727.579740,0.106648,0.038500
200604,431,29,6.908755,1,276.350191,87.306675,16814.886414,0.098530,0.047397
200605,433,29,6.908755,1,283.258946,45.501341,16860.387756,0.093236,0.042154
200606,421,29,6.908755,1,290.167701,58.398297,16918.786053,0.090567,0.045755
200607,423,29,6.908755,1,297.076456,126.499172,17045.285225,0.087409,0.044600
200608,414,28,6.908755,1,303.985210,95.472959,17140.758184,0.083365,0.043098
200609,415,28,6.908755,1,310.893965,148.937853,17289.696037,0.081241,0.042229
200610,380,26,6.908755,1,317.802720,101.283445,17390.979481,0.077709,0.038733
200611,389,26,6.908755,1,324.711475,110.363190,17501.342671,0.073644,0.034531
200612,380,26,6.908755,1,331.620229,135.931913,17637.274584,0.068466,0.030972
200701,378,26,6.908755,1,338.528984,69.738148,17707.012731,0.065770,0.026499
200702,356,24,6.908755,1,345.437739,168.996018,17876.008749,0.063108,0.024104
200703,353,24,6.908755,1,352.346494,171.738673,18047.747422,0.062244,0.014834
200704,367,25,6.908755,1,359.255249,141.984914,18189.732336,0.063196,0.013090
200705,371,25,6.908755,1,366.164003,108.726138,18298.458473,0.061584,0.011928
200706,370,25,6.908755,1,373.072758,85.042599,18383.501072,0.059510,0.013521
200707,362,25,6.908755,1,379.981513,153.006266,18536.507338,0.060392,0.007667
200708,356,24,6.908755,1,386.890268,158.776705,18695.284042,0.062392,0.008943
