date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,55,4,3.059583,11,3.059583,3.080111,3.080111,0.345189,-0.020072
200302,56,4,0.711670,77,3.771253,0.712708,3.792819,0.352369,-0.023955
200303,59,4,3.190785,8,6.962038,3.214369,7.007187,0.354888,-0.031740
200304,59,4,5.663188,1,12.625226,6.001553,13.008740,0.359297,-0.031706
200305,50,4,6.856741,1,19.481967,9.837888,22.846628,0.360557,-0.027942
200306,52,4,2.456193,10,21.938160,2.466911,25.313539,0.361638,-0.018587
200307,54,4,6.812887,1,28.751047,9.204228,34.517767,0.361361,-0.030864
200308,54,4,-18.631054,401,10.119993,-18.632054,15.885713,0.365107,-0.027399
200309,53,4,3.151394,7,13.271387,3.174016,19.059729,0.368633,-0.034466
200310,62,5,1.190275,52,14.461662,1.192566,20.252295,0.373718,-0.037030
200311,62,5,-2.390399,98,12.071263,-2.391307,17.860988,0.377788,-0.026940
200312,64,5,3.872999,3,15.944262,3.921230,21.782218,0.383027,-0.018790
200401,67,5,-1.192646,22,14.751616,-1.193342,20.588876,0.384355,-0.018773
200402,69,5,4.686347,3,19.437963,4.800027,25.388903,0.381829,-0.024308
200403,67,5,5.126813,2,24.564776,5.310110,30.699013,0.381713,-0.023543
200404,67,5,6.372566,1,30.937342,7.250980,37.949993,0.379300,-0.029854
200405,69,5,6.908755,1,37.846097,36.427359,74.377351,0.371329,-0.041703
200406,73,5,6.908755,1,44.754852,23.397111,97.774462,0.372410,-0.045424
200407,71,5,-6.702211,17,38.052641,-6.703210,91.071253,0.371028,-0.025057
200408,69,5,6.860486,1,44.913127,9.914499,100.985752,0.364709,-0.009996
200409,72,5,6.830788,1,51.743915,9.419996,110.405748,0.361815,0.001586
200410,71,5,6.607932,1,58.351847,7.954811,118.360559,0.352390,0.005242
200411,72,5,6.906570,1,65.258417,13.032737,131.393295,0.342292,0.006114
200412,72,5,6.908755,1,72.167172,22.794270,154.187565,0.329397,0.001299
200501,72,5,6.908755,1,79.075927,30.118093,184.305659,0.314907,-0.009346
200502,87,6,6.908755,1,85.984681,54.400590,238.706249,0.299265,-0.009019
200503,88,6,6.908755,1,92.893436,48.683585,287.389834,0.279469,0.003681
200504,89,6,6.908755,1,99.802191,59.594517,346.984351,0.256682,0.029457
200505,90,6,6.908755,1,106.710946,58.165555,405.149906,0.241886,0.049426
200506,93,7,6.908755,1,113.619700,69.402245,474.552151,0.217947,0.044950
200507,93,7,6.908755,1,120.528455,33.606249,508.158401,0.196027,0.064078
200508,95,7,6.908755,1,127.437210,42.024552,550.182953,0.175157,0.056563
200509,100,7,6.908755,1,134.345965,36.683816,586.866768,0.156196,0.047626
200510,94,7,6.908755,1,141.254720,29.783979,616.650748,0.138996,0.037980
200511,94,7,6.908755,1,148.163474,25.907677,642.558425,0.123753,0.026843
200512,95,7,6.908755,1,155.072229,29.502753,672.061177,0.111562,0.013143
200601,100,7,6.908655,1,161.980884,16.117125,688.178302,0.099658,0.010630
200602,103,7,6.908755,1,168.889639,34.820258,722.998560,0.091284,-0.002416
200603,101,7,3.856475,2,172.746114,3.903880,726.902440,0.081174,-0.002010
200604,103,7,0.224610,39,172.970724,0.224861,727.127301,0.072588,-0.009842
200605,101,7,3.477024,6,176.447748,3.508890,730.636191,0.065623,-0.026824
200606,130,9,-9.228802,122,167.218945,-9.229802,721.406389,0.062622,-0.025590
200607,127,9,-14.581675,128,152.637270,-14.582674,706.823715,0.056211,-0.016737
200608,134,9,-5.100622,147,147.536648,-5.101616,701.722099,0.044807,-0.024834
200609,128,9,6.908686,1,154.445334,16.493542,718.215641,0.041542,-0.022687
200610,164,11,6.908692,1,161.354026,16.577210,734.792851,0.036421,-0.033480
200611,164,11,6.908755,1,168.262780,46.286386,781.079237,0.034195,-0.028571
