date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,17,2,-1.308236,378,-1.308236,-1.308966,-1.308966,0.380258,0.025844
200302,20,2,0.264501,197,-1.043735,0.264803,-1.044162,0.383936,0.043790
200303,20,2,0.860199,78,-0.183536,0.861564,-0.182599,0.384887,0.056003
200304,20,2,-0.190777,201,-0.374313,-0.190950,-0.373549,0.385797,0.059968
200305,21,2,-1.031874,538,-1.406187,-1.032517,-1.406066,0.384432,0.058322
200306,23,2,-1.160422,480,-2.566609,-1.161109,-2.567175,0.380221,0.063310
200307,24,2,2.493326,19,-0.073283,2.504489,-0.062685,0.377863,0.080616
200308,24,2,2.980233,11,2.906949,2.999102,2.936417,0.383599,0.081712
200309,26,2,2.507713,26,5.414662,2.519054,5.455470,0.385170,0.080183
200310,26,2,0.973951,67,6.388613,0.975600,6.431071,0.387333,0.082336
200311,25,2,-1.459820,142,4.928793,-1.460587,4.970483,0.389615,0.092102
200312,25,2,0.247778,85,5.176571,0.248059,5.218542,0.387206,0.104147
200401,27,2,0.805501,79,5.982071,0.806739,6.025282,0.385166,0.104450
200402,28,2,2.718224,15,8.700295,2.732478,8.757760,0.383806,0.096552
200403,29,2,1.730199,42,10.430494,1.734851,10.492611,0.383283,0.097826
200404,27,2,0.190411,280,10.620905,0.190621,10.683232,0.369851,0.066180
200405,31,3,4.729192,3,15.350097,4.848205,15.531437,0.366370,0.070445
200406,33,3,3.806993,3,19.157090,3.852006,19.383443,0.366023,0.066209
200407,34,3,4.462477,1,23.619566,4.552075,23.935518,0.363048,0.063525
200408,34,3,2.557085,12,26.176652,2.569055,26.504573,0.353222,0.060516
200409,33,3,0.571675,96,26.748327,0.572447,27.077020,0.344412,0.067601
200410,33,3,-0.436813,206,26.311514,-0.437167,26.639853,0.332417,0.079230
200411,34,3,0.058229,176,26.369742,0.058288,26.698142,0.320309,0.068496
200412,34,3,-1.507106,247,24.862636,-1.507884,25.190257,0.309596,0.063649
200501,36,3,0.268593,72,25.131229,0.268901,25.459158,0.298452,0.065306
200502,36,3,-1.683337,92,23.447892,-1.684151,23.775007,0.281474,0.055067
200503,35,3,-4.302579,56,19.145312,-4.303565,19.471441,0.261457,0.034926
200504,38,3,-8.870015,51,10.275297,-8.871014,10.600427,0.253774,0.043635
200505,38,3,6.907239,1,17.182537,13.399093,23.999520,0.225610,0.008481
200506,38,3,6.908740,1,24.091277,18.033956,42.033476,0.205480,0.035051
200507,43,3,6.908332,1,30.999609,14.675912,56.709388,0.185961,0.055303
200508,43,3,6.907539,1,37.907148,13.619796,70.329185,0.167162,0.047720
200509,43,3,5.847341,1,43.754488,6.270937,76.600122,0.149004,0.053662
200510,43,3,-5.209284,301,38.545205,-5.210278,71.389844,0.133994,0.041406
200511,45,3,2.857666,3,41.402871,2.874223,74.264068,0.119999,0.012319
200512,45,3,6.551760,1,47.954631,7.753988,82.018055,0.107494,-0.001018
200601,46,4,6.728257,1,54.682888,8.528188,90.546243,0.094280,-0.034068
200602,48,4,6.250376,1,60.933264,6.978545,97.524788,0.083606,-0.041357
200603,46,4,0.298389,103,61.231653,0.298736,97.823524,0.070524,0.000396
200604,46,4,1.846630,20,63.078283,1.851983,99.675507,0.064357,0.020246
200605,47,4,-5.028466,456,58.049817,-5.029458,94.646048,0.070029,0.024611
200606,47,4,3.383236,3,61.433054,3.412115,98.058164,0.068241,0.048199
200607,48,4,1.524380,45,62.957433,1.527978,99.586142,0.065965,0.059205
200608,48,4,5.449064,1,68.406497,5.712431,105.298573,0.062427,0.047290
200609,48,4,-0.863048,29,67.543450,-0.863626,104.434948,0.057618,0.060196
200610,48,4,2.583870,16,70.127320,2.596194,107.031142,0.051126,0.066526
200611,49,4,3.069484,12,73.196803,3.090228,110.121370,0.045549,0.055415
200612,50,4,-1.835864,121,71.360939,-1.836704,108.284666,0.039663,0.028051
200701,49,4,-6.921828,642,64.439112,-6.922826,101.361840,0.035257,0.020608
200702,48,4,-27.767550,911,36.671561,-27.768550,73.593290,0.032991,0.006065
200703,48,4,-3.072821,133,33.598740,-3.073774,70.519515,0.030564,0.001723
200704,49,4,0.603288,102,34.202028,0.604116,71.123632,0.028387,-0.001015
200705,50,4,0.489543,118,34.691572,0.490175,71.613807,0.023572,-0.012781
200706,49,4,-16.507703,322,18.183869,-16.508702,55.105105,0.021336,-0.000047
200707,50,4,4.312649,2,22.496518,4.389139,59.494243,0.016156,-0.011758
200708,50,4,-11.216116,20,11.280402,-11.217115,48.277128,0.017881,-0.019021
200709,53,4,6.899106,1,18.179508,11.543865,59.820994,0.020433,-0.021050
200710,54,4,6.908755,1,25.088263,23.700047,83.521040,0.027709,-0.027245
200711,56,4,6.908750,1,31.997013,19.260586,102.781626,0.037325,-0.037800
200712,55,4,6.908752,1,38.905765,19.543239,122.324865,0.047898,-0.061076
200801,54,4,6.908755,1,45.814519,70.257333,192.582198,0.058032,-0.045624
200802,55,4,6.908755,1,52.723274,89.208870,281.791068,0.081486,-0.037802
200803,56,4,6.908755,1,59.632029,47.423013,329.214082,0.112919,-0.016799
200804,55,4,6.908755,1,66.540784,27.370262,356.584344,0.136826,0.009254
200805,55,4,6.908755,1,73.449539,38.493267,395.077611,0.155202,0.009748
200806,56,4,6.908755,1,80.358293,30.099266,425.176877,0.173765,0.028920
200807,56,4,6.908755,1,87.267048,23.961040,449.137917,0.191090,0.028383
200808,57,4,6.858556,1,94.125604,9.874321,459.012238,0.203137,0.029825
200809,57,4,-54.547260,735,39.578344,-54.548259,404.463979,0.214562,0.024732
200810,55,4,-19.965875,173,19.612470,-19.966874,384.497104,0.217026,0.004994
200811,55,4,-22.013155,631,-2.400686,-22.014155,362.482949,0.229272,0.004942
200812,55,4,-3.353260,115,-5.753946,-3.354224,359.128725,0.235732,-0.000040
200901,58,4,-4.422921,109,-10.176867,-4.423909,354.704816,0.247220,0.020620
200902,56,4,-6.050997,157,-16.227864,-6.051994,348.652822,0.256082,0.025301
