date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,70,5,1.906704,24,1.906704,1.912451,1.912451,-0.001615,0.102254
200302,74,5,6.365072,1,8.271776,7.233018,9.145469,-0.001999,0.089452
200303,78,6,0.804517,62,9.076293,0.805754,9.951223,-0.010647,0.091215
200304,80,6,0.788784,107,9.865078,0.789986,10.741209,0.007174,0.079557
200305,80,6,0.216098,160,10.081176,0.216339,10.957548,0.031349,0.062948
200306,85,6,6.437902,1,16.519079,7.416319,18.373867,0.045395,0.061142
200307,86,6,4.524391,3,21.043469,4.620065,22.993932,0.065081,0.030323
200308,88,6,6.809010,1,27.852479,9.162606,32.156538,0.083696,0.003580
200309,94,7,3.696704,5,31.549183,3.736812,35.893350,0.103005,0.002084
200310,97,7,6.531411,1,38.080594,7.687756,43.581106,0.103072,-0.003940
200311,98,7,6.032762,1,44.113356,6.570385,50.151491,0.109645,-0.028287
200312,96,7,2.969716,7,47.083072,2.988375,53.139867,0.119792,-0.041893
200401,106,8,6.508929,1,53.592001,7.617916,60.757783,0.125470,-0.049252
200402,101,7,6.875323,1,60.467325,10.289256,71.047039,0.141255,-0.059377
200403,106,8,5.460688,2,65.928012,5.727599,76.774638,0.154464,-0.073363
200404,107,8,6.098270,1,72.026282,6.685413,83.460051,0.149612,-0.105200
200405,108,8,6.582980,1,78.609262,7.861999,91.322049,0.158222,-0.101582
200406,106,8,6.734679,1,85.343940,8.567718,99.889767,0.162511,-0.118601
200407,110,8,6.491748,1,91.835689,7.566671,107.456438,0.165438,-0.121170
200408,108,8,3.361291,4,95.196980,3.389512,110.845949,0.165344,-0.128053
200409,111,8,5.921951,2,101.118930,6.387387,117.233337,0.168112,-0.134251
200410,108,8,5.976102,2,107.095032,6.475166,123.708503,0.177518,-0.146801
200411,109,8,6.898631,1,113.993663,11.495604,135.204106,0.179834,-0.151845
200412,116,8,6.808502,1,120.802165,9.157268,144.361374,0.179015,-0.146767
200501,115,8,6.488400,1,127.290565,7.556882,151.918256,0.186483,-0.147824
200502,115,8,6.778590,1,134.069155,8.880922,160.799178,0.186655,-0.143422
200503,111,8,6.906970,1,140.976125,13.235277,174.034454,0.180868,-0.134649
200504,100,7,-4.501852,27,136.474273,-4.502841,169.531614,0.183531,-0.128772
200505,98,7,6.812179,1,143.286452,9.196510,178.728123,0.173646,-0.114297
200506,104,7,6.908741,1,150.195193,18.079993,196.808116,0.161254,-0.116637
200507,105,7,5.899215,2,156.094407,6.351380,203.159496,0.147184,-0.112994
200508,104,7,4.787174,2,160.881581,4.913828,208.073324,0.131259,-0.112135
200509,101,7,6.908535,1,167.790116,15.332677,223.406001,0.117156,-0.111286
200510,103,7,1.818395,2,169.608511,1.823570,225.229571,0.107298,-0.089089
200511,101,7,-2.618400,19,166.990112,-2.619326,222.610245,0.096638,-0.086240
200512,116,8,4.236311,3,171.226422,4.306896,226.917142,0.081516,-0.092125
200601,116,8,-1.066677,34,170.159745,-1.067333,225.849809,0.072949,-0.074197
200602,116,8,6.716434,1,176.876179,8.458643,234.308452,0.065070,-0.056734
200603,118,8,2.456754,4,179.332933,2.467479,236.775930,0.062646,-0.040843
200604,117,8,5.302111,2,184.635045,5.524955,242.300886,0.062318,-0.036892
200605,120,8,5.879346,1,190.514390,6.320296,248.621181,0.062258,-0.028642
200606,128,9,6.903728,1,197.418119,12.198298,260.819479,0.069890,-0.005138
200607,125,9,6.372878,1,203.790996,7.251731,268.071210,0.081390,0.013223
200608,127,9,6.908732,1,210.699728,17.600206,285.671416,0.099789,0.025957
200609,130,9,6.908052,1,217.607781,14.168437,299.839852,0.115494,0.033009
200610,141,10,6.908755,1,224.516535,22.096300,321.936152,0.126562,0.045611
200611,127,9,0.432520,5,224.949055,0.433061,322.369214,0.142667,0.042860
200612,127,9,-2.833958,6,222.115097,-2.834899,319.534315,0.151807,0.054832
200701,123,9,2.324458,6,224.439556,2.333722,321.868037,0.151229,0.048533
200702,118,8,6.907151,1,231.346707,13.342415,335.210452,0.148131,0.031730
200703,109,8,6.388170,1,237.734877,7.289000,342.499452,0.150853,0.027049
200704,118,8,6.900131,1,244.635008,11.656700,354.156151,0.153325,0.024420
200705,113,8,6.321711,1,250.956719,7.132570,361.288721,0.155881,0.016989
200706,105,7,-0.970096,15,249.986623,-0.970717,360.318004,0.155661,0.006108
200707,101,7,-15.984890,53,234.001732,-15.985890,344.332114,0.157770,-0.000643
200708,95,7,-1.830401,7,232.171331,-1.831241,342.500874,0.155171,-0.005524
200709,91,7,-10.932259,25,221.239072,-10.933258,331.567615,0.147270,-0.011178
200710,79,6,-4.567396,263,216.671676,-4.568385,326.999230,0.135733,-0.024882
200711,77,6,-16.880105,361,199.791571,-16.881104,310.118126,0.122530,-0.031255
200712,73,5,-3.989709,138,195.801862,-3.990690,306.127436,0.117286,-0.037322
200801,72,5,5.757561,2,201.559423,6.136738,312.264173,0.118330,-0.037368
200802,72,5,-3.245085,36,198.314338,-3.246045,309.018128,0.123597,-0.032331
200803,50,4,1.570055,25,199.884393,1.573869,310.591997,0.123525,-0.028665
200804,52,4,-1.313087,65,198.571306,-1.313817,309.278180,0.116419,-0.022659
200805,55,4,-8.482958,225,190.088348,-8.483958,300.794222,0.114808,-0.007137
200806,40,3,-4.146918,109,185.941430,-4.147901,296.646321,0.122160,0.000952
200807,37,3,-5.003311,430,180.938119,-5.004304,291.642017,0.107965,-0.012389
200808,38,3,-4.181890,241,176.756229,-4.182875,287.459142,0.099895,-0.022421
200809,38,3,-7.627737,300,169.128492,-7.628736,279.830406,0.108821,-0.039913
200810,35,3,-9.794254,471,159.334238,-9.795253,270.035153,0.107269,-0.043690
200811,35,3,-12.608505,497,146.725733,-12.609504,257.425649,0.109008,-0.037803
200812,32,3,-14.177176,139,132.548557,-14.178175,243.247473,0.110619,-0.036550
200901,32,3,-1.934195,462,130.614363,-1.935050,241.312423,0.104025,-0.047372
200902,33,3,-2.366820,949,128.247543,-2.367725,238.944698,0.092038,-0.065018
200903,33,3,-1.801999,936,126.445544,-1.802834,237.141864,0.094056,-0.044063
200904,34,3,-0.513743,494,125.931801,-0.514145,236.627719,0.116714,-0.031523
200905,33,3,-0.688030,603,125.243771,-0.688527,235.939192,0.129601,-0.052013
200906,34,3,-1.435347,773,123.808424,-1.436109,234.503083,0.130150,-0.064224
200907,35,3,1.946474,11,125.754898,1.952496,236.455579,0.168456,-0.060817
200908,38,3,0.221697,240,125.976595,0.221945,236.677524,0.196457,-0.065369
200909,39,3,0.590878,115,126.567472,0.591683,237.269208,0.183467,-0.045152
200910,39,3,-0.083605,412,126.483867,-0.083685,237.185523,0.221886,-0.043266
200911,42,3,0.152594,265,126.636461,0.152759,237.338281,0.233168,-0.005533
200912,50,4,0.445463,158,127.081924,0.446024,237.784305,0.250767,0.030532
201001,55,4,1.651617,41,128.733541,1.655842,239.440147,0.277763,0.055457
201002,58,4,-0.796923,183,127.936618,-0.797472,238.642675,0.286707,0.057165
201003,59,4,6.787748,1,134.724366,8.958549,247.601224,0.315719,0.075121
201004,66,5,5.469143,2,140.193508,5.738666,253.339890,0.338138,0.076188
201005,66,5,6.680229,1,146.873738,8.267425,261.607315,0.336393,0.038409
201006,67,5,6.891228,1,153.764966,10.942998,272.550313,0.328211,0.006070
201007,69,5,6.906857,1,160.671823,13.174134,285.724447,0.335987,-0.032138
201008,81,6,6.908420,1,167.580243,14.909131,300.633578,0.330157,-0.061839
201009,91,7,6.908755,1,174.488998,29.468641,330.102219,0.334310,-0.107783
201010,104,7,6.908755,1,181.397752,30.721479,360.823697,0.308682,-0.130464
201011,106,8,6.908755,1,188.306507,60.501834,421.325531,0.284588,-0.132527
201012,109,8,6.908755,1,195.215262,49.247093,470.572625,0.259491,-0.130394
201101,109,8,6.908755,1,202.124017,47.314548,517.887172,0.240346,-0.142858
201102,106,8,6.908755,1,209.032772,31.181846,549.069019,0.229702,-0.153723
201103,107,8,6.908755,1,215.941526,34.454470,583.523489,0.200084,-0.150114
201104,107,8,6.908755,1,222.850281,44.211383,627.734872,0.173532,-0.147689
201105,104,7,6.908755,1,229.759036,37.718665,665.453536,0.156501,-0.136558
201106,107,8,6.908755,1,236.667791,43.818770,709.272306,0.139278,-0.132605
201107,106,8,6.908755,1,243.576545,26.274153,735.546459,0.118660,-0.127318
201108,110,8,6.908755,1,250.485300,44.167181,779.713640,0.112856,-0.130131
201109,116,8,6.908755,1,257.394055,39.063655,818.777295,0.115522,-0.117436
201110,119,8,6.908755,1,264.302810,49.437444,868.214739,0.125263,-0.106623
201111,126,9,6.908755,1,271.211565,45.016181,913.230920,0.119564,-0.115515
201112,124,9,6.908743,1,278.120308,18.283053,931.513973,0.128846,-0.111688
201201,125,9,6.908755,1,285.029063,37.913302,969.427275,0.128938,-0.103202
201202,127,9,6.908755,1,291.937817,31.693726,1001.121001,0.133448,-0.086822
201203,133,9,6.908755,1,298.846572,35.249725,1036.370726,0.140999,-0.088008
201204,135,9,6.908755,1,305.755327,37.036585,1073.407311,0.153007,-0.091433
201205,132,9,6.908755,1,312.664082,28.996469,1102.403780,0.156247,-0.095257
201206,136,10,6.908755,1,319.572836,32.818258,1135.222038,0.160542,-0.091654
201207,141,10,6.908755,1,326.481591,22.166465,1157.388503,0.166003,-0.096921
201208,136,10,6.908755,1,333.390346,31.054214,1188.442718,0.157858,-0.104614
201209,155,11,6.908755,1,340.299101,34.020257,1222.462975,0.141285,-0.117986
201210,162,11,6.908755,1,347.207855,27.385105,1249.848080,0.136273,-0.130831
201211,164,11,6.908755,1,354.116610,46.634363,1296.482442,0.147137,-0.137699
201212,167,12,6.908755,1,361.025365,34.093075,1330.575517,0.144582,-0.140027
201301,166,12,6.908755,1,367.934120,33.934849,1364.510366,0.149318,-0.151272
201302,162,11,6.908755,1,374.842874,28.383901,1392.894267,0.151850,-0.157420
201303,158,11,6.908754,1,381.751629,21.942235,1414.836502,0.151804,-0.174676
201304,167,12,6.908755,1,388.660384,31.741722,1446.578224,0.149462,-0.178948
201305,158,11,6.908755,1,395.569139,25.796129,1472.374353,0.145858,-0.183289
201306,158,11,6.908755,1,402.477893,24.375983,1496.750336,0.145782,-0.199828
201307,166,12,6.908755,1,409.386648,23.370795,1520.121131,0.152659,-0.206073
201308,166,12,6.908660,1,416.295308,16.167265,1536.288396,0.164933,-0.214286
201309,180,12,6.908755,1,423.204062,22.318679,1558.607075,0.180784,-0.219679
201310,171,12,6.908755,1,430.112817,37.327754,1595.934829,0.208414,-0.230319
201311,175,12,6.908755,1,437.021572,25.738744,1621.673573,0.214935,-0.236600
201312,174,12,6.898463,1,443.920034,11.478992,1633.152565,0.227509,-0.253387
201401,178,12,6.908755,1,450.828789,22.030654,1655.183219,0.236937,-0.265228
201402,176,12,6.908755,1,457.737544,30.717786,1685.901005,0.241308,-0.272761
201403,170,12,6.908755,1,464.646299,41.614866,1727.515870,0.243320,-0.274950
201404,173,12,6.908755,1,471.555053,34.732586,1762.248456,0.245683,-0.277650
201405,169,12,6.908755,1,478.463808,40.909366,1803.157822,0.257491,-0.277958
201406,167,12,6.908755,1,485.372563,53.817110,1856.974932,0.268191,-0.283198
201407,185,13,6.908755,1,492.281318,73.590180,1930.565112,0.277080,-0.288564
201408,188,13,6.908755,1,499.190072,78.383276,2008.948388,0.278527,-0.287367
201409,194,13,6.908755,1,506.098827,86.276373,2095.224761,0.269279,-0.287846
201410,191,13,6.908755,1,513.007582,86.600909,2181.825670,0.248292,-0.290453
201411,187,13,6.908755,1,519.916337,90.173092,2271.998762,0.247057,-0.288339
201412,185,13,6.908755,1,526.825092,145.091185,2417.089947,0.243762,-0.282028
201501,174,12,6.908755,1,533.733846,146.646518,2563.736465,0.243556,-0.267164
201502,180,12,6.908755,1,540.642601,149.010464,2712.746929,0.242664,-0.257920
201503,176,12,6.908755,1,547.551356,145.579200,2858.326129,0.248306,-0.240139
201504,164,11,6.908755,1,554.460111,77.802405,2936.128533,0.251952,-0.222917
201505,157,11,6.908755,1,561.368865,54.303685,2990.432219,0.252048,-0.215519
201506,149,10,6.908755,1,568.277620,61.544209,3051.976428,0.255039,-0.199460
201507,150,10,6.908755,1,575.186375,64.800760,3116.777189,0.253926,-0.189137
201508,151,11,6.908755,1,582.095130,80.095088,3196.872276,0.256955,-0.172146
201509,157,11,6.908755,1,589.003885,71.937539,3268.809815,0.265545,-0.152198
201510,154,11,6.908755,1,595.912639,54.656201,3323.466016,0.267253,-0.138119
201511,148,10,6.908755,1,602.821394,35.666941,3359.132958,0.261179,-0.127263
201512,150,10,6.908755,1,609.730149,48.345411,3407.478369,0.258662,-0.113114
201601,147,10,6.908755,1,616.638904,44.229789,3451.708158,0.246608,-0.113885
201602,160,11,-4.745847,7,611.893056,-4.746838,3446.961320,0.235546,-0.105310
201603,161,11,6.908755,1,618.801811,45.370024,3492.331343,0.244233,-0.076146
201604,160,11,6.908755,1,625.710566,29.269486,3521.600829,0.260026,-0.042741
201605,160,11,6.908755,1,632.619321,24.903403,3546.504232,0.261339,-0.033951
201606,160,11,6.908755,1,639.528075,22.697326,3569.201559,0.261756,-0.026864
201607,166,12,6.908755,1,646.436830,32.976844,3602.178403,0.259393,-0.023701
201608,161,11,6.908755,1,653.345585,22.045815,3624.224218,0.259114,-0.021711
201609,152,11,6.908755,1,660.254339,25.085754,3649.309971,0.260189,-0.031039
201610,147,10,6.904981,1,667.159320,12.485527,3661.795499,0.253366,-0.031893
201611,147,10,6.906525,1,674.065845,13.012484,3674.807982,0.250068,-0.041095
201612,149,10,6.908753,1,680.974598,19.942013,3694.749995,0.257837,-0.041725
201701,166,12,6.908748,1,687.883346,18.792283,3713.542278,0.266743,-0.051579
201702,151,11,6.908044,1,694.791389,14.155902,3727.698180,0.275898,-0.057628
201703,153,11,6.905661,1,701.697050,12.684485,3740.382665,0.271017,-0.066185
201704,154,11,6.908722,1,708.605772,17.221552,3757.604217,0.265301,-0.075300
201705,159,11,6.640920,1,715.246692,8.088236,3765.692453,0.269463,-0.085869
201706,161,11,6.908736,1,722.155427,17.770795,3783.463248,0.272724,-0.089745
201707,161,11,6.908609,1,729.064037,15.743475,3799.206723,0.277094,-0.093013
201708,162,11,6.908211,1,735.972247,14.423690,3813.630414,0.278503,-0.095858
201709,162,11,6.907752,1,742.879999,13.812231,3827.442645,0.280420,-0.097906
201710,163,11,6.908755,1,749.788754,24.262883,3851.705528,0.285813,-0.106822
201711,178,12,6.908754,1,756.697509,21.720307,3873.425835,0.298057,-0.110807
201712,176,12,6.908752,1,763.606261,19.763736,3893.189572,0.300878,-0.106174
201801,166,12,6.908550,1,770.514811,15.402208,3908.591780,0.302343,-0.096294
201802,168,12,6.908753,1,777.423564,19.983924,3928.575704,0.299787,-0.091120
201803,163,11,6.908497,1,784.332061,15.172646,3943.748350,0.303030,-0.078766
201804,156,11,6.908047,1,791.240108,14.161166,3957.909516,0.304449,-0.070828
201805,159,11,6.906789,1,798.146898,13.138889,3971.048405,0.305204,-0.058823
201806,155,11,6.908669,1,805.055567,16.269135,3987.317541,0.304118,-0.052830
201807,142,10,6.908647,1,811.964214,16.042880,4003.360420,0.300977,-0.046097
201808,140,10,6.907773,1,818.871987,13.833376,4017.193796,0.301628,-0.041554
201809,140,10,6.908694,1,825.780681,16.616969,4033.810766,0.301985,-0.034837
201810,125,9,6.907742,1,832.688422,13.801902,4047.612668,0.302215,-0.025641
201811,123,9,6.906502,1,839.594924,13.002136,4060.614804,0.297266,-0.027086
201812,122,9,1.659851,2,841.254775,1.664119,4062.278922,0.296317,-0.027863
201901,123,9,6.855301,1,848.110076,9.809848,4072.088770,0.297272,-0.026897
201902,119,8,3.470870,2,851.580946,3.502530,4075.591301,0.306355,-0.020411
201903,112,8,6.568379,1,858.149325,7.810449,4083.401750,0.312324,-0.019992
201904,108,8,5.838884,2,863.988209,6.258037,4089.659787,0.321907,-0.022493
201905,108,8,2.407307,3,866.395516,2.417462,4092.077249,0.327562,-0.022006
201906,110,8,1.217106,2,867.612622,1.219486,4093.296735,0.337094,-0.020627
201907,107,8,-0.711029,21,866.901592,-0.711538,4092.585197,0.350757,-0.029239
201908,102,7,6.522296,1,873.423888,7.659039,4100.244236,0.357494,-0.030912
201909,98,7,3.638900,5,877.062788,3.676654,4103.920890,0.370630,-0.033143
201910,93,7,4.951636,2,882.014424,5.102931,4109.023821,0.382083,-0.035256
201911,90,6,6.840902,1,888.855326,9.564059,4118.587880,0.395126,-0.047486
201912,87,6,6.876564,1,895.731890,10.327702,4128.915582,0.397071,-0.054278
202001,85,6,6.908684,1,902.640574,16.461932,4145.377514,0.401506,-0.052823
202002,81,6,4.257898,3,906.898472,4.330104,4149.707619,0.397257,-0.044853
202003,68,5,-35.647935,694,871.250537,-35.648935,4114.058684,0.390879,-0.031630
202004,78,6,5.627712,2,876.878249,5.952094,4120.010777,0.374440,-0.030183
202005,79,6,-3.257738,94,873.620511,-3.258699,4116.752079,0.359898,-0.035834
202006,78,6,-1.655510,33,871.965001,-1.656319,4115.095760,0.343608,-0.040808
202007,76,6,4.109373,3,876.074374,4.171151,4119.266911,0.319413,-0.039680
202008,73,5,2.767813,5,878.842187,2.782849,4122.049760,0.302202,-0.035270
202009,59,4,3.201180,7,882.043368,3.225024,4125.274784,0.270980,-0.048442
