date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,88,6,3.350126,10,3.350126,3.378018,3.378018,0.262084,-0.046829
200302,100,7,-5.742674,17,-2.392548,-5.743670,-2.365652,0.288936,-0.038646
200303,102,7,6.695851,1,4.303303,8.346329,5.980676,0.279945,-0.034884
200304,102,7,5.904264,1,10.207567,6.359335,12.340011,0.294085,-0.042425
200305,118,8,1.281040,16,11.488607,1.283644,13.623656,0.302415,-0.048442
200306,124,9,6.108769,1,17.597376,6.704399,20.328055,0.300636,-0.049354
200307,137,10,5.267287,2,22.864663,5.481581,25.809636,0.300179,-0.053851
200308,143,10,6.908357,1,29.773020,14.737927,40.547563,0.300293,-0.057599
200309,148,10,6.904581,1,36.677601,12.384510,52.932073,0.308688,-0.065852
200310,150,10,6.908721,1,43.586322,17.196242,70.128315,0.304782,-0.081355
200311,152,11,6.908495,1,50.494817,15.163204,85.291520,0.311913,-0.084469
200312,150,10,6.907970,1,57.402787,14.057290,99.348810,0.314067,-0.086161
200401,139,10,6.908755,1,64.311541,28.667476,128.016287,0.312613,-0.083191
200402,143,10,6.908755,1,71.220296,25.481906,153.498192,0.306607,-0.089159
200403,139,10,6.908755,1,78.129051,28.849931,182.348123,0.308928,-0.092050
200404,135,9,6.908755,1,85.037806,36.114740,218.462863,0.309939,-0.085966
200405,140,10,6.908755,1,91.946560,52.483118,270.945981,0.308062,-0.082314
200406,146,10,6.908755,1,98.855315,50.617318,321.563299,0.311168,-0.076346
200407,152,11,6.908755,1,105.764070,58.519333,380.082632,0.314877,-0.070901
200408,153,11,6.908755,1,112.672825,50.116914,430.199546,0.315560,-0.062036
200409,155,11,6.908755,1,119.581580,38.146332,468.345878,0.313250,-0.048437
200410,162,11,6.908755,1,126.490334,69.781641,538.127519,0.312655,-0.038286
200411,167,12,6.908755,1,133.399089,52.892829,591.020349,0.310526,-0.029173
200412,163,11,6.908755,1,140.307844,44.365168,635.385516,0.303495,-0.026668
200501,164,11,6.908755,1,147.216599,54.648884,690.034400,0.300108,-0.019712
200502,169,12,6.908755,1,154.125354,54.817846,744.852246,0.295326,-0.010655
200503,172,12,6.908755,1,161.034108,32.430867,777.283113,0.284997,-0.007058
200504,187,13,6.908755,1,167.942863,38.284194,815.567307,0.271855,-0.000427
200505,196,14,6.908755,1,174.851618,65.420130,880.987437,0.261178,-0.004471
200506,190,13,6.908755,1,181.760373,48.114076,929.101513,0.251344,0.007309
200507,190,13,6.908755,1,188.669127,41.542160,970.643673,0.236846,0.011003
200508,190,13,6.908755,1,195.577882,32.088622,1002.732295,0.226235,0.015884
200509,197,14,6.908755,1,202.486637,34.076457,1036.808752,0.215627,0.017218
200510,194,13,6.908755,1,209.395392,41.061612,1077.870364,0.210543,0.018450
200511,197,14,6.908755,1,216.304147,57.171310,1135.041674,0.198694,0.017051
200512,165,11,6.908755,1,223.212901,28.509856,1163.551530,0.191224,0.021228
200601,164,11,6.907822,1,230.120723,13.884213,1177.435743,0.179430,0.024148
200602,171,12,6.908752,1,237.029475,19.768675,1197.204418,0.172819,0.024246
200603,168,12,6.860655,1,243.890130,9.918095,1207.122513,0.166125,0.024021
200604,158,11,6.908755,1,250.798885,40.866166,1247.988679,0.162182,0.022394
200605,152,11,6.908755,1,257.707640,22.594664,1270.583343,0.158501,0.023333
200606,142,10,3.493164,5,261.200804,3.525574,1274.108917,0.151645,0.017935
200607,141,10,1.804095,10,263.004899,1.809182,1275.918100,0.148068,0.016274
200608,140,10,-3.378988,68,259.625912,-3.379953,1272.538146,0.140705,0.006789
200609,142,10,5.890663,2,265.516574,6.337958,1278.876104,0.135556,-0.000296
200610,143,10,6.908325,1,272.424900,14.660514,1293.536619,0.126054,-0.009958
200611,157,11,6.908640,1,279.333540,15.981802,1309.518421,0.119066,-0.016364
200612,147,10,-7.174374,21,272.159166,-7.175373,1302.343048,0.113035,-0.017438
200701,152,11,6.852947,1,279.012112,9.765555,1312.108602,0.116353,-0.018083
200702,157,11,5.176831,3,284.188943,5.370562,1317.479164,0.115443,-0.020702
200703,157,11,-0.746606,12,283.442337,-0.747132,1316.732032,0.117830,-0.021240
200704,134,9,6.908709,1,290.351046,16.903183,1333.635215,0.117122,-0.025068
200705,131,9,6.908755,1,297.259801,25.203009,1358.838224,0.118080,-0.024588
200706,136,10,6.901717,1,304.161518,11.860711,1370.698935,0.118665,-0.024142
200707,128,9,-56.328808,650,247.832710,-56.329807,1314.369128,0.122815,-0.016494
200708,125,9,6.905050,1,254.737760,12.503920,1326.873048,0.127428,-0.019558
200709,125,9,-7.774050,4,246.963710,-7.775049,1319.097999,0.123395,-0.011880
200710,114,8,2.160948,9,249.124658,2.168657,1321.266656,0.121013,-0.005253
200711,105,7,2.965851,5,252.090509,2.984434,1324.251090,0.118211,-0.007344
200712,99,7,6.346667,1,258.437176,7.189680,1331.440770,0.110856,-0.014022
200801,96,7,6.820694,1,265.257871,9.293134,1340.733904,0.105919,-0.022987
200802,95,7,5.345271,2,270.603142,5.579242,1346.313145,0.096679,-0.021410
200803,115,8,6.908744,1,277.511886,18.383329,1364.696474,0.093132,-0.020058
200804,114,8,4.671292,3,282.183178,4.783157,1369.479632,0.095193,-0.018775
200805,106,8,6.908692,1,289.091870,16.589907,1386.069539,0.091612,-0.019633
200806,105,7,6.284482,1,295.376352,7.050601,1393.120140,0.095699,-0.026187
200807,100,7,6.896817,1,302.273169,11.329834,1404.449973,0.097989,-0.030030
200808,100,7,4.495079,3,306.768248,4.587825,1409.037798,0.102651,-0.024034
200809,99,7,-19.509656,240,287.258592,-19.510655,1389.527143,0.114319,-0.020527
200810,99,7,-29.203256,116,258.055337,-29.204255,1360.322888,0.116637,-0.019609
200811,96,7,-20.947410,100,237.107927,-20.948409,1339.374479,0.113552,-0.026199
200812,94,7,-28.061137,254,209.046790,-28.062136,1311.312342,0.127134,-0.019908
200901,94,7,0.711221,9,209.758011,0.712258,1312.024600,0.146405,-0.006068
200902,97,7,-8.561023,17,201.196988,-8.562023,1303.462578,0.165577,-0.010711
200903,101,7,1.364102,35,202.561089,1.367018,1304.829596,0.184724,-0.023194
200904,113,8,3.324038,3,205.885128,3.351176,1308.180771,0.195490,-0.036403
200905,110,8,6.376080,1,212.261208,7.259468,1315.440239,0.221402,-0.046443
200906,113,8,6.608428,1,218.869636,7.956722,1323.396961,0.226815,-0.047701
200907,116,8,5.621688,1,224.491325,5.943763,1329.340724,0.238758,-0.054593
200908,113,8,6.277555,1,230.768880,7.035743,1336.376468,0.252935,-0.047921
200909,121,9,5.455697,1,236.224577,5.721080,1342.097547,0.266473,-0.063775
200910,120,8,6.632114,1,242.856691,8.051284,1350.148831,0.288495,-0.061635
200911,122,9,6.766062,1,249.622753,8.782622,1358.931454,0.320120,-0.057806
200912,116,8,6.908233,1,256.530986,14.465883,1373.397337,0.328199,-0.044999
201001,118,8,6.908755,1,263.439741,22.236230,1395.633567,0.321222,-0.056065
201002,121,9,6.908755,1,270.348495,47.784849,1443.418416,0.325288,-0.049763
201003,130,9,6.908755,1,277.257250,39.948352,1483.366768,0.326586,-0.045355
201004,127,9,6.908755,1,284.166005,54.051293,1537.418061,0.326778,-0.044611
201005,130,9,6.908755,1,291.074760,25.876584,1563.294646,0.328018,-0.040367
201006,134,9,6.908755,1,297.983515,71.743731,1635.038377,0.322935,-0.040488
201007,140,10,6.908755,1,304.892269,52.493533,1687.531910,0.319198,-0.036875
201008,140,10,6.908755,1,311.801024,67.854278,1755.386189,0.313375,-0.037390
201009,150,10,6.908755,1,318.709779,60.565243,1815.951431,0.310527,-0.030056
201010,149,10,6.908755,1,325.618534,39.515386,1855.466817,0.308220,-0.028450
201011,159,11,6.908755,1,332.527288,53.826045,1909.292863,0.304128,-0.032659
201012,164,11,6.908755,1,339.436043,40.309255,1949.602118,0.301362,-0.035001
201101,164,11,6.908755,1,346.344798,35.737292,1985.339411,0.301823,-0.042416
201102,175,12,6.908755,1,353.253553,39.246986,2024.586396,0.307833,-0.053127
201103,186,13,6.908755,1,360.162308,51.782213,2076.368609,0.313703,-0.063593
201104,194,13,6.908755,1,367.071062,61.238518,2137.607127,0.322978,-0.067891
201105,193,13,6.908755,1,373.979817,55.142569,2192.749696,0.325107,-0.085226
201106,199,14,6.908755,1,380.888572,64.751171,2257.500867,0.333388,-0.096188
201107,221,15,6.908755,1,387.797327,85.941898,2343.442765,0.336051,-0.104948
201108,221,15,6.908755,1,394.706081,119.167521,2462.610285,0.338884,-0.111078
201109,224,15,6.908755,1,401.614836,129.693675,2592.303961,0.334168,-0.116725
201110,221,15,6.908755,1,408.523591,122.732071,2715.036031,0.325629,-0.127163
201111,227,16,6.908755,1,415.432346,132.033477,2847.069508,0.319156,-0.133494
201112,228,16,6.908755,1,422.341101,135.043890,2982.113398,0.313812,-0.137550
201201,234,16,6.908755,1,429.249855,124.803488,3106.916886,0.307610,-0.148074
201202,239,16,6.908755,1,436.158610,105.889911,3212.806797,0.298854,-0.146778
201203,232,16,6.908755,1,443.067365,79.129332,3291.936129,0.287757,-0.154997
201204,234,16,6.908755,1,449.976120,120.102277,3412.038407,0.277415,-0.159452
201205,232,16,6.908755,1,456.884875,208.608491,3620.646898,0.273216,-0.153364
201206,242,17,6.908755,1,463.793629,148.686520,3769.333418,0.268022,-0.147626
201207,242,17,6.908755,1,470.702384,120.201818,3889.535236,0.263309,-0.140049
201208,256,18,6.908755,1,477.611139,123.001296,4012.536532,0.257370,-0.136563
201209,271,19,6.908755,1,484.519894,175.183423,4187.719955,0.255953,-0.139925
201210,266,18,6.908755,1,491.428648,191.440423,4379.160378,0.259304,-0.145809
201211,273,19,6.908755,1,498.337403,199.972704,4579.133082,0.264402,-0.143690
201212,271,19,6.908755,1,505.246158,198.721483,4777.854565,0.265905,-0.142653
201301,272,19,6.908755,1,512.154913,173.663648,4951.518213,0.269177,-0.146289
201302,280,19,6.908755,1,519.063668,163.214428,5114.732641,0.271932,-0.149648
201303,274,19,6.908755,1,525.972422,187.859042,5302.591683,0.274289,-0.144787
201304,269,18,6.908755,1,532.881177,177.746348,5480.338031,0.280176,-0.141935
201305,273,19,6.908755,1,539.789932,183.706834,5664.044865,0.285005,-0.138088
201306,279,19,6.908755,1,546.698687,144.047702,5808.092566,0.288951,-0.142195
201307,285,19,6.908755,1,553.607441,190.979734,5999.072300,0.293118,-0.142354
201308,291,20,6.908755,1,560.516196,183.927224,6182.999524,0.306313,-0.136924
201309,275,19,6.908755,1,567.424951,122.674210,6305.673734,0.322249,-0.136366
201310,280,19,6.908755,1,574.333706,141.684256,6447.357990,0.336332,-0.138109
201311,291,20,6.908755,1,581.242461,174.742398,6622.100387,0.349152,-0.142096
201312,288,20,6.908755,1,588.151215,197.396255,6819.496643,0.367004,-0.138730
201401,292,20,6.908755,1,595.059970,167.529901,6987.026544,0.386391,-0.139445
201402,297,20,6.908755,1,601.968725,247.500688,7234.527232,0.399108,-0.129154
201403,296,20,6.908755,1,608.877480,222.835637,7457.362869,0.412197,-0.123737
201404,296,20,6.908755,1,615.786234,200.734566,7658.097435,0.420932,-0.125274
201405,318,22,6.908755,1,622.694989,260.017151,7918.114586,0.431253,-0.129016
201406,323,22,6.908755,1,629.603744,303.206347,8221.320933,0.440591,-0.120326
201407,320,22,6.908755,1,636.512499,369.501603,8590.822536,0.447812,-0.113554
201408,325,22,6.908755,1,643.421254,353.949191,8944.771728,0.441394,-0.106652
201409,318,22,6.908755,1,650.330008,391.079889,9335.851616,0.431917,-0.100548
201410,319,22,6.908755,1,657.238763,382.150896,9718.002513,0.420969,-0.092853
201411,323,22,6.908755,1,664.147518,312.575537,10030.578050,0.411478,-0.087638
201412,329,22,6.908755,1,671.056273,279.059494,10309.637544,0.400719,-0.084542
201501,338,23,6.908755,1,677.965027,316.811342,10626.448886,0.385637,-0.083345
201502,340,23,6.908755,1,684.873782,293.103461,10919.552347,0.373204,-0.082806
201503,335,23,6.908755,1,691.782537,276.772096,11196.324443,0.365274,-0.082985
201504,341,23,6.908755,1,698.691292,270.129823,11466.454266,0.356613,-0.082592
201505,336,23,6.908755,1,705.600047,258.991669,11725.445935,0.348796,-0.077615
201506,338,23,6.908755,1,712.508801,214.990330,11940.436264,0.341936,-0.074141
201507,347,24,6.908755,1,719.417556,186.255760,12126.692025,0.338429,-0.071505
201508,352,24,6.908755,1,726.326311,158.207286,12284.899311,0.337600,-0.068617
