date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,393,27,6.908755,1,6.908755,76.983565,76.983565,0.226536,-0.025354
200302,409,28,6.908755,1,13.817510,80.331312,157.314877,0.239375,-0.029700
200303,419,28,6.908755,1,20.726264,72.828991,230.143868,0.248145,-0.033711
200304,435,29,6.908755,1,27.635019,79.545700,309.689568,0.254728,-0.038852
200305,427,29,6.908755,1,34.543774,55.740675,365.430243,0.261437,-0.041379
200306,437,30,6.908755,1,41.452529,67.825394,433.255637,0.265738,-0.043982
200307,442,30,6.908755,1,48.361283,77.259026,510.514663,0.271652,-0.046140
200308,444,30,6.908755,1,55.270038,89.387658,599.902321,0.280422,-0.047685
200309,451,31,6.908755,1,62.178793,88.870495,688.772816,0.291316,-0.048724
200310,433,29,6.908755,1,69.087548,96.439442,785.212258,0.302763,-0.049252
200311,437,30,6.908755,1,75.996303,107.992758,893.205016,0.311704,-0.044802
200312,442,30,6.908755,1,82.905057,104.424628,997.629643,0.318956,-0.043014
200401,441,30,6.908755,1,89.813812,110.057878,1107.687521,0.326004,-0.039951
200402,445,30,6.908755,1,96.722567,126.721666,1234.409187,0.331042,-0.039332
200403,438,30,6.908755,1,103.631322,135.146743,1369.555929,0.334205,-0.040797
200404,440,30,6.908755,1,110.540076,216.208917,1585.764846,0.338862,-0.040298
200405,435,29,6.908755,1,117.448831,260.497246,1846.262092,0.342478,-0.037517
200406,436,30,6.908755,1,124.357586,305.595453,2151.857545,0.346643,-0.036149
200407,432,29,6.908755,1,131.266341,377.545431,2529.402976,0.348068,-0.033298
200408,431,29,6.908755,1,138.175096,296.687871,2826.090847,0.345731,-0.028853
200409,441,30,6.908755,1,145.083850,374.875221,3200.966068,0.342668,-0.025470
200410,437,30,6.908755,1,151.992605,371.140252,3572.106320,0.337289,-0.021186
200411,434,29,6.908755,1,158.901360,339.236872,3911.343192,0.333135,-0.010868
200412,423,29,6.908755,1,165.810115,375.249823,4286.593015,0.324266,-0.007344
200501,425,29,6.908755,1,172.718869,463.388835,4749.981850,0.312931,-0.008712
200502,427,29,6.908755,1,179.627624,540.674520,5290.656371,0.298707,-0.008795
200503,411,28,6.908755,1,186.536379,567.405002,5858.061373,0.284102,-0.005370
200504,404,27,6.908755,1,193.445134,476.994327,6335.055700,0.267494,0.001326
200505,402,27,6.908755,1,200.353889,492.339784,6827.395484,0.251757,0.000501
200506,397,27,6.908755,1,207.262643,419.425330,7246.820815,0.234116,0.001395
200507,403,27,6.908755,1,214.171398,398.121095,7644.941910,0.217623,0.012494
200508,405,27,6.908755,1,221.080153,270.160554,7915.102463,0.199904,0.017334
200509,404,27,6.908755,1,227.988908,142.156961,8057.259424,0.183599,0.021774
200510,414,28,6.908755,1,234.897662,92.811888,8150.071313,0.169147,0.022181
200511,411,28,6.908755,1,241.806417,98.199903,8248.271216,0.156265,0.019605
200512,411,28,6.908755,1,248.715172,102.869518,8351.140733,0.144945,0.017385
200601,413,28,6.908755,1,255.623927,86.616938,8437.757672,0.133379,0.012403
200602,424,29,6.908755,1,262.532682,115.093090,8552.850762,0.124146,0.009124
200603,419,28,6.908755,1,269.441436,49.602216,8602.452978,0.115471,0.007843
200604,424,29,6.908755,1,276.350191,66.185278,8668.638256,0.110328,0.016528
200605,416,28,6.908755,1,283.258946,41.166333,8709.804589,0.105799,0.017375
200606,410,28,6.908755,1,290.167701,68.779521,8778.584110,0.103753,0.017638
200607,416,28,6.908755,1,297.076456,82.018204,8860.602314,0.100696,0.020038
200608,417,28,6.908755,1,303.985210,72.514577,8933.116891,0.097629,0.022237
200609,416,28,6.908755,1,310.893965,107.034127,9040.151019,0.095288,0.022495
200610,403,27,6.908755,1,317.802720,118.985213,9159.136232,0.092274,0.021340
200611,394,27,6.908755,1,324.711475,52.544502,9211.680734,0.089246,0.024473
200612,395,27,6.908755,1,331.620229,60.130680,9271.811414,0.086673,0.022384
200701,400,27,6.908755,1,338.528984,90.547554,9362.358968,0.086727,0.022555
200702,391,27,6.908755,1,345.437739,92.674973,9455.033941,0.086575,0.025485
200703,380,26,6.908755,1,352.346494,92.741462,9547.775403,0.086978,0.019633
200704,384,26,6.908755,1,359.255249,82.470966,9630.246369,0.087083,0.016343
200705,384,26,6.908755,1,366.164003,67.075698,9697.322067,0.085640,0.016251
200706,381,26,6.908755,1,373.072758,64.090493,9761.412560,0.083938,0.017639
200707,390,26,6.908755,1,379.981513,92.291064,9853.703624,0.084495,0.015525
200708,376,26,6.908755,1,386.890268,146.382406,10000.086031,0.085961,0.014477
200709,381,26,6.908755,1,393.799022,137.122086,10137.208117,0.086637,0.005778
200710,379,26,6.908755,1,400.707777,140.132543,10277.340660,0.088555,-0.002600
200711,387,26,6.908755,1,407.616532,194.935048,10472.275708,0.089754,-0.008507
200712,381,26,6.908755,1,414.525287,170.980098,10643.255806,0.092029,-0.018339
200801,384,26,6.908755,1,421.434042,336.899949,10980.155755,0.095073,-0.022973
200802,384,26,6.908755,1,428.342796,421.176707,11401.332461,0.104265,-0.023552
200803,377,26,6.908755,1,435.251551,285.088020,11686.420482,0.116271,-0.012777
200804,387,26,6.908755,1,442.160306,189.832910,11876.253391,0.124407,-0.014601
200805,405,27,6.908755,1,449.069061,250.678192,12126.931583,0.131745,-0.014948
200806,413,28,6.908755,1,455.977815,227.596214,12354.527797,0.141010,-0.019789
200807,424,29,6.908755,1,462.886570,202.418218,12556.946015,0.148980,-0.024534
200808,427,29,6.908755,1,469.795325,200.602157,12757.548172,0.158727,-0.024305
