date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,349,24,6.908755,1,6.908755,45.283631,45.283631,0.769296,0.110193
200302,351,24,6.908755,1,13.817510,105.755846,151.039477,0.718022,0.119170
200303,355,24,6.908755,1,20.726264,165.174101,316.213577,0.732565,0.121903
200304,360,24,6.908755,1,27.635019,146.428067,462.641644,0.667381,0.121168
200305,371,25,6.908755,1,34.543774,190.731127,653.372772,0.684594,0.116801
200306,383,26,6.908755,1,41.452529,235.680067,889.052839,0.708349,0.124662
200307,395,27,6.908755,1,48.361283,299.729838,1188.782677,0.726977,0.124592
200308,401,27,6.908755,1,55.270038,291.689639,1480.472315,0.739666,0.129198
200309,412,28,6.908755,1,62.178793,370.434519,1850.906834,0.752677,0.127820
200310,406,28,6.908755,1,69.087548,288.689654,2139.596488,0.729531,0.149815
200311,416,28,6.908755,1,75.996303,328.276068,2467.872556,0.715453,0.169049
200312,421,29,6.908755,1,82.905057,228.312985,2696.185541,0.796074,0.172621
200401,429,29,6.908755,1,89.813812,278.224418,2974.409959,0.844444,0.166765
200402,426,29,6.908755,1,96.722567,357.063025,3331.472983,0.934393,0.167692
200403,428,29,6.908755,1,103.631322,408.844763,3740.317746,0.946842,0.183439
200404,423,29,6.908755,1,110.540076,399.341894,4139.659640,1.255367,0.256834
200405,423,29,6.908755,1,117.448831,457.069213,4596.728853,1.251341,0.286041
200406,424,29,6.908755,1,124.357586,254.495053,4851.223907,1.224717,0.323040
200407,425,29,6.908755,1,131.266341,374.226027,5225.449934,1.258048,0.301028
200408,428,29,6.908755,1,138.175096,364.857818,5590.307752,1.346416,0.289167
200409,439,30,6.908755,1,145.083850,185.416167,5775.723919,1.402492,0.273839
200410,436,30,6.908755,1,151.992605,340.524857,6116.248776,1.544561,0.250276
200411,444,30,6.908755,1,158.901360,168.178941,6284.427717,1.604456,0.258667
200412,445,30,6.908755,1,165.810115,85.623987,6370.051704,1.609338,0.262782
200501,444,30,6.908755,1,172.718869,41.870696,6411.922399,1.624789,0.272225
200502,443,30,6.908755,1,179.627624,57.900965,6469.823365,1.720314,0.275601
200503,438,30,6.908697,1,186.536321,16.659879,6486.483243,1.761123,0.241649
200504,436,30,6.908755,1,193.445076,37.774016,6524.257260,1.708239,0.213183
