date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,55,4,-5.269924,91,-5.269924,-5.270919,-5.270919,1.220140,0.442795
200302,56,4,2.640754,3,-2.629170,2.653864,-2.617055,1.221306,0.482623
200303,59,4,6.868602,1,4.239432,10.102663,7.485608,1.292008,0.391717
200304,59,4,-4.866597,190,-0.627165,-4.867589,2.618019,1.338729,0.331324
200305,50,4,4.535124,3,3.907959,4.631894,7.249913,1.360182,0.334702
200306,52,4,5.958898,2,9.866857,6.446957,13.696870,1.367982,0.340250
200307,54,4,6.881322,1,16.748179,10.490031,24.186901,1.383008,0.364245
200308,54,4,4.472286,2,21.220465,4.562820,28.749720,1.391721,0.376571
200309,53,4,1.919364,17,23.139829,1.925198,30.674918,1.414214,0.436967
200310,62,5,3.528138,6,26.667967,3.561758,34.236676,1.190433,0.484253
200311,62,5,5.024957,2,31.692924,5.188846,39.425522,1.179310,0.495379
200312,64,5,4.709772,3,36.402696,4.826336,44.251858,1.211589,0.546568
200401,67,5,1.632513,44,38.035209,1.636638,45.888496,1.260761,0.553836
200402,69,5,5.295680,3,43.330889,5.516917,51.405413,1.249525,0.528276
200403,67,5,0.151348,24,43.482237,0.151512,51.556925,1.128805,0.446334
200404,67,5,6.908487,1,50.390725,15.133595,66.690520,1.071813,0.412012
200405,69,5,6.908755,1,57.299479,31.997351,98.687871,1.045780,0.411175
200406,73,5,6.907043,1,64.206523,13.277345,111.965216,1.062364,0.440356
200407,71,5,6.908755,1,71.115277,22.377715,134.342931,1.015434,0.422912
200408,69,5,6.908197,1,78.023475,14.399883,148.742814,1.008654,0.419400
200409,72,5,6.907120,1,84.930595,13.323042,162.065856,0.972929,0.406508
200410,71,5,6.826282,1,91.756877,9.361525,171.427382,1.433761,0.441777
200411,72,5,6.052452,1,97.809329,6.604368,178.031749,1.466085,0.459581
200412,72,5,1.877374,29,99.686703,1.882926,179.914675,1.550383,0.392596
200501,72,5,1.284841,60,100.971544,1.287459,181.202134,1.519603,0.412624
200502,87,6,-1.812718,184,99.158826,-1.813555,179.388579,1.515362,0.438526
200503,88,6,-0.043693,348,99.115133,-0.043736,179.344843,1.699988,0.314700
