date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,17,2,-19.657618,838,-19.657618,-19.658618,-19.658618,2.230287,0.191445
200302,20,2,6.249013,1,-13.408605,6.975722,-12.682896,2.219603,0.218712
200303,20,2,5.115681,2,-8.292924,5.296741,-7.386156,2.371067,0.376622
200304,20,2,-3.483012,506,-11.775936,-3.483981,-10.870137,2.470351,0.221577
200305,21,2,1.472603,54,-10.303333,1.475969,-9.394167,2.487804,0.035769
200306,23,2,-1.458660,354,-11.761992,-1.459427,-10.853594,2.529882,0.016298
200307,24,2,4.255005,6,-7.506987,4.326992,-6.526602,2.549595,-0.146879
200308,24,2,3.665607,5,-3.841381,3.704431,-2.822171,2.620119,-0.198712
200309,26,2,-2.084794,319,-5.926175,-2.085670,-4.907841,2.683081,-0.210374
200310,26,2,-0.832773,455,-6.758948,-0.833338,-5.741179,2.725016,-0.426123
200311,25,2,-0.554075,224,-7.313023,-0.554501,-6.295679,2.773734,-0.285344
200312,25,2,1.457599,55,-5.855424,1.460900,-4.834779,2.933972,-0.190500
200401,27,2,-11.549870,888,-17.405294,-11.550869,-16.385648,2.749395,-0.289436
200402,28,2,-1.366402,886,-18.771696,-1.367147,-17.752795,2.571462,-0.676785
200403,29,2,0.425698,187,-18.345997,0.426229,-17.326566,2.538686,-0.690374
200404,27,2,1.041735,67,-17.304263,1.043570,-16.282996,2.416674,-0.685012
200405,31,3,1.685234,34,-15.619029,1.689637,-14.593358,2.338587,-0.638889
200406,33,3,1.647084,42,-13.971945,1.651284,-12.942074,2.273144,-0.567766
200407,34,3,2.562007,4,-11.409938,2.574041,-10.368033,2.218575,-0.553299
200408,34,3,2.054236,12,-9.355702,2.061060,-8.306973,2.157694,-0.495460
200409,33,3,0.946577,77,-8.409125,0.948156,-7.358817,2.094996,-0.410920
200410,33,3,-2.721251,379,-11.130376,-2.722185,-10.081002,2.051351,-0.443728
200411,34,3,0.489450,150,-10.640925,0.490082,-9.590920,1.956859,-0.414179
200412,34,3,1.032731,78,-9.608195,1.034541,-8.556379,1.888160,-0.353367
200501,36,3,-0.972347,346,-10.580542,-0.972969,-9.529348,2.051141,-0.527453
200502,36,3,-0.597972,661,-11.178514,-0.598422,-10.127770,2.308327,-0.715406
200503,35,3,-2.497144,598,-13.675658,-2.498061,-12.625831,2.153599,-0.661599
