date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,88,6,-20.720900,174,-20.720900,-20.721900,-20.721900,0.805815,0.091625
200302,100,7,-27.012511,182,-47.733411,-27.013511,-47.735410,0.814375,0.112686
200303,102,7,-9.060773,310,-56.794184,-9.061772,-56.797183,0.821181,0.105898
200304,102,7,1.773375,19,-55.020810,1.778277,-55.018906,0.807378,0.090316
200305,118,8,-1.784914,8,-56.805723,-1.785745,-56.804651,0.810260,0.084931
200306,124,9,-0.686463,18,-57.492187,-0.686960,-57.491611,0.796739,0.093105
200307,137,10,-5.702270,36,-63.194456,-5.703266,-63.194877,0.799214,0.079454
200308,143,10,-3.605176,14,-66.799632,-3.606148,-66.801025,0.794976,0.064157
200309,148,10,6.908003,1,-59.891629,14.100812,-52.700212,0.798574,0.053601
200310,150,10,-11.048916,176,-70.940545,-11.049915,-63.750128,0.791865,0.048563
200311,152,11,6.907687,1,-64.032858,13.749156,-50.000972,0.756696,0.036062
200312,150,10,6.891846,1,-57.141012,10.979198,-39.021774,0.788360,0.020642
200401,139,10,-7.446024,84,-64.587036,-7.447023,-46.468797,0.777928,-0.011518
200402,143,10,6.908755,1,-57.678282,26.143123,-20.325674,0.755244,-0.037091
200403,139,10,6.601189,1,-51.077092,7.929101,-12.396573,0.743899,-0.044099
200404,135,9,6.700896,1,-44.376196,8.372923,-4.023650,0.755467,-0.046092
200405,140,10,6.817045,1,-37.559151,9.250675,5.227025,0.753233,-0.068400
200406,146,10,-2.001768,6,-39.560920,-2.002633,3.224392,0.767580,-0.084705
200407,152,11,6.908748,1,-32.652171,18.876031,22.100423,0.770886,-0.093795
200408,153,11,-1.633691,3,-34.285862,-1.634495,20.465928,0.787752,-0.097089
200409,155,11,6.908748,1,-27.377113,18.883002,39.348930,0.797486,-0.089703
200410,162,11,6.908755,1,-20.468359,35.393648,74.742578,0.798525,-0.104576
200411,167,12,6.902553,1,-13.565806,11.987584,86.730161,0.828704,-0.082443
200412,163,11,6.908755,1,-6.657051,29.493989,116.224150,0.828915,-0.077404
200501,164,11,6.908754,1,0.251703,21.036106,137.260256,0.858192,-0.040443
200502,169,12,-2.577336,22,-2.325633,-2.578260,134.681997,0.911263,-0.043268
200503,172,12,-7.780069,33,-10.105701,-7.781068,126.900929,0.929860,-0.030549
200504,187,13,5.158477,3,-4.947224,5.348306,132.249235,0.922721,-0.022988
200505,196,14,-18.487730,106,-23.434955,-18.488730,113.760505,0.936817,0.019953
200506,190,13,6.883975,1,-16.550980,10.593060,124.353566,0.923611,0.041408
200507,190,13,0.331673,23,-16.219307,0.332066,124.685632,0.925018,0.047162
200508,190,13,0.064816,19,-16.154491,0.064883,124.750515,0.918399,0.065756
200509,197,14,6.382699,1,-9.771791,7.275572,132.026087,0.927800,0.063045
200510,194,13,6.908755,1,-2.863037,23.221123,155.247211,0.902172,0.093822
200511,197,14,-4.744980,33,-7.608016,-4.745970,150.501240,0.923385,0.092637
200512,165,11,-1.485902,5,-9.093918,-1.486675,149.014565,0.932282,0.102051
200601,164,11,-7.882300,2,-16.976218,-7.883299,141.131266,0.933264,0.119443
200602,171,12,-5.985482,47,-22.961700,-5.986479,135.144787,0.895461,0.144427
200603,168,12,-11.812768,55,-34.774468,-11.813768,123.331019,0.896338,0.161368
200604,158,11,0.869401,5,-33.905067,0.870788,124.201807,0.883812,0.174901
200605,152,11,-5.315136,7,-39.220203,-5.316130,118.885676,0.875859,0.178017
200606,142,10,-2.986286,36,-42.206489,-2.987235,115.898441,0.878769,0.166428
200607,141,10,-25.355806,45,-67.562295,-25.356805,90.541636,0.871763,0.178331
200608,140,10,1.240595,8,-66.321700,1.243055,91.784691,0.873110,0.168965
200609,142,10,-6.714739,124,-73.036439,-6.715738,85.068954,0.868099,0.181469
200610,143,10,6.896798,1,-66.139642,11.328199,96.397153,0.880301,0.178709
200611,157,11,-59.980587,863,-126.120229,-59.981587,36.415566,0.872908,0.178039
200612,147,10,3.968232,2,-122.151997,4.021518,40.437084,0.848102,0.200862
200701,152,11,-26.505026,191,-148.657023,-26.506025,13.931058,0.827039,0.202452
200702,157,11,6.875786,1,-141.781237,10.303424,24.234483,0.855463,0.164168
200703,157,11,6.166562,2,-135.614675,6.811958,31.046441,0.850257,0.156256
200704,134,9,4.581117,2,-131.033558,4.682733,35.729174,0.884902,0.122490
200705,131,9,-19.412416,238,-150.445974,-19.413416,16.315758,0.887588,0.117607
200706,136,10,-7.389609,49,-157.835583,-7.390607,8.925150,0.892640,0.109376
200707,128,9,6.908755,1,-150.926828,42.342808,51.267958,0.901839,0.099261
200708,125,9,-19.756014,5,-170.682842,-19.757013,31.510945,0.917091,0.097141
200709,125,9,3.075666,2,-167.607175,3.096547,34.607492,0.867854,0.088542
200710,114,8,4.731094,2,-162.876081,4.850351,39.457843,0.863361,0.085284
200711,105,7,-6.990463,27,-169.866544,-6.991461,32.466381,0.866740,0.106973
200712,99,7,-1.377177,16,-171.243721,-1.377925,31.088457,0.891913,0.061934
200801,96,7,-6.149468,8,-177.393189,-6.150465,24.937991,0.869857,0.109017
200802,95,7,-19.648213,71,-197.041402,-19.649212,5.288779,0.874085,0.095647
200803,115,8,4.115324,2,-192.926077,4.177489,9.466268,0.858267,0.091611
200804,114,8,-1.354904,18,-194.280981,-1.355645,8.110623,0.809438,0.101794
200805,106,8,2.127883,5,-192.153098,2.135307,10.245930,0.775118,0.136155
200806,105,7,-1.953676,35,-194.106774,-1.954534,8.291396,0.747333,0.150008
200807,100,7,-4.435791,29,-198.542565,-4.436778,3.854618,0.738593,0.169600
200808,100,7,1.859567,4,-196.682998,1.865002,5.719620,0.709971,0.205153
200809,99,7,-0.896007,35,-197.579005,-0.896599,4.823022,0.732947,0.184854
200810,99,7,-34.667397,908,-232.246402,-34.668396,-29.845375,0.722936,0.207489
200811,96,7,-27.726901,375,-259.973303,-27.727901,-57.573276,0.740527,0.188145
200812,94,7,-22.931645,81,-282.904948,-22.932645,-80.505920,0.706415,0.149766
200901,94,7,-16.669114,112,-299.574062,-16.670113,-97.176033,0.673132,0.129410
200902,97,7,6.249927,1,-293.324135,6.977613,-90.198420,0.650020,0.128601
200903,101,7,-9.984636,245,-303.308772,-9.985636,-100.184056,0.667946,0.115261
200904,113,8,-9.125090,135,-312.433862,-9.126089,-109.310146,0.672221,0.107489
200905,110,8,4.294908,3,-308.138954,4.369982,-104.940164,0.653781,0.109566
200906,113,8,-3.785154,14,-311.924108,-3.786131,-108.726294,0.647434,0.100996
200907,116,8,6.649501,1,-305.274607,8.125276,-100.601018,0.637303,0.085392
200908,113,8,6.906239,1,-298.368368,12.891825,-87.709193,0.637918,0.074104
200909,121,9,6.908082,1,-291.460286,14.211364,-73.497829,0.644659,0.053704
200910,120,8,6.908589,1,-284.551697,15.611010,-57.886819,0.644559,0.039712
200911,122,9,4.207294,2,-280.344404,4.275759,-53.611060,0.645909,0.026763
200912,116,8,6.765681,1,-273.578723,8.779757,-44.831303,0.648529,0.024750
201001,118,8,-14.157107,55,-287.735830,-14.158106,-58.989409,0.655621,0.004695
201002,121,9,6.908755,1,-280.827075,23.975361,-35.014049,0.657549,-0.013297
201003,130,9,6.908754,1,-273.918321,20.923995,-14.090054,0.647600,-0.036250
201004,127,9,6.904921,1,-267.013401,12.469655,-1.620398,0.665781,-0.080962
201005,130,9,5.832260,2,-261.181141,6.247970,4.627571,0.734540,-0.147628
201006,134,9,-3.614734,21,-264.795875,-3.615707,1.011865,0.787918,-0.138382
201007,140,10,1.447897,2,-263.347978,1.451156,2.463021,0.817293,-0.116857
201008,140,10,6.897592,1,-256.450387,11.397309,13.860330,0.826560,-0.135467
201009,150,10,-5.124561,61,-261.574947,-5.125554,8.734776,0.837992,-0.159363
201010,149,10,5.417615,2,-256.157333,5.671657,14.406433,0.850557,-0.178594
201011,159,11,6.074395,2,-250.082938,6.642826,21.049259,0.847887,-0.204787
201012,164,11,6.908752,1,-243.174186,19.558856,40.608115,0.855714,-0.228796
201101,164,11,-5.629395,67,-248.803581,-5.630391,34.977724,0.850365,-0.227442
201102,175,12,5.988622,2,-242.814959,6.495895,41.473619,0.868839,-0.259229
201103,186,13,6.904591,1,-235.910368,12.387006,53.860625,0.861405,-0.251333
201104,194,13,6.837727,1,-229.072641,9.516720,63.377345,0.871472,-0.271142
201105,193,13,6.908755,1,-222.163886,43.108100,106.485446,0.876011,-0.265863
201106,199,14,-8.075343,3,-230.239229,-8.076342,98.409104,0.878378,-0.285094
201107,221,15,-1.018647,7,-231.257876,-1.019285,97.389818,0.884342,-0.286532
201108,221,15,4.352780,3,-226.905095,4.432575,101.822393,0.881884,-0.303291
201109,224,15,6.908463,1,-219.996632,15.048721,116.871114,0.883743,-0.285527
201110,221,15,6.908341,1,-213.088291,14.697805,131.568919,0.887236,-0.259608
201111,227,16,6.908755,1,-206.179536,22.607505,154.176424,0.878819,-0.240424
201112,228,16,0.562712,7,-205.616824,0.563467,154.739892,0.871735,-0.214657
201201,234,16,6.908755,1,-198.708070,37.578555,192.318446,0.897862,-0.216127
201202,239,16,6.908755,1,-191.799315,26.073086,218.391532,0.904268,-0.195000
201203,232,16,6.908755,1,-184.890560,28.308063,246.699596,0.919022,-0.198263
201204,234,16,6.908755,1,-177.981805,41.965158,288.664754,0.917978,-0.191467
201205,232,16,6.908755,1,-171.073051,23.034512,311.699265,0.924028,-0.191330
201206,242,17,6.908755,1,-164.164296,33.631182,345.330447,0.933430,-0.188808
201207,242,17,6.908755,1,-157.255541,27.129586,372.460033,0.933408,-0.169092
201208,256,18,5.751856,2,-151.503685,6.128405,378.588438,0.944944,-0.150612
201209,271,19,-1.584867,4,-153.088552,-1.585662,377.002776,0.940157,-0.164374
201210,266,18,5.701314,2,-147.387238,6.055507,383.058283,0.951763,-0.166970
201211,273,19,6.908755,1,-140.478483,29.244779,412.303061,0.971248,-0.160155
201212,271,19,6.908755,1,-133.569729,35.044013,447.347074,0.982740,-0.156153
201301,272,19,6.906211,1,-126.663517,12.880735,460.227809,0.987975,-0.159193
201302,280,19,6.908755,1,-119.754762,73.928114,534.155923,0.984806,-0.175227
201303,274,19,6.908755,1,-112.846008,58.078504,592.234427,0.984954,-0.167553
201304,269,18,6.908755,1,-105.937253,36.407650,628.642077,0.993523,-0.180195
201305,273,19,6.908755,1,-99.028498,37.811800,666.453877,1.000778,-0.186050
201306,279,19,6.908755,1,-92.119743,66.523424,732.977301,0.997565,-0.189849
201307,285,19,6.908755,1,-85.210989,70.202727,803.180029,1.000103,-0.188017
201308,291,20,6.908755,1,-78.302234,96.124260,899.304288,1.006631,-0.186056
201309,275,19,6.908755,1,-71.393479,137.033528,1036.337817,1.021562,-0.178896
201310,280,19,6.908755,1,-64.484724,82.374546,1118.712363,1.026125,-0.171681
201311,291,20,6.908755,1,-57.575969,158.727182,1277.439545,1.034907,-0.178855
201312,288,20,6.908755,1,-50.667215,140.993470,1418.433015,1.043370,-0.181792
201401,292,20,6.908755,1,-43.758460,166.361463,1584.794479,1.055685,-0.164196
