date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200301,393,27,6.908754,1,6.908754,21.167004,21.167004,0.723019,0.097116
200302,409,28,6.908755,1,13.817509,73.213155,94.380159,0.717157,0.088632
200303,419,28,6.908755,1,20.726264,58.051024,152.431183,0.734709,0.084983
200304,435,29,6.908755,1,27.635018,34.499886,186.931069,0.739336,0.077743
200305,427,29,6.908755,1,34.543773,80.148663,267.079732,0.724982,0.083019
200306,437,30,6.908755,1,41.452528,68.929986,336.009719,0.730524,0.082127
200307,442,30,6.908755,1,48.361283,115.533935,451.543654,0.735550,0.080158
200308,444,30,6.908755,1,55.270038,109.626421,561.170074,0.740104,0.075576
200309,451,31,6.908755,1,62.178792,102.055718,663.225792,0.765764,0.079080
200310,433,29,6.908755,1,69.087547,80.314321,743.540114,0.736643,0.070839
200311,437,30,6.908755,1,75.996302,131.319484,874.859597,0.729813,0.066342
200312,442,30,6.908755,1,82.905057,135.359970,1010.219567,0.777638,0.053303
200401,441,30,6.908755,1,89.813811,129.016157,1139.235724,0.786359,0.054042
200402,445,30,6.908755,1,96.722566,108.839118,1248.074842,0.810964,0.056531
200403,438,30,6.908755,1,103.631321,256.802383,1504.877225,0.811914,0.057791
200404,440,30,6.908755,1,110.540076,230.592435,1735.469660,0.807826,0.075869
200405,435,29,6.908755,1,117.448831,223.758194,1959.227853,0.875615,0.066650
200406,436,30,6.908755,1,124.357585,255.252418,2214.480271,0.903220,0.050479
200407,432,29,6.908755,1,131.266340,200.487129,2414.967401,0.918880,0.064735
200408,431,29,6.908755,1,138.175095,299.164238,2714.131638,0.946538,0.048504
200409,441,30,6.908755,1,145.083850,209.052309,2923.183947,0.989553,0.038055
200410,437,30,6.908755,1,151.992605,164.881304,3088.065251,1.039952,0.017873
200411,434,29,6.908755,1,158.901359,132.670980,3220.736231,1.082548,0.022271
200412,423,29,6.908755,1,165.810114,62.608141,3283.344372,1.094731,0.040816
200501,425,29,6.908755,1,172.718869,56.338048,3339.682420,1.094648,0.059224
200502,427,29,6.908755,1,179.627624,57.082112,3396.764531,1.103544,0.080388
200503,411,28,6.908755,1,186.536378,61.649526,3458.414057,1.087461,0.096073
200504,404,27,6.908755,1,193.445133,75.449310,3533.863367,1.160857,0.125058
200505,402,27,6.908745,1,200.353878,18.398660,3552.262027,1.168573,0.161711
200506,397,27,6.908751,1,207.262628,19.319667,3571.581694,1.116833,0.192226
200507,403,27,-10.513391,46,196.749238,-10.514390,3561.067304,1.113572,0.229547
200508,405,27,6.908753,1,203.657991,20.053679,3581.120983,1.089664,0.237534
200509,404,27,6.908755,1,210.566745,23.937823,3605.058805,1.064254,0.248903
200510,414,28,2.245025,2,212.811770,2.253501,3607.312306,1.039202,0.295243
200511,411,28,6.864749,1,219.676519,10.009105,3617.321411,1.023982,0.303679
200512,411,28,-3.066810,34,216.609709,-3.067763,3614.253649,1.004882,0.314385
200601,413,28,6.335750,1,222.945459,7.164470,3621.418119,0.996392,0.335034
200602,424,29,6.908755,1,229.854214,24.236786,3645.654905,0.944056,0.347801
200603,419,28,6.908755,1,236.762968,34.818019,3680.472924,0.919612,0.328961
200604,424,29,6.908755,1,243.671723,31.261133,3711.734057,0.900094,0.348863
200605,416,28,6.908755,1,250.580478,79.625388,3791.359445,0.884063,0.338425
200606,410,28,6.908755,1,257.489233,60.753004,3852.112449,0.898375,0.357776
200607,416,28,6.908755,1,264.397988,72.704787,3924.817237,0.880384,0.349074
200608,417,28,6.908755,1,271.306742,70.660126,3995.477363,0.821002,0.331354
200609,416,28,6.908755,1,278.215497,113.004363,4108.481726,0.810356,0.347865
200610,403,27,6.908755,1,285.124252,76.016930,4184.498656,0.812203,0.331631
200611,394,27,6.908755,1,292.033007,34.790384,4219.289040,0.803644,0.332108
200612,395,27,6.908755,1,298.941761,53.167352,4272.456392,0.791857,0.331789
200701,400,27,6.908755,1,305.850516,40.701029,4313.157421,0.787586,0.330868
200702,391,27,6.908755,1,312.759271,93.617877,4406.775298,0.820425,0.292095
200703,380,26,6.908755,1,319.668026,101.439594,4508.214892,0.824045,0.276881
200704,384,26,6.908755,1,326.576781,113.079934,4621.294826,0.830515,0.247814
200705,384,26,6.908755,1,333.485535,45.362709,4666.657535,0.825159,0.262547
200706,381,26,6.908755,1,340.394290,131.138517,4797.796052,0.810389,0.277502
200707,390,26,6.908755,1,347.303045,223.210476,5021.006528,0.819067,0.266109
200708,376,26,6.908755,1,354.211800,103.502900,5124.509428,0.889966,0.171994
200709,381,26,6.908755,1,361.120554,43.263567,5167.772995,0.886411,0.181988
200710,379,26,6.908755,1,368.029309,105.504872,5273.277867,0.870728,0.241537
200711,387,26,6.908755,1,374.938064,163.761281,5437.039148,0.867186,0.236689
200712,381,26,6.908755,1,381.846819,50.989663,5488.028811,0.900787,0.209910
200801,384,26,6.908755,1,388.755574,71.317092,5559.345902,0.891555,0.221096
200802,384,26,6.908749,1,395.664322,18.942489,5578.288391,0.935365,0.201674
200803,377,26,6.908329,1,402.572652,14.670234,5592.958625,0.951020,0.188921
200804,387,26,6.908755,1,409.481407,34.243841,5627.202467,0.937525,0.162052
200805,405,27,6.908755,1,416.390161,29.769602,5656.972069,0.853141,0.099614
200806,413,28,6.908755,1,423.298916,57.340058,5714.312127,0.813843,0.064055
200807,424,29,6.908755,1,430.207671,32.366756,5746.678883,0.813513,0.044338
200808,427,29,6.908755,1,437.116426,69.861162,5816.540046,0.818598,0.036868
200809,428,29,-7.205962,8,429.910464,-7.206961,5809.333085,0.830805,-0.000329
200810,424,29,6.908755,1,436.819219,44.137410,5853.470495,0.832547,-0.031368
200811,415,28,6.908755,1,443.727973,26.349907,5879.820402,0.760302,0.039164
200812,422,29,6.908752,1,450.636725,19.578428,5899.398830,0.707997,0.058539
200901,430,29,6.908755,1,457.545480,23.096485,5922.495315,0.697810,0.078203
200902,439,30,6.908755,1,464.454235,87.164120,6009.659435,0.672845,0.063801
200903,434,29,6.908755,1,471.362989,89.111024,6098.770459,0.712032,0.047236
200904,441,30,6.908755,1,478.271744,57.902934,6156.673393,0.747721,0.038145
200905,451,31,6.908755,1,485.180499,44.098230,6200.771623,0.761576,0.034552
200906,457,31,6.908755,1,492.089254,48.102556,6248.874179,0.767300,0.031753
200907,463,31,6.908755,1,498.998008,41.170408,6290.044587,0.776760,0.026808
200908,460,31,6.908755,1,505.906763,34.251672,6324.296259,0.780524,0.019999
200909,477,32,6.908755,1,512.815518,66.310465,6390.606724,0.784277,0.017975
200910,488,33,6.908755,1,519.724273,100.968594,6491.575319,0.786088,0.016517
200911,506,34,6.908755,1,526.633028,118.308680,6609.883998,0.805910,0.001823
200912,515,35,6.908755,1,533.541782,92.865471,6702.749470,0.831624,-0.001766
201001,521,35,6.908755,1,540.450537,108.032007,6810.781476,0.859453,-0.017358
201002,522,35,6.908755,1,547.359292,190.311050,7001.092526,0.902960,-0.024408
201003,521,35,6.908755,1,554.268047,168.683858,7169.776384,0.911129,-0.031748
201004,523,35,6.908755,1,561.176801,197.115334,7366.891718,0.915233,-0.043483
201005,534,36,6.908755,1,568.085556,212.814077,7579.705795,0.966731,-0.067426
201006,531,36,6.908755,1,574.994311,161.582546,7741.288341,1.029953,-0.065007
201007,529,36,6.908755,1,581.903066,128.123237,7869.411578,1.073548,-0.071031
201008,540,36,6.908755,1,588.811821,138.002106,8007.413684,1.087626,-0.061364
201009,548,37,6.908755,1,595.720575,151.856839,8159.270523,1.120362,-0.053613
201010,563,38,6.908755,1,602.629330,198.153551,8357.424074,1.146734,-0.046348
201011,565,38,6.908755,1,609.538085,190.112372,8547.536446,1.171022,-0.040114
201012,573,39,6.908755,1,616.446840,195.079588,8742.616034,1.191237,-0.028129
201101,568,38,6.908755,1,623.355594,197.477100,8940.093134,1.212098,-0.022014
201102,577,39,6.908755,1,630.264349,154.218194,9094.311328,1.200352,-0.029063
201103,566,38,6.908755,1,637.173104,225.668465,9319.979793,1.206191,-0.041665
201104,548,37,6.908755,1,644.081859,303.110069,9623.089863,1.220240,-0.044238
201105,563,38,6.908755,1,650.990614,281.086085,9904.175947,1.232674,-0.043296
201106,576,39,6.908755,1,657.899368,359.728387,10263.904334,1.242042,-0.047105
201107,569,38,6.908755,1,664.808123,219.864764,10483.769098,1.247596,-0.057970
