date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,359,24,6.908755,1,6.908755,25.712109,25.712109,0.010960,-0.006158
200308,365,25,6.908755,1,13.817510,40.632163,66.344272,0.010960,-0.006158
200309,373,25,6.908730,1,20.726240,17.518432,83.862703,0.009306,-0.003729
200310,367,25,6.908755,1,27.634994,58.396086,142.258789,0.011866,0.004033
200311,373,25,6.908755,1,34.543749,29.208435,171.467225,0.011866,0.004033
200312,376,26,6.908755,1,41.452504,36.488505,207.955730,0.011866,0.004033
200401,379,26,6.906197,1,48.358701,12.875132,220.830862,0.010053,0.002258
200402,375,25,6.908755,1,55.267456,37.636858,258.467720,0.009402,0.005786
200403,377,26,6.908755,1,62.176210,22.311422,280.779143,0.009402,0.005786
200404,372,25,6.908755,1,69.084965,28.026962,308.806105,0.009402,0.005786
200405,371,25,6.908755,1,75.993720,52.237536,361.043641,0.009085,0.006040
200406,372,25,6.908755,1,82.902475,32.322431,393.366072,0.008848,0.006074
200407,374,25,6.908755,1,89.811230,47.441556,440.807628,0.008848,0.006074
200408,377,26,6.908755,1,96.719984,56.577706,497.385334,0.008592,0.005853
200409,386,26,6.908755,1,103.628739,69.340587,566.725922,0.008577,0.005565
200410,383,26,6.908755,1,110.537494,49.927155,616.653077,0.007745,0.007465
200411,393,27,6.908755,1,117.446249,55.778018,672.431095,0.007182,0.008773
200412,393,27,6.908755,1,124.355003,36.509711,708.940806,0.005638,0.007352
200501,391,27,6.908755,1,131.263758,62.753891,771.694697,0.005222,0.007404
200502,388,26,6.908755,1,138.172513,70.592248,842.286944,0.005590,0.007862
200503,384,26,6.908755,1,145.081268,54.244527,896.531471,0.002608,0.000345
200504,381,26,6.908755,1,151.990023,72.233931,968.765403,0.003686,0.003061
200505,377,26,6.908755,1,158.898777,60.421467,1029.186870,0.003726,-0.000244
200506,386,26,6.908755,1,165.807532,64.731202,1093.918072,0.002868,-0.001670
200507,392,27,6.908755,1,172.716287,45.223685,1139.141756,0.002515,-0.003108
200508,390,26,6.908755,1,179.625042,59.073036,1198.214792,0.002276,-0.003904
200509,398,27,6.908755,1,186.533797,92.944106,1291.158898,0.002332,-0.000813
200510,403,27,6.908755,1,193.442551,129.530903,1420.689801,0.002110,-0.002076
200511,402,27,6.908755,1,200.351306,106.984448,1527.674249,0.002466,0.000636
200512,390,26,6.908755,1,207.260061,78.604289,1606.278538,0.001680,-0.001505
200601,375,25,6.908755,1,214.168816,43.713048,1649.991587,-0.000151,-0.010204
200602,380,26,6.908755,1,221.077570,56.140278,1706.131864,-0.001014,-0.010981
200603,377,26,6.908755,1,227.986325,63.659344,1769.791208,-0.000225,-0.010330
200604,372,25,6.908755,1,234.895080,24.604805,1794.396014,-0.001352,-0.014136
200605,369,25,6.908755,1,241.803835,62.502820,1856.898834,-0.001891,-0.016302
200606,382,26,6.908755,1,248.712589,79.028194,1935.927028,-0.001986,-0.017039
200607,385,26,6.908755,1,255.621344,37.650710,1973.577738,-0.002041,-0.017256
200608,377,26,6.908755,1,262.530099,76.686038,2050.263776,-0.002090,-0.017623
200609,373,25,6.908755,1,269.438854,66.622013,2116.885789,-0.002394,-0.021893
200610,336,23,6.908755,1,276.347609,37.941938,2154.827727,-0.002098,-0.021052
200611,345,23,6.908755,1,283.256363,40.735811,2195.563538,-0.002109,-0.023679
200612,337,23,6.907368,1,290.163731,13.487518,2209.051056,-0.002457,-0.023900
200701,333,23,6.908755,1,297.072486,31.484738,2240.535794,-0.002650,-0.025568
200702,310,21,6.908753,1,303.981239,20.254822,2260.790617,-0.003037,-0.025874
200703,308,21,6.908755,1,310.889994,23.452334,2284.242950,-0.003588,-0.022918
200704,320,22,6.908754,1,317.798748,21.272796,2305.515746,-0.003509,-0.021419
200705,322,22,6.908755,1,324.707503,24.287769,2329.803515,-0.003301,-0.019470
200706,321,22,6.908755,1,331.616257,25.135904,2354.939419,-0.003099,-0.018227
200707,317,22,6.908753,1,338.525010,19.961659,2374.901077,-0.003768,-0.018765
200708,313,21,6.908755,1,345.433765,32.261619,2407.162697,-0.004348,-0.021441
200709,317,22,6.908755,1,352.342520,58.736927,2465.899624,-0.005103,-0.021890
200710,339,23,6.908755,1,359.251274,97.419772,2563.319396,-0.005170,-0.020672
200711,333,23,6.908755,1,366.160029,171.248959,2734.568355,-0.005312,-0.016444
200712,349,24,6.908755,1,373.068784,133.740024,2868.308379,-0.004157,-0.011342
200801,348,24,6.908755,1,379.977539,202.308208,3070.616587,-0.003500,-0.008627
200802,352,24,6.908755,1,386.886293,203.183590,3273.800177,-0.002858,-0.006173
200803,356,24,6.908755,1,393.795048,445.938780,3719.738957,-0.002414,-0.005977
200804,360,24,6.908755,1,400.703803,323.369364,4043.108322,-0.001703,-0.007187
200805,371,25,6.908755,1,407.612558,295.745547,4338.853869,-0.001746,-0.006239
200806,393,27,6.908755,1,414.521313,487.807353,4826.661222,-0.001352,-0.006147
200807,403,27,6.908755,1,421.430067,672.660166,5499.321388,-0.000024,-0.000574
200808,401,27,6.908755,1,428.338822,596.636856,6095.958244,0.001770,0.003462
200809,391,27,6.908755,1,435.247577,612.039181,6707.997425,0.006778,0.010749
200810,391,27,6.908755,1,442.156332,326.272700,7034.270125,0.009404,0.009725
200811,399,27,6.908755,1,449.065086,507.691550,7541.961675,0.012186,0.013826
200812,463,31,6.908755,1,455.973841,428.108302,7970.069977,0.017454,0.016564
200901,442,30,6.908755,1,462.882596,509.377148,8479.447125,0.021564,0.019757
200902,448,30,6.908755,1,469.791351,521.330466,9000.777590,0.023764,0.016255
200903,456,31,6.908755,1,476.700106,404.875814,9405.653405,0.027542,0.013154
200904,454,31,6.908755,1,483.608860,318.151304,9723.804709,0.038278,0.024938
200905,463,31,6.908755,1,490.517615,130.707404,9854.512113,0.029612,0.012017
200906,483,33,6.908755,1,497.426370,133.396497,9987.908610,0.032265,0.010562
200907,496,34,6.908755,1,504.335125,97.503627,10085.412237,0.036490,0.011192
200908,507,34,6.908755,1,511.243879,90.732189,10176.144426,0.039988,0.010430
200909,516,35,6.908755,1,518.152634,59.909544,10236.053969,0.042524,0.009427
200910,514,35,6.908755,1,525.061389,47.735760,10283.789729,0.049352,0.011326
200911,510,34,6.908755,1,531.970144,57.192119,10340.981849,0.050039,0.011035
200912,527,36,6.908755,1,538.878899,31.275143,10372.256992,0.051802,0.009509
201001,530,36,6.908755,1,545.787653,60.286105,10432.543097,0.045532,0.006695
201002,538,36,6.908755,1,552.696408,106.818028,10539.361126,0.045991,0.006339
201003,533,36,6.908755,1,559.605163,102.873104,10642.234229,0.045123,0.006073
201004,540,36,6.908755,1,566.513918,169.393501,10811.627731,0.031824,0.005805
201005,535,36,6.908755,1,573.422672,267.222018,11078.849749,0.032931,0.005265
201006,537,36,6.908755,1,580.331427,360.329448,11439.179196,0.032074,0.005184
201007,559,38,6.908755,1,587.240182,269.879158,11709.058354,0.031823,0.004677
201008,556,38,6.908755,1,594.148937,406.980737,12116.039091,0.030540,0.005114
201009,572,39,6.908755,1,601.057692,405.700769,12521.739860,0.029646,0.005352
201010,584,39,6.908755,1,607.966446,285.310225,12807.050085,0.029162,0.005613
201011,597,40,6.908755,1,614.875201,429.615176,13236.665261,0.029028,0.005701
201012,607,41,6.908755,1,621.783956,321.344581,13558.009843,0.028665,0.005794
201101,606,41,6.908755,1,628.692711,324.293288,13882.303131,0.028841,0.006091
201102,615,41,6.908755,1,635.601465,283.179191,14165.482322,0.028267,0.005922
