date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,52,4,6.475662,1,6.475662,7.520210,7.520210,0.040229,-0.044265
200308,52,4,-12.304630,50,-5.828967,-12.305629,-4.785419,0.040229,-0.044265
200309,51,4,-1.461449,227,-7.290416,-1.462217,-6.247636,0.037109,-0.054331
200310,59,4,3.121865,7,-4.168551,3.143793,-3.103843,0.035396,-0.043081
200311,59,4,1.720784,20,-2.447767,1.725383,-1.378460,0.035396,-0.043081
200312,61,5,3.567600,3,1.119833,3.602638,2.224178,0.035396,-0.043081
200401,64,5,4.335817,3,5.455649,4.414197,6.638375,0.034381,-0.037675
200402,66,5,-2.426341,221,3.029308,-2.427252,4.211123,0.035558,-0.034688
200403,65,5,3.884274,3,6.913583,3.933078,8.144201,0.035558,-0.034688
200404,65,5,-0.660875,108,6.252708,-0.661358,7.482842,0.035558,-0.034688
200405,65,5,-11.280561,653,-5.027853,-11.281561,-3.798718,0.035330,-0.031245
200406,69,5,3.170923,10,-1.856931,3.194017,-0.604702,0.035448,-0.026831
200407,66,5,2.529350,9,0.672419,2.540962,1.936261,0.035448,-0.026831
200408,64,5,1.243892,56,1.916311,1.246364,3.182625,0.036014,-0.023125
200409,67,5,-0.336589,191,1.579723,-0.336874,2.845751,0.036470,-0.008628
200410,66,5,1.532927,24,3.112649,1.536565,4.382316,0.029943,0.006115
200411,67,5,1.821054,28,4.933703,1.826246,6.208562,0.029383,0.021755
200412,67,5,3.498513,5,8.432216,3.531104,9.739666,0.028222,0.031440
200501,67,5,2.807303,6,11.239519,2.822991,12.562657,0.026709,0.036492
200502,82,6,4.529799,2,15.769318,4.626023,17.188680,0.030266,0.052529
200503,83,6,0.949302,47,16.718620,0.950887,18.139567,0.030730,0.053676
200504,84,6,2.291037,16,19.009656,2.299962,20.439528,0.030787,0.051850
200505,85,6,6.842749,1,25.852406,9.592589,30.032117,0.022982,0.028454
200506,88,6,-3.020832,81,22.831573,-3.021783,27.010334,0.022820,0.024802
200507,88,6,-6.454084,246,16.377489,-6.455082,20.555252,0.022848,0.030255
200508,90,6,4.346558,2,20.724047,4.425831,24.981083,0.020216,0.026688
200509,95,7,-8.253957,176,12.470090,-8.254957,16.726126,0.018815,0.027842
200510,89,6,-8.426267,184,4.043823,-8.427266,8.298860,0.018628,0.027119
200511,89,6,5.579852,1,9.623675,5.886421,14.185281,0.017991,0.033121
200512,90,6,-4.832096,105,4.791579,-4.833087,9.352194,0.019578,0.028366
200601,94,7,0.386291,35,5.177870,0.386762,9.738956,0.020492,0.030082
200602,97,7,-8.116750,531,-2.938880,-8.117749,1.621207,0.019549,0.023106
