date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,23,2,2.502460,22,2.502460,2.513735,2.513735,0.000000,0.000000
200308,23,2,-0.035461,230,2.466999,-0.035496,2.478240,0.000000,0.000000
200309,24,2,-1.927476,642,0.539523,-1.928330,0.549910,0.000000,0.000000
200310,24,2,-0.505908,536,0.033615,-0.506305,0.043605,0.000000,0.000000
200311,24,2,1.093163,14,1.126778,1.095149,1.138754,0.000000,0.000000
200312,24,2,1.173056,66,2.299834,1.175290,2.314044,0.000000,0.000000
200401,26,2,-1.140936,505,1.158898,-1.141616,1.172428,0.186334,2.009849
200402,27,2,-0.573113,694,0.585785,-0.573549,0.598879,0.154364,0.762017
200403,27,2,-18.541192,368,-17.955407,-18.542192,-17.943313,0.154364,0.762017
200404,25,2,-0.529476,322,-18.484883,-0.529887,-18.473200,0.154364,0.762017
200405,29,2,0.342145,136,-18.142738,0.342553,-18.130647,0.134005,0.769511
200406,31,3,0.443238,208,-17.699500,0.443796,-17.686851,0.131073,0.582908
200407,32,3,0.372447,165,-17.327053,0.372898,-17.313953,0.131073,0.582908
200408,32,3,0.012693,283,-17.314360,0.012706,-17.301247,0.108169,0.642770
200409,31,3,0.859954,127,-16.454406,0.861318,-16.439929,0.116315,0.874617
200410,31,3,0.624975,203,-15.829431,0.625844,-15.814085,0.118106,0.759175
200411,32,3,0.187750,279,-15.641681,0.187956,-15.626129,0.132992,0.555849
200412,32,3,0.583736,118,-15.057945,0.584529,-15.041600,0.162737,0.340860
200501,34,3,0.520534,167,-14.537412,0.521217,-14.520383,0.180927,0.443602
200502,34,3,0.262148,276,-14.275264,0.262448,-14.257935,0.175950,0.417520
200503,33,3,-2.535314,794,-16.810578,-2.536235,-16.794170,0.174664,0.506023
200504,35,3,-3.052807,390,-19.863385,-3.053760,-19.847930,0.188222,0.405016
200505,35,3,-0.492009,365,-20.355395,-0.492398,-20.340328,0.180932,0.478002
200506,35,3,-0.949319,215,-21.304714,-0.949932,-21.290260,0.171706,0.423314
200507,40,3,-1.434512,351,-22.739226,-1.435274,-22.725533,0.156851,0.412816
200508,40,3,-4.233201,413,-26.972428,-4.234186,-26.959720,0.142474,0.399001
200509,40,3,0.218098,190,-26.754329,0.218342,-26.741378,0.120023,0.337679
200510,40,3,-0.132323,219,-26.886652,-0.132447,-26.873825,0.107988,0.242096
200511,42,3,1.114785,73,-25.771867,1.116836,-25.756989,0.095162,0.179535
200512,42,3,0.281549,233,-25.490319,0.281874,-25.475115,0.081544,0.208697
200601,43,3,0.849320,110,-24.640999,0.850658,-24.624456,0.070366,0.143963
200602,44,3,-4.475854,190,-29.116853,-4.476842,-29.101298,0.064538,0.166701
200603,42,3,0.842507,110,-28.274346,0.843830,-28.257468,0.063049,0.160648
200604,42,3,-0.234967,349,-28.509313,-0.235177,-28.492645,0.051301,0.127858
200605,43,3,1.127533,75,-27.381780,1.129624,-27.363021,0.058347,0.182024
200606,42,3,-0.478085,250,-27.859865,-0.478465,-27.841487,0.058533,0.198433
200607,43,3,-4.267018,881,-32.126883,-4.268004,-32.109490,0.062234,0.184162
200608,43,3,-0.075568,357,-32.202451,-0.075640,-32.185131,0.071766,0.163481
200609,43,3,-0.708778,273,-32.911228,-0.709285,-32.894416,0.085489,0.227716
200610,43,3,1.556368,50,-31.354860,1.560117,-31.334299,0.094734,0.383838
200611,44,3,4.910049,2,-26.444811,5.054665,-26.279634,0.108206,0.318658
200612,45,3,-1.129819,270,-27.574631,-1.130496,-27.410129,0.112368,0.380794
200701,44,3,1.514760,44,-26.059870,1.518315,-25.891815,0.116699,0.317563
200702,43,3,-3.072384,297,-29.132255,-3.073337,-28.965152,0.131032,0.307322
200703,43,3,0.824840,91,-28.307415,0.826122,-28.139030,0.144557,0.393080
200704,44,3,0.874959,92,-27.432456,0.876359,-27.262671,0.149017,0.479335
200705,45,3,2.224431,20,-25.208025,2.232713,-25.029957,0.127639,0.361548
200706,44,3,-6.603639,132,-31.811663,-6.604637,-31.634594,0.117149,0.437842
200707,45,3,-2.268367,406,-34.080030,-2.269263,-33.903857,0.114975,0.582724
200708,45,3,-7.181083,234,-41.261114,-7.182082,-41.085940,0.112841,0.629605
200709,48,4,-8.322050,123,-49.583164,-8.323049,-49.408989,0.114140,0.635967
200710,49,4,6.733617,1,-42.849547,8.561090,-40.847899,0.111722,0.683948
200711,51,4,-10.140157,242,-52.989704,-10.141156,-50.989055,0.098574,0.693120
200712,50,4,2.564900,14,-50.424804,2.576972,-48.412084,0.105123,0.531464
200801,50,4,-0.864131,46,-51.288935,-0.864709,-49.276793,0.096676,0.568368
200802,51,4,6.906305,1,-44.382629,12.918420,-36.358373,0.086838,0.397415
200803,52,4,6.908755,1,-37.473875,22.307036,-14.051336,0.079819,0.396541
200804,51,4,6.908736,1,-30.565138,17.804035,3.752699,0.073756,0.360048
200805,51,4,6.762708,1,-23.802430,8.757672,12.510371,0.070463,0.299851
200806,52,4,6.781084,1,-17.021346,8.901545,21.411916,0.064427,0.152536
200807,52,4,-0.721146,6,-17.742492,-0.721660,20.690255,0.079620,0.278681
200808,54,4,-9.527010,12,-27.269503,-9.528010,11.162246,0.068212,0.284510
200809,54,4,-18.447651,29,-45.717154,-18.448651,-7.286405,0.061237,0.362505
200810,52,4,6.908755,1,-38.808399,77.033899,69.747494,0.072306,0.212173
200811,52,4,6.908755,1,-31.899644,77.810849,147.558344,0.061480,0.225687
200812,52,4,6.908623,1,-24.991021,15.844883,163.403227,0.068953,0.131287
200901,55,4,6.908755,1,-18.082266,34.519579,197.922806,0.095570,0.206910
200902,56,4,6.908755,1,-11.173512,31.500480,229.423286,0.118850,0.264817
200903,17,2,-0.654294,204,-11.827806,-0.654774,228.768511,0.165506,0.012297
200904,20,2,0.540372,90,-11.287434,0.541089,229.309600,0.186495,-0.079961
200905,19,2,-5.994383,509,-17.281816,-5.995380,223.314220,0.221167,-0.059665
200906,19,2,0.146675,352,-17.135141,0.146833,223.461054,0.238834,0.127918
200907,22,2,-0.044341,414,-17.179483,-0.044385,223.416669,0.250895,0.188636
200908,22,2,0.085811,204,-17.093671,0.085901,223.502570,0.260242,0.250214
200909,22,2,-0.047069,365,-17.140740,-0.047115,223.455455,0.257047,0.289778
200910,17,2,6.880205,1,-10.260535,10.449545,233.905000,0.417179,-0.132437
200911,18,2,6.908525,1,-3.352011,15.285094,249.190094,0.533319,-0.261833
200912,18,2,6.903371,1,3.551360,12.129348,261.319441,0.558840,-0.180750
201001,17,2,6.859117,1,10.410477,9.885841,271.205282,0.508720,-0.082732
201002,9,2,-0.113703,533,10.296774,-0.113810,271.091472,0.499449,0.008639
