date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,84,6,6.275327,1,6.275327,7.030988,7.030988,0.000550,-0.001868
200308,86,6,6.899853,1,13.175180,11.624759,18.655748,0.000550,-0.001868
200309,91,7,6.908753,1,20.083933,20.368646,39.024394,0.000575,-0.001953
200310,94,7,5.959081,1,26.043014,6.447255,45.471648,0.000642,-0.002139
200311,95,7,-0.576437,30,25.466576,-0.576875,44.894773,0.000642,-0.002139
200312,92,7,0.342217,44,25.808793,0.342625,45.237398,0.000642,-0.002139
200401,102,7,-2.042556,251,23.766238,-2.043426,43.193972,0.000771,-0.001738
200402,97,7,4.988142,2,28.754380,5.145573,48.339545,0.000819,-0.001591
200403,100,7,6.908061,1,35.662441,14.180518,62.520064,0.000819,-0.001591
200404,99,7,-2.453582,2,33.208859,-2.454495,60.065568,0.000819,-0.001591
200405,101,7,6.783510,1,39.992369,8.921962,68.987530,0.000890,-0.001313
200406,99,7,4.480830,2,44.473199,4.572187,73.559717,0.000924,-0.001246
200407,104,7,6.908754,1,51.381953,21.197729,94.757446,0.000924,-0.001246
200408,102,7,2.838105,6,54.220058,2.854319,97.611765,0.000981,-0.001063
200409,105,7,-1.267129,15,52.952929,-1.267847,96.343918,0.001138,-0.000869
200410,102,7,0.280234,29,53.233163,0.280557,96.624476,0.001203,-0.000617
200411,103,7,-0.501491,46,52.731672,-0.501886,96.122590,0.003198,0.000018
200412,110,8,0.322881,20,53.054553,0.323263,96.445853,0.035744,0.020351
200501,109,8,6.763607,1,59.818161,8.764308,105.210161,0.033644,0.018356
200502,109,8,5.287374,3,65.105534,5.506554,110.716715,0.031550,0.016776
200503,106,8,0.335522,63,65.441056,0.335921,111.052635,0.027294,0.012134
200504,95,7,3.790358,6,69.231414,3.834595,114.887230,0.020269,0.012057
200505,92,7,-0.725920,39,68.505495,-0.726435,114.160795,0.018715,0.011559
200506,99,7,3.440689,5,71.946184,3.471363,117.632158,0.014527,0.006680
200507,101,7,4.413704,2,76.359887,4.498798,122.130956,0.013651,0.006750
200508,100,7,5.332428,2,81.692315,5.563024,127.693980,0.010438,0.003997
200509,97,7,3.528587,10,85.220902,3.562222,131.256201,0.000042,0.001956
200510,99,7,4.121715,2,89.342617,4.184298,135.440500,-0.000114,0.002055
200511,98,7,6.731130,1,96.073747,8.545713,143.986212,0.000086,0.002260
200512,113,8,6.908755,1,102.982502,22.794796,166.781009,0.000202,0.002378
200601,112,8,6.904643,1,109.887145,12.399493,179.180502,0.000394,0.002549
200602,112,8,6.908748,1,116.795893,18.799829,197.980331,0.000610,0.002768
200603,114,8,2.041310,5,118.837202,2.048033,200.028364,0.000797,0.003027
200604,111,8,2.839396,9,121.676598,2.855632,202.883996,0.000821,0.003228
200605,114,8,6.564239,1,128.240837,7.796173,210.680169,0.000655,0.003100
200606,121,9,-3.718262,57,124.522576,-3.719237,206.960932,0.000599,0.002996
200607,118,8,6.908754,1,131.431330,21.064106,228.025038,0.000536,0.002886
200608,119,8,6.908745,1,138.340075,18.417562,246.442600,0.000471,0.002596
200609,122,9,6.908754,1,145.248829,21.589011,268.031610,0.000622,0.002484
200610,133,9,6.908755,1,152.157584,28.321675,296.353285,0.000770,0.002634
200611,119,8,5.121865,2,157.279449,5.304164,301.657449,0.000940,0.002604
200612,119,8,-0.956122,9,156.323327,-0.956737,300.700712,0.001192,0.002007
200701,115,8,6.501172,1,162.824499,7.594563,308.295275,0.001292,0.002330
200702,109,8,5.900681,2,168.725180,6.353687,314.648962,0.001415,0.002240
200703,100,7,6.908048,1,175.633228,14.162041,328.811004,0.001290,0.001821
200704,110,8,6.908738,1,182.541966,17.919194,346.730198,0.001245,0.001365
200705,105,7,6.907080,1,189.449046,13.298855,360.029053,0.001350,0.001447
200706,98,7,6.908434,1,196.357480,14.953736,374.982789,0.001365,0.001345
200707,94,7,6.905652,1,203.263132,12.681644,387.664433,0.001506,0.001669
200708,89,6,6.908691,1,210.171823,16.563769,404.228202,0.001789,0.001613
200709,85,6,6.908754,1,217.080577,20.928676,425.156879,0.002086,0.001650
200710,74,5,1.810148,15,218.890725,1.815273,426.972151,0.002055,0.001261
200711,72,5,-6.809780,15,212.080945,-6.810778,420.161373,0.001758,0.000963
200712,68,5,6.908106,1,218.989052,14.248148,434.409521,0.001358,-0.000392
200801,67,5,5.572982,1,224.562033,5.877088,440.286609,0.001023,-0.000400
200802,68,5,6.908405,1,231.470438,14.864449,455.151058,0.000728,0.000027
200803,46,4,3.596800,7,235.067238,3.632926,458.783984,0.000707,-0.000044
200804,48,4,6.906210,1,241.973448,12.880296,471.664280,0.000663,-0.000059
200805,51,4,6.026551,1,247.999999,6.559765,478.224045,0.000605,0.000154
200806,36,3,0.053824,106,248.053823,0.053879,478.277924,0.000606,0.000189
200807,35,3,-1.540581,291,246.513242,-1.541366,476.736557,0.000554,0.000191
200808,36,3,-5.251958,424,241.261284,-5.252952,471.483605,0.000378,-0.000071
200809,36,3,4.407842,4,245.669126,4.492412,475.976017,0.000199,-0.000912
200810,33,3,2.836141,7,248.505267,2.852321,478.828338,0.000189,-0.000995
200811,33,3,2.061641,16,250.566908,2.068524,480.896861,0.000132,-0.001458
200812,30,2,1.508738,19,252.075646,1.512265,482.409127,0.000401,-0.000426
200901,30,2,4.034376,2,256.110022,4.091484,486.500610,0.000766,0.000353
200902,31,3,5.233130,1,261.343152,5.439390,491.940000,0.001113,0.000641
200903,31,3,3.539617,6,264.882770,3.573643,495.513644,0.001544,0.001750
200904,32,3,2.717291,10,267.600060,2.731531,498.245174,0.002313,0.003119
200905,31,3,1.531641,43,269.131702,1.535274,499.780448,0.004159,0.005131
200906,31,3,-0.640539,372,268.491162,-0.641012,499.139436,0.080418,0.082413
200907,32,3,1.117961,92,269.609123,1.120021,500.259457,0.105703,0.057155
200908,35,3,0.455472,160,270.064595,0.456049,500.715507,0.111683,0.055988
200909,36,3,0.784086,86,270.848681,0.785277,501.500784,0.090237,0.022531
200910,36,3,4.476523,1,275.325205,4.567464,506.068248,0.047770,0.003243
200911,39,3,2.731363,5,278.056568,2.745821,508.814069,0.056446,-0.017178
200912,46,4,-1.808867,137,276.247701,-1.809703,507.004366,0.051131,-0.013392
201001,51,4,-6.212876,602,270.034825,-6.213873,500.790493,0.070425,-0.017163
201002,54,4,-0.698842,96,269.335983,-0.699345,500.091148,0.089400,-0.007284
