date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,129,9,6.908755,1,6.908755,32.692155,32.692155,0.332058,0.061046
200308,135,9,6.908755,1,13.817510,32.981255,65.673410,0.332058,0.061046
200309,139,10,6.908755,1,20.726264,81.828869,147.502278,0.327528,0.052594
200310,141,10,6.908755,1,27.635019,25.481116,172.983394,0.319404,0.052484
200311,144,10,6.908755,1,34.543774,43.585868,216.569262,0.319404,0.052484
200312,144,10,6.908755,1,41.452529,28.657648,245.226910,0.319404,0.052484
200401,133,9,6.908755,1,48.361283,34.456229,279.683139,0.306436,0.053338
200402,134,9,6.908755,1,55.270038,39.336482,319.019621,0.276305,0.047135
200403,131,9,6.908755,1,62.178793,24.072214,343.091835,0.276305,0.047135
200404,127,9,6.854434,1,69.033227,9.793327,352.885162,0.276305,0.047135
200405,131,9,5.908068,2,74.941295,6.365344,359.250506,0.262572,0.028074
200406,137,10,0.984555,3,75.925850,0.986233,360.236739,0.257567,0.020997
200407,143,10,0.009637,20,75.935487,0.009647,360.246385,0.257567,0.020997
200408,144,10,6.908755,1,82.844242,29.142779,389.389165,0.252374,0.014864
200409,146,10,6.908690,1,89.752932,16.545968,405.935132,0.255255,0.020597
200410,152,11,6.908755,1,96.661686,24.357896,430.293028,0.235406,0.007993
200411,157,11,-12.907880,85,83.753806,-12.908879,417.384149,0.208365,0.000975
200412,153,11,6.338402,1,90.092209,7.170562,424.554711,0.198878,-0.006176
200501,153,11,2.340457,6,92.432666,2.349888,426.904599,0.183676,-0.003548
200502,158,11,6.903281,1,99.335947,12.112728,439.017327,0.165826,-0.023283
200503,160,11,2.772192,2,102.108139,2.787299,441.804626,0.154820,-0.039640
200504,173,12,1.546178,3,103.654317,1.549879,443.354505,0.143171,-0.067857
200505,182,13,6.908755,1,110.563072,59.891637,503.246141,0.145638,-0.084677
200506,176,12,6.908755,1,117.471827,162.500337,665.746478,0.138565,-0.103038
200507,177,12,6.908755,1,124.380581,161.614342,827.360821,0.125666,-0.107309
200508,174,12,6.908755,1,131.289336,162.498676,989.859496,0.111661,-0.118713
200509,181,13,6.908755,1,138.198091,209.776097,1199.635593,0.093947,-0.121975
200510,182,13,6.908755,1,145.106846,185.231226,1384.866819,0.091615,-0.118964
200511,183,13,6.908755,1,152.015600,204.538867,1589.405686,0.093553,-0.098545
200512,151,11,6.908755,1,158.924355,159.851493,1749.257179,0.088607,-0.066952
200601,150,10,6.908755,1,165.833110,61.282019,1810.539198,0.090701,-0.046160
200602,154,11,6.908755,1,172.741865,47.417830,1857.957029,0.097222,-0.018394
200603,151,11,6.908754,1,179.650618,20.515237,1878.472266,0.092862,0.015239
200604,146,10,6.908755,1,186.559373,23.298509,1901.770775,0.103755,0.037912
200605,140,10,6.904945,1,193.464318,12.476061,1914.246836,0.110076,0.047762
200606,130,9,-0.547642,17,192.916676,-0.548064,1913.698772,0.095185,0.052659
200607,129,9,-19.394101,166,173.522575,-19.395100,1894.303672,0.099006,0.055952
200608,128,9,6.908739,1,180.431314,17.943527,1912.247199,0.097862,0.062724
200609,130,9,6.908755,1,187.340069,47.637016,1959.884215,0.099207,0.066075
200610,131,9,6.908197,1,194.248266,14.399175,1974.283391,0.099922,0.068779
200611,144,10,-40.830583,290,153.417683,-40.831582,1933.451809,0.113895,0.070547
200612,139,10,6.908750,1,160.326434,19.265758,1952.717567,0.134872,0.070602
200701,144,10,6.908745,1,167.235178,18.403190,1971.120757,0.151125,0.069996
200702,148,10,6.908754,1,174.143932,20.980575,1992.101332,0.149372,0.071433
200703,148,10,6.908755,1,181.052687,39.879862,2031.981195,0.154782,0.071620
200704,125,9,6.908625,1,187.961313,15.860148,2047.841343,0.154680,0.071206
200705,122,9,2.112299,7,190.073612,2.119593,2049.960936,0.156173,0.074428
200706,125,9,-16.364741,285,173.708871,-16.365741,2033.595195,0.159298,0.071005
200707,118,8,4.517492,2,178.226362,4.612468,2038.207663,0.163683,0.073207
200708,116,8,-4.676544,33,173.549818,-4.677534,2033.530129,0.170521,0.073605
200709,120,8,1.565660,3,175.115478,1.569453,2035.099582,0.176435,0.074948
200710,110,8,6.908549,1,182.024027,15.394017,2050.493598,0.182559,0.068238
200711,102,7,6.908755,1,188.932782,24.337953,2074.831551,0.179693,0.073392
200712,96,7,6.908754,1,195.841536,21.186550,2096.018101,0.168976,0.078102
200801,93,7,6.908755,1,202.750291,32.323554,2128.341656,0.153179,0.082035
200802,93,7,6.908755,1,209.659045,26.569799,2154.911454,0.157545,0.082314
200803,113,8,6.904679,1,216.563724,12.408390,2167.319845,0.145373,0.078209
200804,112,8,6.908754,1,223.472479,21.633728,2188.953573,0.140655,0.089748
200805,104,7,6.904832,1,230.377310,12.446640,2201.400212,0.133210,0.105453
200806,103,7,6.778663,1,237.155973,8.881519,2210.281731,0.182417,0.115008
200807,96,7,-5.574666,97,231.581307,-5.575662,2204.706070,0.187403,0.078445
200808,96,7,-2.372775,34,229.208533,-2.373681,2202.332389,0.205316,0.079319
200809,95,7,-5.594419,17,223.614114,-5.595415,2196.736974,0.187474,0.074057
200810,96,7,-75.677785,293,147.936328,-75.678785,2121.058189,0.176863,0.102554
200811,93,7,2.027308,2,149.963636,2.033923,2123.092112,0.171201,0.119097
200812,92,7,6.908753,1,156.872389,20.294404,2143.386517,0.182009,0.132596
200901,92,7,6.908753,1,163.781142,19.985889,2163.372406,0.191837,0.138121
200902,94,7,6.908755,1,170.689896,22.194437,2185.566843,0.204781,0.167911
200903,98,7,6.908755,1,177.598651,33.530537,2219.097379,0.225682,0.203773
200904,110,8,6.907688,1,184.506339,13.750162,2232.847541,0.224266,0.223084
200905,107,8,6.870131,1,191.376470,10.142266,2242.989807,0.213920,0.226024
200906,110,8,3.693388,5,195.069858,3.733357,2246.723165,0.228673,0.278206
200907,113,8,-0.248500,13,194.821358,-0.248720,2246.474445,0.241913,0.325143
200908,110,8,6.908002,1,201.729360,14.098943,2260.573388,0.218657,0.300051
200909,118,8,6.908747,1,208.638107,18.638977,2279.212365,0.233098,0.324590
200910,117,8,6.903391,1,215.541498,12.133167,2291.345532,0.248559,0.330531
200911,118,8,6.908736,1,222.450234,17.794187,2309.139719,0.283205,0.295771
200912,112,8,1.649559,20,224.099793,1.653772,2310.793491,0.314523,0.227577
201001,114,8,6.731478,1,230.831271,8.547850,2319.341340,0.338999,0.147795
201002,117,8,4.389903,3,235.221173,4.472885,2323.814225,0.353348,0.108377
201003,125,9,6.908716,1,242.129889,17.067866,2340.882091,0.379707,0.105528
201004,123,9,6.908755,1,249.038644,26.389763,2367.271854,0.361200,0.074807
201005,127,9,6.908755,1,255.947399,22.723966,2389.995820,0.123369,0.017778
201006,130,9,0.285489,2,256.232888,0.285820,2390.281640,0.085799,0.023471
201007,135,9,6.908754,1,263.141642,20.672791,2410.954431,0.069869,0.021856
201008,134,9,6.908754,1,270.050396,21.920369,2432.874800,0.070287,0.026162
201009,143,10,6.904713,1,276.955109,12.416794,2445.291594,0.072668,0.026811
201010,142,10,-7.678397,8,269.276712,-7.679396,2437.612198,0.074310,0.025295
201011,150,10,6.904753,1,276.181466,12.426862,2450.039060,0.073912,0.023234
201012,155,11,-3.613296,13,272.568170,-3.614268,2446.424792,0.068812,0.021637
201101,155,11,-0.701648,2,271.866522,-0.702152,2445.722640,0.060113,0.021710
201102,166,12,-8.153031,86,263.713491,-8.154031,2437.568609,0.052964,0.023624
201103,177,12,6.743878,1,270.457369,8.626744,2446.195353,0.043880,0.027585
201104,184,13,6.908755,1,277.366124,23.287555,2469.482908,0.036043,0.027959
201105,183,13,6.908752,1,284.274875,19.613041,2489.095949,0.062080,0.036326
201106,189,13,6.908749,1,291.183625,19.004075,2508.100025,0.098844,0.037989
201107,210,14,6.908755,1,298.092379,34.604671,2542.704696,0.190031,0.006099
201108,209,14,6.908755,1,305.001134,22.925231,2565.629927,0.185329,0.001459
201109,212,15,6.908755,1,311.909889,30.315019,2595.944945,0.181130,0.014854
201110,209,14,6.908755,1,318.818644,40.603269,2636.548215,0.022996,0.014243
201111,214,15,6.908755,1,325.727398,50.446540,2686.994755,0.015601,0.009902
201112,216,15,6.908755,1,332.636153,40.033292,2727.028046,0.017354,0.009823
201201,220,15,6.908755,1,339.544908,37.898875,2764.926921,0.018655,0.010854
201202,217,15,6.908755,1,346.453663,44.222820,2809.149742,0.019312,0.010717
201203,210,14,6.908755,1,353.362417,27.548158,2836.697900,0.019527,0.009718
201204,209,14,6.908755,1,360.271172,56.727187,2893.425087,0.019077,0.009444
201205,206,14,6.908755,1,367.179927,52.838414,2946.263501,0.018543,0.009284
201206,215,15,6.908755,1,374.088682,80.900410,3027.163910,0.018564,0.009641
201207,215,15,6.908755,1,380.997437,101.073417,3128.237327,0.018594,0.009677
201208,225,15,6.908755,1,387.906191,76.622620,3204.859947,0.018581,0.010553
201209,239,16,6.908755,1,394.814946,82.812146,3287.672094,0.019543,0.011576
201210,235,16,6.908755,1,401.723701,89.488781,3377.160875,0.027530,0.016297
201211,242,17,6.908755,1,408.632456,101.901675,3479.062550,0.044818,0.020368
201212,240,16,6.908755,1,415.541210,113.631065,3592.693614,0.071558,0.037609
201301,239,16,6.908755,1,422.449965,62.088940,3654.782555,0.079051,0.046968
201302,251,17,6.908755,1,429.358720,70.689035,3725.471589,0.080745,0.051505
201303,245,17,6.908755,1,436.267475,67.373046,3792.844635,0.081905,0.057567
201304,240,16,6.908755,1,443.176230,122.395484,3915.240118,0.086203,0.064721
201305,244,17,6.908755,1,450.084984,59.135936,3974.376055,0.091267,0.071716
201306,250,17,6.908755,1,456.993739,77.160727,4051.536781,0.092361,0.074821
201307,255,17,6.908755,1,463.902494,84.686714,4136.223495,0.092593,0.079270
201308,264,18,6.908755,1,470.811249,131.734252,4267.957747,0.092271,0.083498
201309,248,17,6.901548,1,477.712796,11.836842,4279.794589,0.087399,0.084499
201310,254,17,6.908511,1,484.621308,15.227577,4295.022165,0.082636,0.084270
201311,257,18,6.908755,1,491.530062,35.231356,4330.253521,0.081374,0.094455
201312,254,17,6.908755,1,498.438817,40.548119,4370.801640,0.077669,0.102753
201401,254,17,6.908755,1,505.347572,71.182243,4441.983884,0.058501,0.115245
201402,255,17,6.908755,1,512.256327,50.936421,4492.920304,0.043698,0.131541
201403,254,17,6.908755,1,519.165081,27.708336,4520.628641,0.019717,0.147651
201404,255,17,6.908755,1,526.073836,27.639227,4548.267867,-0.007513,0.143267
201405,272,19,6.908755,1,532.982591,71.500003,4619.767870,-0.029501,0.128114
201406,277,19,6.908755,1,539.891346,107.094563,4726.862433,-0.040373,0.116805
201407,274,19,6.908755,1,546.800101,84.954377,4811.816810,-0.048821,0.108399
201408,279,19,6.908755,1,553.708855,72.176579,4883.993389,-0.062890,0.091549
201409,273,19,6.908755,1,560.617610,95.548476,4979.541864,-0.055310,0.093592
201410,274,19,6.908755,1,567.526365,109.491856,5089.033721,-0.046649,0.093618
201411,281,19,6.908755,1,574.435120,130.473315,5219.507036,-0.039672,0.089607
201412,283,19,6.908755,1,581.343875,89.315375,5308.822411,-0.033458,0.086793
201501,293,20,6.908755,1,588.252629,179.384188,5488.206599,-0.029817,0.088001
201502,287,20,6.908755,1,595.161384,152.266377,5640.472976,-0.027207,0.087401
201503,287,20,6.908755,1,602.070139,169.170121,5809.643097,-0.021414,0.082507
201504,297,20,6.908755,1,608.978894,116.880020,5926.523118,-0.014612,0.070203
