date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,410,28,6.908755,1,6.908755,130.950397,130.950397,0.173931,0.016849
200308,413,28,6.908755,1,13.817510,138.443503,269.393900,0.173931,0.016849
200309,418,28,6.908755,1,20.726264,136.232082,405.625982,0.157872,0.010019
200310,398,27,6.908755,1,27.635019,151.614856,557.240838,0.148776,-0.002369
200311,402,27,6.908755,1,34.543774,193.105275,750.346112,0.148776,-0.002369
200312,406,28,6.908755,1,41.452529,164.974966,915.321078,0.148776,-0.002369
200401,405,27,6.908755,1,48.361283,153.071667,1068.392745,0.151935,0.006462
200402,408,28,6.908755,1,55.270038,155.546982,1223.939727,0.137782,0.001843
200403,401,27,6.908755,1,62.178793,129.520998,1353.460725,0.137782,0.001843
200404,403,27,6.908755,1,69.087548,198.615911,1552.076637,0.137782,0.001843
200405,402,27,6.908755,1,75.996303,223.369801,1775.446437,0.133455,-0.004153
200406,402,27,6.908755,1,82.905057,178.924106,1954.370544,0.130278,-0.003840
200407,397,27,6.908755,1,89.813812,198.970974,2153.341517,0.130278,-0.003840
200408,396,27,6.908755,1,96.722567,197.281427,2350.622944,0.126905,-0.002009
200409,403,27,6.908755,1,103.631322,189.994004,2540.616948,0.120290,-0.004688
200410,399,27,6.908755,1,110.540076,145.316020,2685.932967,0.113921,-0.000306
200411,397,27,6.908755,1,117.448831,118.328457,2804.261425,0.099553,-0.002101
200412,387,26,6.908755,1,124.357586,104.768415,2909.029840,0.095095,0.007125
200501,387,26,6.908755,1,131.266341,109.148070,3018.177910,0.089869,0.010754
200502,387,26,6.908755,1,138.175096,72.109860,3090.287770,0.086468,0.017447
200503,370,25,6.908755,1,145.083850,117.352575,3207.640345,0.081558,0.021816
200504,359,24,6.908755,1,151.992605,70.174394,3277.814740,0.067660,0.019549
200505,354,24,6.908755,1,158.901360,85.030577,3362.845316,0.061921,0.033501
200506,345,23,6.908755,1,165.810115,70.217092,3433.062408,0.056214,0.034973
200507,348,24,6.908755,1,172.718869,57.758869,3490.821278,0.050036,0.041970
200508,350,24,6.908755,1,179.627624,47.462020,3538.283297,0.045089,0.042916
200509,347,24,6.908755,1,186.536379,58.285588,3596.568885,0.040264,0.049420
200510,349,24,6.908755,1,193.445134,61.765196,3658.334081,0.035475,0.055152
