date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,395,27,6.908755,1,6.908755,359.530318,359.530318,0.324927,0.213167
200308,401,27,6.908755,1,13.817510,436.468035,795.998353,0.324927,0.213167
200309,412,28,6.908755,1,20.726264,383.912859,1179.911212,0.302982,0.211251
200310,406,28,6.908755,1,27.635019,352.135398,1532.046610,0.289063,0.208321
200311,416,28,6.908755,1,34.543774,389.758574,1921.805184,0.289063,0.208321
200312,421,29,6.908755,1,41.452529,388.268163,2310.073346,0.289063,0.208321
200401,429,29,6.908755,1,48.361283,407.070046,2717.143392,0.276624,0.213817
200402,426,29,6.908755,1,55.270038,345.332899,3062.476291,0.250329,0.201979
200403,428,29,6.908755,1,62.178793,335.545465,3398.021756,0.250329,0.201979
200404,423,29,6.908755,1,69.087548,362.766405,3760.788161,0.250329,0.201979
200405,423,29,6.908755,1,75.996303,337.037817,4097.825979,0.236163,0.174140
200406,424,29,6.908755,1,82.905057,278.643399,4376.469377,0.216239,0.154379
200407,425,29,6.908755,1,89.813812,287.153429,4663.622806,0.216239,0.154379
200408,428,29,6.908755,1,96.722567,224.675532,4888.298338,0.197555,0.134885
200409,439,30,6.908755,1,103.631322,191.199121,5079.497459,0.176278,0.104828
200410,436,30,6.908755,1,110.540076,152.060239,5231.557698,0.152480,0.104540
200411,444,30,6.908755,1,117.448831,89.414596,5320.972294,0.135678,0.123312
200412,445,30,6.908755,1,124.357586,47.184081,5368.156374,0.119948,0.131963
200501,444,30,6.908755,1,131.266341,46.772556,5414.928930,0.102252,0.138849
200502,443,30,6.908755,1,138.175096,24.887083,5439.816013,0.093226,0.138476
200503,438,30,6.908755,1,145.083850,49.114929,5488.930942,0.083434,0.145231
200504,436,30,6.908755,1,151.992605,28.993657,5517.924599,0.076199,0.147358
200505,431,29,6.908755,1,158.901360,32.906091,5550.830690,0.073658,0.148663
200506,438,30,6.908755,1,165.810115,39.945921,5590.776611,0.067877,0.148739
200507,442,30,6.908755,1,172.718869,22.831272,5613.607883,0.066304,0.150119
200508,439,30,6.908755,1,179.627624,31.391511,5644.999394,0.064253,0.148258
200509,449,30,6.908755,1,186.536379,28.447830,5673.447224,0.064462,0.154512
200510,455,31,6.340742,1,192.877121,7.175953,5680.623178,0.065357,0.164167
200511,455,31,6.908755,1,199.785876,48.254854,5728.878032,0.064514,0.171660
200512,446,30,6.908755,1,206.694631,32.062793,5760.940825,0.064937,0.173285
200601,430,29,6.908755,1,213.603385,74.325202,5835.266027,0.065125,0.172625
200602,434,29,6.908755,1,220.512140,33.947993,5869.214020,0.064198,0.174696
200603,434,29,6.908755,1,227.420895,63.405844,5932.619865,0.062464,0.178114
200604,431,29,6.908755,1,234.329650,72.868025,6005.487890,0.060394,0.173096
200605,433,29,6.908755,1,241.238404,55.092276,6060.580166,0.060389,0.175498
200606,421,29,6.908755,1,248.147159,95.163326,6155.743492,0.063076,0.191622
200607,423,29,6.908755,1,255.055914,44.934501,6200.677993,0.063147,0.194414
200608,414,28,6.908755,1,261.964669,51.859340,6252.537333,0.064245,0.199185
200609,415,28,6.908755,1,268.873424,63.253032,6315.790365,0.063602,0.194130
200610,380,26,6.908755,1,275.782178,53.531118,6369.321483,0.064073,0.199011
200611,389,26,6.908755,1,282.690933,43.335636,6412.657119,0.063612,0.198893
200612,380,26,6.908755,1,289.599688,28.703408,6441.360527,0.063272,0.196258
200701,378,26,6.908755,1,296.508443,56.869412,6498.229939,0.064371,0.211378
200702,356,24,6.908755,1,303.417197,44.119247,6542.349186,0.066222,0.210620
200703,353,24,6.908755,1,310.325952,52.731302,6595.080488,0.068572,0.211118
200704,367,25,6.908755,1,317.234707,55.350793,6650.431281,0.072641,0.222127
200705,371,25,6.908755,1,324.143462,67.638955,6718.070236,0.070311,0.211466
200706,370,25,6.908755,1,331.052217,75.065883,6793.136119,0.069987,0.207182
