date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,54,4,4.009889,3,4.009889,4.065551,4.065551,0.171123,0.205026
200308,54,4,-1.729416,162,2.280473,-1.730238,2.335313,0.171123,0.205026
200309,53,4,5.209403,1,7.489877,5.410278,7.745591,0.160464,0.184241
200310,62,5,5.825949,1,13.315825,6.238412,13.984002,0.161683,0.198212
200311,62,5,6.251692,1,19.567518,6.981276,20.965278,0.161683,0.198212
200312,64,5,6.907652,1,26.475170,13.716953,34.682231,0.161683,0.198212
200401,67,5,6.671397,1,33.146567,8.224918,42.907150,0.152944,0.175744
200402,69,5,5.949259,1,39.095825,6.431284,49.338434,0.145626,0.168461
200403,67,5,6.885488,1,45.981313,10.656825,59.995259,0.145626,0.168461
200404,67,5,-6.936165,195,39.045149,-6.937163,53.058096,0.145626,0.168461
200405,69,5,-9.457408,84,29.587740,-9.458408,43.599688,0.141358,0.166772
200406,73,5,6.721631,1,36.309372,8.488721,52.088409,0.135516,0.164503
200407,71,5,6.894488,1,43.203859,11.150412,63.238821,0.135516,0.164503
200408,69,5,6.862858,1,50.066717,9.966081,73.204902,0.126323,0.132500
200409,72,5,6.895863,1,56.962581,11.252492,84.457394,0.136913,0.155370
200410,71,5,5.588067,2,62.550648,5.897612,90.355005,0.122612,0.144645
200411,72,5,5.707411,1,68.258059,6.064216,96.419221,0.107371,0.124218
200412,72,5,6.441780,1,74.699839,7.426677,103.845898,0.095758,0.083403
200501,72,5,3.509736,4,78.209575,3.542714,107.388612,0.084066,0.091856
200502,87,6,4.245978,3,82.455553,4.317285,111.705896,0.077988,0.077481
200503,88,6,3.655540,5,86.111093,3.693957,115.399854,0.072749,0.069605
200504,89,6,5.568899,1,91.679993,5.871554,121.271408,0.066783,0.043469
200505,90,6,6.310194,1,97.990187,7.106819,128.378226,0.079466,0.041783
200506,93,7,4.935167,2,102.925354,5.083779,133.462005,0.076453,0.017996
200507,93,7,5.845630,2,108.770984,6.268323,139.730328,0.072793,0.028682
200508,95,7,-1.994395,46,106.776589,-1.995259,137.735069,0.070263,-0.002807
200509,100,7,-10.713128,30,96.063461,-10.714127,127.020942,0.058280,-0.031706
200510,94,7,-6.728877,19,89.334584,-6.729876,120.291066,0.058801,-0.058916
200511,94,7,6.903629,1,96.238212,12.178586,132.469652,0.060074,-0.060814
200512,95,7,-13.104883,54,83.133329,-13.105883,119.363769,0.060158,-0.088459
200601,100,7,6.908053,1,90.041381,14.168744,133.532513,0.060890,-0.108961
200602,103,7,6.907983,1,96.949364,14.073967,147.606480,0.060696,-0.101165
200603,101,7,6.906574,1,103.855938,13.034598,160.641078,0.056407,-0.106708
200604,103,7,6.863164,1,110.719102,9.972933,170.614011,0.056349,-0.106758
200605,101,7,0.679777,44,111.398879,0.680751,171.294762,0.040495,-0.078879
200606,130,9,6.904588,1,118.303467,12.386289,183.681051,0.036748,-0.040190
200607,127,9,-7.164972,70,111.138496,-7.165971,176.515080,0.036649,-0.037242
200608,134,9,2.366916,19,113.505412,2.376628,178.891708,0.037270,-0.008565
200609,128,9,2.832734,4,116.338145,2.848855,181.740563,0.038382,0.000652
200610,164,11,6.908749,1,123.246894,18.936155,200.676718,0.038132,0.025188
200611,164,11,6.905194,1,130.152088,12.543795,213.220512,0.032972,0.007266
200612,159,11,6.295493,1,136.447582,7.074466,220.294979,0.032322,0.029851
200701,158,11,6.901210,1,143.348792,11.790879,232.085857,0.036359,0.071249
200702,184,13,6.905089,1,150.253881,12.514669,244.600526,0.033980,0.076981
200703,185,13,6.908755,1,157.162635,26.403125,271.003651,0.034566,0.116966
