date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,24,2,-0.104479,395,-0.104479,-0.104578,-0.104578,0.077616,0.172422
200308,24,2,-1.538165,825,-1.642644,-1.538950,-1.643528,0.077616,0.172422
200309,26,2,-5.003044,854,-6.645687,-5.004036,-6.647564,0.071373,0.168957
200310,26,2,-0.304314,724,-6.950001,-0.304576,-6.952140,0.059760,0.186851
200311,25,2,-1.972621,416,-8.922622,-1.973482,-8.925622,0.059760,0.186851
200312,25,2,0.013261,348,-8.909360,0.013275,-8.912347,0.059760,0.186851
200401,27,2,0.754624,56,-8.154737,0.755751,-8.156596,0.065048,0.207114
200402,28,2,-0.714906,858,-8.869643,-0.715416,-8.872012,0.061858,0.225967
200403,29,2,-8.525281,573,-17.394923,-8.526280,-17.398292,0.061858,0.225967
200404,27,2,0.341689,205,-17.053234,0.342097,-17.056195,0.061858,0.225967
200405,31,3,3.315555,6,-13.737679,3.342451,-13.713744,0.059199,0.253213
200406,33,3,0.554597,155,-13.183082,0.555339,-13.158406,0.054707,0.224552
200407,34,3,-0.516037,423,-13.699119,-0.516440,-13.674846,0.054707,0.224552
200408,34,3,1.371465,55,-12.327655,1.374410,-12.300436,0.047568,0.235743
200409,33,3,1.689465,37,-10.638190,1.693891,-10.606545,0.040397,0.233696
200410,33,3,0.215941,202,-10.422249,0.216182,-10.390363,0.034641,0.187453
200411,34,3,1.994604,4,-8.427645,2.000973,-8.389389,0.039407,0.217800
200412,34,3,1.658862,9,-6.768783,1.663124,-6.726265,0.047668,0.224818
200501,36,3,-5.218708,823,-11.987491,-5.219702,-11.945968,0.045920,0.236611
200502,36,3,0.956916,86,-11.030576,0.958521,-10.987447,0.040797,0.187555
200503,35,3,-0.292455,196,-11.323031,-0.292708,-11.280155,0.042791,0.182536
200504,38,3,-19.420160,282,-30.743191,-19.421160,-30.701315,0.045202,0.153676
200505,38,3,-0.956574,170,-31.699765,-0.957190,-31.658505,0.047445,0.143813
200506,38,3,-0.220056,149,-31.919821,-0.220254,-31.878759,0.043575,0.126226
200507,43,3,-6.807160,855,-38.726981,-6.808158,-38.686917,0.045564,0.129216
200508,43,3,-0.313472,165,-39.040453,-0.313742,-39.000658,0.046071,0.116567
200509,43,3,-1.462486,744,-40.502939,-1.463254,-40.463912,0.045283,0.075788
200510,43,3,-0.990470,304,-41.493409,-0.991099,-41.455011,0.046467,0.074097
200511,45,3,0.577316,152,-40.916093,0.578098,-40.876913,0.046082,0.060678
200512,45,3,-0.922484,454,-41.838577,-0.923086,-41.799999,0.041817,0.081669
200601,46,4,-3.204373,971,-45.042950,-3.205332,-45.005331,0.040876,0.085138
200602,48,4,-3.610207,220,-48.653158,-3.611180,-48.616511,0.042113,0.083909
200603,46,4,-2.497700,562,-51.150857,-2.498617,-51.115128,0.040081,0.086377
200604,46,4,2.243796,14,-48.907061,2.252261,-48.862867,0.034963,0.114080
200605,47,4,-0.908286,249,-49.815348,-0.908883,-49.771751,0.053502,0.090192
200606,47,4,3.746878,4,-46.068470,3.789147,-45.982603,0.057654,0.124568
200607,48,4,1.586264,49,-44.482207,1.590157,-44.392447,0.056671,0.078567
200608,48,4,-1.735842,475,-46.218048,-1.736665,-46.129112,0.057611,0.124230
200609,48,4,-3.788982,598,-50.007031,-3.789959,-49.919071,0.061348,0.141925
200610,48,4,-1.931290,316,-51.938321,-1.932145,-51.851216,0.063017,0.142154
200611,49,4,-0.168435,82,-52.106756,-0.168590,-52.019806,0.061812,0.140988
200612,50,4,0.455010,60,-51.651745,0.455587,-51.564219,0.060403,0.175991
200701,49,4,4.152553,2,-47.499192,4.217194,-47.347025,0.059719,0.156921
200702,48,4,-0.690361,28,-48.189553,-0.690860,-48.037885,0.062937,0.171970
200703,48,4,4.554154,2,-43.635399,4.652899,-43.384985,0.070178,0.208664
