date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,86,6,6.908552,1,6.908552,15.412486,15.412486,0.033097,-0.321746
200308,88,6,6.908578,1,13.817130,15.546652,30.959139,0.033097,-0.321746
200309,94,7,4.009524,2,17.826654,4.065164,35.024303,0.082699,-0.233787
200310,97,7,6.330940,1,24.157594,7.153477,42.177780,0.096684,-0.270864
200311,98,7,6.908748,1,31.066343,18.862144,61.039924,0.096684,-0.270864
200312,96,7,6.908705,1,37.975047,16.810381,77.850306,0.096684,-0.270864
200401,106,8,6.908755,1,44.883802,33.101191,110.951497,0.109422,-0.284009
200402,101,7,6.908753,1,51.792555,20.316436,131.267933,0.142918,-0.247591
200403,106,8,6.905085,1,58.697640,12.513546,143.781479,0.142918,-0.247591
200404,107,8,6.908755,1,65.606395,26.692767,170.474246,0.142918,-0.247591
200405,108,8,6.908745,1,72.515140,18.413158,188.887404,0.158786,-0.242169
200406,106,8,6.908667,1,79.423807,16.251784,205.139188,0.189447,-0.222866
200407,110,8,6.908725,1,86.332532,17.318848,222.458036,0.189447,-0.222866
200408,108,8,6.908754,1,93.241286,21.150565,243.608601,0.198984,-0.224323
200409,111,8,6.908755,1,100.150041,35.309862,278.918463,0.246749,-0.235279
200410,108,8,6.908755,1,107.058795,27.557594,306.476057,0.271358,-0.228735
200411,109,8,6.906350,1,113.965145,12.936701,319.412758,0.296103,-0.181289
200412,116,8,6.905969,1,120.871114,12.789583,332.202342,0.311164,-0.173624
200501,115,8,3.497695,2,124.368809,3.530259,335.732600,0.319547,-0.142501
200502,115,8,-3.245661,11,121.123148,-3.246622,332.485978,0.328350,-0.120415
200503,111,8,-6.649422,4,114.473725,-6.650421,325.835558,0.333615,-0.105576
200504,100,7,-11.540800,17,102.932925,-11.541800,314.293758,0.337174,-0.069145
200505,98,7,-18.548265,24,84.384660,-18.549265,295.744493,0.320979,-0.062821
200506,104,7,-12.263334,54,72.121326,-12.264333,283.480160,0.316521,-0.037649
200507,105,7,-3.711262,16,68.410064,-3.712237,279.767923,0.311186,-0.021689
200508,104,7,1.131862,4,69.541927,1.133966,280.901889,0.318171,-0.004976
200509,101,7,1.190277,10,70.732203,1.192567,282.094456,0.326523,0.010185
200510,103,7,2.441373,3,73.173577,2.451918,284.546374,0.341706,0.033587
200511,101,7,-13.998745,342,59.174832,-13.999744,270.546630,0.349018,0.038883
200512,116,8,-16.782976,424,42.391856,-16.783975,253.762655,0.348699,0.042054
200601,116,8,-7.351832,119,35.040024,-7.352831,246.409823,0.352392,0.044411
200602,116,8,-3.178988,11,31.861036,-3.179946,243.229878,0.350536,0.038780
200603,118,8,-0.594291,31,31.266745,-0.594739,242.635139,0.356902,0.054677
200604,117,8,0.246459,50,31.513205,0.246739,242.881878,0.352835,0.066884
200605,120,8,3.328594,8,34.841799,3.355862,246.237740,0.355151,0.065300
200606,128,9,-0.808806,57,34.032993,-0.809360,245.428379,0.358294,0.070186
200607,125,9,6.908753,1,40.941746,20.192411,265.620790,0.361223,0.046126
200608,127,9,6.908755,1,47.850501,34.902881,300.523671,0.358541,0.037120
200609,130,9,6.908755,1,54.759256,22.187394,322.711065,0.349325,0.039042
200610,141,10,6.908502,1,61.667758,15.191325,337.902391,0.341869,0.033371
200611,127,9,6.908754,1,68.576512,21.569342,359.471733,0.334133,0.042538
200612,127,9,4.607509,3,73.184021,4.712019,364.183752,0.325762,0.043130
200701,123,9,-6.203994,15,66.980027,-6.204992,357.978760,0.322436,0.058873
200702,118,8,0.689912,5,67.669939,0.690906,358.669666,0.313675,0.049372
