date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,137,10,6.826060,1,6.826060,9.358724,9.358724,0.234279,-0.047220
200308,143,10,4.925951,2,11.752011,5.073084,14.431808,0.234279,-0.047220
200309,148,10,6.907408,1,18.659419,13.517125,27.948933,0.255184,-0.036417
200310,150,10,6.826871,1,25.486290,9.368984,37.317917,0.245957,-0.053184
200311,152,11,6.908690,1,32.394980,16.549660,53.867577,0.245957,-0.053184
200312,150,10,5.757723,2,38.152703,6.136975,60.004553,0.245957,-0.053184
200401,139,10,2.905083,8,41.057786,2.922500,62.927053,0.255593,-0.060746
200402,143,10,1.508715,10,42.566501,1.512242,64.439295,0.258233,-0.067968
200403,139,10,6.891390,1,49.457891,10.952398,75.391693,0.258233,-0.067968
200404,135,9,6.905840,1,56.363732,12.744345,88.136037,0.258233,-0.067968
200405,140,10,-3.175565,22,53.188167,-3.176523,84.959514,0.279433,-0.082799
200406,146,10,6.907585,1,60.095752,13.658115,98.617629,0.302312,-0.093830
200407,152,11,6.908755,1,67.004506,24.141006,122.758635,0.302312,-0.093830
200408,153,11,6.908755,1,73.913261,22.654625,145.413260,0.318184,-0.075283
200409,155,11,6.908755,1,80.822016,28.936111,174.349371,0.333117,-0.058613
200410,162,11,6.908755,1,87.730771,23.849881,198.199253,0.332852,-0.058177
200411,167,12,6.908755,1,94.639525,28.301357,226.500609,0.354545,-0.029779
200412,163,11,6.908626,1,101.548151,15.862829,242.363438,0.366487,-0.018358
200501,164,11,6.908700,1,108.456851,16.716780,259.080218,0.360304,0.004500
200502,169,12,6.908740,1,115.365591,18.038238,277.118456,0.346734,0.025746
200503,172,12,3.740468,2,119.106059,3.782455,280.900911,0.349560,0.020064
200504,187,13,-3.401432,20,115.704628,-3.402398,277.498513,0.351426,0.032333
200505,196,14,6.843986,1,122.548613,9.612123,287.110636,0.347799,0.046993
200506,190,13,3.308741,3,125.857354,3.335445,290.446081,0.342341,0.056127
200507,190,13,6.907506,1,132.764860,13.592887,304.038968,0.325017,0.078410
200508,190,13,6.908755,1,139.673615,24.295002,328.333970,0.310973,0.078804
200509,197,14,6.891538,1,146.565153,10.960998,339.294968,0.298514,0.095273
200510,194,13,6.599492,1,153.164645,7.922706,347.217674,0.280238,0.093202
200511,197,14,6.904006,1,160.068651,12.255339,359.473013,0.264178,0.113493
200512,165,11,6.908723,1,166.977374,17.261598,376.734611,0.254752,0.131062
200601,164,11,6.900537,1,173.877911,11.705061,388.439671,0.251067,0.141971
200602,171,12,2.800098,4,176.678009,2.815665,391.255336,0.257207,0.152873
200603,168,12,6.905101,1,183.583110,12.518007,403.773343,0.255354,0.176338
200604,158,11,6.809653,1,190.392763,9.169402,412.942745,0.242885,0.175740
200605,152,11,6.908583,1,197.301346,15.578055,428.520801,0.249355,0.160140
200606,142,10,6.856670,1,204.158016,9.836474,438.357275,0.251433,0.151602
200607,141,10,1.034068,2,205.192084,1.035882,439.393157,0.253781,0.147871
