date,n,B,log_E,rank,log_M,log_E_naive,log_M_naive,map_slope,map_log_slope
200307,442,30,6.908755,1,6.908755,87.170829,87.170829,0.563333,0.088148
200308,444,30,6.908755,1,13.817510,78.581676,165.752505,0.563333,0.088148
200309,451,31,6.908755,1,20.726264,117.626146,283.378651,0.538882,0.095512
200310,433,29,6.908755,1,27.635019,133.756827,417.135478,0.528511,0.119256
200311,437,30,6.908755,1,34.543774,152.913807,570.049285,0.528511,0.119256
200312,442,30,6.908755,1,41.452529,202.640090,772.689375,0.528511,0.119256
200401,441,30,6.908755,1,48.361283,247.997671,1020.687046,0.513214,0.148679
200402,445,30,6.908755,1,55.270038,285.207997,1305.895044,0.498553,0.152320
200403,438,30,6.908755,1,62.178793,290.179406,1596.074450,0.498553,0.152320
200404,440,30,6.908755,1,69.087548,332.482756,1928.557206,0.498553,0.152320
200405,435,29,6.908755,1,75.996303,361.655076,2290.212282,0.481975,0.147567
200406,436,30,6.908755,1,82.905057,351.289311,2641.501593,0.465010,0.144362
200407,432,29,6.908755,1,89.813812,420.708266,3062.209860,0.465010,0.144362
200408,431,29,6.908755,1,96.722567,413.296522,3475.506381,0.443573,0.144936
200409,441,30,6.908755,1,103.631322,353.621209,3829.127590,0.407490,0.159727
200410,437,30,6.908755,1,110.540076,329.265080,4158.392670,0.378854,0.152149
200411,434,29,6.908755,1,117.448831,362.469576,4520.862245,0.352597,0.159555
200412,423,29,6.908755,1,124.357586,279.366060,4800.228305,0.332542,0.168163
200501,425,29,6.908755,1,131.266341,295.431051,5095.659356,0.316655,0.175532
200502,427,29,6.908755,1,138.175096,266.052041,5361.711397,0.298004,0.184517
200503,411,28,6.908755,1,145.083850,222.929851,5584.641248,0.277089,0.196309
200504,404,27,6.908755,1,151.992605,170.430371,5755.071619,0.259744,0.202722
200505,402,27,6.908755,1,158.901360,147.080997,5902.152616,0.243756,0.213386
200506,397,27,6.908755,1,165.810115,125.447205,6027.599821,0.231578,0.215104
200507,403,27,6.908755,1,172.718869,143.395486,6170.995308,0.218339,0.225846
200508,405,27,6.908755,1,179.627624,132.858527,6303.853835,0.205897,0.221097
200509,404,27,6.908755,1,186.536379,97.315714,6401.169549,0.197329,0.212332
200510,414,28,6.908755,1,193.445134,90.105052,6491.274601,0.187712,0.221866
200511,411,28,6.908755,1,200.353889,101.980519,6593.255121,0.182820,0.210112
200512,411,28,6.908755,1,207.262643,75.026700,6668.281820,0.175161,0.212360
200601,413,28,6.908755,1,214.171398,83.037500,6751.319320,0.169299,0.214724
200602,424,29,6.908755,1,221.080153,44.328311,6795.647631,0.164193,0.212163
200603,419,28,6.908755,1,227.988908,43.931851,6839.579482,0.158243,0.213532
200604,424,29,6.908755,1,234.897662,33.436503,6873.015986,0.152118,0.217904
200605,416,28,6.908755,1,241.806417,56.019129,6929.035115,0.148982,0.218474
200606,410,28,6.908755,1,248.715172,91.837283,7020.872398,0.145735,0.203951
200607,416,28,6.908755,1,255.623927,70.210064,7091.082462,0.144722,0.202008
200608,417,28,6.908755,1,262.532682,53.426893,7144.509355,0.144102,0.200011
200609,416,28,6.908755,1,269.441436,49.571161,7194.080516,0.141539,0.195087
200610,403,27,6.908755,1,276.350191,61.434068,7255.514585,0.138685,0.190659
